periodo;estu_consecutivo;estu_estudiante;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_ingles;desemp_profundiza_biologia;desemp_profundiza_csociales;desemp_profundiza_lenguaje;desemp_profundiza_matematica;estu_anoterminobachiller;estu_areareside;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_depto_presentacion;estu_depto_reside;estu_etnia;estu_fechanacimiento;estu_genero;estu_mcpio_presentacion;estu_mcpio_reside;estu_mesterminobachiller;estu_motivo_presentavalidacion;estu_nacionalidad;estu_pais_reside;estu_privado_libertad;estu_puesto;estu_tipodocumento;estu_trabajaactualmente;estu_valorpensioncolegio;estu_vecespresentoexamen;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_ingresofmiliarmensual;fami_nivelsisben;fami_ocupacionmadre;fami_ocupacionpadre;fami_personashogar;fami_pisoshogar;fami_telefono;fami_tiene_celular;fami_tiene_nevera;fami_tiene_serviciotv;fami_tieneautomovil;fami_tienecomputador;fami_tienedvd;fami_tienehorno;fami_tieneinternet;fami_tienelavadora;fami_tienemicroondas;punt_biologia;punt_ciencias_sociales;punt_filosofia;punt_fisica;punt_ingles;punt_interdisc_medioambiente;punt_interdisc_violenciaysoc;punt_lenguaje;punt_matematicas;punt_profundiza_biologia;punt_profundiza_csociales;punt_profundiza_lenguaje;punt_profundiza_matematica;punt_quimica
20101;SB11201010030140;ESTUDIANTE;URBANO;N;A;ACADÉMICO;305440000994;305440000994;5;5440;67454;ANTIOQUIA;MIXTO;COMPLETA;MARINILLA;NO OFICIAL;INSTITUTO REGIONAL COREDI;INSTITUTO REGIONAL COREDI;S;A-;;GB;;;2010;Area Rural;5;5615;5;5148;ANTIOQUIA;ANTIOQUIA;;15/07/1974;M;RIONEGRO;EL CARMEN DE VIBORAL;Marzo;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;800;CC;Si, 20 horas o más a la semana;No paga Pensión;Ninguna vez;Cinco;Ninguno;Ninguno;Estrato 2;Entre 1 y menos de 2 SMLV;Nivel 2;Hogar;Trabajador por cuenta propia;Cinco;Cemento, gravilla, ladrillo;Si;Si;No;No;No;No;No;No;No;No;No;39.490002;37.139999;46.23;39.450001;37.099998;50.779999;;44.419998;40.93;;4.6999998;;;39.610001
20101;SB11201010026253;ESTUDIANTE;URBANO;N;A;ACADÉMICO;305001020558;305001020558;5;5001;104372;ANTIOQUIA;MIXTO;NOCHE;MEDELLÍN;NO OFICIAL;COL CREADORES DEL FUTURO;COL CREADORES DEL FUTURO;S;A-;;GB;;;2010;Cabecera Municipal;5;5001;5;5001;ANTIOQUIA;ANTIOQUIA;;27/05/1986;M;MEDELLÍN;MEDELLÍN;Junio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;743;CC;No;No paga Pensión;Ninguna vez;Cuatro;Primaria completa;Primaria incompleta;Estrato 1;Entre 1 y menos de 2 SMLV;Nivel 1;Hogar;Empleado obrero u operario;Cinco;Cemento, gravilla, ladrillo;Si;No;Si;No;No;Si;Si;No;No;No;No;45.900002;46.27;51.419998;45.299999;35.25;;45.119999;39.27;43.990002;;3;;;41.560001
20101;SB11201010030117;ESTUDIANTE;URBANO;N;A;ACADÉMICO;305440000994;305440000994;5;5440;67454;ANTIOQUIA;MIXTO;COMPLETA;MARINILLA;NO OFICIAL;INSTITUTO REGIONAL COREDI;INSTITUTO REGIONAL COREDI;S;A-;;GB;;;2010;Area Rural;5;5615;5;5667;ANTIOQUIA;ANTIOQUIA;;12/02/1993;F;RIONEGRO;SAN RAFAEL;Abril;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;533;TI;No;No paga Pensión;Ninguna vez;Tres;Primaria completa;Primaria completa;Estrato 2;Menos de 1 SMLV;Nivel 2;Hogar;Pequeño empresario;Seis;Cemento, gravilla, ladrillo;No;Si;Si;No;No;No;No;Si;No;No;No;49.790001;52.490002;46.23;36.110001;33.220001;53.639999;;54.790001;40.93;;4.6999998;;;41.560001
20101;SB11201010128920;ESTUDIANTE;URBANO;N;A;ACADÉMICO;305360002166;305360002166;5;5360;82511;ANTIOQUIA;MIXTO;MAÑANA;ITAGÜÍ;NO OFICIAL;CODECOMPUTO                                                 ;CODECOMPUTO - SEDE PRINCIPAL;S;A1;;;I;;2010;Cabecera Municipal;5;5001;5;5001;ANTIOQUIA;ANTIOQUIA;;11/04/1976;M;MEDELLÍN;MEDELLÍN;Junio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;981;CC;Si, 20 horas o más a la semana;No paga Pensión;Ninguna vez;Dos;Primaria completa;Primaria completa;Estrato 2;Entre 1 y menos de 2 SMLV;Nivel 3;Empleado obrero u operario;Trabajador por cuenta propia;Cuatro;Cemento, gravilla, ladrillo;No;No;No;No;No;No;No;No;No;No;No;31.200001;58.700001;51.419998;36.110001;46.349998;;52.84;48.810001;13.38;;;4.5999999;;32.490002
20101;SB11201010025762;ESTUDIANTE;URBANO;N;OTRO;ACADÉMICO;305001017361;305001017361;5;5001;59329;ANTIOQUIA;MIXTO;TARDE;MEDELLÍN;NO OFICIAL;CENT DE DESARROLLO INTEGRADO - CENDI;CENT DE DESARROLLO INTEGRADO - CENDI;S;A-;;;I;;2010;Cabecera Municipal;5;5001;5;5001;ANTIOQUIA;ANTIOQUIA;;25/07/1992;M;MEDELLÍN;MEDELLÍN;Julio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;844;TI;No;Menos de 87.000;Ninguna vez;Tres;No sabe;No sabe;Estrato 3;Entre 1 y menos de 2 SMLV;No está clasificada por el SISBEN;Otra actividad u ocupación;Otra actividad u ocupación;Tres;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;No;Si;Si;Si;Si;Si;Si;49.790001;34.540001;37.23;32.27;38.779999;50.07;;50.849998;37.560001;;;5;;41.560001
20101;SB11201010027351;ESTUDIANTE;URBANO;N;A;ACADÉMICO;105001003387;105001003387;5;5001;51144;ANTIOQUIA;MIXTO;NOCHE;MEDELLÍN;OFICIAL;INST EDUC SANTA ROSA DE LIMA;INST EDUC SANTA ROSA DE LIMA;S;A-;;;;GB;2010;Cabecera Municipal;5;5001;5;5001;ANTIOQUIA;ANTIOQUIA;;13/11/1984;M;MEDELLÍN;MEDELLÍN;Junio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;982;CC;No;No paga Pensión;Una Vez;Tres;Primaria completa;Primaria completa;Estrato 3;Entre 2 y menos de 3 SMLV;No está clasificada por el SISBEN;Hogar;Empleado obrero u operario;Cinco;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;No;No;No;No;Si;No;Si;No;39.490002;28.18;40.490002;42.48;33.220001;;42.400002;32.130001;40.93;;;;4.1999998;41.560001
20101;SB11201010025604;ESTUDIANTE;URBANO;N;A;ACADÉMICO;305001017433;305001017433;5;5001;53512;ANTIOQUIA;MIXTO;NOCHE;MEDELLÍN;NO OFICIAL;COL COLOMBIANO DE BACHILLERATO;COL COLOMBIANO DE BACHILLERATO;S;A1;GB;;;;2010;Cabecera Municipal;5;5001;5;5001;ANTIOQUIA;ANTIOQUIA;;25/12/1972;F;MEDELLÍN;MEDELLÍN;Mayo;Otro;COLOMBIA;COLOMBIA;N;544;CC;Si, menos de 20 horas a la semana;No paga Pensión;Ninguna vez;Dos;Primaria incompleta;Primaria incompleta;Estrato 2;Entre 1 y menos de 2 SMLV;Nivel 2;Trabajador por cuenta propia;Trabajador por cuenta propia;Cuatro;Cemento, gravilla, ladrillo;Si;Si;Si;Si;No;No;Si;No;No;Si;Si;43.610001;36.630001;48.580002;36.700001;47.790001;;39.41;48.57;62.560001;3.4000001;;;;39.759998
20101;SB11201010030740;ESTUDIANTE;URBANO;N;A;TÉCNICO;305615001312;305615001312;5;5615;113506;ANTIOQUIA;MIXTO;SABATINA;RIONEGRO;NO OFICIAL;COLEGIO MONSEÑOR ALFONSO URIBE JARAMILLO;MONSEÑOR ALFONSO URIBE JARAMILLO;S;A-;;I;;;2010;Cabecera Municipal;5;5615;5;5148;ANTIOQUIA;ANTIOQUIA;;28/08/1987;M;RIONEGRO;EL CARMEN DE VIBORAL;Julio;Otro;COLOMBIA;COLOMBIA;N;748;CC;Si, 20 horas o más a la semana;No paga Pensión;Ninguna vez;Cuatro;Primaria completa;Ninguno;Estrato 3;Entre 1 y menos de 2 SMLV;Nivel 3;Hogar;Profesional independiente;Seis;Cemento, gravilla, ladrillo;Si;Si;Si;Si;No;No;No;No;No;Si;Si;39.490002;46.27;37.23;39.450001;40.279999;;39.41;39.27;49.549999;;5.0999999;;;46.880001
20101;SB11201010029896;ESTUDIANTE;URBANO;N;OTRO;ACADÉMICO;305001017361;305001017361;5;5001;53488;ANTIOQUIA;MIXTO;NOCHE;MEDELLÍN;NO OFICIAL;CENT DE DESARROLLO INTEGRADO - CENDI;CENT DE DESARROLLO INTEGRADO - CENDI;S;A-;;I;;;2010;Cabecera Municipal;5;5088;5;5088;ANTIOQUIA;ANTIOQUIA;;10/05/1986;M;BELLO;BELLO;Marzo;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;853;CC;Si, 20 horas o más a la semana;No paga Pensión;Ninguna vez;Dos;Primaria completa;Primaria completa;Estrato 1;Entre 1 y menos de 2 SMLV;Nivel 1;Hogar;Trabajador por cuenta propia;Tres;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;No;No;Si;Si;No;Si;Si;41.75;41.900002;40.490002;27.639999;37.099998;49.290001;;41.98;40.93;;5.0999999;;;45.16
20101;SB11201010030408;ESTUDIANTE;URBANO;N;A;ACADÉMICO;305440000994;305440000994;5;5440;67454;ANTIOQUIA;MIXTO;COMPLETA;MARINILLA;NO OFICIAL;INSTITUTO REGIONAL COREDI;INSTITUTO REGIONAL COREDI;S;A-;;I;;;2010;Area Rural;5;5615;5;5674;ANTIOQUIA;ANTIOQUIA;;26/03/1974;F;RIONEGRO;SAN VICENTE FERRER;Abril;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;992;CC;No;Menos de 87.000;Ninguna vez;Uno;Primaria incompleta;Primaria incompleta;Estrato 2;Menos de 1 SMLV;Nivel 3;Hogar;Trabajador por cuenta propia;Tres;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;Si;Si;No;No;No;Si;No;No;No;45.639999;39.580002;36.889999;36.700001;26.09;;45.119999;32.41;22.65;;5.0999999;;;41.720001
