periodo;estu_consecutivo;estu_estudiante;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_ingles;desemp_profundiza_biologia;desemp_profundiza_csociales;desemp_profundiza_lenguaje;desemp_profundiza_matematica;estu_anoterminobachiller;estu_areareside;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_depto_presentacion;estu_depto_reside;estu_etnia;estu_fechanacimiento;estu_genero;estu_mcpio_presentacion;estu_mcpio_reside;estu_mesterminobachiller;estu_motivo_presentavalidacion;estu_nacionalidad;estu_pais_reside;estu_privado_libertad;estu_puesto;estu_tipodocumento;estu_trabajaactualmente;estu_valorpensioncolegio;estu_vecespresentoexamen;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_ingresofmiliarmensual;fami_nivelsisben;fami_ocupacionmadre;fami_ocupacionpadre;fami_personashogar;fami_pisoshogar;fami_telefono;fami_tiene_celular;fami_tiene_nevera;fami_tiene_serviciotv;fami_tieneautomovil;fami_tienecomputador;fami_tienedvd;fami_tienehorno;fami_tieneinternet;fami_tienelavadora;fami_tienemicroondas;punt_biologia;punt_ciencias_sociales;punt_filosofia;punt_fisica;punt_ingles;punt_interdisc_medioambiente;punt_interdisc_violenciaysoc;punt_lenguaje;punt_matematicas;punt_profundiza_biologia;punt_profundiza_csociales;punt_profundiza_lenguaje;punt_profundiza_matematica;punt_quimica
20101;SB11201010119195;ESTUDIANTE;URBANO;N;A;;381001001900;381001001900;81;81001;82784;ARAUCA;MIXTO;NOCHE;ARAUCA;NO OFICIAL;INSTITUTO PSICOPEDAGOGICO JUVENIL;INSTITUTO PSICOPEDAGOGICO JUVENIL - SEDE PRINCIPAL;S;A-;GB;;;;2010;Area Rural;81;81001;81;81001;ARAUCA;ARAUCA;;15/09/1970;M;ARAUCA;ARAUCA;Junio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;558;CC;Si, 20 horas o más a la semana;Menos de 87.000;Ninguna vez;Dos;Ninguno;Ninguno;Estrato 1;Entre 2 y menos de 3 SMLV;Nivel 1;Hogar;Trabajador por cuenta propia;Tres;Madera burda, tabla, tablón;No;No;No;No;No;No;No;No;No;No;No;45.639999;47.540001;45.93;53.740002;41.610001;;50.25;54.57;37.360001;4.5999999;;;;39.759998
20101;SB11201010063840;ESTUDIANTE;URBANO;N;A;ACADÉMICO;381001003431;381001003431;81;81001;93146;ARAUCA;MIXTO;COMPLETA;ARAUCA;NO OFICIAL;INSTITUTO GABRIEL GARCÍA MÁRQUEZ - GAMMA;INSTITUTO GABRIEL GABRIEL GARCIA MARQUEZ   GAMMA - SEDE PRINCIPAL;S;A-;GB;;;;2010;Cabecera Municipal;81;81001;81;81001;ARAUCA;ARAUCA;;05/02/1990;F;ARAUCA;ARAUCA;Junio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;817;CC;Si, 20 horas o más a la semana;Menos de 87.000;Ninguna vez;Dos;Primaria incompleta;Primaria incompleta;Estrato 1;Menos de 1 SMLV;Nivel 1;Hogar;Trabajador por cuenta propia;Diez;Tierra, arena;No;Si;Si;No;No;No;No;Si;No;No;No;47.860001;41.27;40.490002;45.299999;38.779999;50.07;;39.009998;40.93;4.5999999;;;;45.16
20101;SB11201010117533;ESTUDIANTE;URBANO;N;A;;381001001900;381001001900;81;81001;82784;ARAUCA;MIXTO;NOCHE;ARAUCA;NO OFICIAL;INSTITUTO PSICOPEDAGOGICO JUVENIL;INSTITUTO PSICOPEDAGOGICO JUVENIL - SEDE PRINCIPAL;S;A-;GB;;;;2010;Area Rural;81;81001;81;81001;ARAUCA;ARAUCA;;13/05/1975;F;ARAUCA;ARAUCA;Julio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;901;CC;Si, 20 horas o más a la semana;Menos de 87.000;Ninguna vez;Cuatro;Ninguno;Ninguno;Estrato 2;Entre 3 y menos de 5 SMLV;Nivel 1;Hogar;Trabajador por cuenta propia;Seis;Cemento, gravilla, ladrillo;No;No;No;No;No;No;No;No;No;No;No;36.790001;43.43;40.169998;40.060001;33.220001;;39.41;39.009998;40.779999;5.3000002;;;;32.630001
20101;SB11201010063836;ESTUDIANTE;URBANO;N;A;ACADÉMICO;381001003431;381001003431;81;81001;93146;ARAUCA;MIXTO;COMPLETA;ARAUCA;NO OFICIAL;INSTITUTO GABRIEL GARCÍA MÁRQUEZ - GAMMA;INSTITUTO GABRIEL GABRIEL GARCIA MARQUEZ   GAMMA - SEDE PRINCIPAL;S;A1;I;;;;2010;Cabecera Municipal;81;81001;81;81001;ARAUCA;ARAUCA;;12/04/1992;M;ARAUCA;ARAUCA;Junio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;647;TI;Si, 20 horas o más a la semana;Menos de 87.000;Ninguna vez;Dos;No sabe;No sabe;Estrato 1;Entre 1 y menos de 2 SMLV;Nivel 1;Hogar;Trabajador por cuenta propia;Cuatro;Cemento, gravilla, ladrillo;No;Si;Si;No;No;No;No;Si;No;No;No;41.48;47.540001;43.150002;32.84;43.48;52.16;;48.57;43.880001;5.5999999;;;;37.650002
20101;SB11201010115377;ESTUDIANTE;URBANO;N;A;;381001001900;381001001900;81;81001;82784;ARAUCA;MIXTO;NOCHE;ARAUCA;NO OFICIAL;INSTITUTO PSICOPEDAGOGICO JUVENIL;INSTITUTO PSICOPEDAGOGICO JUVENIL - SEDE PRINCIPAL;S;A-;GB;;;;2010;Area Rural;81;81001;81;81001;ARAUCA;ARAUCA;;25/09/1985;M;ARAUCA;ARAUCA;Junio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;708;CC;Si, 20 horas o más a la semana;Menos de 87.000;Ninguna vez;Tres;Ninguno;Ninguno;Estrato 2;Entre 2 y menos de 3 SMLV;Nivel 2;Hogar;Trabajador por cuenta propia;Cinco;Cemento, gravilla, ladrillo;No;No;No;No;No;No;No;No;No;No;No;47.860001;36.630001;40.490002;47.970001;33.220001;;35.93;46.439999;46.84;5;;;;41.560001
20101;SB11201010115306;ESTUDIANTE;URBANO;N;A;;381001001900;381001001900;81;81001;82784;ARAUCA;MIXTO;NOCHE;ARAUCA;NO OFICIAL;INSTITUTO PSICOPEDAGOGICO JUVENIL;INSTITUTO PSICOPEDAGOGICO JUVENIL - SEDE PRINCIPAL;S;A-;I;;;;2010;Area Rural;81;81001;81;81001;ARAUCA;ARAUCA;;22/10/1992;F;ARAUCA;ARAUCA;Junio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;897;TI;No;Menos de 87.000;Ninguna vez;Tres;Ninguno;Ninguno;Estrato 2;Entre 1 y menos de 2 SMLV;Nivel 2;Hogar;Trabajador por cuenta propia;Cuatro;Tierra, arena;No;No;No;No;No;No;No;No;No;No;No;45.639999;43.43;48.580002;43.110001;35.25;;31.51;50.619999;22.65;5.5999999;;;;41.720001
20101;SB11201010063848;ESTUDIANTE;URBANO;N;A;ACADÉMICO;381001003431;381001003431;81;81001;93146;ARAUCA;MIXTO;COMPLETA;ARAUCA;NO OFICIAL;INSTITUTO GABRIEL GARCÍA MÁRQUEZ - GAMMA;INSTITUTO GABRIEL GABRIEL GARCIA MARQUEZ   GAMMA - SEDE PRINCIPAL;S;A-;GB;;;;2010;Cabecera Municipal;81;81001;81;81001;ARAUCA;ARAUCA;;17/12/1992;M;ARAUCA;ARAUCA;Junio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;988;TI;No;Menos de 87.000;Ninguna vez;Tres;Educación profesional completa;Educación profesional completa;Estrato 2;Entre 2 y menos de 3 SMLV;Nivel 2;;;Cuatro;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;No;Si;Si;Si;Si;Si;No;31.200001;39.02;37.23;47.970001;33.220001;49.290001;;27.17;43.990002;4.5999999;;;;32.490002
20101;SB11201010063850;ESTUDIANTE;URBANO;N;A;ACADÉMICO;381001003431;381001003431;81;81001;93146;ARAUCA;MIXTO;COMPLETA;ARAUCA;NO OFICIAL;INSTITUTO GABRIEL GARCÍA MÁRQUEZ - GAMMA;INSTITUTO GABRIEL GABRIEL GARCIA MARQUEZ   GAMMA - SEDE PRINCIPAL;S;A-;;;I;;2010;Cabecera Municipal;81;81001;81;81001;ARAUCA;ARAUCA;;11/09/1992;F;ARAUCA;ARAUCA;Septiembre;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;961;TI;Si, 20 horas o más a la semana;Menos de 87.000;Ninguna vez;Tres;Secundaria (Bachillerato) incompleta;Primaria completa;Estrato 1;Entre 1 y menos de 2 SMLV;Nivel 1;Hogar;Trabajador por cuenta propia;Seis;Cemento, gravilla, ladrillo;No;Si;Si;Si;No;No;Si;Si;No;Si;Si;41.75;37.139999;33.5;45.299999;37.099998;48.400002;;36.169998;40.93;;;4.5999999;;29.24
20101;SB11201010063845;ESTUDIANTE;URBANO;N;A;ACADÉMICO;381001003431;381001003431;81;81001;93146;ARAUCA;MIXTO;COMPLETA;ARAUCA;NO OFICIAL;INSTITUTO GABRIEL GARCÍA MÁRQUEZ - GAMMA;INSTITUTO GABRIEL GABRIEL GARCIA MARQUEZ   GAMMA - SEDE PRINCIPAL;S;A-;GB;;;;2010;Cabecera Municipal;81;81001;81;81001;ARAUCA;ARAUCA;;01/12/1993;F;ARAUCA;ARAUCA;Junio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;591;TI;No;Menos de 87.000;Ninguna vez;Tres;No sabe;No sabe;Estrato 2;Menos de 1 SMLV;Nivel 2;Hogar;Empleado obrero u operario;Seis;Cemento, gravilla, ladrillo;No;Si;Si;No;No;No;No;No;No;No;No;47.860001;43.43;43.459999;50.540001;37.099998;;42.400002;44.169998;57.290001;5.3000002;;;;35.169998
20101;SB11201010063843;ESTUDIANTE;URBANO;N;A;ACADÉMICO;381001003431;381001003431;81;81001;93146;ARAUCA;MIXTO;COMPLETA;ARAUCA;NO OFICIAL;INSTITUTO GABRIEL GARCÍA MÁRQUEZ - GAMMA;INSTITUTO GABRIEL GABRIEL GARCIA MARQUEZ   GAMMA - SEDE PRINCIPAL;S;A-;;;;I;2010;Cabecera Municipal;81;81001;81;81001;ARAUCA;ARAUCA;;26/09/1985;F;ARAUCA;ARAUCA;Junio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;987;CC;Si, menos de 20 horas a la semana;Menos de 87.000;Ninguna vez;Tres;Primaria completa;Primaria completa;Estrato 1;Entre 1 y menos de 2 SMLV;Nivel 1;Hogar;Otra actividad u ocupación;Cinco;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;Si;No;No;No;Si;Si;No;Si;No;41.48;34.080002;40.169998;43.110001;35.25;;35.93;27.17;37.360001;;;;5;45.330002
