periodo;estu_consecutivo;estu_estudiante;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_ingles;desemp_profundiza_biologia;desemp_profundiza_csociales;desemp_profundiza_lenguaje;desemp_profundiza_matematica;estu_anomatriculaprimero;estu_anomatriculasexto;estu_anoscolegioactual;estu_anospreescolar;estu_anoterminobachiller;estu_anoterminoquinto;estu_antecedentes;estu_areareside;estu_cod_depto_presentacion;estu_cod_iesdeseada;estu_cod_mcpio_presentacion;estu_cod_mcpioiesdeseada;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_cuantoscolegioestudio;estu_depto_presentacion;estu_depto_reside;estu_etnia;estu_fechanacimiento;estu_genero;estu_iesdeseada;estu_instporamigosestudiando;estu_instporcostomatricula;estu_instporoportunidades;estu_instporotrarazon;estu_instporprestigio;estu_instporubicacion;estu_instporunicaqueofrece;estu_mcpio_presentacion;estu_mcpio_reside;estu_mcpioiesdeseada;estu_mesterminobachiller;estu_motivo_presentavalidacion;estu_nacionalidad;estu_pais_reside;estu_privado_libertad;estu_puesto;estu_razonretirocolegio;estu_reprobocuarto;estu_reprobodecimo;estu_reprobonoveno;estu_reprobooctavo;estu_reprobooncemas;estu_reproboprimero;estu_reproboquinto;estu_reprobosegundo;estu_reproboseptimo;estu_reprobosexto;estu_reprobotercero;estu_seretirocolegio;estu_tipocarreradeseada;estu_tipodocumento;estu_totalalumnoscurso;estu_trabajaactualmente;estu_valorpensioncolegio;estu_vecespresentoexamen;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_ingresofmiliarmensual;fami_nivelsisben;fami_ocupacionmadre;fami_ocupacionpadre;fami_personashogar;fami_pisoshogar;fami_telefono;fami_tiene_celular;fami_tiene_nevera;fami_tiene_serviciotv;fami_tieneautomovil;fami_tienecomputador;fami_tienedvd;fami_tienehorno;fami_tieneinternet;fami_tienelavadora;fami_tienemicroondas;punt_biologia;punt_ciencias_sociales;punt_filosofia;punt_fisica;punt_ingles;punt_interdisc_medioambiente;punt_interdisc_violenciaysoc;punt_lenguaje;punt_matematicas;punt_profundiza_biologia;punt_profundiza_csociales;punt_profundiza_lenguaje;punt_profundiza_matematica;punt_quimica;recaf_punt_c_naturales;recaf_punt_ingles;recaf_punt_lectura_critica;recaf_punt_matematicas;recaf_punt_sociales_ciudadanas
20122;SB11201220249105;ESTUDIANTE;URBANO;N;A;TÉCNICO/ACADÉMICO;181001003202;181001003202;81;81001;43000;ARAUCA;MIXTO;NOCHE;ARAUCA;OFICIAL;INSTITUCION EDUCATIVA SIMON BOLIVAR;TECNICO SIMON BOLIVAR;S;A-;;;;;;;;;;;No;Cabecera Municipal;81;;81001;;81;81001;;ARAUCA;ARAUCA;Ninguno;01/05/1994;M;;;;;;;;;ARAUCA;ARAUCA;;;;COLOMBIA;COLOMBIA;N;768;;;;;;;;;;;;;;;CC;;No;No paga Pensión;Ninguna vez;Dos;Primaria incompleta;Primaria completa;Estrato 1;Entre 1 y menos de 2 SMLV;Nivel 1;Trabajador por cuenta propia;Trabajador por cuenta propia;Cinco;Cemento, gravilla, ladrillo;Si;Si;Si;No;Si;No;Si;No;No;No;No;40;47;40;33;43;51;;39;34;;;;;48;50;48;46;36;51
20122;SB11201220251852;ESTUDIANTE;URBANO;N;A;TÉCNICO/ACADÉMICO;381794000399;381794000399;81;81794;163949;ARAUCA;FEMENINO;SABATINA;TAME;OFICIAL;INSTITUCION EDUCATIVA ORIENTAL FEMENINO;INSTITUTO ORIENTAL FEMENINO;S;A-;;;;;;;;;;;No;Cabecera Municipal;81;;81794;;81;81794;;ARAUCA;ARAUCA;Ninguno;29/11/1989;M;;;;;;;;;TAME;TAME;;;;COLOMBIA;COLOMBIA;N;387;;;;;;;;;;;;;;;CC;;Si, menos de 20 horas a la semana;No paga Pensión;Ninguna vez;Dos;Primaria completa;Primaria completa;Estrato 2;Entre 1 y menos de 2 SMLV;Nivel 2;Hogar;Otra actividad u ocupación;Dos;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;No;No;No;No;No;No;Si;No;37;45;42;50;37;;45;43;58;;;;;49;51;42;45;52;53
20122;SB11201220249996;ESTUDIANTE;URBANO;N;A;TÉCNICO;181001000777;181001000777;81;81001;87395;ARAUCA;MIXTO;TARDE;ARAUCA;OFICIAL;INSTITUCION EDUCATIVA TECNICO CRISTO REY;TECNICO CRISTO REY;S;A1;;;;;2001;2007;6 años;Un año de preescolar;;2006;Si;Area Rural;81;9104;81001;11001;81;81001;Dos;ARAUCA;ARAUCA;Ninguno;08/04/1996;M;ESCUELA MILITAR DE CADETES GENERAL JOSE MARIA CORDOBA;No;No;No;Si;Si;No;Si;ARAUCA;ARAUCA;BOGOTÁ D.C.;;;COLOMBIA;COLOMBIA;N;513;;No;No;No;No;No;No;No;No;No;No;No;No;Profesional;TI;37;No;No paga Pensión;Ninguna vez;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) incompleta;Estrato 1;Entre 2 y menos de 3 SMLV;Nivel 1;Empleado de nivel auxiliar o administrativo;Empleado de nivel técnico o profesional;Cinco;Cemento, gravilla, ladrillo;No;Si;Si;Si;No;Si;Si;No;No;Si;No;48;50;36;53;52;54;;46;31;;;;;48;56;58;52;47;55
20122;SB11201220249438;ESTUDIANTE;URBANO;;A;TÉCNICO;181001000041;181001000041;81;81001;128462;ARAUCA;MIXTO;TARDE;ARAUCA;OFICIAL;INSTITUCION EDUCATIVA SANTA TERESITA;SANTA TERESITA;S;B1;;;;;;;;;2012;;No;Cabecera Municipal;81;;81001;;81;81001;;ARAUCA;ARAUCA;Ninguno;03/06/1996;F;;;;;;;;;ARAUCA;ARAUCA;;;;COLOMBIA;COLOMBIA;N;92;;;;;;;;;;;;;;;TI;;No;No paga Pensión;Ninguna vez;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 2;Entre 3 y menos de 5 SMLV;Nivel 2;Hogar;Otra actividad u ocupación;Cuatro;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;Si;Si;Si;Si;No;No;Si;Si;Si;50;58;53;42;68;55;;53;56;;;;;53;56;73;74;58;59
20122;SB11201220250113;ESTUDIANTE;URBANO;N;A;ACADÉMICO;381001003431;381001003431;81;81001;93146;ARAUCA;MIXTO;COMPLETA;ARAUCA;NO OFICIAL;INSTITUTO GABRIEL GARCÍA MÁRQUEZ - GAMMA;INSTITUTO GABRIEL GABRIEL GARCIA MARQUEZ   GAMMA - SEDE PRINCIPAL;S;A-;;;;I;;;;;;;No;Cabecera Municipal;81;;81001;;81;81001;;ARAUCA;ARAUCA;Ninguno;05/11/1988;M;;;;;;;;;ARAUCA;ARAUCA;;;;COLOMBIA;COLOMBIA;N;663;;;;;;;;;;;;;;;CC;;No;Menos de 87.000;Ninguna vez;Cinco;Ninguno;Secundaria (Bachillerato) completa;Estrato 2;Entre 1 y menos de 2 SMLV;Nivel 2;Hogar;;Ocho;Cemento, gravilla, ladrillo;Si;No;No;Si;No;No;No;No;No;Si;No;38;47;30;48;40;;;37;49;;;;5;48;45;44;42;51;48
20122;SB11201220535563;ESTUDIANTE;URBANO;N;A;;381001001900;381001001900;81;81001;82784;ARAUCA;MIXTO;NOCHE;ARAUCA;NO OFICIAL;INSTITUTO PSICOPEDAGOGICO JUVENIL;INSTITUTO PSICOPEDAGOGICO JUVENIL - SEDE PRINCIPAL;S;A1;;;;;;;;;;;No;Cabecera Municipal;81;;81736;;81;81736;;ARAUCA;ARAUCA;;17/10/1990;M;;;;;;;;;SARAVENA;SARAVENA;;;;COLOMBIA;COLOMBIA;N;294;;;;;;;;;;;;;;;CC;;Si, menos de 20 horas a la semana;Menos de 87.000;Ninguna vez;Dos;Primaria incompleta;Primaria incompleta;Estrato 1;Entre 1 y menos de 2 SMLV;Nivel 1;Hogar;Otra actividad u ocupación;Tres;Cemento, gravilla, ladrillo;No;Si;Si;No;No;No;No;Si;No;Si;No;44;50;33;42;46;51;;48;52;;;;;51;52;52;51;52;58
20122;SB11201220250142;ESTUDIANTE;URBANO;N;A;ACADÉMICO;381001003431;381001003431;81;81001;93146;ARAUCA;MIXTO;COMPLETA;ARAUCA;NO OFICIAL;INSTITUTO GABRIEL GARCÍA MÁRQUEZ - GAMMA;INSTITUTO GABRIEL GABRIEL GARCIA MARQUEZ   GAMMA - SEDE PRINCIPAL;S;A-;;GB;;;;;;;;;No;Cabecera Municipal;81;;81001;;81;81001;;ARAUCA;ARAUCA;Ninguno;28/01/1990;F;;;;;;;;;ARAUCA;ARAUCA;;;;COLOMBIA;COLOMBIA;N;608;;;;;;;;;;;;;;;CC;;No;Menos de 87.000;Ninguna vez;Cinco;Primaria completa;Primaria completa;Estrato 2;Entre 3 y menos de 5 SMLV;Nivel 1;Otra actividad u ocupación;Otra actividad u ocupación;Cinco;Madera burda, tabla, tablón;Si;Si;Si;Si;Si;Si;Si;No;Si;No;No;39;46;33;38;34;;;42;46;;4;;;43;43;40;33;43;48
20122;SB11201220250115;ESTUDIANTE;URBANO;N;A;ACADÉMICO;381001003431;381001003431;81;81001;93146;ARAUCA;MIXTO;COMPLETA;ARAUCA;NO OFICIAL;INSTITUTO GABRIEL GARCÍA MÁRQUEZ - GAMMA;INSTITUTO GABRIEL GABRIEL GARCIA MARQUEZ   GAMMA - SEDE PRINCIPAL;S;A-;;;;;;;;;;;No;Cabecera Municipal;81;;81001;;81;81001;;ARAUCA;ARAUCA;Ninguno;04/07/1990;F;;;;;;;;;ARAUCA;ARAUCA;;;;COLOMBIA;COLOMBIA;N;647;;;;;;;;;;;;;;;CC;;Si, 20 horas o más a la semana;Menos de 87.000;Ninguna vez;Tres;Primaria completa;Primaria completa;Estrato 1;Entre 1 y menos de 2 SMLV;Nivel 1;Trabajador por cuenta propia;Profesional independiente;Seis;Cemento, gravilla, ladrillo;Si;Si;Si;Si;No;No;No;Si;No;No;No;41;44;45;42;34;;52;40;49;;;;;36;40;40;55;50;45
20122;SB11201220552199;ESTUDIANTE;URBANO;N;A;TÉCNICO;181736001467;181736001467;81;81736;78089;ARAUCA;MIXTO;MAÑANA;SARAVENA;OFICIAL;INSTITUCION EDUCATIVA JOSE EUSTASIO RIVERA;JOSE EUSTASIO RIVERA;S;A2;;;;;;;;;;;No;Cabecera Municipal;81;;81736;;81;81736;;ARAUCA;ARAUCA;Ninguno;15/12/1996;M;;;;;;;;;SARAVENA;SARAVENA;;;;COLOMBIA;COLOMBIA;N;74;;;;;;;;;;;;;;;TI;;No;No paga Pensión;Ninguna vez;Dos;Primaria completa;Primaria completa;Estrato 1;Entre 1 y menos de 2 SMLV;Nivel 1;Hogar;Trabajador por cuenta propia;Cinco;Cemento, gravilla, ladrillo;No;Si;Si;No;No;Si;Si;No;No;No;No;48;71;50;55;57;55;;53;55;;;;;50;56;63;62;62;74
20122;SB11201220249541;ESTUDIANTE;URBANO;N;A;TÉCNICO/ACADÉMICO;181001001676;181001001676;81;81001;25601;ARAUCA;MIXTO;MAÑANA;ARAUCA;OFICIAL;INSTITUCION EDUCATIVA NORMAL MARIA INMACULADA;NORMAL SUPERIOR  MARIA INMACULADA;S;A1;;;;;;;;;;;No;Cabecera Municipal;81;;81001;;81;81001;;ARAUCA;ARAUCA;Ninguno;30/01/1995;F;;;;;;;;;ARAUCA;ARAUCA;;;;COLOMBIA;COLOMBIA;N;476;;;;;;;;;;;;;;;TI;;No;No paga Pensión;Ninguna vez;Uno;Secundaria (Bachillerato) completa;Primaria incompleta;Estrato 1;Menos de 1 SMLV;Nivel 1;Otra actividad u ocupación;Empleado obrero u operario;Cuatro;Cemento, gravilla, ladrillo;No;Si;Si;Si;No;No;Si;No;No;No;No;45;42;40;33;43;51;;50;43;;;;;49;53;49;48;51;48
