periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_ingles;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_depto_presentacion;estu_depto_reside;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_individual;estu_pais_reside;estu_pilopaga;estu_privado_libertad;estu_tieneetnia;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_tieneautomovil;fami_tienecomputador;fami_tieneinternet;fami_tienelavadora;fami_tieneserviciotv;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20152;SB11201520407894;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO/ACADÉMICO;181001000599;181001000599;81;81001;19133;ARAUCA;MIXTO;NOCHE;ARAUCA;OFICIAL;INSTITUCION EDUCATIVA FRANCISCO JOSE DE CALDAS;FRANSISCO JOSE DE CALDAS;S;A-;S;81;81001;81;81001;ARAUCA;ARAUCA;;11/12/1993;M;26;31.665604;ARAUCA;ARAUCA;COLOMBIA;NSE1;COLOMBIA;NO;N;No;Dos;Primaria incompleta;Primaria incompleta;Estrato 1;0 A 10 LIBROS;Cinco;No;No;No;No;No;44;223;41;36;51;49
20152;SB11201520591119;ESTUDIANTE;TI;RURAL;N;A;ACADÉMICO;281794000564;281794000564;81;81794;83147;ARAUCA;MIXTO;MAÑANA;TAME;OFICIAL;INSTITUCION EDUCATIVA AGUSTIN NIETO CABALLERO;AGUSTIN NIETO CABALLERO;S;A1;S;66;66170;66;66170;RISARALDA;RISARALDA;Ninguno;05/11/1997;M;11;;DOS QUEBRADAS;DOS QUEBRADAS;COLOMBIA;;COLOMBIA;NO;N;;;;;Estrato 1;;;;;;;;51;285;49;60;52;68
20152;SB11201520048259;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;381591000024;381591000024;81;81591;58321;ARAUCA;MIXTO;MAÑANA;PUERTO RONDON;OFICIAL;INSTITUCION EDUCATIVA LA INMACULADA;LA INMACULADA;S;A1;S;81;81794;81;81001;ARAUCA;ARAUCA;;13/09/1998;F;11;44.897392;TAME;ARAUCA;COLOMBIA;NSE2;COLOMBIA;NO;N;No;Uno;Secundaria (Bachillerato) completa;Primaria completa;Estrato 1;11 A 25 LIBROS;Dos;No;Si;No;Si;No;59;291;49;53;57;67
20152;SB11201520482331;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO;181736002315;181736002315;81;81736;123182;ARAUCA;MIXTO;SABATINA;SARAVENA;OFICIAL;INSTITUCION EDUCATIVA TECNICO INDUSTRIAL RAFAEL POMBO;TÉCNICO INDUSTRIAL RAFAEL POMBO;S;A1;S;81;81736;81;81736;ARAUCA;ARAUCA;;30/03/1991;F;26;39.856682;SARAVENA;SARAVENA;COLOMBIA;NSE1;COLOMBIA;NO;N;No;Tres;Secundaria (Bachillerato) incompleta;Primaria incompleta;Estrato 1;0 A 10 LIBROS;Seis;No;No;No;No;No;45;242;55;44;50;52
20152;SB11201520276363;ESTUDIANTE;TI;RURAL;N;A;ACADÉMICO;281065000627;281065000627;81;81065;166033;ARAUCA;MIXTO;MAÑANA;ARAUQUITA;OFICIAL;I.E. ANDRÉS BELLO;ANDRES BELLO;S;A1;S;81;81065;81;81065;ARAUCA;ARAUCA;;24/04/1998;F;11;48.238266;ARAUQUITA;ARAUQUITA;COLOMBIA;NSE2;COLOMBIA;NO;N;No;Cuatro;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 1;0 A 10 LIBROS;Cuatro;Si;Si;No;Si;Si;41;190;49;32;30;45
20152;SB11201520124826;ESTUDIANTE;TI;URBANO;;A;TÉCNICO;181001000041;181001000041;81;81001;128462;ARAUCA;MIXTO;TARDE;ARAUCA;OFICIAL;INSTITUCION EDUCATIVA SANTA TERESITA;SANTA TERESITA;S;A2;S;81;81001;81;81001;ARAUCA;ARAUCA;;20/09/1998;M;11;59.35117;ARAUCA;ARAUCA;COLOMBIA;NSE3;COLOMBIA;NO;N;No;Tres;Educación profesional completa;Primaria completa;Estrato 1;11 A 25 LIBROS;Cinco;Si;Si;Si;Si;Si;51;275;60;56;52;59
20152;SB11201520561558;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;181001001188;181001001188;81;81001;93823;ARAUCA;MIXTO;MAÑANA;ARAUCA;OFICIAL;INSTITUCION EDUCATIVA GUSTAVO VILLA DIAZ;GUSTAVO VILLA;S;A-;S;81;81001;81;81001;ARAUCA;ARAUCA;;13/04/1997;M;11;38.342548;ARAUCA;ARAUCA;COLOMBIA;NSE1;COLOMBIA;NO;N;No;Tres;Primaria incompleta;Primaria incompleta;Estrato 1;0 A 10 LIBROS;Seis;No;No;No;No;No;48;230;44;46;42;49
20152;SB11201520489049;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO/ACADÉMICO;181001003202;181001003202;81;81001;43000;ARAUCA;MIXTO;NOCHE;ARAUCA;OFICIAL;INSTITUCION EDUCATIVA SIMON BOLIVAR;TECNICO SIMON BOLIVAR;S;A-;S;81;81001;81;81001;ARAUCA;ARAUCA;;08/03/1996;F;26;49.897717;ARAUCA;ARAUCA;COLOMBIA;NSE2;COLOMBIA;NO;N;No;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) incompleta;Estrato 1;0 A 10 LIBROS;Dos;No;Si;Si;No;No;42;232;41;51;44;50
20152;SB11201520043429;ESTUDIANTE;TI;RURAL;;A;ACADÉMICO;281794004179;281794004179;81;81794;155473;ARAUCA;MIXTO;SABATINA;TAME;OFICIAL;INSTITUCION EDUCATIVA ERNESTO RINCON DUCON;INSTITUCION EDUCATIVA ERNESTO RINCON DUCON - SEDE PRINCIPAL;S;A1;S;81;81794;81;81794;ARAUCA;ARAUCA;;12/05/1999;M;11;46.297638;TAME;TAME;COLOMBIA;NSE2;COLOMBIA;NO;N;No;Cuatro;Educación profesional incompleta;Educación profesional completa;Estrato 1;MÁS DE 100 LIBROS;Cuatro;No;Si;No;No;Si;53;225;49;36;47;43
20152;SB11201520314258;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO;181001000777;181001000777;81;81001;87395;ARAUCA;MIXTO;TARDE;ARAUCA;OFICIAL;INSTITUCION EDUCATIVA TECNICO CRISTO REY;TECNICO CRISTO REY;S;A1;S;81;81001;81;81001;ARAUCA;ARAUCA;;23/07/1997;F;11;46.629974;ARAUCA;ARAUCA;COLOMBIA;NSE2;COLOMBIA;NO;N;Si;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) incompleta;Estrato 1;11 A 25 LIBROS;Dos;No;Si;No;Si;No;45;241;54;48;50;48
