periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_depto_presentacion;estu_depto_reside;estu_discapacidad;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_establecimiento;estu_nse_individual;estu_pais_reside;estu_pilopaga;estu_privado_libertad;estu_repite;estu_tieneetnia;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_tieneautomovil;fami_tienecomputador;fami_tieneinternet;fami_tienelavadora;fami_tieneserviciotv;percentil_c_naturales;percentil_global;percentil_ingles;percentil_lectura_critica;percentil_matematicas;percentil_sociales_ciudadanas;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20162;SB11201620591640;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO;181794000624;181794000624;81;81794;662494;ARAUCA;MIXTO;SABATINA;TAME;OFICIAL;INSTITUCION EDUCATIVA TECNICO INDUSTRIAL FROILAN FARIAS;COLEGIO TECNICO INDUSTRIAL FROILAN FARIAS;S;2;A-;1;2;2;S;81;81794;81;81794;ARAUCA;ARAUCA;N;;07/11/1991;F;26;44.422153;TAME;TAME;COLOMBIA;2;NSE2;COLOMBIA;NO;N;0;No;Dos;Primaria completa;Primaria completa;Estrato 1;11 A 25 LIBROS;Tres;No;No;No;Si;Si;28;17;33;2;20;31;47;208;46;33;40;45
20162;SB11201620186843;ESTUDIANTE;TI;RURAL;N;A;TÉCNICO;281794004683;281794004683;81;81794;82800;ARAUCA;MIXTO;MAÑANA;TAME;OFICIAL;INSTITUCION EDUCATIVA DE PROMOCION AGROPECUARIA;INSTITUTO DE PROMOCION  AGROPECUARIA;S;3;A1;3;3;2;S;81;81794;81;81794;ARAUCA;ARAUCA;N;;16/01/2000;F;11;39.004433;TAME;TAME;COLOMBIA;2;NSE1;COLOMBIA;NO;N;0;No;Tres;Primaria incompleta;Primaria incompleta;Estrato 1;0 A 10 LIBROS;Cuatro;No;No;No;Si;Si;80;58;48;53;55;42;61;267;50;53;53;48
20162;SB11201620101682;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO;181001001927;181001001927;81;81001;19117;ARAUCA;MIXTO;MAÑANA;ARAUCA;OFICIAL;INSTITUCION EDUCATIVA GENERAL  SANTANDER;SANTANDER BACHILLERATO;S;2;A2;3;2;1;S;81;81001;81;81001;ARAUCA;ARAUCA;N;;08/01/2000;M;11;55.619186;ARAUCA;ARAUCA;COLOMBIA;2;NSE3;COLOMBIA;NO;N;0;No;Cuatro;Técnica o tecnológica completa;Educación profesional completa;Estrato 1;26 A 100 LIBROS;Cinco;Si;Si;No;Si;Si;43;41;88;46;35;21;51;244;66;52;46;41
20162;SB11201620400495;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO;181736001467;181736001467;81;81736;78089;ARAUCA;MIXTO;MAÑANA;SARAVENA;OFICIAL;INSTITUCION EDUCATIVA JOSE EUSTASIO RIVERA;JOSE EUSTASIO RIVERA;S;3;A1;3;3;3;S;81;81736;81;81736;ARAUCA;ARAUCA;N;;25/03/2000;M;11;45.448315;SARAVENA;SARAVENA;COLOMBIA;2;NSE2;COLOMBIA;NO;N;0;No;Tres;Secundaria (Bachillerato) incompleta;Primaria completa;Estrato 1;26 A 100 LIBROS;Seis;No;Si;No;Si;Si;92;82;68;76;74;79;66;302;56;59;58;60
20162;SB11201620334584;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;181736001921;181736001921;81;81300;55228;ARAUCA;MIXTO;MAÑANA;FORTUL;OFICIAL;INSTITUCION EDUCATIVA ALEJANDRO HUMBOLDT;COLEGIO  ALEJANDRO HUMBOLTD;S;2;A1;2;2;2;S;81;81736;81;81300;ARAUCA;ARAUCA;N;;19/02/2000;F;11;53.277222;SARAVENA;FORTUL;COLOMBIA;2;NSE3;COLOMBIA;NO;N;169726;No;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) incompleta;Estrato 1;11 A 25 LIBROS;Cuatro;Si;Si;Si;Si;Si;42;31;65;17;20;42;51;231;55;43;40;48
20162;SB11201620353148;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;181794003151;181794003151;81;81794;93112;ARAUCA;MIXTO;MAÑANA;TAME;OFICIAL;INSTITUCION EDUCATIVA SAN LUIS;COLEGIO NACIONAL SAN LUIS;S;2;A-;2;3;2;S;81;81794;81;81794;ARAUCA;ARAUCA;N;;20/11/2000;F;11;43.272678;TAME;TAME;COLOMBIA;2;NSE2;COLOMBIA;NO;N;0;No;Tres;Secundaria (Bachillerato) completa;Primaria completa;Estrato 2;0 A 10 LIBROS;Cinco;No;Si;No;No;No;40;42;30;23;75;30;50;246;45;45;59;44
20162;SB11201620319461;ESTUDIANTE;TI;URBANO;;A;TÉCNICO;181001000041;181001000041;81;81001;128462;ARAUCA;MIXTO;TARDE;ARAUCA;OFICIAL;INSTITUCION EDUCATIVA SANTA TERESITA;SANTA TERESITA;S;4;B1;3;4;3;S;81;81001;81;81001;ARAUCA;ARAUCA;N;;16/08/2000;F;11;53.256954;ARAUCA;ARAUCA;COLOMBIA;3;NSE3;COLOMBIA;SI;N;0;No;Dos;Secundaria (Bachillerato) completa;Técnica o tecnológica completa;Estrato 1;26 A 100 LIBROS;Tres;No;Si;Si;Si;Si;99;97;90;91;96;97;73;349;68;66;71;70
20162;SB11201620515339;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;181001003202;181001003202;81;81001;43000;ARAUCA;MIXTO;NOCHE;ARAUCA;OFICIAL;INSTITUCION EDUCATIVA SIMON BOLIVAR;TECNICO SIMON BOLIVAR;S;2;A-;2;2;2;S;81;81001;81;81001;ARAUCA;ARAUCA;N;Comunidad afrodescendiente;28/03/1999;M;26;37.38039;ARAUCA;ARAUCA;COLOMBIA;2;NSE1;COLOMBIA;NO;N;0;Si;Cuatro;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 1;0 A 10 LIBROS;Once;No;No;No;No;No;33;28;4;31;39;22;49;226;34;47;47;41
20162;SB11201620180013;ESTUDIANTE;TI;RURAL;N;A;ACADÉMICO;281065002611;281065002611;81;81065;173591;ARAUCA;MIXTO;SABATINA;ARAUQUITA;OFICIAL;I.E. SAN JOSE DE LA PESQUERA;I.E. SAN JOSE DE LA PESQUERA - SEDE PRINCIPAL;S;2;A2;3;2;2;S;81;81065;81;81065;ARAUCA;ARAUCA;N;;12/09/1999;F;26;29.81592;ARAUQUITA;ARAUQUITA;COLOMBIA;1;NSE1;COLOMBIA;NO;N;0;No;Dos;Primaria incompleta;Primaria incompleta;Estrato 1;11 A 25 LIBROS;Cinco;No;No;No;No;No;33;51;73;82;41;36;48;258;58;62;48;46
20162;SB11201620508500;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;181794000021;181794000021;81;81794;93120;ARAUCA;MIXTO;MAÑANA;TAME;OFICIAL;INSTITUCION EDUCATIVA INOCENCIO CHINCA;INOCENCIO CHINCA;S;2;A-;3;2;1;S;81;81794;81;81794;ARAUCA;ARAUCA;N;;02/10/1998;F;11;40.413879;TAME;TAME;COLOMBIA;2;NSE1;COLOMBIA;NO;N;0;No;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 1;26 A 100 LIBROS;Cuatro;No;No;No;No;No;51;35;14;64;26;20;53;237;40;56;42;40
20162;SB11201620603528;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO/ACADÉMICO;181001000599;181001000599;81;81001;109124;ARAUCA;MIXTO;SABATINA;ARAUCA;OFICIAL;INSTITUCION EDUCATIVA FRANCISCO JOSE DE CALDAS;FRANSISCO JOSE DE CALDAS;S;2;A1;3;3;2;S;81;81001;81;81001;ARAUCA;ARAUCA;N;;26/05/1997;F;26;44.160904;ARAUCA;ARAUCA;COLOMBIA;2;NSE2;COLOMBIA;NO;N;0;No;Dos;Primaria incompleta;Primaria incompleta;Estrato 1;0 A 10 LIBROS;Cinco;No;Si;No;No;Si;45;54;52;48;51;64;51;262;51;52;51;55
