periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_dedicacioninternet;estu_dedicacionlecturadiaria;estu_depto_presentacion;estu_depto_reside;estu_discapacidad;estu_etnia;estu_fechanacimiento;estu_generacione;estu_genero;estu_grado;estu_horassemanatrabaja;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_establecimiento;estu_nse_individual;estu_pais_reside;estu_privado_libertad;estu_repite;estu_tieneetnia;estu_tiporemuneracion;fami_comecarnepescadohuevo;fami_comecerealfrutoslegumbre;fami_comelechederivados;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_situacioneconomica;fami_tieneautomovil;fami_tienecomputador;fami_tieneconsolavideojuegos;fami_tienehornomicroogas;fami_tieneinternet;fami_tienelavadora;fami_tienemotocicleta;fami_tieneserviciotv;fami_trabajolabormadre;fami_trabajolaborpadre;percentil_c_naturales;percentil_global;percentil_ingles;percentil_lectura_critica;percentil_matematicas;percentil_sociales_ciudadanas;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20201;SB11202010069548;ESTUDIANTE;TI;URBANO;;A;ACADÉMICO;381001003520;381001003520;81;81001;153528;ARAUCA;MIXTO;SABATINA;ARAUCA;NO OFICIAL;I.E. ALFONSO MEDINA DELGADO;I.E. ALFONSO MEDINA DELGADO - SEDE PRINCIPAL;S;2;A-;1;2;1;N;81;81001;81;81001;No Navega Internet;No leo por entretenimiento;ARAUCA;ARAUCA;N;;26/12/2003;GENERACION E - GRATUIDAD;M;11;Entre 21 y 30 horas;38.578842;ARAUCA;ARAUCA;COLOMBIA;2;1;COLOMBIA;N;0;No;Si, en efectivo;1 o 2 veces por semana;Nunca o rara vez comemos eso;1 o 2 veces por semana;;Secundaria (Bachillerato) completa;Primaria incompleta;Estrato 1;11 A 25 LIBROS;9 o más;Mejor;Si;No;No;No;No;Si;Si;No;Trabaja en el hogar, no trabaja o estudia;Es agricultor, pesquero o jornalero;13;4;5;2;17;1;41;179;33;33;45;25
20201;SB11202010061209;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;381001003465;381001003465;81;81001;93153;ARAUCA;MIXTO;SABATINA;ARAUCA;NO OFICIAL;SEDELCO SIGLO XXI;SEDELCO SIGLO XXI - SEDE PRINCIPAL;S;1;A-;2;1;1;N;81;81001;81;81001;Entre 1 y 3 horas;30 minutos o menos;ARAUCA;ARAUCA;N;;26/08/2002;GENERACION E - GRATUIDAD;F;26;0;56.64185;ARAUCA;ARAUCA;COLOMBIA;3;3;COLOMBIA;N;0;No;No;Todos o casi todos los días;Nunca o rara vez comemos eso;Todos o casi todos los días;Uno;Educación profesional completa;Secundaria (Bachillerato) completa;Estrato 2;0 A 10 LIBROS;3 a 4;Igual;No;Si;No;No;Si;Si;Si;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);No sabe;8;4;6;8;2;7;37;175;35;41;29;33
20201;SB11202010061155;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;381001003465;381001003465;81;81001;93153;ARAUCA;MIXTO;SABATINA;ARAUCA;NO OFICIAL;SEDELCO SIGLO XXI;SEDELCO SIGLO XXI - SEDE PRINCIPAL;S;2;A-;2;2;1;N;81;81001;81;81001;Entre 1 y 3 horas;30 minutos o menos;ARAUCA;ARAUCA;N;;26/07/2003;GENERACION E - GRATUIDAD;F;26;0;53.726143;ARAUCA;ARAUCA;COLOMBIA;3;3;COLOMBIA;N;0;No;No;1 o 2 veces por semana;Nunca o rara vez comemos eso;1 o 2 veces por semana;Tres;Secundaria (Bachillerato) incompleta;Educación profesional completa;Estrato 1;11 A 25 LIBROS;3 a 4;Igual;No;Si;No;Si;Si;Si;Si;Si;Trabaja en el hogar, no trabaja o estudia;Pensionado;16;11;7;8;19;12;42;206;37;41;46;37
20201;SB11202010061183;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;381001003465;381001003465;81;81001;93153;ARAUCA;MIXTO;SABATINA;ARAUCA;NO OFICIAL;SEDELCO SIGLO XXI;SEDELCO SIGLO XXI - SEDE PRINCIPAL;S;2;A-;3;2;1;N;81;81001;81;81001;Más de 3 horas;No leo por entretenimiento;ARAUCA;ARAUCA;N;;10/01/2003;NO;M;26;0;62.870872;ARAUCA;ARAUCA;COLOMBIA;3;3;COLOMBIA;N;0;No;No;Todos o casi todos los días;Nunca o rara vez comemos eso;1 o 2 veces por semana;Dos;Educación profesional completa;Educación profesional completa;Estrato 3;;1 a 2;Igual;No;Si;No;Si;Si;Si;Si;Si;No aplica;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);19;15;2;30;19;10;44;217;28;54;46;35
20201;SB11202010036409;ESTUDIANTE;TI;URBANO;;A;ACADÉMICO;381001003520;381001003520;81;81001;153528;ARAUCA;MIXTO;SABATINA;ARAUCA;NO OFICIAL;I.E. ALFONSO MEDINA DELGADO;I.E. ALFONSO MEDINA DELGADO - SEDE PRINCIPAL;S;1;A-;1;1;1;N;81;81001;81;81001;No Navega Internet;Entre 30 y 60 minutos;ARAUCA;ARAUCA;N;;15/06/2003;GENERACION E - GRATUIDAD;M;26;Menos de 10 horas;43.268147;ARAUCA;ARAUCA;COLOMBIA;2;2;COLOMBIA;N;248560;No;Si, en efectivo;1 o 2 veces por semana;3 a 5 veces por semana;1 o 2 veces por semana;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) incompleta;Estrato 1;0 A 10 LIBROS;3 a 4;Peor;No;No;No;No;Si;Si;No;Si;Es agricultor, pesquero o jornalero;Es agricultor, pesquero o jornalero;1;1;14;2;3;1;27;148;43;33;31;23
20201;SB11202010061190;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;381001003465;381001003465;81;81001;93153;ARAUCA;MIXTO;SABATINA;ARAUCA;NO OFICIAL;SEDELCO SIGLO XXI;SEDELCO SIGLO XXI - SEDE PRINCIPAL;S;3;A2;3;3;3;N;81;81001;81;81001;Más de 3 horas;30 minutos o menos;ARAUCA;ARAUCA;N;;02/11/2002;GENERACION E - GRATUIDAD;M;26;0;59.776272;ARAUCA;ARAUCA;COLOMBIA;3;3;COLOMBIA;N;0;No;No;3 a 5 veces por semana;3 a 5 veces por semana;3 a 5 veces por semana;Cuatro;Educación profesional completa;Secundaria (Bachillerato) incompleta;Estrato 1;11 A 25 LIBROS;5 a 6;Igual;Si;Si;No;Si;Si;Si;Si;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja por cuenta propia (por ejemplo plomero, electricista);54;54;36;56;50;63;59;302;59;62;60;61
20201;SB11202010061192;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO/ACADÉMICO;381001003465;381001003465;81;81001;93153;ARAUCA;MIXTO;SABATINA;ARAUCA;NO OFICIAL;SEDELCO SIGLO XXI;SEDELCO SIGLO XXI - SEDE PRINCIPAL;S;3;A1;3;3;3;N;81;81001;81;81001;30 minutos o menos;Entre 30 y 60 minutos;ARAUCA;ARAUCA;N;;04/04/2001;GENERACION E - GRATUIDAD;F;26;Menos de 10 horas;53.421055;ARAUCA;ARAUCA;COLOMBIA;3;3;COLOMBIA;N;0;No;No;Todos o casi todos los días;1 o 2 veces por semana;1 o 2 veces por semana;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 1;11 A 25 LIBROS;3 a 4;Igual;No;Si;No;No;Si;Si;Si;Si;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;No sabe;51;50;21;65;47;53;58;295;49;65;59;57
20201;SB11202010061188;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO/ACADÉMICO;381001003465;381001003465;81;81001;93153;ARAUCA;MIXTO;SABATINA;ARAUCA;NO OFICIAL;SEDELCO SIGLO XXI;SEDELCO SIGLO XXI - SEDE PRINCIPAL;S;1;A-;2;2;1;N;81;81001;81;81001;Entre 30 y 60 minutos;No leo por entretenimiento;ARAUCA;ARAUCA;N;;28/06/1991;GENERACION E - GRATUIDAD;F;26;Menos de 10 horas;31.649561;ARAUCA;ARAUCA;COLOMBIA;3;1;COLOMBIA;N;0;No;Si, en efectivo;1 o 2 veces por semana;1 o 2 veces por semana;1 o 2 veces por semana;Uno;Primaria incompleta;No sabe;Estrato 6;0 A 10 LIBROS;1 a 2;Mejor;No;No;No;No;No;No;No;No;No sabe;No aplica;8;6;2;9;8;9;37;185;28;42;37;35
20201;SB11202010061191;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO/ACADÉMICO;381001003465;381001003465;81;81001;93153;ARAUCA;MIXTO;SABATINA;ARAUCA;NO OFICIAL;SEDELCO SIGLO XXI;SEDELCO SIGLO XXI - SEDE PRINCIPAL;S;3;A1;3;3;2;N;54;54001;54;54001;30 minutos o menos;30 minutos o menos;NORTE SANTANDER;NORTE SANTANDER;N;;06/05/1998;GENERACION E - GRATUIDAD;M;26;0;45.288586;CÚCUTA;CÚCUTA;COLOMBIA;3;2;COLOMBIA;N;0;No;No;1 o 2 veces por semana;3 a 5 veces por semana;1 o 2 veces por semana;Tres;Primaria completa;Primaria incompleta;Estrato 1;11 A 25 LIBROS;5 a 6;Peor;No;Si;No;Si;Si;No;No;Si;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;48;41;23;23;71;36;56;279;50;51;67;51
20201;SB11202010061206;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;381001003465;381001003465;81;81001;93153;ARAUCA;MIXTO;SABATINA;ARAUCA;NO OFICIAL;SEDELCO SIGLO XXI;SEDELCO SIGLO XXI - SEDE PRINCIPAL;S;2;A-;2;3;3;N;81;81001;81;81001;Entre 1 y 3 horas;Entre 30 y 60 minutos;ARAUCA;ARAUCA;N;;03/05/2002;NO;F;26;Más de 30 horas;58.684296;ARAUCA;ARAUCA;COLOMBIA;3;3;COLOMBIA;N;0;No;Si, en efectivo;Todos o casi todos los días;1 o 2 veces por semana;Todos o casi todos los días;Tres;No sabe;Educación profesional completa;Estrato 2;0 A 10 LIBROS;3 a 4;Mejor;No;Si;No;Si;Si;Si;No;Si;Trabaja en el hogar, no trabaja o estudia;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);18;27;15;23;28;52;43;249;44;50;51;57
