periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_dedicacioninternet;estu_dedicacionlecturadiaria;estu_depto_presentacion;estu_depto_reside;estu_discapacidad;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_horassemanatrabaja;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_establecimiento;estu_nse_individual;estu_pais_reside;estu_pilopaga;estu_privado_libertad;estu_repite;estu_tieneetnia;estu_tiporemuneracion;fami_comecarnepescadohuevo;fami_comecerealfrutoslegumbre;fami_comelechederivados;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_situacioneconomica;fami_tieneautomovil;fami_tienecomputador;fami_tieneconsolavideojuegos;fami_tienehornomicroogas;fami_tieneinternet;fami_tienelavadora;fami_tienemotocicleta;fami_tieneserviciotv;fami_trabajolabormadre;fami_trabajolaborpadre;percentil_c_naturales;percentil_global;percentil_ingles;percentil_lectura_critica;percentil_matematicas;percentil_sociales_ciudadanas;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20181;SB11201810014186;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;108001076553;108001076553;8;8001;192922;ATLANTICO;MIXTO;NOCHE;BARRANQUILLA;OFICIAL;INSTITUCION EDUCATIVA DISTRITAL DE LAS NIEVES;I.E. DISTRITAL DE LAS NIEVES - SEDE PRINCIPAL;S;1;A-;2;1;1;N;8;8001;8;8001;Entre 30 y 60 minutos;30 minutos o menos;ATLANTICO;ATLANTICO;N;Ninguno;17/11/1999;M;26;0;53.443581;BARRANQUILLA;BARRANQUILLA;COLOMBIA;1;NSE3;COLOMBIA;NO;N;0;Si;No;3 a 5 veces por semana;1 o 2 veces por semana;1 o 2 veces por semana;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 1;11 A 25 LIBROS;3 a 4;Igual;;Si;No;Si;Si;Si;Si;No;Es vendedor o trabaja en atención al público;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);2;1;1;8;1;4;30;155;24;41;23;32
20181;SB11201810020607;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;108001004617;108001004617;8;8001;3483;ATLANTICO;MIXTO;NOCHE;BARRANQUILLA;OFICIAL;INSTITUCION EDUCATIVA DISTRITAL JOSE EUSEBIO CARO;INSTITUCION EDUCATIVA DISTRITAL JOSE EUSEBIO CARO - SEDE PRINCIPAL;S;2;A-;2;1;1;N;8;8001;8;8001;Más de 3 horas;Entre 30 y 60 minutos;ATLANTICO;ATLANTICO;N;;04/05/1998;F;26;Entre 11 y 20 horas;44.193588;BARRANQUILLA;BARRANQUILLA;COLOMBIA;2;NSE2;COLOMBIA;NO;N;0;No;Si, en efectivo;Todos o casi todos los días;Nunca o rara vez comemos eso;Nunca o rara vez comemos eso;Dos;Primaria incompleta;Ninguno;Estrato 4;0 A 10 LIBROS;3 a 4;Igual;No;Si;No;Si;No;Si;No;Si;No aplica;Es operario de máquinas o conduce vehículos (taxita, chofer);21;10;24;6;8;10;44;198;46;40;35;37
20181;SB11201810019090;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;108001076553;108001076553;8;8001;192922;ATLANTICO;MIXTO;NOCHE;BARRANQUILLA;OFICIAL;INSTITUCION EDUCATIVA DISTRITAL DE LAS NIEVES;I.E. DISTRITAL DE LAS NIEVES - SEDE PRINCIPAL;S;2;A2;3;3;2;N;8;8001;8;8001;Entre 1 y 3 horas;Más de 2 horas;ATLANTICO;ATLANTICO;N;Ninguno;05/08/1998;M;26;0;55.242188;BARRANQUILLA;BARRANQUILLA;COLOMBIA;1;NSE3;COLOMBIA;NO;N;0;Si;No;Todos o casi todos los días;1 o 2 veces por semana;Todos o casi todos los días;Dos;Técnica o tecnológica incompleta;Educación profesional incompleta;Estrato 2;11 A 25 LIBROS;5 a 6;Igual;No;Si;No;Si;Si;No;No;Si;Trabaja en el hogar, no trabaja o estudia;Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;37;40;47;44;35;41;52;270;60;58;51;53
20181;SB11201810010305;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;308137000207;308137000207;8;8137;121509;ATLANTICO;MIXTO;SABATINA;CAMPO DE LA CRUZ;NO OFICIAL;INSTITUTO SAGRADO CORAZON DE JESUS;INSTITUTO SAGRADO CORAZON DE JESUS;S;2;A-;2;2;1;N;8;8001;8;8560;Entre 1 y 3 horas;Entre 30 y 60 minutos;ATLANTICO;ATLANTICO;N;;10/12/1995;F;26;Entre 11 y 20 horas;38.707928;BARRANQUILLA;PONEDERA;COLOMBIA;2;NSE1;COLOMBIA;NO;N;0;No;Si, en efectivo;1 o 2 veces por semana;Nunca o rara vez comemos eso;1 o 2 veces por semana;Cuatro;Primaria incompleta;Primaria incompleta;Estrato 1;11 A 25 LIBROS;;Igual;No;No;No;No;No;Si;Si;No;Trabaja en el hogar, no trabaja o estudia;Trabaja por cuenta propia (por ejemplo plomero, electricista);24;12;11;4;18;14;45;205;37;38;42;40
20181;SB11201810009681;ESTUDIANTE;TI;URBANO;S;B;ACADÉMICO;308001000882;308001000882;8;8001;3046;ATLANTICO;MIXTO;COMPLETA;BARRANQUILLA;NO OFICIAL;CORP CULT COL ALEMAN;CORP CULT COL ALEMAN;S;3;B+;3;3;1;S;8;8001;8;8001;Entre 1 y 3 horas;No leo por entretenimiento;ATLANTICO;ATLANTICO;N;;15/05/2001;M;11;0;74.696236;BARRANQUILLA;BARRANQUILLA;COLOMBIA;4;NSE4;COLOMBIA;NO;N;0;No;No;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Tres;Educación profesional completa;Educación profesional completa;Estrato 5;26 A 100 LIBROS;3 a 4;Igual;Si;Si;Si;Si;Si;Si;No;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja como profesional (por ejemplo médico, abogado, ingeniero);61;37;85;25;53;2;62;263;82;51;59;29
20181;SB11201810021984;ESTUDIANTE;TI;URBANO;S;B;ACADÉMICO;308001007615;308001007615;8;8001;40154;ATLANTICO;MIXTO;COMPLETA;BARRANQUILLA;NO OFICIAL;COLEGIO LYNDON B. JOHNSON;COLEGIO LYNDON B. JOHNSON - SEDE PRINCIPAL;S;2;B1;3;4;1;S;8;8001;8;8001;Más de 3 horas;No leo por entretenimiento;ATLANTICO;ATLANTICO;N;;05/09/2000;M;11;0;56.032692;BARRANQUILLA;BARRANQUILLA;COLOMBIA;3;NSE3;COLOMBIA;NO;N;0;No;No;Todos o casi todos los días;Nunca o rara vez comemos eso;3 a 5 veces por semana;Dos;Educación profesional completa;No sabe;Estrato 5;11 A 25 LIBROS;1 a 2;Peor;No;Si;Si;No;Si;Si;No;Si;Trabaja en el hogar, no trabaja o estudia;No aplica;37;50;71;49;92;14;52;292;75;60;76;40
20181;SB11201810002666;ESTUDIANTE;TI;URBANO;S;B;ACADÉMICO;308001073952;308001073952;8;8573;118364;ATLANTICO;MIXTO;COMPLETA;PUERTO COLOMBIA;NO OFICIAL;COLEGIO ALTAMIRA;COLEGIO ALTAMIRA;S;3;B+;4;4;3;S;8;8001;8;8001;Más de 3 horas;Entre 30 y 60 minutos;ATLANTICO;ATLANTICO;N;;16/05/2000;M;11;0;70.681694;BARRANQUILLA;BARRANQUILLA;COLOMBIA;3;NSE4;COLOMBIA;NO;N;0;No;No;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Cinco;Educación profesional completa;Postgrado;Estrato 6;26 A 100 LIBROS;3 a 4;Mejor;Si;Si;Si;Si;Si;Si;No;Si;Trabaja en el hogar, no trabaja o estudia;Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;81;84;84;72;95;75;69;356;82;67;78;67
20181;SB11201810022799;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;108001076553;108001076553;8;8001;192922;ATLANTICO;MIXTO;NOCHE;BARRANQUILLA;OFICIAL;INSTITUCION EDUCATIVA DISTRITAL DE LAS NIEVES;I.E. DISTRITAL DE LAS NIEVES - SEDE PRINCIPAL;S;2;A-;2;2;2;N;8;8001;8;8001;Entre 1 y 3 horas;30 minutos o menos;ATLANTICO;ATLANTICO;N;Ninguno;23/02/1998;F;26;Entre 11 y 20 horas;42.833614;BARRANQUILLA;BARRANQUILLA;COLOMBIA;1;NSE2;COLOMBIA;NO;N;0;Si;Si, en efectivo;Todos o casi todos los días;1 o 2 veces por semana;3 a 5 veces por semana;Tres;Secundaria (Bachillerato) incompleta;Primaria incompleta;Estrato 2;0 A 10 LIBROS;7 a 8;Igual;No;No;No;Si;No;Si;No;No;Trabaja en el hogar, no trabaja o estudia;No aplica;16;20;17;23;19;27;42;225;42;50;42;47
20181;SB11201810024107;ESTUDIANTE;TI;URBANO;S;B;ACADÉMICO;308573000026;308573000026;8;8573;96131;ATLANTICO;MIXTO;COMPLETA;PUERTO COLOMBIA;NO OFICIAL;INSTITUTO PARA EL DESARROLLO DEL POTENCIAL HUMANO;INSTITUTO PARA EL DESARROLLO DEL POTENCIAL HUMANO;S;4;B+;4;4;4;S;8;8001;8;8573;Más de 3 horas;Entre 1 y 2 horas;ATLANTICO;ATLANTICO;N;;26/07/2002;F;11;0;83.580353;BARRANQUILLA;PUERTO COLOMBIA;COLOMBIA;3;NSE4;COLOMBIA;NO;N;0;No;No;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Seis o mas;Postgrado;Postgrado;Estrato 3;MÁS DE 100 LIBROS;5 a 6;Peor;Si;Si;Si;Si;Si;Si;No;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja como profesional (por ejemplo médico, abogado, ingeniero);89;99;92;96;94;100;72;408;85;76;77;100
20181;SB11201810038506;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;308001018021;308001018021;8;8001;84723;ATLANTICO;MIXTO;NOCHE;BARRANQUILLA;OFICIAL;INSTITUCION EDUCATIVA DISTRITAL DENIS HERRERA DE VILLA;INSTITUCION EDUCATIVA DISTRITAL DENIS HERRERA DE VILLA - SEDE PRINCIPAL;S;1;A-;2;3;1;N;8;8001;8;8001;30 minutos o menos;30 minutos o menos;ATLANTICO;ATLANTICO;N;;15/10/1999;M;26;Más de 30 horas;37.066956;BARRANQUILLA;BARRANQUILLA;COLOMBIA;2;NSE1;COLOMBIA;NO;N;0;No;Si, en efectivo;3 a 5 veces por semana;3 a 5 veces por semana;1 o 2 veces por semana;Dos;Primaria incompleta;Primaria incompleta;Estrato 1;0 A 10 LIBROS;5 a 6;Mejor;No;No;No;No;No;Si;No;No;Trabaja en el hogar, no trabaja o estudia;No aplica;2;8;4;13;36;2;32;192;31;45;51;28
