periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_dedicacioninternet;estu_dedicacionlecturadiaria;estu_depto_presentacion;estu_depto_reside;estu_discapacidad;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_horassemanatrabaja;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_establecimiento;estu_nse_individual;estu_pais_reside;estu_pilopaga;estu_privado_libertad;estu_repite;estu_tieneetnia;estu_tiporemuneracion;fami_comecarnepescadohuevo;fami_comecerealfrutoslegumbre;fami_comelechederivados;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_situacioneconomica;fami_tieneautomovil;fami_tienecomputador;fami_tieneconsolavideojuegos;fami_tienehornomicroogas;fami_tieneinternet;fami_tienelavadora;fami_tienemotocicleta;fami_tieneserviciotv;fami_trabajolabormadre;fami_trabajolaborpadre;percentil_c_naturales;percentil_global;percentil_ingles;percentil_lectura_critica;percentil_matematicas;percentil_sociales_ciudadanas;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20171;SB11201710038335;ESTUDIANTE;TI;URBANO;N;B;ACADÉMICO;311848002823;311848002823;11;11001;26369;BOGOTÁ;MIXTO;COMPLETA;BOGOTÁ D.C.;NO OFICIAL;GIMN DEL NORTE;GIMNASIO DEL NORTE;S;4;B+;4;4;4;S;11;11001;11;11001;Entre 1 y 3 horas;Entre 30 y 60 minutos;BOGOTÁ;BOGOTÁ;N;;24/09/1999;M;11;0;76.414841;BOGOTÁ D.C.;BOGOTÁ D.C.;BRASIL;4;NSE4;BRASIL;NO;N;0;No;No;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Tres;Postgrado;Postgrado;Estrato 4;26 A 100 LIBROS;3 a 4;Igual;Si;Si;Si;Si;Si;Si;No;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;93;96;96;97;87;97;75;383;93;76;72;78
20171;SB11201710018793;ESTUDIANTE;TI;URBANO;N;B;ACADÉMICO;311848000812;311848000812;11;11001;22574;BOGOTÁ;FEMENINO;COMPLETA;BOGOTÁ D.C.;NO OFICIAL;GIMNASIO FEMENINO;GIMNASIO FEMENINO;S;3;B+;4;3;4;S;11;11001;11;11001;Más de 3 horas;30 minutos o menos;BOGOTÁ;BOGOTÁ;N;;16/07/1999;F;11;0;74.34491;BOGOTÁ D.C.;BOGOTÁ D.C.;COLOMBIA;4;NSE4;COLOMBIA;NO;N;0;No;No;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Tres;Educación profesional completa;Educación profesional completa;Estrato 6;26 A 100 LIBROS;5 a 6;Igual;Si;Si;Si;Si;Si;Si;No;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja como profesional (por ejemplo médico, abogado, ingeniero);60;86;92;96;83;89;61;356;88;76;70;72
20171;SB11201710090556;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;311001051631;311001051631;11;11001;192708;BOGOTÁ;MIXTO;SABATINA;BOGOTÁ D.C.;NO OFICIAL;COLEGIO VIRTUAL SIGLO XXI;COLEGIO VIRTUAL SIGLO XXI;S;3;A-;3;3;3;N;11;11001;11;11001;;;BOGOTÁ;BOGOTÁ;N;;08/02/1999;M;11;;;BOGOTÁ D.C.;BOGOTÁ D.C.;COLOMBIA;4;;COLOMBIA;NO;N;0;;;;;;;;;Estrato 2;;;;;;;;;;;;;;55;52;27;57;49;61;59;290;45;60;56;61
20171;SB11201710031148;ESTUDIANTE;TI;URBANO;;B;ACADÉMICO;311001105375;311001105375;11;11001;177469;BOGOTÁ;MIXTO;COMPLETA;BOGOTÁ D.C.;NO OFICIAL;COL  MONTESSORI BRITISH SCHOOL;COL  MONTESSORI BRITISH SCHOOL;S;4;B+;4;4;3;S;11;11001;11;11001;Más de 3 horas;Entre 30 y 60 minutos;BOGOTÁ;BOGOTÁ;N;;25/11/1999;F;11;Menos de 10 horas;73.966103;BOGOTÁ D.C.;BOGOTÁ D.C.;COLOMBIA;4;NSE4;COLOMBIA;NO;N;0;No;Si, en efectivo;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Cuatro;Postgrado;Postgrado;Estrato 5;MÁS DE 100 LIBROS;5 a 6;Igual;Si;Si;Si;Si;Si;Si;No;Si;Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;No aplica;88;94;91;94;97;84;72;375;87;74;80;70
20171;SB11201710090550;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;311001051631;311001051631;11;11001;192708;BOGOTÁ;MIXTO;SABATINA;BOGOTÁ D.C.;NO OFICIAL;COLEGIO VIRTUAL SIGLO XXI;COLEGIO VIRTUAL SIGLO XXI;S;2;A2;3;2;3;N;11;11001;11;11001;;;BOGOTÁ;BOGOTÁ;N;;26/03/2000;F;11;;;BOGOTÁ D.C.;BOGOTÁ D.C.;COLOMBIA;4;;COLOMBIA;NO;N;0;;;;;;;;;Estrato 4;;;;;;;;;;;;;;34;50;59;57;36;71;51;287;67;60;50;65
20171;SB11201710090533;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;311001107599;311001107599;11;11001;108381;BOGOTÁ;MIXTO;MAÑANA;BOGOTÁ D.C.;NO OFICIAL;COLEGIO RETOS;COLEGIO RETOS - SEDE PRINCIPAL;S;2;B1;3;2;2;N;11;11001;11;11001;Entre 1 y 3 horas;30 minutos o menos;BOGOTÁ;BOGOTÁ;N;;27/03/1999;F;26;0;70.969421;BOGOTÁ D.C.;BOGOTÁ D.C.;COLOMBIA;4;NSE4;COLOMBIA;NO;N;0;No;No;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Dos;Educación profesional completa;Educación profesional completa;Estrato 5;11 A 25 LIBROS;1 a 2;Mejor;Si;Si;Si;Si;Si;Si;No;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;41;42;64;50;23;45;54;270;70;58;44;55
20171;SB11201710090532;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;311001107599;311001107599;11;11001;108381;BOGOTÁ;MIXTO;MAÑANA;BOGOTÁ D.C.;NO OFICIAL;COLEGIO RETOS;COLEGIO RETOS - SEDE PRINCIPAL;S;3;A1;3;3;2;N;11;11001;11;11001;Entre 1 y 3 horas;Entre 30 y 60 minutos;BOGOTÁ;BOGOTÁ;N;;20/06/1999;F;26;0;69.447174;BOGOTÁ D.C.;BOGOTÁ D.C.;COLOMBIA;4;NSE4;COLOMBIA;NO;N;0;No;No;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Tres;Educación profesional completa;Secundaria (Bachillerato) completa;Estrato 5;26 A 100 LIBROS;3 a 4;Igual;Si;Si;Si;Si;Si;Si;No;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;52;46;46;53;36;45;58;279;57;59;51;55
20171;SB11201710006500;ESTUDIANTE;CC;URBANO;S;B;ACADÉMICO;311769003474;311769003474;11;11001;19349;BOGOTÁ;MIXTO;COMPLETA;BOGOTÁ D.C.;NO OFICIAL;COLEGIO ANDINO;COLEGIO ANDINO;S;3;B1;3;4;4;S;11;11001;11;11001;Entre 1 y 3 horas;No leo por entretenimiento;BOGOTÁ;BOGOTÁ;N;;11/10/1998;M;11;0;73.303787;BOGOTÁ D.C.;BOGOTÁ D.C.;COLOMBIA;4;NSE4;COLOMBIA;NO;N;0;No;No;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Tres;Educación profesional completa;Educación profesional completa;Estrato 5;26 A 100 LIBROS;3 a 4;Igual;Si;Si;Si;Si;Si;Si;No;Si;No aplica;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);65;81;66;60;95;94;63;346;72;61;77;75
20171;SB11201710066047;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;311001094942;311001094942;11;11001;81224;BOGOTÁ;MIXTO;MAÑANA;BOGOTÁ D.C.;NO OFICIAL;CENT DE EDUC FORMAL ROBERT HOOKE;CENT DE EDUC FORMAL ROBERT HOOKE;S;1;A-;2;1;1;N;11;11001;11;11001;Más de 3 horas;No leo por entretenimiento;BOGOTÁ;BOGOTÁ;N;;14/06/1999;F;26;0;54.256126;BOGOTÁ D.C.;BOGOTÁ D.C.;COLOMBIA;3;NSE3;COLOMBIA;NO;N;0;No;No;Todos o casi todos los días;1 o 2 veces por semana;1 o 2 veces por semana;Cuatro;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 2;0 A 10 LIBROS;3 a 4;Igual;Si;No;Si;Si;Si;Si;No;Si;No sabe;Es vendedor o trabaja en atención al público;5;2;4;14;4;1;36;165;25;44;31;24
20171;SB11201710090521;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;311001107599;311001107599;11;11001;108381;BOGOTÁ;MIXTO;MAÑANA;BOGOTÁ D.C.;NO OFICIAL;COLEGIO RETOS;COLEGIO RETOS - SEDE PRINCIPAL;S;4;B1;4;3;4;N;11;11001;11;11001;Entre 1 y 3 horas;Entre 1 y 2 horas;BOGOTÁ;BOGOTÁ;N;;28/02/1999;M;26;0;56.12402;BOGOTÁ D.C.;BOGOTÁ D.C.;COLOMBIA;4;NSE3;COLOMBIA;NO;N;0;No;No;1 o 2 veces por semana;3 a 5 veces por semana;3 a 5 veces por semana;Tres;No sabe;No sabe;Estrato 3;26 A 100 LIBROS;3 a 4;Peor;Si;Si;No;No;Si;Si;No;Si;Es vendedor o trabaja en atención al público;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);97;92;66;91;83;94;78;369;72;72;70;76
