periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_dedicacioninternet;estu_dedicacionlecturadiaria;estu_depto_presentacion;estu_depto_reside;estu_discapacidad;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_horassemanatrabaja;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_establecimiento;estu_nse_individual;estu_pais_reside;estu_privado_libertad;estu_repite;estu_tieneetnia;estu_tiporemuneracion;fami_comecarnepescadohuevo;fami_comecerealfrutoslegumbre;fami_comelechederivados;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_situacioneconomica;fami_tieneautomovil;fami_tienecomputador;fami_tieneconsolavideojuegos;fami_tienehornomicroogas;fami_tieneinternet;fami_tienelavadora;fami_tienemotocicleta;fami_tieneserviciotv;fami_trabajolabormadre;fami_trabajolaborpadre;percentil_c_naturales;percentil_global;percentil_ingles;percentil_lectura_critica;percentil_matematicas;percentil_sociales_ciudadanas;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas;estu_grupoetnia
20251;SB11202510048663;ESTUDIANTE;TI;URBANA;;B;;311001800961;311001800961;11;11001;809202;BOGOTÁ;MIXTO;UNICA;BOGOTÁ D.C.;NO OFICIAL;COLEGIO INNOVA NIZA;COLEGIO INNOVA NIZA;S;3;B1;4;3;4;S;11;11001;11;11001;30 minutos o menos;Entre 30 y 60 minutos;BOGOTÁ;BOGOTÁ;N;;07/01/2009;F;11;0;65.487221;BOGOTÁ D.C.;BOGOTÁ D.C.;COLOMBIA;4;4;COLOMBIA;N;0;;No;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Cuatro;Educación profesional completa;Educación profesional incompleta;Estrato 3;11 A 25 LIBROS;3 a 4;Mejor;Si;Si;Si;Si;Si;Si;Si;Si;Trabaja en el hogar, no trabaja o estudia;Es vendedor o trabaja en atención al público;83;80;61;83;61;94;68;345;73;70;63;74;NINGUNO
20251;SB11202510044002;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;311001106673;311001106673;11;11001;169698;BOGOTÁ;MIXTO;MAÑANA;BOGOTÁ D.C.;NO OFICIAL;INSTITUTO FORMATES;INSTITUTO FORMATES;S;1;A-;2;1;1;N;11;11001;11;11001;;;BOGOTÁ;BOGOTÁ;N;;23/03/1991;F;11;Menos de 10 horas;;BOGOTÁ D.C.;BOGOTÁ D.C.;COLOMBIA;3;;COLOMBIA;N;0;;Si, en efectivo;;;;Uno;;;;;5 a 6;Igual;Si;Si;No;Si;;Si;No;;Es vendedor o trabaja en atención al público;Es operario de máquinas o conduce vehículos (taxita, chofer);17;6;3;6;5;18;40;179;30;37;30;38;NINGUNO
20251;SB11202510084466;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;311001109419;311001109419;11;11001;156398;BOGOTÁ;MIXTO;SABATINA;BOGOTÁ D.C.;NO OFICIAL;INSTITUTO DE EDUCACIÓN FORMAL DE ADULTOS EL PENSAMIENTO DE PITÁGORAS;INSTITUTO DE EDUCACIÓN FORMAL DE ADULTOS EL PENSAMIENTO DE PITÁGORAS - SEDE PRINCIPAL;S;2;A-;2;2;1;N;11;11001;11;11001;;;BOGOTÁ;BOGOTÁ;N;;24/04/2007;F;26;;;BOGOTÁ D.C.;BOGOTÁ D.C.;COLOMBIA;3;;COLOMBIA;N;0;;;;;;;;;;;;;;;;;;;;;;;22;12;16;8;10;18;43;196;42;39;36;38;NINGUNO
20251;SB11202510029934;ESTUDIANTE;TI;URBANO;;A;;311001110484;311001110484;11;11001;730317;BOGOTÁ;MIXTO;SABATINA;BOGOTÁ D.C.;NO OFICIAL;COLEGIO REAL LATINO;COLEGIO REAL LATINO - SEDE PRINCIPAL;S;2;A2;3;3;2;N;11;11001;11;11001;30 minutos o menos;30 minutos o menos;BOGOTÁ;BOGOTÁ;N;;02/03/2007;F;26;0;51.634876;BOGOTÁ D.C.;BOGOTÁ D.C.;COLOMBIA;2;3;COLOMBIA;N;0;;No;3 a 5 veces por semana;3 a 5 veces por semana;3 a 5 veces por semana;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 2;26 A 100 LIBROS;5 a 6;Peor;No;No;No;No;Si;Si;No;Si;No sabe;Es operario de máquinas o conduce vehículos (taxita, chofer);49;46;41;57;57;33;55;281;59;62;61;46;NINGUNO
20251;SB11202510012267;ESTUDIANTE;TI;URBANA;S;B;ACADÉMICO;311769000475;311769000475;11;11001;22632;BOGOTÁ;FEMENINO;COMPLETA;BOGOTÁ D.C.;NO OFICIAL;ASPAEN GIMNASIO IRAGUA;ASPAEN GIMNASIO IRAGUA;S;3;B1;4;3;3;S;11;11001;11;11001;Más de 3 horas;30 minutos o menos;BOGOTÁ;BOGOTÁ;N;;20/09/2006;F;11;Menos de 10 horas;79.824867;BOGOTÁ D.C.;BOGOTÁ D.C.;COLOMBIA;4;4;COLOMBIA;N;0;;Si, en efectivo;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Tres;Postgrado;Postgrado;Estrato 5;MÁS DE 100 LIBROS;3 a 4;Mejor;Si;Si;Si;Si;Si;Si;No;Si;Trabaja en el hogar, no trabaja o estudia;Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;49;64;70;77;74;54;56;317;77;68;69;56;NINGUNO
20251;SB11202510011176;ESTUDIANTE;TI;URBANA;S;B;ACADÉMICO;311769000866;311769000866;11;11001;19513;BOGOTÁ;FEMENINO;COMPLETA;BOGOTÁ D.C.;NO OFICIAL;FUNDACION NUEVO MARYMOUNT;FUND NUEVO MARYMOUNT                                                                                ;S;3;B+;4;3;3;S;11;11001;11;11001;30 minutos o menos;No leo por entretenimiento;BOGOTÁ;BOGOTÁ;N;;05/11/2007;F;11;0;78.085106;BOGOTÁ D.C.;BOGOTÁ D.C.;COLOMBIA;4;4;COLOMBIA;N;0;;No;Todos o casi todos los días;3 a 5 veces por semana;Todos o casi todos los días;Cuatro;Postgrado;Postgrado;Estrato 6;26 A 100 LIBROS;5 a 6;Igual;Si;Si;No;Si;Si;Si;Si;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja como profesional (por ejemplo médico, abogado, ingeniero);67;73;82;80;76;65;63;333;81;69;69;61;NINGUNO
20251;SB11202510008840;ESTUDIANTE;TI;URBANA;S;B;ACADÉMICO;311848000278;311848000278;11;11001;25130;BOGOTÁ;MIXTO;COMPLETA;BOGOTÁ D.C.;NO OFICIAL;GIMNASIO VERMONT;GIMN VERMONT                                                                                        ;S;4;B+;4;4;4;S;25;25899;11;11001;Entre 1 y 3 horas;Entre 30 y 60 minutos;CUNDINAMARCA;BOGOTÁ;N;;23/04/2007;M;11;0;74.244499;ZIPAQUIRÁ;BOGOTÁ D.C.;COLOMBIA;4;4;COLOMBIA;N;0;;No;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Tres;Educación profesional completa;Educación profesional completa;Estrato 5;26 A 100 LIBROS;3 a 4;Mejor;Si;Si;Si;Si;Si;Si;No;Si;Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;97;100;100;100;95;97;77;417;89;100;79;76;NINGUNO
20251;SB11202510066621;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;311001105839;311001105839;11;11001;747139;BOGOTÁ;MIXTO;SABATINA;BOGOTÁ D.C.;NO OFICIAL;INSTITUTO ANDINO DE BACHILLERATO Y CAPACITACION;INSTITUTO ANDINO DE BACHILLERATO Y CAPACITACION;S;4;B+;4;4;3;N;11;11001;11;11001;Entre 1 y 3 horas;30 minutos o menos;BOGOTÁ;BOGOTÁ;N;;04/06/2008;M;26;;69.491707;BOGOTÁ D.C.;BOGOTÁ D.C.;COLOMBIA;3;4;COLOMBIA;N;0;;;Todos o casi todos los días;3 a 5 veces por semana;Todos o casi todos los días;Tres;Postgrado;Técnica o tecnológica completa;Estrato 4;0 A 10 LIBROS;3 a 4;Mejor;Si;Si;Si;Si;Si;Si;No;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;94;89;85;81;93;75;74;363;82;70;78;65;NINGUNO
20251;SB11202510048512;ESTUDIANTE;CC;URBANO;;A;;311001800308;311001800308;11;11001;732479;BOGOTÁ;MIXTO;SABATINA;BOGOTÁ D.C.;NO OFICIAL;COLEGIO KUEPA CALLE 72;COLEGIO KUEPA CALLE 72 - SEDE PRINCIPAL;S;2;A2;3;2;2;N;25;25269;25;25430;Entre 30 y 60 minutos;No leo por entretenimiento;CUNDINAMARCA;CUNDINAMARCA;N;;16/09/2006;F;26;0;60.932388;FACATATIVÁ;MADRID;COLOMBIA;3;3;COLOMBIA;N;0;;Si, en efectivo;Todos o casi todos los días;1 o 2 veces por semana;Todos o casi todos los días;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 2;26 A 100 LIBROS;3 a 4;Mejor;Si;Si;No;Si;Si;Si;No;Si;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);33;35;39;41;31;36;48;253;58;56;49;47;NINGUNO
20251;SB11202510052114;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;311001091609;311001091609;11;11001;74476;BOGOTÁ;MIXTO;NOCHE;BOGOTÁ D.C.;NO OFICIAL;COL TRIANGULO CHAPINERO;COLEGIO TRIANGULO CHAPINERO;S;2;A1;3;3;2;N;11;11001;11;11001;No Navega Internet;30 minutos o menos;BOGOTÁ;BOGOTÁ;N;;13/03/2007;M;26;Menos de 10 horas;42.418846;BOGOTÁ D.C.;BOGOTÁ D.C.;COLOMBIA;3;2;COLOMBIA;N;0;;No;1 o 2 veces por semana;1 o 2 veces por semana;3 a 5 veces por semana;Dos;Técnica o tecnológica completa;No Aplica;Estrato 2;0 A 10 LIBROS;1 a 2;Igual;No;No;No;No;No;Si;No;No;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;Trabaja en el hogar, no trabaja o estudia;38;40;38;44;40;43;50;267;56;58;53;52;NINGUNO
