periodo;estu_consecutivo;estu_estudiante;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_ingles;desemp_profundiza_biologia;desemp_profundiza_csociales;desemp_profundiza_lenguaje;desemp_profundiza_matematica;estu_anomatriculaprimero;estu_anomatriculasexto;estu_anoscolegioactual;estu_anospreescolar;estu_anoterminobachiller;estu_anoterminoquinto;estu_antecedentes;estu_areareside;estu_cod_depto_presentacion;estu_cod_iesdeseada;estu_cod_mcpio_presentacion;estu_cod_mcpioiesdeseada;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_cuantoscolegioestudio;estu_depto_presentacion;estu_depto_reside;estu_etnia;estu_fechanacimiento;estu_genero;estu_iesdeseada;estu_instporamigosestudiando;estu_instporcostomatricula;estu_instporoportunidades;estu_instporotrarazon;estu_instporprestigio;estu_instporubicacion;estu_instporunicaqueofrece;estu_mcpio_presentacion;estu_mcpio_reside;estu_mcpioiesdeseada;estu_mesterminobachiller;estu_motivo_presentavalidacion;estu_nacionalidad;estu_pais_reside;estu_privado_libertad;estu_puesto;estu_razonretirocolegio;estu_reprobocuarto;estu_reprobodecimo;estu_reprobonoveno;estu_reprobooctavo;estu_reprobooncemas;estu_reproboprimero;estu_reproboquinto;estu_reprobosegundo;estu_reproboseptimo;estu_reprobosexto;estu_reprobotercero;estu_seretirocolegio;estu_tipocarreradeseada;estu_tipodocumento;estu_totalalumnoscurso;estu_trabajaactualmente;estu_valorpensioncolegio;estu_vecespresentoexamen;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_ingresofmiliarmensual;fami_nivelsisben;fami_ocupacionmadre;fami_ocupacionpadre;fami_personashogar;fami_pisoshogar;fami_telefono;fami_tiene_celular;fami_tiene_nevera;fami_tiene_serviciotv;fami_tieneautomovil;fami_tienecomputador;fami_tienedvd;fami_tienehorno;fami_tieneinternet;fami_tienelavadora;fami_tienemicroondas;punt_biologia;punt_ciencias_sociales;punt_filosofia;punt_fisica;punt_ingles;punt_interdisc_medioambiente;punt_interdisc_violenciaysoc;punt_lenguaje;punt_matematicas;punt_profundiza_biologia;punt_profundiza_csociales;punt_profundiza_lenguaje;punt_profundiza_matematica;punt_quimica
20111;SB11201110062649;ESTUDIANTE;URBANO;S;B;ACADÉMICO;413836000849;413836000849;13;13836;56010;BOLIVAR;MIXTO;COMPLETA;TURBACO;NO OFICIAL;COLEGIO MILITAR EL PINAR DE CANADA;COLEGIO MILITAR EL PINAR DE CANADA  - SEDE PRINCIPAL;S;A1;;;;;;;;;;;No;Cabecera Municipal;13;;13001;;13;13001;;BOLIVAR;BOLIVAR;;20/06/1994;F;;;;;;;;;CARTAGENA DE INDIAS;CARTAGENA DE INDIAS;;;;COLOMBIA;COLOMBIA;N;76;;;;;;;;;;;;;;;TI;;No;250.000 o más;Ninguna vez;Cuatro;Educación profesional completa;Educación profesional completa;Estrato 3;Entre 5 y menos de 7 SMLV;No está clasificada por el SISBEN;;Otra actividad u ocupación;Cinco;Cemento, gravilla, ladrillo;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;58.959999;51.110001;46.790001;53.68;51.009998;;52.580002;59.419998;80.879997;;;;;58.689999
20111;SB11201110062680;ESTUDIANTE;RURAL;S;B;ACADÉMICO;313836000348;313836000348;13;13001;27011;BOLIVAR;FEMENINO;COMPLETA;CARTAGENA DE INDIAS;NO OFICIAL;ASPAEN GIMNASIO CARTAGENA DE INDIAS;ASPAEN GIMNASIO CARTAGENA DE INDIAS;S;B+;;I;;;;;;;2011;;No;Cabecera Municipal;13;;13001;;13;13001;;BOLIVAR;BOLIVAR;Otro grupo étnico minoritario;23/12/1993;F;;;;;;;;;CARTAGENA DE INDIAS;CARTAGENA DE INDIAS;;;Para prepararse para el examen de Estado;COLOMBIA;COLOMBIA;N;49;;;;;;;;;;;;;;;TI;;No;250.000 o más;Ninguna vez;Tres;Educación profesional completa;Postgrado;Estrato 6;10 o más SMLV;No está clasificada por el SISBEN;Hogar;;Cinco;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;61.599998;57.529999;44.380001;51.27;83.410004;;;59.419998;80.879997;;5;;;54.540001
20111;SB11201110062672;ESTUDIANTE;RURAL;S;B;ACADÉMICO;313836000348;313836000348;13;13001;27011;BOLIVAR;FEMENINO;COMPLETA;CARTAGENA DE INDIAS;NO OFICIAL;ASPAEN GIMNASIO CARTAGENA DE INDIAS;ASPAEN GIMNASIO CARTAGENA DE INDIAS;S;B+;;;;;;;;;2011;;No;Cabecera Municipal;13;;13001;;13;13001;;BOLIVAR;BOLIVAR;;23/09/2001;F;;;;;;;;;CARTAGENA DE INDIAS;CARTAGENA DE INDIAS;;;;COLOMBIA;COLOMBIA;N;6;;;;;;;;;;;;;;;TI;;No;250.000 o más;Ninguna vez;Cuatro;Postgrado;Postgrado;Estrato 6;10 o más SMLV;No está clasificada por el SISBEN;Empleado de nivel técnico o profesional;Empresario;Seis;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;56.509998;57.279999;51.75;61.23;91.709999;;62.790001;77.010002;87.139999;;;;;61.02
20111;SB11201110062591;ESTUDIANTE;RURAL;N;B;ACADÉMICO;313836000623;313836000623;13;13001;49387;BOLIVAR;MIXTO;COMPLETA;CARTAGENA DE INDIAS;NO OFICIAL;ASPAEN GIMNASIO CARTAGENA;GIMNASIO CARTAGENA-ASPAEN;S;B+;;;;I;;;;;2011;;No;Cabecera Municipal;13;;13001;;13;13001;;BOLIVAR;BOLIVAR;;13/02/1993;M;;;;;;;;;CARTAGENA DE INDIAS;CARTAGENA DE INDIAS;;;;COLOMBIA;COLOMBIA;N;78;;;;;;;;;;;;;;;TI;;No;250.000 o más;Una Vez;Cuatro;Educación profesional completa;Postgrado;Estrato 5;Entre 5 y menos de 7 SMLV;No está clasificada por el SISBEN;Trabajador por cuenta propia;Otra actividad u ocupación;Seis;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;49.73;63.130001;62.759998;48.240002;83.410004;;;54.48;68.849998;;;;5.4000001;63.77
20111;SB11201110062490;ESTUDIANTE;URBANO;N;A;ACADÉMICO;313001028891;313001028891;13;13001;117432;BOLIVAR;MIXTO;MAÑANA;CARTAGENA DE INDIAS;NO OFICIAL;COLEGIO FERNANDO DE ARAGON DE CARTAGENA;COLEGIO FERNANDO DE ARAGON DE CARTAGENA;S;A-;;;;;;;;;;;No;Cabecera Municipal;13;;13001;;13;13001;;BOLIVAR;BOLIVAR;;17/12/1993;F;;;;;;;;;CARTAGENA DE INDIAS;CARTAGENA DE INDIAS;;;;COLOMBIA;COLOMBIA;N;954;;;;;;;;;;;;;;;TI;;No;Menos de 87.000;Ninguna vez;Tres;No sabe;No sabe;Estrato 1;Menos de 1 SMLV;Nivel 1;Trabajador por cuenta propia;Trabajador por cuenta propia;Cuatro;Cemento, gravilla, ladrillo;Si;No;Si;Si;No;No;Si;No;No;Si;No;36.119999;26.35;31.82;45.540001;36.060001;;36.029999;37.34;39.16;;;;;44.009998
20111;SB11201110062527;ESTUDIANTE;URBANO;N;A;ACADÉMICO;313001028891;313001028891;13;13001;117432;BOLIVAR;MIXTO;MAÑANA;CARTAGENA DE INDIAS;NO OFICIAL;COLEGIO FERNANDO DE ARAGON DE CARTAGENA;COLEGIO FERNANDO DE ARAGON DE CARTAGENA;S;A-;;;;;;;;;;;No;Cabecera Municipal;13;;13001;;13;13001;;BOLIVAR;BOLIVAR;;19/12/1992;M;;;;;;;;;CARTAGENA DE INDIAS;CARTAGENA DE INDIAS;;;;COLOMBIA;COLOMBIA;N;627;;;;;;;;;;;;;;;TI;;No;Menos de 87.000;Ninguna vez;Tres;No sabe;No sabe;Estrato 1;Menos de 1 SMLV;Nivel 1;Trabajador por cuenta propia;Trabajador por cuenta propia;Cuatro;Cemento, gravilla, ladrillo;Si;No;Si;Si;No;No;Si;No;No;Si;No;40.98;48.16;31.82;34.709999;41.43;49.060001;;48.439999;47.299999;;;;;42.099998
20111;SB11201110062512;ESTUDIANTE;URBANO;N;A;ACADÉMICO;313001028891;313001028891;13;13001;117432;BOLIVAR;MIXTO;MAÑANA;CARTAGENA DE INDIAS;NO OFICIAL;COLEGIO FERNANDO DE ARAGON DE CARTAGENA;COLEGIO FERNANDO DE ARAGON DE CARTAGENA;S;A-;;;;;;;;;;;No;Cabecera Municipal;13;;13001;;13;13001;;BOLIVAR;BOLIVAR;;24/11/1993;F;;;;;;;;;CARTAGENA DE INDIAS;CARTAGENA DE INDIAS;;;;COLOMBIA;COLOMBIA;N;659;;;;;;;;;;;;;;;TI;;No;Menos de 87.000;Ninguna vez;Tres;No sabe;No sabe;Estrato 1;Menos de 1 SMLV;Nivel 1;Trabajador por cuenta propia;Trabajador por cuenta propia;Cuatro;Cemento, gravilla, ladrillo;Si;No;Si;Si;No;No;Si;No;No;Si;No;38.630001;44.970001;39.349998;47.990002;42.759998;;52.580002;43.040001;44.689999;;;;;42.099998
20111;SB11201110062492;ESTUDIANTE;URBANO;N;A;ACADÉMICO;313001028891;313001028891;13;13001;117432;BOLIVAR;MIXTO;MAÑANA;CARTAGENA DE INDIAS;NO OFICIAL;COLEGIO FERNANDO DE ARAGON DE CARTAGENA;COLEGIO FERNANDO DE ARAGON DE CARTAGENA;S;A1;;;;;;;;;;;No;Cabecera Municipal;13;;13001;;13;13001;;BOLIVAR;BOLIVAR;;09/03/1993;M;;;;;;;;;CARTAGENA DE INDIAS;CARTAGENA DE INDIAS;;;;COLOMBIA;COLOMBIA;N;949;;;;;;;;;;;;;;;TI;;No;Menos de 87.000;Ninguna vez;Tres;No sabe;No sabe;Estrato 1;Menos de 1 SMLV;Nivel 1;Trabajador por cuenta propia;Trabajador por cuenta propia;Cuatro;Cemento, gravilla, ladrillo;Si;No;Si;Si;No;No;Si;No;No;Si;No;21.68;26.98;29;31.43;43.48;;32.5;53.509998;39.16;;;;;35.529999
20111;SB11201110062569;ESTUDIANTE;RURAL;N;B;ACADÉMICO;313836000623;313836000623;13;13001;49387;BOLIVAR;MIXTO;COMPLETA;CARTAGENA DE INDIAS;NO OFICIAL;ASPAEN GIMNASIO CARTAGENA;GIMNASIO CARTAGENA-ASPAEN;S;B+;;I;;;;;;;2011;;No;Cabecera Municipal;13;;13001;;13;13001;;BOLIVAR;BOLIVAR;;16/02/1993;M;;;;;;;;;CARTAGENA DE INDIAS;CARTAGENA DE INDIAS;;;;COLOMBIA;COLOMBIA;N;56;;;;;;;;;;;;;;;TI;;No;250.000 o más;Una Vez;Tres;Postgrado;Educación profesional incompleta;Estrato 5;Entre 7 y menos de 10 SMLV;No está clasificada por el SISBEN;;Trabajador por cuenta propia;Cuatro;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;51.869999;67.629997;53.709999;53.049999;87.559998;;;51.709999;81.169998;;5.5999999;;;58.889999
20111;SB11201110062505;ESTUDIANTE;URBANO;N;A;ACADÉMICO;313001028891;313001028891;13;13001;117432;BOLIVAR;MIXTO;MAÑANA;CARTAGENA DE INDIAS;NO OFICIAL;COLEGIO FERNANDO DE ARAGON DE CARTAGENA;COLEGIO FERNANDO DE ARAGON DE CARTAGENA;S;A-;;;;;;;;;;;No;Cabecera Municipal;13;;13001;;13;13001;;BOLIVAR;BOLIVAR;;22/06/1991;M;;;;;;;;;CARTAGENA DE INDIAS;CARTAGENA DE INDIAS;;;;COLOMBIA;COLOMBIA;N;847;;;;;;;;;;;;;;;CC;;No;Menos de 87.000;Una Vez;Tres;No sabe;No sabe;Estrato 1;Menos de 1 SMLV;Nivel 1;Trabajador por cuenta propia;Trabajador por cuenta propia;Cuatro;Cemento, gravilla, ladrillo;Si;No;Si;Si;No;No;No;Si;No;Si;No;38.630001;50.110001;29;37.68;38.080002;53.09;;34.759998;52.389999;;;;;44.009998
