periodo;estu_consecutivo;estu_estudiante;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_ingles;desemp_profundiza_biologia;desemp_profundiza_csociales;desemp_profundiza_lenguaje;desemp_profundiza_matematica;estu_anomatriculaprimero;estu_anomatriculasexto;estu_anoscolegioactual;estu_anospreescolar;estu_anoterminobachiller;estu_anoterminoquinto;estu_antecedentes;estu_areareside;estu_cod_depto_presentacion;estu_cod_iesdeseada;estu_cod_mcpio_presentacion;estu_cod_mcpioiesdeseada;estu_cod_programadeseado;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_cuantoscolegioestudio;estu_depto_presentacion;estu_depto_reside;estu_etnia;estu_expectativas;estu_fechanacimiento;estu_genero;estu_iesdeseada;estu_ingresar_prog_edusuperior;estu_instporamigosestudiando;estu_instporcostomatricula;estu_instporoportunidades;estu_instporotrarazon;estu_instporprestigio;estu_instporubicacion;estu_instporunicaqueofrece;estu_mcpio_presentacion;estu_mcpio_reside;estu_mcpioiesdeseada;estu_mesterminobachiller;estu_nacionalidad;estu_pais_reside;estu_privado_libertad;estu_progorientacionvocacional;estu_progporbuscandocarrera;estu_progporcolombiaaprende;estu_progporinfluenciaalguien;estu_progporinterespersonal;estu_progpormejorarposicsocial;estu_progportradicionfamiliar;estu_programadeseado;estu_puesto;estu_punt_esperado_ingles;estu_punt_esperado_lenguaje;estu_punt_esperado_matematicas;estu_razonretirocolegio;estu_recibesalario;estu_reprobocuarto;estu_reprobodecimo;estu_reprobonoveno;estu_reprobooctavo;estu_reprobooncemas;estu_reproboprimero;estu_reproboquinto;estu_reprobosegundo;estu_reproboseptimo;estu_reprobosexto;estu_reprobotercero;estu_salario_esperadobachiller;estu_salario_esperadoprofesi;estu_salario_esperadotecnico;estu_seretirocolegio;estu_tipocarreradeseada;estu_tipodocumento;estu_totalalumnoscurso;estu_trabajaactualmente;estu_valorpensioncolegio;estu_vecespresentoexamen;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_ingresofmiliarmensual;fami_nivelsisben;fami_ocupacionmadre;fami_ocupacionpadre;fami_personashogar;fami_pisoshogar;fami_telefono;fami_tiene_celular;fami_tiene_nevera;fami_tiene_serviciotv;fami_tieneautomovil;fami_tienecomputador;fami_tienedvd;fami_tienehorno;fami_tieneinternet;fami_tienelavadora;fami_tienemicroondas;punt_biologia;punt_ciencias_sociales;punt_filosofia;punt_fisica;punt_ingles;punt_interdisc_medioambiente;punt_interdisc_violenciaysoc;punt_lenguaje;punt_matematicas;punt_profundiza_biologia;punt_profundiza_csociales;punt_profundiza_lenguaje;punt_profundiza_matematica;punt_quimica;recaf_punt_c_naturales;recaf_punt_ingles;recaf_punt_lectura_critica;recaf_punt_matematicas;recaf_punt_sociales_ciudadanas
20141;SB11201410038389;ESTUDIANTE;RURAL;S;B;ACADÉMICO;313001004768;313001004768;13;13001;62455;BOLIVAR;MIXTO;COMPLETA;CARTAGENA;NO OFICIAL;COLEGIO BRITANICO DE CARTAGENA;COLEGIO BRITANICO DE CARTAGENA;S;B1;;;;;;;;;;;No;Cabecera Municipal;13;;13001;;;13;13001;;BOLIVAR;BOLIVAR;Ninguno;No;18/05/1996;F;;;;;;;;;;CARTAGENA DE INDIAS;CARTAGENA DE INDIAS;;;COLOMBIA;COLOMBIA;N;;;;;;;;;159;;;;;;;;;;;;;;;;;;;;;;TI;;No;250.000 o más;Ninguna vez;Dos;Educación profesional completa;Secundaria (Bachillerato) completa;Estrato 6;10 o más SMLV;No está clasificada por el SISBEN;Pensionado;Pequeño empresario;Tres;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;57;40;43;50;80;52;;55;69;;;;;76;71;82;53;77;49
20141;SB11201410002475;ESTUDIANTE;RURAL;N;B;ACADÉMICO;313836000623;313836000623;13;13001;49387;BOLIVAR;MIXTO;COMPLETA;CARTAGENA;NO OFICIAL;ASPAEN GIMNASIO CARTAGENA;GIMNASIO CARTAGENA-ASPAEN;S;B1;;;;II;;;;;;;No;Cabecera Municipal;13;;13001;;;13;13001;;BOLIVAR;BOLIVAR;Ninguno;No;05/02/1997;M;;;;;;;;;;CARTAGENA DE INDIAS;CARTAGENA DE INDIAS;;;COLOMBIA;COLOMBIA;N;;;;;;;;;11;;;;;;;;;;;;;;;;;;;;;;TI;;No;250.000 o más;Ninguna vez;Tres;Postgrado;Postgrado;Estrato 6;10 o más SMLV;No está clasificada por el SISBEN;Empleado de nivel directivo;Empleado de nivel directivo;Tres;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;59;56;58;74;80;;;60;108;;;;6;70;75;82;71;89;62
20141;SB11201410010056;ESTUDIANTE;URBANO;S;B;ACADÉMICO;313001003931;313001003931;13;13001;4234;BOLIVAR;MIXTO;COMPLETA;CARTAGENA;NO OFICIAL;COLEGIO JORGE WASHINGTON;COLEGIO JORGE WASHINGTON - SEDE PRINCIPAL;S;B+;;II;;;;;;;;;No;Cabecera Municipal;13;;13001;;;13;13001;;BOLIVAR;BOLIVAR;Ninguno;No;23/03/1996;F;;;;;;;;;;CARTAGENA DE INDIAS;CARTAGENA DE INDIAS;;;COLOMBIA;COLOMBIA;N;;;;;;;;;75;;;;;;;;;;;;;;;;;;;;;;TI;;No;250.000 o más;Ninguna vez;Cuatro;Educación profesional completa;Educación profesional completa;Estrato 6;10 o más SMLV;No está clasificada por el SISBEN;Empleado de nivel técnico o profesional;Empresario;Siete;Cemento, gravilla, ladrillo;Si;Si;No;Si;Si;No;Si;No;Si;No;Si;44;65;51;59;89;;;60;63;;6;;;58;61;90;63;72;69
20141;SB11201410010038;ESTUDIANTE;URBANO;S;B;ACADÉMICO;313001003931;313001003931;13;13001;4234;BOLIVAR;MIXTO;COMPLETA;CARTAGENA;NO OFICIAL;COLEGIO JORGE WASHINGTON;COLEGIO JORGE WASHINGTON - SEDE PRINCIPAL;S;B1;;;;;;;;;;;No;Area Rural;13;;13001;;;13;13001;;BOLIVAR;BOLIVAR;;No;16/09/1995;M;;;;;;;;;;CARTAGENA DE INDIAS;CARTAGENA DE INDIAS;;;COLOMBIA;COLOMBIA;N;;;;;;;;;169;;;;;;;;;;;;;;;;;;;;;;CC;;No;250.000 o más;Ninguna vez;Tres;Educación profesional completa;Educación profesional completa;Estrato 6;10 o más SMLV;No está clasificada por el SISBEN;Empresario;Empresario;Cuatro;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;50;59;42;64;75;;60;51;53;;;;;58;68;78;49;57;64
20141;SB11201410038367;ESTUDIANTE;RURAL;S;B;ACADÉMICO;313001004768;313001004768;13;13001;62455;BOLIVAR;MIXTO;COMPLETA;CARTAGENA;NO OFICIAL;COLEGIO BRITANICO DE CARTAGENA;COLEGIO BRITANICO DE CARTAGENA;S;B+;;;;;;;;;;;No;Cabecera Municipal;13;;13001;;;13;13001;;BOLIVAR;BOLIVAR;Ninguno;No;30/03/1996;M;;;;;;;;;;CARTAGENA DE INDIAS;CARTAGENA DE INDIAS;;;COLOMBIA;COLOMBIA;N;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;TI;;No;250.000 o más;Ninguna vez;Tres;Educación profesional completa;Educación profesional incompleta;Estrato 6;Entre 7 y menos de 10 SMLV;No está clasificada por el SISBEN;Empleado con cargo como director o gerente general;Empresario;Cinco;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;70;70;75;93;89;;65;56;82;;;;;77;93;90;62;91;73
20141;SB11201410038361;ESTUDIANTE;RURAL;S;B;ACADÉMICO;313001004768;313001004768;13;13001;62455;BOLIVAR;MIXTO;COMPLETA;CARTAGENA;NO OFICIAL;COLEGIO BRITANICO DE CARTAGENA;COLEGIO BRITANICO DE CARTAGENA;S;B1;;;;;;;;;;;No;Cabecera Municipal;13;;13001;;;13;13001;;BOLIVAR;BOLIVAR;Ninguno;No;30/12/1995;M;;;;;;;;;;CARTAGENA DE INDIAS;CARTAGENA DE INDIAS;;;COLOMBIA;COLOMBIA;N;;;;;;;;;111;;;;;;;;;;;;;;;;;;;;;;CC;;No;250.000 o más;Ninguna vez;Tres;Educación profesional completa;Postgrado;Estrato 6;10 o más SMLV;No está clasificada por el SISBEN;Hogar;Empleado con cargo como director o gerente general;Cuatro;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;57;57;34;89;77;;53;51;77;;;;;60;78;80;55;77;59
20141;SB11201410002462;ESTUDIANTE;RURAL;N;B;ACADÉMICO;313836000623;313836000623;13;13001;49387;BOLIVAR;MIXTO;COMPLETA;CARTAGENA;NO OFICIAL;ASPAEN GIMNASIO CARTAGENA;GIMNASIO CARTAGENA-ASPAEN;S;B+;;;;;2002;2008;8 años;Tres;;2007;Si;Cabecera Municipal;13;9006;13001;152;45;13;13001;Dos colegios;BOLIVAR;BOLIVAR;Ninguno;No;19/03/1997;M;PONTIFICIA UNIVERSIDAD JAVERIANA-BOGOTÁ D.C.;;Si;Si;Si;No;Si;No;No;CARTAGENA DE INDIAS;CARTAGENA DE INDIAS;BOGOTÁ D.C.;;COLOMBIA;COLOMBIA;N;Si;Si;Si;Si;Si;Si;Si;MEDICINA;3;;;;;;No;No;No;No;No;No;No;No;No;No;No;;;;No;Profesional;TI;35;No;250.000 o más;Una vez;Tres;Postgrado;Postgrado;Estrato 6;10 o más SMLV;No está clasificada por el SISBEN;Empleado de nivel directivo;Empleado de nivel directivo;Cuatro;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;75;57;70;82;100;;60;75;73;;;;;88;93;100;89;79;68
20141;SB11201410081825;ESTUDIANTE;URBANO;N;A;ACADÉMICO;313001028891;313001028891;13;13001;117432;BOLIVAR;MIXTO;MAÑANA;CARTAGENA;NO OFICIAL;COLEGIO FERNANDO DE ARAGON DE CARTAGENA;COLEGIO FERNANDO DE ARAGON DE CARTAGENA;S;A-;;;;;;;;;;;No;Cabecera Municipal;13;;13001;;;13;13001;;BOLIVAR;BOLIVAR;Ninguno;No;11/11/1997;F;;;;;;;;;;CARTAGENA DE INDIAS;CARTAGENA DE INDIAS;;;COLOMBIA;COLOMBIA;N;;;;;;;;;998;;;;;;;;;;;;;;;;;;;;;;TI;;No;Menos de 87.000;Ninguna vez;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 2;Menos de 1 SMLV;Nivel 2;Hogar;Pequeño empresario;Dos;Cemento, gravilla, ladrillo;No;Si;Si;No;No;No;No;No;No;No;No;42;0;41;36;37;50;;0;34;;;;;24;40;42;0;37;0
20141;SB11201410038363;ESTUDIANTE;RURAL;S;B;ACADÉMICO;313001004768;313001004768;13;13001;62455;BOLIVAR;MIXTO;COMPLETA;CARTAGENA;NO OFICIAL;COLEGIO BRITANICO DE CARTAGENA;COLEGIO BRITANICO DE CARTAGENA;S;B+;;;;;;;;;;;No;Cabecera Municipal;13;;13001;;;13;13001;;BOLIVAR;BOLIVAR;Ninguno;No;16/07/1996;F;;;;;;;;;;CARTAGENA DE INDIAS;CARTAGENA DE INDIAS;;;ESTADOS UNIDOS;ESTADOS UNIDOS;N;;;;;;;;;38;;;;;;;;;;;;;;;;;;;;;;PE;;No;250.000 o más;Ninguna vez;Cinco;Postgrado;Educación profesional completa;Estrato 6;10 o más SMLV;No está clasificada por el SISBEN;Hogar;Empleado con cargo como director o gerente general;Cinco;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;66;59;49;68;89;;60;54;84;;;;;58;74;90;59;77;69
20141;SB11201410009583;ESTUDIANTE;RURAL;S;B;ACADÉMICO;313836000348;313836000348;13;13001;27011;BOLIVAR;FEMENINO;COMPLETA;CARTAGENA;NO OFICIAL;ASPAEN GIMNASIO CARTAGENA DE INDIAS;ASPAEN GIMNASIO CARTAGENA DE INDIAS;S;B+;;;;;;;;;;;No;Cabecera Municipal;13;;13001;;;13;13001;;BOLIVAR;BOLIVAR;Ninguno;No;31/10/1996;F;;;;;;;;;;CARTAGENA DE INDIAS;CARTAGENA DE INDIAS;;;COLOMBIA;COLOMBIA;N;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;TI;;No;250.000 o más;Ninguna vez;Dos;Postgrado;Postgrado;Estrato 6;Entre 7 y menos de 10 SMLV;No está clasificada por el SISBEN;Hogar;Profesional independiente;Tres;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;67;70;73;68;94;;60;66;93;;;;;89;84;95;74;100;76
