periodo;estu_consecutivo;estu_estudiante;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_ingles;desemp_profundiza_biologia;desemp_profundiza_csociales;desemp_profundiza_lenguaje;desemp_profundiza_matematica;estu_anoterminobachiller;estu_areareside;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_depto_presentacion;estu_depto_reside;estu_etnia;estu_fechanacimiento;estu_genero;estu_mcpio_presentacion;estu_mcpio_reside;estu_mesterminobachiller;estu_motivo_presentavalidacion;estu_nacionalidad;estu_pais_reside;estu_privado_libertad;estu_puesto;estu_tipodocumento;estu_trabajaactualmente;estu_valorpensioncolegio;estu_vecespresentoexamen;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_ingresofmiliarmensual;fami_nivelsisben;fami_ocupacionmadre;fami_ocupacionpadre;fami_personashogar;fami_pisoshogar;fami_telefono;fami_tiene_celular;fami_tiene_nevera;fami_tiene_serviciotv;fami_tieneautomovil;fami_tienecomputador;fami_tienedvd;fami_tienehorno;fami_tieneinternet;fami_tienelavadora;fami_tienemicroondas;punt_biologia;punt_ciencias_sociales;punt_filosofia;punt_fisica;punt_ingles;punt_interdisc_medioambiente;punt_interdisc_violenciaysoc;punt_lenguaje;punt_matematicas;punt_profundiza_biologia;punt_profundiza_csociales;punt_profundiza_lenguaje;punt_profundiza_matematica;punt_quimica
20101;SB11201010098020;ESTUDIANTE;URBANO;N;A;TÉCNICO;115664000123;115664000123;15;15664;150029;BOYACA;MIXTO;SABATINA;SAN JOSÉ DE PARE;OFICIAL;IE HORIZONTES;IE HORIZONTES - SEDE PRINCIPAL;S;A-;;I;;;2010;Area Rural;15;15469;15;15664;BOYACA;BOYACA;;17/12/1956;F;MONIQUIRÁ;SAN JOSÉ DE PARE;Mayo;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;936;CC;No;No paga Pensión;Ninguna vez;Dos;Primaria incompleta;Primaria incompleta;Estrato 2;Menos de 1 SMLV;Nivel 3;Hogar;Trabajador por cuenta propia;Tres;Cemento, gravilla, ladrillo;No;Si;Si;Si;Si;No;No;No;No;No;No;41.75;48.369999;51.419998;11.73;41.610001;;45.119999;36.169998;49.549999;;5.6999998;;;43.400002
20101;SB11201010098006;ESTUDIANTE;URBANO;N;A;TÉCNICO;115664000123;115664000123;15;15664;150029;BOYACA;MIXTO;SABATINA;SAN JOSÉ DE PARE;OFICIAL;IE HORIZONTES;IE HORIZONTES - SEDE PRINCIPAL;S;A-;;GB;;;2010;Area Rural;15;15469;15;15051;BOYACA;BOYACA;;22/09/1958;F;MONIQUIRÁ;ARCABUCO;Mayo;Otro;COLOMBIA;COLOMBIA;N;890;CC;Si, menos de 20 horas a la semana;No paga Pensión;Ninguna vez;Dos;Ninguno;Ninguno;Estrato 2;Menos de 1 SMLV;Nivel 2;Otra actividad u ocupación;Otra actividad u ocupación;Cuatro;Cemento, gravilla, ladrillo;No;Si;Si;No;No;No;No;No;No;No;No;45.639999;39.580002;28.68;48.619999;38.779999;;39.41;44.419998;37.360001;;3.8;;;39.759998
20101;SB11201010119244;ESTUDIANTE;URBANO;N;A;ACADÉMICO;315176001097;315176001097;15;15176;111732;BOYACA;MIXTO;SABATINA;CHIQUINQUIRÁ;NO OFICIAL;CORPORACION SANTO DOMINGO;CORPORACION SANTO DOMINGO;S;A-;GB;;;;2010;Cabecera Municipal;15;15001;15;15176;BOYACA;BOYACA;;02/06/1993;M;TUNJA;CHIQUINQUIRÁ;Junio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;560;TI;No;Menos de 87.000;Ninguna vez;Cuatro;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 1;Entre 1 y menos de 2 SMLV;Nivel 2;Hogar;Trabajador por cuenta propia;Tres;Cemento, gravilla, ladrillo;No;Si;Si;No;No;Si;Si;Si;No;Si;No;43.610001;39.02;43.150002;40.060001;35.25;;35.93;50.619999;49.52;4.0999999;;;;47.049999
20101;SB11201010098295;ESTUDIANTE;URBANO;N;A;ACADÉMICO;315238001758;315238001758;15;15238;86199;BOYACA;MIXTO;NOCHE;DUITAMA;NO OFICIAL;INST. GESTION INFORMATICA Y GUIA ACADEMICA - GIGA;INST. GESTION INFORMATICA Y GUIA ACADEMICA - GIGA;S;A-;I;;;;2010;Cabecera Municipal;15;15759;15;15238;BOYACA;BOYACA;;31/12/1991;M;SOGAMOSO;DUITAMA;Junio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;867;CC;No;Menos de 87.000;Ninguna vez;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 2;Entre 2 y menos de 3 SMLV;No está clasificada por el SISBEN;Hogar;Empleado obrero u operario;Seis;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;43.610001;41.27;43.150002;32.84;26.09;49.290001;;44.169998;40.779999;5.5999999;;;;32.630001
20101;SB11201010098062;ESTUDIANTE;URBANO;N;A;TÉCNICO;115664000123;115664000123;15;15664;150029;BOYACA;MIXTO;SABATINA;SAN JOSÉ DE PARE;OFICIAL;IE HORIZONTES;IE HORIZONTES - SEDE PRINCIPAL;S;A-;;GB;;;2010;Cabecera Municipal;15;15469;15;15686;BOYACA;BOYACA;;13/08/1978;F;MONIQUIRÁ;SANTANA;Mayo;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;897;CC;Si, menos de 20 horas a la semana;No paga Pensión;Ninguna vez;Tres;Primaria completa;Primaria completa;Estrato 2;Menos de 1 SMLV;Nivel 1;Hogar;Trabajador por cuenta propia;Cinco;Cemento, gravilla, ladrillo;Si;No;Si;Si;No;No;No;No;No;No;No;31.200001;39.580002;37.23;39.450001;28.639999;;45.119999;46.68;37.560001;;4.3000002;;;39.610001
20101;SB11201010119876;ESTUDIANTE;URBANO;N;A;TÉCNICO/ACADÉMICO;115407000023;115407000023;15;15407;150037;BOYACA;MIXTO;SABATINA;VILLA DE LEYVA;OFICIAL;I.E. TEC Y ACAD ANTONIO NARIÑO;I.E. TECNICA Y ACADEMICA ANTONIO NARIÑO - SEDE PRINCIPAL;S;A-;GB;;;;2010;Cabecera Municipal;15;15001;15;15407;BOYACA;BOYACA;;17/02/1964;F;TUNJA;VILLA DE LEYVA;Abril;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;820;CC;Si, 20 horas o más a la semana;Entre 87.000 y menos de 120.000;Ninguna vez;Dos;Primaria incompleta;Primaria incompleta;Estrato 6;Menos de 1 SMLV;Nivel 2;Hogar;Profesional independiente;Tres;Cemento, gravilla, ladrillo;No;Si;Si;No;No;No;No;No;No;No;No;41.75;47.540001;51.419998;21.52;28.639999;49.290001;;46.439999;43.990002;5;;;;41.560001
20101;SB11201010098386;ESTUDIANTE;RURAL;N;A;ACADÉMICO;415238001664;415238001664;15;15238;108316;BOYACA;MIXTO;SABATINA;DUITAMA;NO OFICIAL;COLEGIO DE BACHILLERATO NUEVA ESPERANZA;COLEGIO DE BACHILLERATO NUEVA ESPERANZA;S;A1;GB;;;;2010;Cabecera Municipal;15;15759;15;15238;BOYACA;BOYACA;;11/06/1996;F;SOGAMOSO;DUITAMA;Julio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;243;TI;No;No paga Pensión;Ninguna vez;Cuatro;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 2;Entre 1 y menos de 2 SMLV;Nivel 2;Hogar;Trabajador por cuenta propia;Cuatro;Cemento, gravilla, ladrillo;No;Si;Si;No;No;Si;No;No;No;No;No;43.869999;55.490002;46.23;45.299999;44.919998;51.470001;;58.490002;57.290001;4.5999999;;;;39.610001
20101;SB11201010093639;ESTUDIANTE;URBANO;N;A;ACADÉMICO;315238001740;315238001740;15;15238;111138;BOYACA;MIXTO;MAÑANA;DUITAMA;NO OFICIAL;INST SOLUCION EDUCATIVA SOLED;INST SOLUCION EDUCATIVA SOLED;S;A2;GB;;;;2010;Cabecera Municipal;15;15001;15;15238;BOYACA;BOYACA;;08/07/1992;F;TUNJA;DUITAMA;Julio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;651;TI;No;Menos de 87.000;Una Vez;Dos;Postgrado;No sabe;Estrato 2;Entre 1 y menos de 2 SMLV;Nivel 1;Empleado obrero u operario;Empleado obrero u operario;Tres;Cemento, gravilla, ladrillo;No;Si;Si;Si;Si;Si;No;No;No;Si;No;47.860001;43.43;51.419998;45.299999;53.32;53.639999;;48.57;33.720001;5;;;;50.259998
20101;SB11201010093630;ESTUDIANTE;URBANO;N;A;ACADÉMICO;315238001740;315238001740;15;15238;111138;BOYACA;MIXTO;MAÑANA;DUITAMA;NO OFICIAL;INST SOLUCION EDUCATIVA SOLED;INST SOLUCION EDUCATIVA SOLED;S;A-;;I;;;2010;Cabecera Municipal;15;15001;15;15238;BOYACA;BOYACA;;25/01/1995;F;TUNJA;DUITAMA;Julio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;913;TI;No;Menos de 87.000;Ninguna vez;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 2;Entre 2 y menos de 3 SMLV;Nivel 1;Trabajador por cuenta propia;Trabajador por cuenta propia;Tres;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;Si;No;Si;Si;Si;Si;No;Si;Si;36.790001;39.580002;43.150002;36.700001;40.279999;50.779999;;36.169998;40.779999;;5.6999998;;;43.560001
20101;SB11201010097997;ESTUDIANTE;URBANO;N;A;TÉCNICO;115664000123;115664000123;15;15664;150029;BOYACA;MIXTO;SABATINA;SAN JOSÉ DE PARE;OFICIAL;IE HORIZONTES;IE HORIZONTES - SEDE PRINCIPAL;S;A-;;GB;;;2010;Area Rural;15;15469;15;15051;BOYACA;BOYACA;;03/07/1987;F;MONIQUIRÁ;ARCABUCO;Mayo;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;631;CC;Si, menos de 20 horas a la semana;No paga Pensión;Ninguna vez;Dos;Primaria completa;Primaria completa;Estrato 2;Menos de 1 SMLV;Nivel 2;Hogar;Trabajador por cuenta propia;Cuatro;Cemento, gravilla, ladrillo;No;Si;Si;No;No;No;No;No;No;No;No;39.490002;46.27;46.23;45.299999;38.779999;;39.41;48.810001;40.93;;4.6999998;;;39.610001
