periodo;estu_consecutivo;estu_estudiante;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_ingles;desemp_profundiza_biologia;desemp_profundiza_csociales;desemp_profundiza_lenguaje;desemp_profundiza_matematica;estu_anomatriculaprimero;estu_anomatriculasexto;estu_anoscolegioactual;estu_anospreescolar;estu_anoterminobachiller;estu_anoterminoquinto;estu_antecedentes;estu_areareside;estu_cod_depto_presentacion;estu_cod_iesdeseada;estu_cod_mcpio_presentacion;estu_cod_mcpioiesdeseada;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_cuantoscolegioestudio;estu_depto_presentacion;estu_depto_reside;estu_etnia;estu_fechanacimiento;estu_genero;estu_iesdeseada;estu_instporamigosestudiando;estu_instporcostomatricula;estu_instporoportunidades;estu_instporotrarazon;estu_instporprestigio;estu_instporubicacion;estu_instporunicaqueofrece;estu_mcpio_presentacion;estu_mcpio_reside;estu_mcpioiesdeseada;estu_mesterminobachiller;estu_motivo_presentavalidacion;estu_nacionalidad;estu_pais_reside;estu_privado_libertad;estu_puesto;estu_razonretirocolegio;estu_reprobocuarto;estu_reprobodecimo;estu_reprobonoveno;estu_reprobooctavo;estu_reprobooncemas;estu_reproboprimero;estu_reproboquinto;estu_reprobosegundo;estu_reproboseptimo;estu_reprobosexto;estu_reprobotercero;estu_seretirocolegio;estu_tipocarreradeseada;estu_tipodocumento;estu_totalalumnoscurso;estu_trabajaactualmente;estu_valorpensioncolegio;estu_vecespresentoexamen;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_ingresofmiliarmensual;fami_nivelsisben;fami_ocupacionmadre;fami_ocupacionpadre;fami_personashogar;fami_pisoshogar;fami_telefono;fami_tiene_celular;fami_tiene_nevera;fami_tiene_serviciotv;fami_tieneautomovil;fami_tienecomputador;fami_tienedvd;fami_tieneinternet;fami_tienelavadora;fami_tienemicroondas;punt_biologia;punt_ciencias_sociales;punt_filosofia;punt_fisica;punt_ingles;punt_interdisc_medioambiente;punt_interdisc_violenciaysoc;punt_lenguaje;punt_matematicas;punt_profundiza_biologia;punt_profundiza_csociales;punt_profundiza_lenguaje;punt_profundiza_matematica;punt_quimica;recaf_punt_c_naturales;recaf_punt_ingles;recaf_punt_lectura_critica;recaf_punt_matematicas;recaf_punt_sociales_ciudadanas
20121;SB11201210072887;ESTUDIANTE;URBANO;;A;ACADÉMICO;315001003691;315001003691;15;15001;126870;BOYACA;MIXTO;MAÑANA;TUNJA;NO OFICIAL;CENTRO EDUCATIVO SAN AGUSTIN;CENTRO EDUCATIVO SAN AGUSTIN - SEDE PRINCIPAL;S;A-;GB;;;;;;;;;;No;Cabecera Municipal;15;;15001;;15;15001;;BOYACA;BOYACA;Ninguno;21/07/1994;F;;;;;;;;;TUNJA;TUNJA;;;;COLOMBIA;COLOMBIA;N;783;;;;;;;;;;;;;;;TI;;Si, 20 horas o más a la semana;Menos de 87.000;Ninguna vez;Uno;Ninguno;Secundaria (Bachillerato) incompleta;Estrato 1;Menos de 1 SMLV;Nivel 1;Hogar;Otra actividad u ocupación;Una;Cemento, gravilla, ladrillo;Si;Si;No;No;No;No;No;No;No;No;42;40;29;45;29;;;50;43;4;;;;32;37;36;49;46;43
20121;SB11201210075501;ESTUDIANTE;URBANO;;A;ACADÉMICO;315759002645;315759002645;15;15759;136978;BOYACA;MIXTO;SABATINA;SOGAMOSO;NO OFICIAL;INSTITUCION EDUCATIVA NUEVA GRANADA;INSTITUCION EDUCATIVA NUEVA GRANADA - SEDE PRINCIPAL;S;A-;;;;I;;;;;;;No;Cabecera Municipal;15;;15759;;15;15759;;BOYACA;BOYACA;Ninguno;04/08/1994;M;;;;;;;;;SOGAMOSO;SOGAMOSO;;;;COLOMBIA;COLOMBIA;N;870;;;;;;;;;;;;;;;TI;;No;Menos de 87.000;Ninguna vez;Cuatro;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 2;Entre 1 y menos de 2 SMLV;Nivel 2;Empleado obrero u operario;Empleado obrero u operario;Tres;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;Si;Si;Si;Si;Si;Si;Si;Si;44;33;41;36;31;;;44;37;;;;5;44;48;38;53;44;38
20121;SB11201210075537;ESTUDIANTE;URBANO;N;A;ACADÉMICO;315238001642;315238001642;15;15238;100297;BOYACA;MIXTO;MAÑANA;DUITAMA;NO OFICIAL;COLEGIO BOSTON;COLEGIO BOSTON;S;A-;;;;;;;;;;;No;Cabecera Municipal;15;1704;15759;11001;15;15238;;BOYACA;BOYACA;;19/07/1992;M;UNIVERSIDAD SANTO TOMAS;;;;;;;;SOGAMOSO;DUITAMA;BOGOTÁ D.C.;;;COLOMBIA;COLOMBIA;N;359;;;;;;;;;;;;;;;CC;;Si, menos de 20 horas a la semana;Menos de 87.000;Una Vez;Cuatro;Secundaria (Bachillerato) incompleta;Primaria completa;Estrato 2;Entre 1 y menos de 2 SMLV;Nivel 1;Hogar;Trabajador por cuenta propia;Cinco;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;Si;No;No;No;Si;No;Si;No;49;46;40;48;43;;54;52;52;;;;;43;44;48;54;53;48
20121;SB11201210072749;ESTUDIANTE;URBANO;N;A;ACADÉMICO;315001003632;315001003632;15;15001;86231;BOYACA;MIXTO;MAÑANA;TUNJA;NO OFICIAL;INSTITUTO SAN FERNANDO FERRINI;INSTITUTO SAN FERNANDO FERRINI;S;A-;;;;;;;;;;;No;Cabecera Municipal;15;;15001;;15;15001;;BOYACA;BOYACA;Ninguno;10/10/1994;M;;;;;;;;;TUNJA;TUNJA;;;;COLOMBIA;COLOMBIA;N;805;;;;;;;;;;;;;;;TI;;No;Menos de 87.000;Ninguna vez;Tres;Técnica o tecnológica incompleta;Secundaria (Bachillerato) completa;Estrato 2;Entre 2 y menos de 3 SMLV;Nivel 2;Hogar;Trabajador por cuenta propia;Tres;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;Si;Si;Si;Si;Si;Si;Si;Si;47;39;38;37;29;49;;46;37;;;;;38;41;36;52;49;39
20121;SB11201210072833;ESTUDIANTE;URBANO;N;A;TÉCNICO/ACADÉMICO;315001003516;315001003516;15;15001;104547;BOYACA;MIXTO;MAÑANA;TUNJA;NO OFICIAL;COLEGIO CORPORACION SANTO DOMINGO;COLEGIO CORPORACION SANTO DOMINGO;S;A1;;;;I;;;;;;;No;Cabecera Municipal;15;;15001;;15;15001;;BOYACA;BOYACA;Ninguno;11/08/1992;M;;;;;;;;;TUNJA;TUNJA;;;;COLOMBIA;COLOMBIA;N;709;;;;;;;;;;;;;;;CC;;Si, menos de 20 horas a la semana;Menos de 87.000;Ninguna vez;Dos;Secundaria (Bachillerato) completa;Primaria completa;Estrato 2;Entre 1 y menos de 2 SMLV;No está clasificada por el SISBEN;Empleado obrero u operario;Trabajador por cuenta propia;Tres;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;Si;No;No;No;No;No;No;No;44;34;34;44;43;;;44;54;;;;5;44;48;49;47;58;38
20121;SB11201210072912;ESTUDIANTE;URBANO;;A;ACADÉMICO;315001003691;315001003691;15;15001;126870;BOYACA;MIXTO;MAÑANA;TUNJA;NO OFICIAL;CENTRO EDUCATIVO SAN AGUSTIN;CENTRO EDUCATIVO SAN AGUSTIN - SEDE PRINCIPAL;S;A-;;;;;;;;;;;No;Cabecera Municipal;15;;15001;;15;15764;;BOYACA;BOYACA;Ninguno;07/04/1995;F;;;;;;;;;TUNJA;SORACÁ;;;;COLOMBIA;COLOMBIA;N;591;;;;;;;;;;;;;;;TI;;No;Menos de 87.000;Una Vez;Tres;Primaria completa;Primaria completa;Estrato 1;Menos de 1 SMLV;Nivel 1;Hogar;Trabajador por cuenta propia;Cuatro;Cemento, gravilla, ladrillo;No;Si;Si;Si;No;Si;No;No;No;No;42;39;38;46;35;49;;54;41;;;;;47;48;40;56;51;42
20121;SB11201210075555;ESTUDIANTE;RURAL;N;A;ACADÉMICO;415238001664;415238001664;15;15238;108316;BOYACA;MIXTO;SABATINA;DUITAMA;NO OFICIAL;COLEGIO DE BACHILLERATO NUEVA ESPERANZA;COLEGIO DE BACHILLERATO NUEVA ESPERANZA;S;A1;;;;;;;;;;;No;Cabecera Municipal;15;;15759;;15;15238;;BOYACA;BOYACA;Ninguno;29/11/1994;M;;;;;;;;;SOGAMOSO;DUITAMA;;;;COLOMBIA;COLOMBIA;N;390;;;;;;;;;;;;;;;TI;;No;No paga Pensión;Una Vez;Tres;Secundaria (Bachillerato) completa;Técnica o tecnológica completa;Estrato 3;Entre 1 y menos de 2 SMLV;No está clasificada por el SISBEN;Trabajador por cuenta propia;Profesional independiente;Cinco;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;No;Si;Si;No;48;48;39;44;45;51;;48;54;;;;;44;51;50;49;56;49
20121;SB11201210072834;ESTUDIANTE;URBANO;N;A;TÉCNICO/ACADÉMICO;315001003516;315001003516;15;15001;104547;BOYACA;MIXTO;MAÑANA;TUNJA;NO OFICIAL;COLEGIO CORPORACION SANTO DOMINGO;COLEGIO CORPORACION SANTO DOMINGO;S;A-;;;;;;;;;;;No;Cabecera Municipal;15;;15001;;15;15001;;BOYACA;BOYACA;Ninguno;26/05/1992;F;;;;;;;;;TUNJA;TUNJA;;;;COLOMBIA;COLOMBIA;N;710;;;;;;;;;;;;;;;CC;;No;Menos de 87.000;Ninguna vez;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 3;Entre 2 y menos de 3 SMLV;No está clasificada por el SISBEN;Hogar;Empleado obrero u operario;Cinco;Madera burda, tabla, tablón;No;Si;Si;Si;No;Si;Si;Si;Si;Si;39;44;42;36;26;;40;46;44;;;;;41;39;34;47;47;48
20121;SB11201210075407;ESTUDIANTE;URBANO;N;A;ACADÉMICO;315238001758;315238001758;15;15238;86199;BOYACA;MIXTO;NOCHE;DUITAMA;NO OFICIAL;INST. GESTION INFORMATICA Y GUIA ACADEMICA - GIGA;INST. GESTION INFORMATICA Y GUIA ACADEMICA - GIGA;S;A-;;;;;;;;;2010;;No;Cabecera Municipal;15;;15759;;15;15238;;BOYACA;BOYACA;Ninguno;16/12/1990;F;;;;;;;;;SOGAMOSO;DUITAMA;;;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;885;;;;;;;;;;;;;;;CC;;No;Menos de 87.000;Una Vez;Tres;Primaria completa;Ninguno;Estrato 2;Entre 1 y menos de 2 SMLV;Nivel 1;Profesional independiente;Empleado obrero u operario;Seis;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;Si;No;No;No;Si;No;Si;No;46;39;40;32;42;;36;48;25;;;;;41;39;46;52;36;45
20121;SB11201210075550;ESTUDIANTE;URBANO;N;A;ACADÉMICO;315238001642;315238001642;15;15238;100297;BOYACA;MIXTO;MAÑANA;DUITAMA;NO OFICIAL;COLEGIO BOSTON;COLEGIO BOSTON;S;A-;;;;I;;;;;;;No;Cabecera Municipal;15;;15759;;15;15238;;BOYACA;BOYACA;Ninguno;20/10/1993;M;;;;;;;;;SOGAMOSO;DUITAMA;;;;COLOMBIA;COLOMBIA;N;488;;;;;;;;;;;;;;;CC;;No;Menos de 87.000;Dos veces;Tres;;;Estrato 2;Entre 2 y menos de 3 SMLV;No está clasificada por el SISBEN;;;Cuatro;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;Si;Si;Si;;Si;No;Si;No;42;42;46;32;40;;;59;51;;;;5;39;43;44;60;54;47
