periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_ingles;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_depto_presentacion;estu_depto_reside;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_individual;estu_pais_reside;estu_pilopaga;estu_privado_libertad;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_tieneautomovil;fami_tienecomputador;fami_tieneinternet;fami_tienelavadora;fami_tieneserviciotv;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20151;SB11201510000964;ESTUDIANTE;CC;URBANO;;A;ACADÉMICO;315516000903;315516000903;15;15516;136887;BOYACA;MIXTO;MAÑANA;PAIPA;NO OFICIAL;COL JOSE ASUNCION SILVA;COL JOSE ASUNCION SILVA;S;A-;S;15;15001;15;15516;BOYACA;BOYACA;Ninguno;15/05/1996;F;26;37.763172;TUNJA;PAIPA;COLOMBIA;NSE1;COLOMBIA;NO;N;Dos;Primaria incompleta;Primaria incompleta;Estrato 2;11 A 25 LIBROS;Tres;No;No;No;No;No;44;213;43;46;39;41
20151;SB11201510092996;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO/ACADÉMICO;115759000465;115759000465;15;15759;134569;BOYACA;MIXTO;NOCHE;SOGAMOSO;OFICIAL;INSTITUCION EDUCATIVA MAGDALENA;INSTITUCION EDUCATIVA MAGDALENA;S;A-;S;15;15759;15;15759;BOYACA;BOYACA;Ninguno;17/10/1995;F;26;42.621838;SOGAMOSO;SOGAMOSO;COLOMBIA;NSE2;COLOMBIA;NO;N;Uno;Primaria completa;Secundaria (Bachillerato) incompleta;Estrato 2;0 A 10 LIBROS;Dos;No;No;No;No;Si;39;216;45;45;48;40
20151;SB11201510065377;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO/ACADÉMICO;115238000931;115238000931;15;15238;157321;BOYACA;MIXTO;SABATINA;DUITAMA;OFICIAL;COLEGIO TECNICO MUNICIPAL SIMON BOLIVAR;COLEGIO TECNICO MUNICIPAL SIMÓN BOLIVAR;S;A1;S;15;15759;15;15238;BOYACA;BOYACA;Ninguno;06/10/1992;M;26;47.250576;SOGAMOSO;DUITAMA;COLOMBIA;NSE2;COLOMBIA;NO;N;Tres;Primaria completa;Primaria completa;Estrato 1;11 A 25 LIBROS;Cinco;No;Si;No;Si;No;50;262;55;47;52;60
20151;SB11201510059190;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO/ACADÉMICO;315001003516;315001003516;15;15001;170803;BOYACA;MIXTO;SABATINA;TUNJA;NO OFICIAL;COLEGIO CORPORACION SANTO DOMINGO;COLEGIO CORPORACION SANTO DOMINGO;S;A2;S;15;15001;15;15001;BOYACA;BOYACA;Ninguno;12/01/1996;M;26;46.058041;TUNJA;TUNJA;COLOMBIA;NSE2;COLOMBIA;NO;N;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 3;11 A 25 LIBROS;Cuatro;No;No;No;No;No;74;350;64;65;79;64
20151;SB11201510108510;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;315238001740;315238001740;15;15238;111138;BOYACA;MIXTO;MAÑANA;DUITAMA;NO OFICIAL;INST SOLUCION EDUCATIVA SOLED;INST SOLUCION EDUCATIVA SOLED;S;A-;S;15;15759;15;15238;BOYACA;BOYACA;Ninguno;22/05/1998;F;26;53.17701;SOGAMOSO;DUITAMA;COLOMBIA;NSE3;COLOMBIA;NO;N;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 3;0 A 10 LIBROS;Dos;Si;No;Si;Si;Si;51;230;49;48;43;41
20151;SB11201510066537;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO/ACADÉMICO;315001003516;315001003516;15;15001;170803;BOYACA;MIXTO;SABATINA;TUNJA;NO OFICIAL;COLEGIO CORPORACION SANTO DOMINGO;COLEGIO CORPORACION SANTO DOMINGO;S;A-;N;15;15001;15;15001;BOYACA;BOYACA;Ninguno;24/11/1991;M;26;37.625393;TUNJA;TUNJA;COLOMBIA;NSE1;COLOMBIA;NO;N;Dos;Primaria incompleta;Primaria incompleta;Estrato 1;11 A 25 LIBROS;Tres;No;No;No;No;No;54;248;41;50;42;55
20151;SB11201510106367;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;315759001576;315759001576;15;15759;111153;BOYACA;MIXTO;TARDE;SOGAMOSO;NO OFICIAL;LICEO ANGLO AMERICANO DE SOGAMOSO;INSTITUCIÓN EDUCATIVA ANGLO AMERICANO;S;A1;S;15;15759;15;15759;BOYACA;BOYACA;Ninguno;28/03/1997;M;26;50.389435;SOGAMOSO;SOGAMOSO;COLOMBIA;NSE2;COLOMBIA;NO;N;Dos;Educación profesional completa;Secundaria (Bachillerato) completa;Estrato 2;0 A 10 LIBROS;Dos;No;Si;No;No;No;48;244;49;46;41;60
20151;SB11201510091996;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;315176001097;315176001097;15;15176;111732;BOYACA;MIXTO;SABATINA;CHIQUINQUIRA;NO OFICIAL;COLEGIO CORPORACIÓN SANTO DOMINGO;COLEGIO CORPORACIÓN SANTO DOMINGO;S;A-;S;15;15001;15;15176;BOYACA;BOYACA;Ninguno;15/04/1980;M;26;47.110107;TUNJA;CHIQUINQUIRA;COLOMBIA;NSE2;COLOMBIA;NO;N;Cinco;Primaria completa;Primaria completa;Estrato 4;0 A 10 LIBROS;Cuatro;No;No;Si;Si;No;47;196;35;39;41;31
20151;SB11201510111777;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;315176001097;315176001097;15;15176;111732;BOYACA;MIXTO;SABATINA;CHIQUINQUIRA;NO OFICIAL;COLEGIO CORPORACIÓN SANTO DOMINGO;COLEGIO CORPORACIÓN SANTO DOMINGO;S;A1;S;15;15001;15;15176;BOYACA;BOYACA;Ninguno;23/04/1990;M;26;47.858368;TUNJA;CHIQUINQUIRA;COLOMBIA;NSE2;COLOMBIA;NO;N;Cuatro;Primaria completa;Secundaria (Bachillerato) completa;Estrato 1;0 A 10 LIBROS;Tres;Si;No;No;Si;Si;71;295;49;52;56;60
20151;SB11201510111778;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;315176001097;315176001097;15;15176;111732;BOYACA;MIXTO;SABATINA;CHIQUINQUIRA;NO OFICIAL;COLEGIO CORPORACIÓN SANTO DOMINGO;COLEGIO CORPORACIÓN SANTO DOMINGO;S;A-;S;15;15001;15;15176;BOYACA;BOYACA;;30/11/1995;M;26;46.767757;TUNJA;CHIQUINQUIRA;COLOMBIA;NSE2;COLOMBIA;NO;N;Tres;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 1;0 A 10 LIBROS;Tres;Si;No;No;Si;Si;44;205;42;46;43;31
