periodo;estu_consecutivo;estu_estudiante;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_ingles;desemp_profundiza_biologia;desemp_profundiza_csociales;desemp_profundiza_lenguaje;desemp_profundiza_matematica;estu_anomatriculaprimero;estu_anomatriculasexto;estu_anoscolegioactual;estu_anospreescolar;estu_anoterminobachiller;estu_anoterminoquinto;estu_antecedentes;estu_areareside;estu_cod_depto_presentacion;estu_cod_iesdeseada;estu_cod_mcpio_presentacion;estu_cod_mcpioiesdeseada;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_cuantoscolegioestudio;estu_depto_presentacion;estu_depto_reside;estu_etnia;estu_fechanacimiento;estu_genero;estu_iesdeseada;estu_instporamigosestudiando;estu_instporcostomatricula;estu_instporoportunidades;estu_instporotrarazon;estu_instporprestigio;estu_instporubicacion;estu_instporunicaqueofrece;estu_mcpio_presentacion;estu_mcpio_reside;estu_mcpioiesdeseada;estu_mesterminobachiller;estu_motivo_presentavalidacion;estu_nacionalidad;estu_pais_reside;estu_privado_libertad;estu_puesto;estu_razonretirocolegio;estu_reprobocuarto;estu_reprobodecimo;estu_reprobonoveno;estu_reprobooctavo;estu_reprobooncemas;estu_reproboprimero;estu_reproboquinto;estu_reprobosegundo;estu_reproboseptimo;estu_reprobosexto;estu_reprobotercero;estu_seretirocolegio;estu_tipocarreradeseada;estu_tipodocumento;estu_totalalumnoscurso;estu_trabajaactualmente;estu_valorpensioncolegio;estu_vecespresentoexamen;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_ingresofmiliarmensual;fami_nivelsisben;fami_ocupacionmadre;fami_ocupacionpadre;fami_personashogar;fami_pisoshogar;fami_telefono;fami_tiene_celular;fami_tiene_nevera;fami_tiene_serviciotv;fami_tieneautomovil;fami_tienecomputador;fami_tienedvd;fami_tieneinternet;fami_tienelavadora;fami_tienemicroondas;punt_biologia;punt_ciencias_sociales;punt_filosofia;punt_fisica;punt_ingles;punt_interdisc_medioambiente;punt_interdisc_violenciaysoc;punt_lenguaje;punt_matematicas;punt_profundiza_biologia;punt_profundiza_csociales;punt_profundiza_lenguaje;punt_profundiza_matematica;punt_quimica;recaf_punt_c_naturales;recaf_punt_ingles;recaf_punt_lectura_critica;recaf_punt_matematicas;recaf_punt_sociales_ciudadanas
20121;SB11201210088455;ESTUDIANTE;RURAL;;B;ACADÉMICO;417001005373;417001005373;17;17873;156091;CALDAS;MIXTO;COMPLETA;VILLAMARÍA;NO OFICIAL;COL. ANGLOHISPANO;COL. ANGLOHISPANO - SEDE PRINCIPAL;S;A1;;;;;;;;;2012;;No;Cabecera Municipal;17;;17001;;17;17001;;CALDAS;CALDAS;Ninguno;13/01/1996;F;;;;;;;;;MANIZALES;MANIZALES;;;;COLOMBIA;COLOMBIA;N;614;;;;;;;;;;;;;;;TI;;No;250.000 o más;Ninguna vez;Cuatro;Educación profesional completa;Educación profesional completa;Estrato 6;Entre 3 y menos de 5 SMLV;No está clasificada por el SISBEN;Pequeño empresario;Profesional independiente;Cuatro;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;30;46;33;48;52;50;;50;48;;;;;45;44;58;40;48;47
20121;SB11201210077778;ESTUDIANTE;URBANO;N;A;ACADÉMICO;317001005514;317001005514;17;17001;76687;CALDAS;MIXTO;MAÑANA;MANIZALES;NO OFICIAL;COL. LOS LIBERTADORES;COL. LOS LIBERTADORES;S;A-;;;;I;;;;;;;No;Cabecera Municipal;17;;17001;;17;17001;;CALDAS;CALDAS;Ninguno;14/11/1992;M;;;;;;;;;MANIZALES;MANIZALES;;;;COLOMBIA;COLOMBIA;N;584;;;;;;;;;;;;;;;CC;;Si, 20 horas o más a la semana;Menos de 87.000;Una Vez;Dos;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 1;Entre 1 y menos de 2 SMLV;Nivel 2;Hogar;Trabajador por cuenta propia;Dos;Cemento, gravilla, ladrillo;No;Si;Si;Si;No;No;No;No;Si;No;51;42;37;42;37;;;48;43;;;;5;45;55;42;56;49;45
20121;SB11201210088688;ESTUDIANTE;URBANO;N;A;ACADÉMICO;317380000935;317380000935;17;17380;99200;CALDAS;MIXTO;SABATINA;LA DORADA;NO OFICIAL;CENTRO EDUCATIVO VIDA CEVIDA;CENTRO EDUCATIVO VIDA CEVIDA;S;A-;;GB;;;;;;;;;No;Cabecera Municipal;17;;17380;;17;17380;;CALDAS;CALDAS;Ninguno;25/02/1994;M;;;;;;;;;LA DORADA;LA DORADA;;;;COLOMBIA;COLOMBIA;N;846;;;;;;;;;;;;;;;TI;;No;Menos de 87.000;Ninguna vez;Cuatro;Educación profesional completa;Secundaria (Bachillerato) completa;Estrato 3;Entre 1 y menos de 2 SMLV;Nivel 2;Empleado obrero u operario;Empresario;Cinco;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;Si;Si;Si;No;Si;Si;Si;Si;37;38;41;36;35;;;44;43;;3;;;33;31;40;49;54;40
20121;SB11201210079956;ESTUDIANTE;URBANO;N;A;ACADÉMICO;317380000942;317380000942;17;17380;115816;CALDAS;MIXTO;NOCHE;LA DORADA;NO OFICIAL;INSTITUTO EDUCATIVO NUEVOS COMIENZOS;INSTITUTO EDUCATIVO NUEVOS COMIENZOS;S;A-;;;;;;;;;;;No;Cabecera Municipal;17;;17380;;17;17380;;CALDAS;CALDAS;Ninguno;31/07/1996;F;;;;;;;;;LA DORADA;LA DORADA;;;;COLOMBIA;COLOMBIA;N;796;;;;;;;;;;;;;;;TI;;No;Menos de 87.000;Ninguna vez;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 2;Entre 1 y menos de 2 SMLV;Nivel 2;Empleado de nivel auxiliar o administrativo;Pequeño empresario;Cinco;Madera burda, tabla, tablón;No;Si;Si;Si;No;Si;Si;Si;No;No;46;36;32;39;35;;51;44;41;;;;;50;52;40;52;47;42
20121;SB11201210077722;ESTUDIANTE;URBANO;N;A;ACADÉMICO;317001007002;317001007002;17;17001;76653;CALDAS;MIXTO;NOCHE;MANIZALES;NO OFICIAL;INST.EDUC CONTINUA CONFAMILIARES SEDE A;INST.EDUC CONTINUA CONFAMILIARES SEDE A;S;A-;;;;I;;;;;;;No;Cabecera Municipal;17;;17001;;17;17001;;CALDAS;CALDAS;Ninguno;05/08/1977;M;;;;;;;;;MANIZALES;MANIZALES;;;;COLOMBIA;COLOMBIA;N;618;;;;;;;;;;;;;;;CC;;Si, 20 horas o más a la semana;Menos de 87.000;Ninguna vez;Uno;Primaria incompleta;Primaria incompleta;Estrato 2;Menos de 1 SMLV;No está clasificada por el SISBEN;Hogar;Pensionado;Tres;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;No;Si;No;No;Si;No;Si;No;44;51;48;44;43;;;48;33;;;;5;44;49;48;55;44;49
20121;SB11201210077835;ESTUDIANTE;RURAL;S;B;TÉCNICO/ACADÉMICO;417873000544;417873000544;17;17873;58867;CALDAS;MIXTO;COMPLETA;VILLAMARÍA;NO OFICIAL;ASOCIACION COLEGIO GRANADINO;ASOCIACION COLEGIO GRANADINO;S;B+;;;;II;;;;;2012;;No;Cabecera Municipal;17;;17001;;17;17001;;CALDAS;CALDAS;Ninguno;25/03/1994;M;;;;;;;;;MANIZALES;MANIZALES;;;;COLOMBIA;COLOMBIA;N;63;;;;;;;;;;;;;;;TI;;No;250.000 o más;Ninguna vez;Cuatro;Postgrado;Postgrado;Estrato 6;10 o más SMLV;No está clasificada por el SISBEN;Profesional independiente;Profesional independiente;Cinco;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;63;57;58;69;96;;;57;65;;;;6;56;68;96;71;67;61
20121;SB11201210077814;ESTUDIANTE;URBANO;N;A;ACADÉMICO;317001005514;317001005514;17;17001;76695;CALDAS;MIXTO;NOCHE;MANIZALES;NO OFICIAL;COL. LOS LIBERTADORES;COL. LOS LIBERTADORES;S;A1;;;;;;;;;;;No;Cabecera Municipal;17;;17001;;17;17433;;CALDAS;CALDAS;Ninguno;04/12/1989;M;;;;;;;;;MANIZALES;MANZANARES;;;;COLOMBIA;COLOMBIA;N;901;;;;;;;;;;;;;;;CC;;Si, menos de 20 horas a la semana;Menos de 87.000;Ninguna vez;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 2;Menos de 1 SMLV;Nivel 2;Hogar;Trabajador por cuenta propia;Cinco;Cemento, gravilla, ladrillo;No;Si;Si;Si;No;Si;Si;No;Si;No;42;33;43;46;51;54;;35;43;;;;;45;46;57;45;48;38
20121;SB11201210077494;ESTUDIANTE;URBANO;N;B;ACADÉMICO;317001001896;317001001896;17;17001;6023;CALDAS;MIXTO;COMPLETA;MANIZALES;NO OFICIAL;COL. SAN LUIS GONZAGA;COL. SAN LUIS GONZAGA;S;A2;;;I;;2002;2006;5 años;Tres años de preescolar;2012;2006;Si;Cabecera Municipal;17;1722;17001;17001;17;17001;Uno;CALDAS;CALDAS;Ninguno;17/11/1995;F;UNIVERSIDAD DE MANIZALES;Si;Si;No;Si;Si;Si;No;MANIZALES;MANIZALES;MANIZALES;;;COLOMBIA;COLOMBIA;N;301;;No;No;No;No;No;No;No;No;No;No;No;No;Profesional;TI;25;No;250.000 o más;Una Vez;Cuatro;Técnica o tecnológica completa;Postgrado;Estrato 6;Entre 5 y menos de 7 SMLV;No está clasificada por el SISBEN;Pensionado;Empleado de nivel técnico o profesional;Cinco;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;No;46;53;41;57;57;;;50;49;;;5;;49;60;64;58;56;56
20121;SB11201210077651;ESTUDIANTE;URBANO;;A;ACADÉMICO;117001000653;117001000653;17;17001;156976;CALDAS;MIXTO;NOCHE;MANIZALES;OFICIAL;INSTITUCIÓN EDUCATIVA ATANASIO GIRARDOT;INSTITUCIÓN EDUCATIVA ATANASIO GIRARDOT;S;A-;;;I;;;;;;;;No;Cabecera Municipal;17;;17001;;17;17001;;CALDAS;CALDAS;Ninguno;17/05/1989;F;;;;;;;;;MANIZALES;MANIZALES;;;;COLOMBIA;COLOMBIA;N;750;;;;;;;;;;;;;;;CC;;Si, 20 horas o más a la semana;No paga Pensión;Ninguna vez;Tres;Primaria incompleta;Ninguno;Estrato 5;Entre 1 y menos de 2 SMLV;Nivel 1;Pequeño empresario;Pequeño empresario;Tres;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;Si;Si;No;No;No;No;No;No;42;40;36;18;40;;;48;52;;;5;;45;48;44;47;52;43
20121;SB11201210077623;ESTUDIANTE;RURAL;N;A;TÉCNICO;217614000723;217614000723;17;17614;157925;CALDAS;MIXTO;SABATINA;RIOSUCIO;OFICIAL;INSTITUCION EDUCATIVA BONAFONT;INSTITUCION EDUCATIVA BONAFONT - SEDE PRINCIPAL;S;A-;GB;;;;;;;;;;No;Area Rural;17;;17001;;17;17614;;CALDAS;CALDAS;;26/02/1986;F;;;;;;;;;MANIZALES;RIOSUCIO;;;;COLOMBIA;COLOMBIA;N;834;;;;;;;;;;;;;;;CC;;No;Menos de 87.000;Ninguna vez;Tres;Primaria incompleta;Primaria completa;Estrato 2;Entre 1 y menos de 2 SMLV;Esta clasificada en otro nivel del SISBEN;Hogar;Trabajador por cuenta propia;Siete;Cemento, gravilla, ladrillo;No;Si;No;No;No;No;Si;No;No;No;42;38;32;39;29;;;48;34;4;;;;37;39;36;47;42;39
