periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_dedicacioninternet;estu_dedicacionlecturadiaria;estu_depto_presentacion;estu_depto_reside;estu_discapacidad;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_horassemanatrabaja;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_establecimiento;estu_nse_individual;estu_pais_reside;estu_privado_libertad;estu_repite;estu_tieneetnia;estu_tiporemuneracion;fami_comecarnepescadohuevo;fami_comecerealfrutoslegumbre;fami_comelechederivados;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_situacioneconomica;fami_tieneautomovil;fami_tienecomputador;fami_tieneconsolavideojuegos;fami_tienehornomicroogas;fami_tieneinternet;fami_tienelavadora;fami_tienemotocicleta;fami_tieneserviciotv;fami_trabajolabormadre;fami_trabajolaborpadre;percentil_c_naturales;percentil_global;percentil_ingles;percentil_lectura_critica;percentil_matematicas;percentil_sociales_ciudadanas;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas;estu_grupoetnia
20241;SB11202410010153;ESTUDIANTE;TI;URBANO;;B;;317001001896;317001001896;17;17001;6023;CALDAS;MIXTO;COMPLETA;MANIZALES;NO OFICIAL;COL. SAN LUIS GONZAGA;COL. SAN LUIS GONZAGA;S;3;B1;4;4;3;S;17;17001;17;17001;Entre 1 y 3 horas;30 minutos o menos;CALDAS;CALDAS;N;;30/06/2007;F;11;0;70.086792;MANIZALES;MANIZALES;COLOMBIA;4;4;COLOMBIA;N;0;;No;Todos o casi todos los días;1 o 2 veces por semana;3 a 5 veces por semana;Tres;Educación profesional completa;Educación profesional completa;Estrato 4;26 A 100 LIBROS;3 a 4;Igual;Si;Si;No;Si;Si;Si;No;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja como profesional (por ejemplo médico, abogado, ingeniero);73;83;62;94;80;86;64;352;74;75;71;70;NINGUNO
20241;SB11202410026128;ESTUDIANTE;TI;RURAL;;B;;417001005373;417001005373;17;17873;156091;CALDAS;MIXTO;COMPLETA;VILLAMARÍA;NO OFICIAL;COL. ANGLOHISPANO;COL. ANGLOHISPANO - SEDE PRINCIPAL;S;3;B1;4;3;3;S;17;17001;17;17001;Entre 30 y 60 minutos;30 minutos o menos;CALDAS;CALDAS;N;;04/05/2006;F;11;0;67.803978;MANIZALES;MANIZALES;COLOMBIA;4;4;COLOMBIA;N;0;;No;Todos o casi todos los días;3 a 5 veces por semana;3 a 5 veces por semana;Tres;Técnica o tecnológica incompleta;Postgrado;Estrato 4;11 A 25 LIBROS;3 a 4;Igual;Si;Si;Si;Si;Si;Si;No;Si;Trabaja por cuenta propia (por ejemplo plomero, electricista);Trabaja como profesional (por ejemplo médico, abogado, ingeniero);55;60;67;69;55;58;58;311;76;66;61;59;NINGUNO
20241;SB11202410094052;ESTUDIANTE;CC;URBANO;;A;;317001007207;317001007207;17;17001;93518;CALDAS;MIXTO;MAÑANA;MANIZALES;NO OFICIAL;COLEGIO BOSTON;COLEGIO BOSTON - SEDE PRINCIPAL;S;2;A1;2;2;1;N;17;17001;17;17001;;Entre 1 y 2 horas;CALDAS;CALDAS;N;;31/07/2004;M;11;Menos de 10 horas;56.499817;MANIZALES;MANIZALES;COLOMBIA;3;3;COLOMBIA;N;0;;Si, en efectivo;;;;Uno;Técnica o tecnológica incompleta;No Aplica;Estrato 1;11 A 25 LIBROS;3 a 4;Igual;No;Si;No;Si;Si;Si;Si;Si;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;No aplica;35;21;33;15;25;12;49;224;54;45;46;36;NINGUNO
20241;SB11202410094051;ESTUDIANTE;TI;URBANO;;A;;317001007207;317001007207;17;17001;93518;CALDAS;MIXTO;MAÑANA;MANIZALES;NO OFICIAL;COLEGIO BOSTON;COLEGIO BOSTON - SEDE PRINCIPAL;S;3;A2;3;3;3;N;17;17001;17;17001;Entre 1 y 3 horas;Entre 30 y 60 minutos;CALDAS;CALDAS;N;;17/08/2004;F;11;Menos de 10 horas;57.315048;MANIZALES;MANIZALES;COLOMBIA;3;3;COLOMBIA;N;0;;Si, en efectivo;3 a 5 veces por semana;1 o 2 veces por semana;3 a 5 veces por semana;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 3;0 A 10 LIBROS;3 a 4;Igual;Si;Si;No;Si;Si;Si;No;Si;Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;Trabaja por cuenta propia (por ejemplo plomero, electricista);55;54;46;57;42;68;58;300;62;63;55;63;NINGUNO
20241;SB11202410010148;ESTUDIANTE;TI;URBANO;;B;;317001001896;317001001896;17;17001;6023;CALDAS;MIXTO;COMPLETA;MANIZALES;NO OFICIAL;COL. SAN LUIS GONZAGA;COL. SAN LUIS GONZAGA;S;2;;2;2;2;N;17;17001;17;17001;Entre 1 y 3 horas;Entre 1 y 2 horas;CALDAS;CALDAS;S;;14/11/2006;M;11;0;68.107025;MANIZALES;MANIZALES;COLOMBIA;4;4;COLOMBIA;N;0;;No;3 a 5 veces por semana;Nunca o rara vez comemos eso;Todos o casi todos los días;Cuatro;Educación profesional completa;Educación profesional completa;Estrato 3;26 A 100 LIBROS;5 a 6;Mejor;Si;Si;Si;Si;Si;Si;No;Si;No aplica;No aplica;47;;;23;23;37;55;249;;49;45;50;NINGUNO
20241;SB11202410062699;ESTUDIANTE;TI;URBANO;;A;;317001800128;317001800128;17;17001;729947;CALDAS;MIXTO;COMPLETA;MANIZALES;NO OFICIAL;LICEO SAN MARCOS;LICEO SAN MARCOS - SEDE PRINCIPAL;S;2;A2;4;3;3;N;5;5615;5;5318;Más de 3 horas;Entre 30 y 60 minutos;ANTIOQUIA;ANTIOQUIA;N;;08/06/2006;F;26;0;59.376614;RIONEGRO;GUARNE;COLOMBIA;4;3;COLOMBIA;N;0;;No;3 a 5 veces por semana;3 a 5 veces por semana;3 a 5 veces por semana;Tres;Educación profesional incompleta;Técnica o tecnológica completa;Estrato 3;0 A 10 LIBROS;3 a 4;Mejor;No;Si;No;Si;Si;Si;Si;Si;Es vendedor o trabaja en atención al público;No aplica;46;50;52;69;42;51;54;292;66;66;55;56;NINGUNO
20241;SB11202410010088;ESTUDIANTE;CC;URBANO;;B;;317001001896;317001001896;17;17001;6023;CALDAS;MIXTO;COMPLETA;MANIZALES;NO OFICIAL;COL. SAN LUIS GONZAGA;COL. SAN LUIS GONZAGA;S;4;B+;4;4;4;S;17;17001;17;17001;Entre 1 y 3 horas;No leo por entretenimiento;CALDAS;CALDAS;N;;08/11/2005;M;11;0;72.805313;MANIZALES;MANIZALES;COLOMBIA;4;4;COLOMBIA;N;0;;Si, en efectivo y especie;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Seis o mas;Educación profesional completa;Educación profesional completa;Estrato 5;MÁS DE 100 LIBROS;5 a 6;Igual;Si;Si;No;Si;Si;Si;No;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;99;99;75;100;96;99;78;400;79;82;80;80;NINGUNO
20241;SB11202410010066;ESTUDIANTE;TI;URBANO;;B;;317001001896;317001001896;17;17001;6023;CALDAS;MIXTO;COMPLETA;MANIZALES;NO OFICIAL;COL. SAN LUIS GONZAGA;COL. SAN LUIS GONZAGA;S;4;B1;3;3;4;S;17;17001;17;17001;Más de 3 horas;No leo por entretenimiento;CALDAS;CALDAS;N;;01/02/2007;F;11;0;81.52858;MANIZALES;MANIZALES;COLOMBIA;4;4;COLOMBIA;N;0;;No;Todos o casi todos los días;3 a 5 veces por semana;Todos o casi todos los días;Dos;Postgrado;No Aplica;Estrato 5;MÁS DE 100 LIBROS;3 a 4;Igual;Si;Si;Si;Si;Si;Si;No;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);No aplica;90;81;64;64;73;90;71;347;75;65;68;72;NINGUNO
20241;SB11202410031639;ESTUDIANTE;CC;URBANO;;A;;317380000942;317380000942;17;17380;115816;CALDAS;MIXTO;NOCHE;LA DORADA;NO OFICIAL;INSTITUTO EDUCATIVO NUEVOS COMIENZOS;INSTITUTO EDUCATIVO NUEVOS COMIENZOS;S;2;A-;2;1;1;N;17;17380;17;17380;30 minutos o menos;30 minutos o menos;CALDAS;CALDAS;N;;22/03/2005;M;26;Entre 21 y 30 horas;66.321342;LA DORADA;LA DORADA;COLOMBIA;2;4;COLOMBIA;N;0;;Si, en efectivo;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Cuatro;Técnica o tecnológica completa;Técnica o tecnológica completa;Estrato 3;11 A 25 LIBROS;3 a 4;Mejor;Si;Si;Si;Si;Si;Si;Si;Si;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);24;11;17;14;7;11;44;198;43;44;33;36;NINGUNO
20241;SB11202410090274;ESTUDIANTE;CC;URBANO;;A;;317001800128;317001800128;17;17001;729947;CALDAS;MIXTO;COMPLETA;MANIZALES;NO OFICIAL;LICEO SAN MARCOS;LICEO SAN MARCOS - SEDE PRINCIPAL;S;3;A2;3;3;3;N;25;25269;25;25286;Entre 30 y 60 minutos;30 minutos o menos;CUNDINAMARCA;CUNDINAMARCA;N;;20/12/2003;M;11;Entre 11 y 20 horas;61.837326;FACATATIVÁ;FUNZA;COLOMBIA;4;3;COLOMBIA;N;0;;Si, en efectivo;Todos o casi todos los días;3 a 5 veces por semana;Todos o casi todos los días;Tres;Técnica o tecnológica incompleta;Secundaria (Bachillerato) completa;Estrato 3;26 A 100 LIBROS;3 a 4;Igual;No;Si;Si;Si;Si;Si;No;Si;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Es operario de máquinas o conduce vehículos (taxita, chofer);69;53;42;43;43;66;63;297;59;58;55;62;NINGUNO
