periodo;estu_consecutivo;estu_estudiante;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_ingles;desemp_profundiza_biologia;desemp_profundiza_csociales;desemp_profundiza_lenguaje;desemp_profundiza_matematica;estu_anomatriculaprimero;estu_anomatriculasexto;estu_anoscolegioactual;estu_anospreescolar;estu_anoterminobachiller;estu_anoterminoquinto;estu_antecedentes;estu_areareside;estu_cod_depto_presentacion;estu_cod_iesdeseada;estu_cod_mcpio_presentacion;estu_cod_mcpioiesdeseada;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_cuantoscolegioestudio;estu_depto_presentacion;estu_depto_reside;estu_etnia;estu_fechanacimiento;estu_genero;estu_iesdeseada;estu_instporamigosestudiando;estu_instporcostomatricula;estu_instporoportunidades;estu_instporotrarazon;estu_instporprestigio;estu_instporubicacion;estu_instporunicaqueofrece;estu_mcpio_presentacion;estu_mcpio_reside;estu_mcpioiesdeseada;estu_mesterminobachiller;estu_motivo_presentavalidacion;estu_nacionalidad;estu_pais_reside;estu_privado_libertad;estu_puesto;estu_razonretirocolegio;estu_reprobocuarto;estu_reprobodecimo;estu_reprobonoveno;estu_reprobooctavo;estu_reprobooncemas;estu_reproboprimero;estu_reproboquinto;estu_reprobosegundo;estu_reproboseptimo;estu_reprobosexto;estu_reprobotercero;estu_seretirocolegio;estu_tipocarreradeseada;estu_tipodocumento;estu_totalalumnoscurso;estu_trabajaactualmente;estu_valorpensioncolegio;estu_vecespresentoexamen;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_ingresofmiliarmensual;fami_nivelsisben;fami_ocupacionmadre;fami_ocupacionpadre;fami_personashogar;fami_pisoshogar;fami_telefono;fami_tiene_celular;fami_tiene_nevera;fami_tiene_serviciotv;fami_tieneautomovil;fami_tienecomputador;fami_tienedvd;fami_tieneinternet;fami_tienelavadora;fami_tienemicroondas;punt_biologia;punt_ciencias_sociales;punt_filosofia;punt_fisica;punt_ingles;punt_interdisc_medioambiente;punt_interdisc_violenciaysoc;punt_lenguaje;punt_matematicas;punt_profundiza_biologia;punt_profundiza_csociales;punt_profundiza_lenguaje;punt_profundiza_matematica;punt_quimica;recaf_punt_c_naturales;recaf_punt_ingles;recaf_punt_lectura_critica;recaf_punt_matematicas;recaf_punt_sociales_ciudadanas
20121;SB11201210080233;ESTUDIANTE;URBANO;N;A;ACADÉMICO;318001004077;318001004077;18;18001;151977;CAQUETA;MIXTO;SABATINA;FLORENCIA;NO OFICIAL;COLEGIO PEDAGÓGICO DE COLOMBIA;COLEGIO PEDAGÓGICO DE COLOMBIA - SEDE PRINCIPAL;S;A-;;;I;;;;;;;;No;Cabecera Municipal;18;;18001;;18;18001;;CAQUETA;CAQUETA;Ninguno;24/05/1993;F;;;;;;;;;FLORENCIA;FLORENCIA;;;;COLOMBIA;COLOMBIA;N;690;;;;;;;;;;;;;;;CC;;No;Menos de 87.000;Ninguna vez;Uno;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 2;Entre 1 y menos de 2 SMLV;Nivel 2;Hogar;Pequeño empresario;Dos;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;No;No;No;Si;No;No;No;No;46;53;37;39;33;;;41;43;;;6;;43;43;39;49;48;53
20121;SB11201210080224;ESTUDIANTE;URBANO;N;A;ACADÉMICO;318001003861;318001003861;18;18001;120733;CAQUETA;MIXTO;SABATINA;FLORENCIA;NO OFICIAL;INACAM;INACAM;S;A-;;;;;;;;;;;No;Cabecera Municipal;18;;18001;;18;18001;;CAQUETA;CAQUETA;Ninguno;18/12/1994;F;;;;;;;;;FLORENCIA;FLORENCIA;;;;COLOMBIA;COLOMBIA;N;597;;;;;;;;;;;;;;;TI;;Si, menos de 20 horas a la semana;Menos de 87.000;Ninguna vez;Tres;Primaria completa;Primaria completa;Estrato 2;Entre 1 y menos de 2 SMLV;Nivel 2;Otra actividad u ocupación;Otra actividad u ocupación;Cinco;Madera burda, tabla, tablón;No;Si;Si;Si;No;No;Si;No;Si;No;36;45;26;51;39;;40;52;46;;;;;50;54;43;45;51;45
20121;SB11201210080221;ESTUDIANTE;URBANO;N;A;ACADÉMICO;318001003909;318001003909;18;18001;96891;CAQUETA;MIXTO;SABATINA;FLORENCIA;NO OFICIAL;CENTRO DE EDUCACION FORMAL PARA JOVENES Y ADULTOS COMFACA;CENTRO DE EDUCACION FORMAL PARA JOVENES Y ADULTOS COMFACA - SEDE PRINCIPAL;S;A1;;;;;;;;;;;No;Cabecera Municipal;18;;18001;;18;18001;;CAQUETA;CAQUETA;Ninguno;16/03/1992;F;;;;;;;;;FLORENCIA;FLORENCIA;;;;COLOMBIA;COLOMBIA;N;979;;;;;;;;;;;;;;;CC;;No;Menos de 87.000;Ninguna vez;Nueve;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) incompleta;Estrato 1;Menos de 1 SMLV;No está clasificada por el SISBEN;Empleado de nivel técnico o profesional;Trabajador por cuenta propia;Ocho;Cemento, gravilla, ladrillo;Si;Si;Si;Si;No;Si;Si;Si;Si;No;39;25;12;39;45;;36;41;41;;;;;45;45;50;37;51;28
20121;SB11201210080672;ESTUDIANTE;URBANO;N;A;ACADÉMICO;318001003861;318001003861;18;18001;120733;CAQUETA;MIXTO;SABATINA;FLORENCIA;NO OFICIAL;INACAM;INACAM;S;A-;;;;;;;;;;;No;Cabecera Municipal;18;;18001;;18;18001;;CAQUETA;CAQUETA;Ninguno;22/12/1988;F;;;;;;;;;FLORENCIA;FLORENCIA;;;;COLOMBIA;COLOMBIA;N;846;;;;;;;;;;;;;;;CC;;Si, 20 horas o más a la semana;Menos de 87.000;Ninguna vez;Tres;Primaria completa;Primaria completa;Estrato 1;Entre 1 y menos de 2 SMLV;Nivel 1;Otra actividad u ocupación;Otra actividad u ocupación;Cuatro;Madera burda, tabla, tablón;No;Si;Si;Si;No;No;Si;No;Si;No;46;50;26;39;31;;48;38;46;;;;;35;41;38;36;48;45
20121;SB11201210080212;ESTUDIANTE;URBANO;N;A;ACADÉMICO;318001003822;818001100040;18;18001;97535;CAQUETA;MIXTO;SABATINA;FLORENCIA;NO OFICIAL;CENT. DE EDUC. PADRE LUIS DE RIZ;CENT. DE EDUC. PADRE LUIS DE RIZ;S;A-;;;;;;;;;;;No;Cabecera Municipal;18;;18001;;18;18001;;CAQUETA;CAQUETA;Ninguno;10/07/1993;F;;;;;;;;;FLORENCIA;FLORENCIA;;;;COLOMBIA;COLOMBIA;N;957;;;;;;;;;;;;;;;CC;;No;Menos de 87.000;Ninguna vez;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 1;Entre 1 y menos de 2 SMLV;Nivel 1;Hogar;Trabajador por cuenta propia;Cinco;Cemento, gravilla, ladrillo;No;Si;Si;Si;No;Si;Si;Si;Si;No;30;31;22;36;26;50;;44;37;;;;;38;34;34;40;47;28
20121;SB11201210080234;ESTUDIANTE;URBANO;N;A;ACADÉMICO;318001004077;318001004077;18;18001;151977;CAQUETA;MIXTO;SABATINA;FLORENCIA;NO OFICIAL;COLEGIO PEDAGÓGICO DE COLOMBIA;COLEGIO PEDAGÓGICO DE COLOMBIA - SEDE PRINCIPAL;S;B1;;I;;;;;;;;;No;Cabecera Municipal;18;;18001;;18;18001;;CAQUETA;CAQUETA;Ninguno;23/02/1994;F;;;;;;;;;FLORENCIA;FLORENCIA;;;;COLOMBIA;COLOMBIA;N;125;;;;;;;;;;;;;;;CC;;No;Menos de 87.000;Ninguna vez;Tres;Educación profesional completa;Educación profesional completa;Estrato 4;Entre 7 y menos de 10 SMLV;No está clasificada por el SISBEN;Hogar;;Cinco;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;Si;Si;Si;Si;Si;Si;Si;Si;56;60;43;63;80;;;63;46;;5;;;61;67;82;60;56;66
20121;SB11201210080235;ESTUDIANTE;URBANO;N;A;ACADÉMICO;318001004077;318001004077;18;18001;151977;CAQUETA;MIXTO;SABATINA;FLORENCIA;NO OFICIAL;COLEGIO PEDAGÓGICO DE COLOMBIA;COLEGIO PEDAGÓGICO DE COLOMBIA - SEDE PRINCIPAL;S;A-;;;;;2001;2006;1 año;Un año de preescolar;;2005;Si;Cabecera Municipal;18;1114;18001;41001;18;18001;Tres;CAQUETA;CAQUETA;Ninguno;16/10/1994;M;UNIVERSIDAD SURCOLOMBIANA;No;Si;Si;No;No;Si;No;FLORENCIA;FLORENCIA;NEIVA;;;COLOMBIA;COLOMBIA;N;551;;No;No;No;No;Si;No;No;No;No;No;No;;Profesional;TI;8;No;Menos de 87.000;Una Vez;Tres;Secundaria (Bachillerato) incompleta;Educación profesional completa;Estrato 3;Entre 2 y menos de 3 SMLV;Nivel 2;Hogar;Empleado de nivel técnico o profesional;Cuatro;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;Si;Si;No;Si;No;Si;Si;Si;51;45;33;40;43;52;;46;49;;;;;44;43;48;43;49;42
20121;SB11201210080222;ESTUDIANTE;URBANO;N;A;ACADÉMICO;318001003909;318001003909;18;18001;96891;CAQUETA;MIXTO;SABATINA;FLORENCIA;NO OFICIAL;CENTRO DE EDUCACION FORMAL PARA JOVENES Y ADULTOS COMFACA;CENTRO DE EDUCACION FORMAL PARA JOVENES Y ADULTOS COMFACA - SEDE PRINCIPAL;S;A-;;;;;;;;;;;No;Cabecera Municipal;18;;18001;;18;18001;;CAQUETA;CAQUETA;Ninguno;08/02/1994;F;;;;;;;;;FLORENCIA;FLORENCIA;;;;COLOMBIA;COLOMBIA;N;726;;;;;;;;;;;;;;;TI;;No;Menos de 87.000;Ninguna vez;Cuatro;Primaria incompleta;Primaria incompleta;Estrato 1;Menos de 1 SMLV;Nivel 1;Hogar;Trabajador por cuenta propia;Cinco;Cemento, gravilla, ladrillo;No;Si;Si;No;No;No;No;No;No;No;40;40;36;33;40;51;;48;37;;;;;45;43;44;49;42;49
20121;SB11201210080223;ESTUDIANTE;URBANO;N;A;ACADÉMICO;318001003909;318001003909;18;18001;96891;CAQUETA;MIXTO;SABATINA;FLORENCIA;NO OFICIAL;CENTRO DE EDUCACION FORMAL PARA JOVENES Y ADULTOS COMFACA;CENTRO DE EDUCACION FORMAL PARA JOVENES Y ADULTOS COMFACA - SEDE PRINCIPAL;S;A1;;;;;;;;;;;No;Cabecera Municipal;18;;18001;;18;18001;;CAQUETA;CAQUETA;Ninguno;28/03/1993;M;;;;;;;;;FLORENCIA;FLORENCIA;;;;COLOMBIA;COLOMBIA;N;548;;;;;;;;;;;;;;;CC;;Si, menos de 20 horas a la semana;Menos de 87.000;Una Vez;Cuatro;Secundaria (Bachillerato) completa;Primaria completa;Estrato 1;Entre 3 y menos de 5 SMLV;Nivel 1;Hogar;;Cinco;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;Si;Si;No;Si;Si;No;Si;No;51;55;27;54;46;53;;48;44;;;;;40;44;52;47;49;56
20121;SB11201210080219;ESTUDIANTE;URBANO;N;A;ACADÉMICO;318001003909;318001003909;18;18001;96891;CAQUETA;MIXTO;SABATINA;FLORENCIA;NO OFICIAL;CENTRO DE EDUCACION FORMAL PARA JOVENES Y ADULTOS COMFACA;CENTRO DE EDUCACION FORMAL PARA JOVENES Y ADULTOS COMFACA - SEDE PRINCIPAL;S;A-;;;;;;;;;;;No;Cabecera Municipal;18;;18001;;18;18001;;CAQUETA;CAQUETA;Ninguno;10/06/1990;F;;;;;;;;;FLORENCIA;FLORENCIA;;;;COLOMBIA;COLOMBIA;N;852;;;;;;;;;;;;;;;CC;;No;Menos de 87.000;Ninguna vez;Tres;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) completa;Estrato 1;Entre 1 y menos de 2 SMLV;Nivel 1;Hogar;Trabajador por cuenta propia;Cinco;Cemento, gravilla, ladrillo;No;Si;No;No;No;No;No;No;Si;No;39;40;26;44;35;46;;38;46;;;;;44;48;40;45;53;42
