periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_ingles;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_depto_presentacion;estu_depto_reside;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_individual;estu_pais_reside;estu_pilopaga;estu_privado_libertad;estu_tieneetnia;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_tieneautomovil;fami_tienecomputador;fami_tieneinternet;fami_tienelavadora;fami_tieneserviciotv;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20152;SB11201520160265;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO;283765000701;283765000701;18;18785;69542;CAQUETA;MIXTO;MAÑANA;SOLITA;OFICIAL;I.E INTERNADO RURAL SOLITA;INTERNADO RURAL SOLITA;S;A-;S;18;18001;18;18785;CAQUETA;CAQUETA;;05/09/1999;F;11;45.690487;FLORENCIA;SOLITA;COLOMBIA;NSE2;COLOMBIA;NO;N;No;Uno;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) incompleta;Estrato 1;11 A 25 LIBROS;Tres;No;Si;No;Si;No;46;232;38;46;46;50
20152;SB11201520100588;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO;183860000625;183860000625;18;18860;45724;CAQUETA;MIXTO;MAÑANA;VALPARAISO;OFICIAL;I.E VALPARAISO;PADRE CAMILO TORRES;S;A1;S;18;18001;18;18860;CAQUETA;CAQUETA;;30/01/1999;M;11;49.475929;FLORENCIA;VALPARAISO;COLOMBIA;NSE2;COLOMBIA;NO;N;No;Tres;Secundaria (Bachillerato) completa;Educación profesional completa;Estrato 1;11 A 25 LIBROS;Cinco;Si;Si;No;Si;No;45;238;50;53;39;53
20152;SB11201520441828;ESTUDIANTE;TI;RURAL;N;A;TÉCNICO/ACADÉMICO;218610000547;218610000547;18;18610;65565;CAQUETA;MIXTO;MAÑANA;SAN JOSE DEL FRAGUA;OFICIAL;I.E. RURAL LAS LAJAS;LAS LAJAS;S;A-;S;18;18001;18;18610;CAQUETA;CAQUETA;Inga;12/02/1998;M;11;46.309635;FLORENCIA;SAN JOSE DEL FRAGUA;COLOMBIA;NSE2;COLOMBIA;NO;N;Si;Cinco;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 2;26 A 100 LIBROS;Seis;No;No;No;Si;Si;42;208;43;44;42;38
20152;SB11201520183285;ESTUDIANTE;TI;RURAL;N;A;;218001000271;218001000271;18;18001;159046;CAQUETA;MIXTO;MAÑANA;FLORENCIA;OFICIAL;INSTITUCION EDUCATIVA RURAL LA LIBERTAD;LA LIBERTAD;S;A1;S;18;18001;18;18001;CAQUETA;CAQUETA;;24/11/1998;F;11;35.091194;FLORENCIA;FLORENCIA;COLOMBIA;NSE1;COLOMBIA;NO;N;No;Tres;Primaria completa;Primaria incompleta;Estrato 1;0 A 10 LIBROS;Seis;No;No;No;No;No;41;236;52;50;50;46
20152;SB11201520199926;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;183753000299;183753000299;18;18753;19240;CAQUETA;MIXTO;MAÑANA;SAN VICENTE DEL CAGUAN;OFICIAL;I.E DANTE ALIGHIERI;DANTE ALIGHIERI;S;A-;S;18;18753;18;18753;CAQUETA;CAQUETA;;30/09/1998;F;11;45.482075;SAN VICENTE DEL CAGUAN;SAN VICENTE DEL CAGUAN;COLOMBIA;NSE2;COLOMBIA;NO;N;No;Tres;Primaria incompleta;Primaria incompleta;Estrato 1;11 A 25 LIBROS;Siete;No;Si;Si;No;Si;45;245;46;54;46;52
20152;SB11201520010829;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;183001001598;183001001598;18;18001;19158;CAQUETA;FEMENINO;MAÑANA;FLORENCIA;OFICIAL;JUAN BAUTISTA MIGANI;JUAN BAUTISTA MIGANI;S;A1;S;18;18001;18;18001;CAQUETA;CAQUETA;;13/05/1999;F;11;51.851868;FLORENCIA;FLORENCIA;COLOMBIA;NSE3;COLOMBIA;NO;N;No;Tres;Educación profesional completa;Primaria completa;Estrato 1;11 A 25 LIBROS;Cuatro;No;Si;Si;Si;Si;48;269;49;54;58;57
20152;SB11201520546871;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO;183247000213;183247000213;18;18247;160812;CAQUETA;MIXTO;NOCHE;EL DONCELLO;OFICIAL;I.E RUFINO QUICHOYA;RUFINO QUICHOYA;S;A-;S;18;18247;18;18247;CAQUETA;CAQUETA;;13/11/1997;F;26;36.417316;EL DONCELLO;EL DONCELLO;COLOMBIA;NSE1;COLOMBIA;NO;N;No;Dos;Secundaria (Bachillerato) completa;Primaria incompleta;Estrato 1;0 A 10 LIBROS;Cinco;No;No;No;No;No;28;172;38;34;38;36
20152;SB11201520591238;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;383753001850;383753001850;18;18753;94128;CAQUETA;MIXTO;COMPLETA;SAN VICENTE DEL CAGUAN;NO OFICIAL;CIUDADELA JUVENIL AMAZONICA DON BOSCO;I.E CIUDADELA JUVENIL AMAZONICA DON BOSCO;S;A-;S;18;18753;18;18753;CAQUETA;CAQUETA;Ninguno;07/04/1999;F;26;;SAN VICENTE DEL CAGUAN;SAN VICENTE DEL CAGUAN;COLOMBIA;;COLOMBIA;NO;N;;;;;Estrato 1;;;;;;;;39;218;40;48;52;37
20152;SB11201520591223;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;418753003503;418753003503;18;18753;102962;CAQUETA;MIXTO;MAÑANA;SAN VICENTE DEL CAGUAN;NO OFICIAL;INST FRANCISCO DE ASIS;INST FRANCISCO DE ASIS;S;A-;S;18;18753;18;18753;CAQUETA;CAQUETA;Ninguno;09/09/1996;M;26;;SAN VICENTE DEL CAGUAN;SAN VICENTE DEL CAGUAN;COLOMBIA;;COLOMBIA;NO;N;;;;;Estrato 1;;;;;;;;45;200;42;28;45;41
20152;SB11201520591219;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;418753003503;418753003503;18;18753;102962;CAQUETA;MIXTO;MAÑANA;SAN VICENTE DEL CAGUAN;NO OFICIAL;INST FRANCISCO DE ASIS;INST FRANCISCO DE ASIS;S;A-;S;18;18753;18;18753;CAQUETA;CAQUETA;Ninguno;26/08/1997;F;26;;SAN VICENTE DEL CAGUAN;SAN VICENTE DEL CAGUAN;COLOMBIA;;COLOMBIA;NO;N;;;;;Estrato 1;;;;;;;;38;207;34;39;43;48
