periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_depto_presentacion;estu_depto_reside;estu_discapacidad;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_establecimiento;estu_nse_individual;estu_pais_reside;estu_pilopaga;estu_privado_libertad;estu_repite;estu_tieneetnia;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_tieneautomovil;fami_tienecomputador;fami_tieneinternet;fami_tienelavadora;fami_tieneserviciotv;percentil_c_naturales;percentil_global;percentil_ingles;percentil_lectura_critica;percentil_matematicas;percentil_sociales_ciudadanas;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20162;SB11201620219353;ESTUDIANTE;TI;URBANO;;A;ACADÉMICO;318001002805;318001002805;18;18001;151373;CAQUETA;MIXTO;MAÑANA;FLORENCIA;NO OFICIAL;COMFACA;COMFACA;S;2;A2;3;3;2;S;18;18001;18;18001;CAQUETA;CAQUETA;N;;14/06/2000;F;11;63.455307;FLORENCIA;FLORENCIA;COLOMBIA;3;NSE3;COLOMBIA;NO;N;0;No;Cuatro;Educación profesional completa;Secundaria (Bachillerato) completa;Estrato 2;26 A 100 LIBROS;Tres;Si;Si;Si;Si;Si;53;62;84;65;62;49;53;272;64;56;55;50
20162;SB11201620339480;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;183001000826;183001000810;18;18001;161729;CAQUETA;MIXTO;TARDE;FLORENCIA;OFICIAL;INSTITUCION EDUCATIVA ANTONIO RICAURTE;JUAN XXIII;N;2;A-;2;2;2;S;18;18001;18;18001;CAQUETA;CAQUETA;N;;11/01/1996;F;11;36.452507;FLORENCIA;FLORENCIA;COLOMBIA;2;NSE1;COLOMBIA;NO;N;0;No;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 1;0 A 10 LIBROS;Cuatro;No;No;No;No;No;23;26;18;22;27;40;45;224;41;44;43;47
20162;SB11201620471624;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;318001003768;818001100022;18;18001;111161;CAQUETA;MIXTO;SABATINA;FLORENCIA;NO OFICIAL;INFORPH;INFORPH;S;1;A-;2;1;1;S;18;18001;18;18001;CAQUETA;CAQUETA;N;;12/10/1993;F;26;49.195629;FLORENCIA;FLORENCIA;COLOMBIA;2;NSE2;COLOMBIA;NO;N;0;No;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 1;11 A 25 LIBROS;Tres;No;Si;Si;No;Si;4;4;3;9;6;14;34;179;33;40;33;38
20162;SB11201620447535;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO/ACADÉMICO;218256001239;183256000021;18;18256;60475;CAQUETA;MIXTO;NOCHE;EL PAUJIL;OFICIAL;I.E AGROECOLOGICO AMAZONICO;JHON F. KENNEDY;N;2;A-;2;2;2;S;18;18247;18;18256;CAQUETA;CAQUETA;N;;20/06/1996;M;26;35.961945;EL DONCELLO;EL PAUJÍL;COLOMBIA;2;NSE1;COLOMBIA;NO;N;0;No;Dos;Primaria incompleta;Secundaria (Bachillerato) completa;Estrato 2;0 A 10 LIBROS;Cuatro;No;No;No;No;No;50;38;39;20;28;58;53;240;47;44;43;53
20162;SB11201620442684;ESTUDIANTE;TI;RURAL;;A;NO APLICA;218410001271;218410001271;18;18410;658187;CAQUETA;MIXTO;MAÑANA;LA MONTAÑITA;OFICIAL;I.E. R. BRISAS DE SAN ISIDRO;BRISAS DE SAN ISIDRO;S;2;A-;3;2;2;S;18;18001;18;18410;CAQUETA;CAQUETA;N;;21/01/2000;F;11;32.312393;FLORENCIA;LA MONTAÑITA;COLOMBIA;;NSE1;COLOMBIA;NO;N;0;No;Dos;Primaria incompleta;Secundaria (Bachillerato) incompleta;Estrato 1;0 A 10 LIBROS;Cuatro;No;No;No;No;No;56;42;18;49;34;38;54;245;41;52;46;47
20162;SB11201620218844;ESTUDIANTE;TI;URBANO;;A;ACADÉMICO;318001002805;318001002805;18;18001;151373;CAQUETA;MIXTO;MAÑANA;FLORENCIA;NO OFICIAL;COMFACA;COMFACA;S;3;A2;2;3;2;S;18;18001;18;18001;CAQUETA;CAQUETA;N;;10/04/2000;M;11;57.414753;FLORENCIA;FLORENCIA;COLOMBIA;3;NSE3;COLOMBIA;NO;N;107409;No;Tres;Educación profesional completa;Educación profesional completa;Estrato 2;MÁS DE 100 LIBROS;Cuatro;No;Si;Si;Si;No;82;73;87;42;81;64;61;288;66;50;61;55
20162;SB11201620046276;ESTUDIANTE;TI;RURAL;;A;TÉCNICO/ACADÉMICO;283247000641;283247000641;18;18247;133231;CAQUETA;MIXTO;MAÑANA;EL DONCELLO;OFICIAL;I.E R. SIMON BOLIVAR;SIMON BOLIVAR;S;2;A1;3;2;2;S;18;18247;18;18247;CAQUETA;CAQUETA;N;;06/02/2000;F;11;41.542355;EL DONCELLO;EL DONCELLO;COLOMBIA;1;NSE2;COLOMBIA;NO;N;0;No;Cuatro;Primaria completa;Ninguno;Estrato 1;0 A 10 LIBROS;Ocho;No;Si;No;No;No;44;37;52;56;13;43;51;239;51;54;37;48
20162;SB11201620332761;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO/ACADÉMICO;118205000187;283094001571;18;18205;195503;CAQUETA;MIXTO;NOCHE;CURILLO;OFICIAL;I.E ANGEL CUNIBERTI;SAN PABLO;N;2;A-;2;2;2;S;18;18610;86;86571;CAQUETA;PUTUMAYO;N;;19/05/1997;F;26;37.530437;SAN JOSÉ DEL FRAGUA;PUERTO GUZMÁN;COLOMBIA;2;NSE1;COLOMBIA;NO;N;0;No;Dos;Ninguno;Primaria incompleta;Estrato 1;0 A 10 LIBROS;Tres;No;No;No;No;Si;13;13;6;9;21;23;41;201;35;39;40;42
20162;SB11201620247719;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;118205000187;283094001571;18;18205;37432;CAQUETA;MIXTO;MAÑANA;CURILLO;OFICIAL;I.E ANGEL CUNIBERTI;SAN PABLO;N;1;A-;2;2;1;S;18;18610;18;18205;CAQUETA;CAQUETA;N;;28/02/2000;F;11;42.0495;SAN JOSÉ DEL FRAGUA;CURILLO;COLOMBIA;2;NSE2;COLOMBIA;NO;N;0;No;Dos;No sabe;No sabe;Estrato 1;11 A 25 LIBROS;Tres;No;No;No;Si;No;10;14;12;29;16;14;40;203;39;47;38;38
20162;SB11201620107479;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;118150001758;118150001758;18;18150;185868;CAQUETA;MIXTO;SABATINA;CARTAGENA DEL CHAIRA;OFICIAL;I.E AGROECOLOGICO AMAZONICO;AGROECOLOGICO;S;2;A1;2;1;2;S;18;18150;18;18150;CAQUETA;CAQUETA;N;;16/02/2000;F;26;42.883625;CARTAGENA DEL CHAIRÁ;CARTAGENA DEL CHAIRÁ;COLOMBIA;2;NSE2;COLOMBIA;NO;N;0;No;Cinco;Primaria completa;Primaria completa;Estrato 1;0 A 10 LIBROS;Cinco;No;No;No;No;Si;47;26;49;38;7;25;52;223;50;49;33;42
