periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_dedicacioninternet;estu_dedicacionlecturadiaria;estu_depto_presentacion;estu_depto_reside;estu_discapacidad;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_horassemanatrabaja;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_establecimiento;estu_nse_individual;estu_pais_reside;estu_pilopaga;estu_privado_libertad;estu_repite;estu_tieneetnia;estu_tiporemuneracion;fami_comecarnepescadohuevo;fami_comecerealfrutoslegumbre;fami_comelechederivados;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_situacioneconomica;fami_tieneautomovil;fami_tienecomputador;fami_tieneconsolavideojuegos;fami_tienehornomicroogas;fami_tieneinternet;fami_tienelavadora;fami_tienemotocicleta;fami_tieneserviciotv;fami_trabajolabormadre;fami_trabajolaborpadre;percentil_c_naturales;percentil_global;percentil_ingles;percentil_lectura_critica;percentil_matematicas;percentil_sociales_ciudadanas;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20171;SB11201710021668;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO/ACADÉMICO;183479000058;183479000058;18;18479;89755;CAQUETA;MIXTO;SABATINA;MORELIA;OFICIAL;I.E CERVANTES;CERVANTES;S;2;A-;2;1;2;N;18;18001;18;18479;30 minutos o menos;30 minutos o menos;CAQUETA;CAQUETA;N;;07/02/1998;M;26;Más de 30 horas;41.576763;FLORENCIA;MORELIA;COLOMBIA;1;NSE2;COLOMBIA;NO;N;0;No;Si, en efectivo;3 a 5 veces por semana;Todos o casi todos los días;Nunca o rara vez comemos eso;Uno;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) incompleta;Estrato 2;0 A 10 LIBROS;1 a 2;Igual;No;Si;No;No;No;No;Si;No;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;21;12;7;19;6;14;46;204;30;47;33;41
20171;SB11201710074294;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;318001003768;318001003768;18;18001;111161;CAQUETA;MIXTO;SABATINA;FLORENCIA;NO OFICIAL;INFORPH;INFORPH;S;2;A-;3;2;2;N;18;18001;18;18001;Entre 30 y 60 minutos;Entre 30 y 60 minutos;CAQUETA;CAQUETA;N;;21/06/1997;F;26;0;62.56496;FLORENCIA;FLORENCIA;COLOMBIA;2;NSE3;COLOMBIA;NO;N;0;No;No;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Tres;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) completa;Estrato 2;11 A 25 LIBROS;5 a 6;Mejor;Si;Si;Si;Si;Si;Si;Si;Si;No aplica;Pensionado;36;28;15;43;18;30;52;243;38;55;42;49
20171;SB11201710085545;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;183256000633;183256000633;18;18256;190892;CAQUETA;MIXTO;SABATINA;EL PAUJÍL;OFICIAL;I.E NUESTRA SE¿ORA DE LAS MERCEDES;NUESTRA SEÑORA DE LAS MERCEDES;S;2;A-;2;2;3;N;15;15001;18;18247;No Navega Internet;30 minutos o menos;BOYACA;CAQUETA;N;;14/06/1985;M;26;Entre 11 y 20 horas;36.967415;TUNJA;EL DONCELLO;COLOMBIA;2;NSE1;COLOMBIA;NO;N;0;No;Si, en efectivo;1 o 2 veces por semana;Nunca o rara vez comemos eso;1 o 2 veces por semana;Tres;Primaria completa;Primaria completa;Estrato 1;0 A 10 LIBROS;3 a 4;Igual;No;No;No;No;No;No;Si;No;Trabaja en el hogar, no trabaja o estudia;Trabaja en el hogar, no trabaja o estudia;21;18;4;9;14;47;46;220;25;41;39;56
20171;SB11201710066938;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;318001004077;318001004077;18;18001;151977;CAQUETA;MIXTO;SABATINA;FLORENCIA;NO OFICIAL;COLEGIO PEDAGÓGICO DE COLOMBIA;COLEGIO PEDAGÓGICO DE COLOMBIA - SEDE PRINCIPAL;S;1;A-;2;2;1;N;18;18001;18;18001;No Navega Internet;30 minutos o menos;CAQUETA;CAQUETA;N;;22/07/1999;M;26;Entre 11 y 20 horas;40.740685;FLORENCIA;FLORENCIA;COLOMBIA;2;NSE1;COLOMBIA;NO;N;0;No;Si, en efectivo;Nunca o rara vez comemos eso;Nunca o rara vez comemos eso;Nunca o rara vez comemos eso;Tres;Primaria incompleta;Primaria incompleta;Estrato 1;0 A 10 LIBROS;3 a 4;Igual;No;Si;No;No;No;Si;No;No;Es vendedor o trabaja en atención al público;Es vendedor o trabaja en atención al público;5;5;8;6;13;6;35;183;31;39;38;36
20171;SB11201710032882;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;318001003822;318001003822;18;18001;97535;CAQUETA;MIXTO;SABATINA;FLORENCIA;NO OFICIAL;CENT. DE EDUC. PADRE LUIS DE RIZ;CENT. DE EDUC. PADRE LUIS DE RIZ;S;2;A1;3;2;3;N;18;18001;18;18001;Entre 30 y 60 minutos;30 minutos o menos;CAQUETA;CAQUETA;N;;27/04/1999;M;26;Entre 11 y 20 horas;54.412395;FLORENCIA;FLORENCIA;COLOMBIA;2;NSE3;COLOMBIA;NO;N;0;No;Si, en efectivo;3 a 5 veces por semana;Nunca o rara vez comemos eso;1 o 2 veces por semana;Tres;Técnica o tecnológica completa;No sabe;Estrato 3;26 A 100 LIBROS;3 a 4;Igual;No;Si;No;Si;Si;Si;No;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);No sabe;41;41;37;34;35;56;54;268;51;52;50;59
20171;SB11201710076807;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;318001004077;318001004077;18;18001;151977;CAQUETA;MIXTO;SABATINA;FLORENCIA;NO OFICIAL;COLEGIO PEDAGÓGICO DE COLOMBIA;COLEGIO PEDAGÓGICO DE COLOMBIA - SEDE PRINCIPAL;S;1;A-;2;2;2;N;18;18001;18;18001;No Navega Internet;30 minutos o menos;CAQUETA;CAQUETA;N;;06/04/1998;M;26;Entre 11 y 20 horas;34.000286;FLORENCIA;FLORENCIA;COLOMBIA;2;NSE1;COLOMBIA;NO;N;0;No;Si, en efectivo;1 o 2 veces por semana;Todos o casi todos los días;3 a 5 veces por semana;Tres;Primaria incompleta;Ninguno;Estrato 2;0 A 10 LIBROS;3 a 4;Mejor;No;;No;No;No;No;No;No;Trabaja en el hogar, no trabaja o estudia;Es agricultor, pesquero o jornalero;9;8;1;11;13;15;39;192;13;42;39;42
20171;SB11201710079214;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;318001003775;318001003775;18;18001;86512;CAQUETA;MIXTO;SABATINA;FLORENCIA;NO OFICIAL;ATENEO AUTONOMO DE FLORENCIA;ATENEO AUTONOMO DE FLORENCIA;S;2;A-;3;2;1;N;18;18001;18;18001;Entre 30 y 60 minutos;No leo por entretenimiento;CAQUETA;CAQUETA;N;;30/01/1995;M;26;Entre 21 y 30 horas;48.952347;FLORENCIA;FLORENCIA;COLOMBIA;2;NSE2;COLOMBIA;NO;N;0;No;Si, en especie;1 o 2 veces por semana;3 a 5 veces por semana;1 o 2 veces por semana;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 2;11 A 25 LIBROS;5 a 6;Igual;No;Si;Si;No;No;Si;Si;Si;Es vendedor o trabaja en atención al público;Es operario de máquinas o conduce vehículos (taxita, chofer);20;26;29;52;31;12;45;238;46;58;48;40
20171;SB11201710073487;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;318001003768;318001003768;18;18001;111161;CAQUETA;MIXTO;SABATINA;FLORENCIA;NO OFICIAL;INFORPH;INFORPH;S;1;A-;2;1;1;N;18;18001;18;18001;No Navega Internet;No leo por entretenimiento;CAQUETA;CAQUETA;N;;06/03/1993;F;26;Entre 11 y 20 horas;36.993519;FLORENCIA;FLORENCIA;COLOMBIA;2;NSE1;COLOMBIA;NO;N;0;No;Si, en efectivo;1 o 2 veces por semana;Nunca o rara vez comemos eso;Nunca o rara vez comemos eso;Tres;Primaria incompleta;Ninguno;Estrato 1;0 A 10 LIBROS;3 a 4;Igual;No;Si;No;Si;No;No;Si;No;Trabaja en el hogar, no trabaja o estudia;Es agricultor, pesquero o jornalero;10;4;16;5;4;4;39;180;38;39;31;34
20171;SB11201710038797;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;318001003822;318001003822;18;18001;97535;CAQUETA;MIXTO;SABATINA;FLORENCIA;NO OFICIAL;CENT. DE EDUC. PADRE LUIS DE RIZ;CENT. DE EDUC. PADRE LUIS DE RIZ;S;2;A-;2;2;1;N;18;18001;18;18001;30 minutos o menos;Entre 1 y 2 horas;CAQUETA;CAQUETA;N;;26/04/1992;M;26;Más de 30 horas;46.401165;FLORENCIA;FLORENCIA;COLOMBIA;2;NSE2;COLOMBIA;NO;N;0;No;No;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Dos;Primaria incompleta;Primaria incompleta;Estrato 3;0 A 10 LIBROS;3 a 4;Mejor;No;No;No;No;Si;Si;No;Si;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;Trabaja por cuenta propia (por ejemplo plomero, electricista);38;19;3;23;23;11;53;222;24;48;44;39
20171;SB11201710073741;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;318001004077;318001004077;18;18001;151977;CAQUETA;MIXTO;SABATINA;FLORENCIA;NO OFICIAL;COLEGIO PEDAGÓGICO DE COLOMBIA;COLEGIO PEDAGÓGICO DE COLOMBIA - SEDE PRINCIPAL;S;2;A-;2;1;1;N;18;18001;18;18001;Entre 30 y 60 minutos;30 minutos o menos;CAQUETA;CAQUETA;N;;28/11/1997;M;26;Más de 30 horas;41.028645;FLORENCIA;FLORENCIA;COLOMBIA;2;NSE1;COLOMBIA;NO;N;0;No;No;3 a 5 veces por semana;1 o 2 veces por semana;1 o 2 veces por semana;Tres;Primaria completa;Primaria completa;Estrato 1;0 A 10 LIBROS;9 o más;Mejor;No;No;No;No;No;No;No;Si;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Trabaja por cuenta propia (por ejemplo plomero, electricista);14;4;5;11;2;6;42;180;27;43;27;35
