periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_dedicacioninternet;estu_dedicacionlecturadiaria;estu_depto_presentacion;estu_depto_reside;estu_discapacidad;estu_etnia;estu_fechanacimiento;estu_generacione;estu_genero;estu_grado;estu_horassemanatrabaja;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_establecimiento;estu_nse_individual;estu_pais_reside;estu_privado_libertad;estu_repite;estu_tieneetnia;estu_tiporemuneracion;fami_comecarnepescadohuevo;fami_comecerealfrutoslegumbre;fami_comelechederivados;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_situacioneconomica;fami_tieneautomovil;fami_tienecomputador;fami_tieneconsolavideojuegos;fami_tienehornomicroogas;fami_tieneinternet;fami_tienelavadora;fami_tienemotocicleta;fami_tieneserviciotv;fami_trabajolabormadre;fami_trabajolaborpadre;percentil_c_naturales;percentil_global;percentil_ingles;percentil_lectura_critica;percentil_matematicas;percentil_sociales_ciudadanas;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20201;SB11202010027384;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;318001004077;318001004077;18;18001;151977;CAQUETA;MIXTO;SABATINA;FLORENCIA;NO OFICIAL;COLEGIO PEDAGÓGICO DE COLOMBIA;COLEGIO PEDAGÓGICO DE COLOMBIA - SEDE PRINCIPAL;S;1;A-;2;1;1;N;18;18247;18;18001;Entre 30 y 60 minutos;30 minutos o menos;CAQUETA;CAQUETA;N;;24/01/2000;GENERACION E - GRATUIDAD;M;26;Menos de 10 horas;44.201527;EL DONCELLO;FLORENCIA;COLOMBIA;1;2;COLOMBIA;N;0;No;Si, en efectivo;Todos o casi todos los días;Nunca o rara vez comemos eso;Nunca o rara vez comemos eso;Dos;Primaria completa;Técnica o tecnológica incompleta;Estrato 1;;1 a 2;Igual;No;No;No;No;Si;Si;No;Si;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;Trabaja en el hogar, no trabaja o estudia;3;1;3;5;1;2;32;153;31;39;25;26
20201;SB11202010030212;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;183256000633;183256000633;18;18256;190892;CAQUETA;MIXTO;SABATINA;EL PAUJÍL;OFICIAL;I.E NUESTRA SE¿ORA DE LAS MERCEDES;NUESTRA SEÑORA DE LAS MERCEDES;S;2;A-;2;1;1;N;18;18256;18;18256;Entre 30 y 60 minutos;Entre 1 y 2 horas;CAQUETA;CAQUETA;N;;30/06/1994;GENERACION E - GRATUIDAD;F;26;Entre 11 y 20 horas;45.423172;EL PAUJÍL;EL PAUJÍL;COLOMBIA;1;2;COLOMBIA;N;0;No;Si, en efectivo;Todos o casi todos los días;1 o 2 veces por semana;1 o 2 veces por semana;Uno;Primaria completa;Secundaria (Bachillerato) incompleta;Estrato 1;0 A 10 LIBROS;1 a 2;Igual;Si;Si;No;No;Si;No;No;No;Trabaja en el hogar, no trabaja o estudia;Trabaja en el hogar, no trabaja o estudia;19;5;2;5;4;9;44;181;27;38;32;34
20201;SB11202010069579;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;318001004077;318001004077;18;18001;151977;CAQUETA;MIXTO;SABATINA;FLORENCIA;NO OFICIAL;COLEGIO PEDAGÓGICO DE COLOMBIA;COLEGIO PEDAGÓGICO DE COLOMBIA - SEDE PRINCIPAL;S;1;A-;1;1;1;N;5;5001;18;18001;No Navega Internet;No leo por entretenimiento;ANTIOQUIA;CAQUETA;N;;22/03/1999;GENERACION E - GRATUIDAD;M;26;0;34.417793;MEDELLÍN;FLORENCIA;COLOMBIA;1;1;COLOMBIA;N;0;No;No;Todos o casi todos los días;Nunca o rara vez comemos eso;1 o 2 veces por semana;Tres;Ninguno;Ninguno;Estrato 1;0 A 10 LIBROS;5 a 6;Mejor;No;No;No;No;No;No;Si;Si;Trabaja en el hogar, no trabaja o estudia;Trabaja en el hogar, no trabaja o estudia;1;1;12;2;1;2;26;140;41;34;21;27
20201;SB11202010069576;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;318001004077;318001004077;18;18001;151977;CAQUETA;MIXTO;SABATINA;FLORENCIA;NO OFICIAL;COLEGIO PEDAGÓGICO DE COLOMBIA;COLEGIO PEDAGÓGICO DE COLOMBIA - SEDE PRINCIPAL;S;1;A-;2;1;1;N;18;18247;18;18001;30 minutos o menos;30 minutos o menos;CAQUETA;CAQUETA;N;;11/04/2000;GENERACION E - GRATUIDAD;M;26;Entre 11 y 20 horas;42.656162;EL DONCELLO;FLORENCIA;COLOMBIA;1;2;COLOMBIA;N;190992;No;Si, en efectivo y especie;3 a 5 veces por semana;1 o 2 veces por semana;1 o 2 veces por semana;Tres;Primaria incompleta;Primaria incompleta;Estrato 2;11 A 25 LIBROS;3 a 4;Igual;No;No;No;No;Si;Si;Si;Si;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Es agricultor, pesquero o jornalero;10;3;5;9;4;1;39;173;33;42;33;25
20201;SB11202010027379;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;318001004077;318001004077;18;18001;151977;CAQUETA;MIXTO;SABATINA;FLORENCIA;NO OFICIAL;COLEGIO PEDAGÓGICO DE COLOMBIA;COLEGIO PEDAGÓGICO DE COLOMBIA - SEDE PRINCIPAL;S;2;A-;2;2;1;N;18;18001;18;18001;Entre 30 y 60 minutos;No leo por entretenimiento;CAQUETA;CAQUETA;N;;20/06/2000;GENERACION E - GRATUIDAD;M;26;Menos de 10 horas;37.691174;FLORENCIA;FLORENCIA;COLOMBIA;1;1;COLOMBIA;N;0;No;No;1 o 2 veces por semana;1 o 2 veces por semana;1 o 2 veces por semana;Dos;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 1;0 A 10 LIBROS;3 a 4;Peor;No;No;No;No;No;No;No;No;Trabaja en el hogar, no trabaja o estudia;No aplica;15;12;18;11;20;10;41;210;46;43;47;36
20201;SB11202010030220;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;183256000633;183256000633;18;18256;190892;CAQUETA;MIXTO;SABATINA;EL PAUJÍL;OFICIAL;I.E NUESTRA SE¿ORA DE LAS MERCEDES;NUESTRA SEÑORA DE LAS MERCEDES;S;1;A-;2;2;2;N;18;18256;18;18256;No Navega Internet;No leo por entretenimiento;CAQUETA;CAQUETA;N;;15/05/1982;GENERACION E - GRATUIDAD;F;26;Más de 30 horas;34.705193;EL PAUJÍL;EL PAUJÍL;COLOMBIA;1;1;COLOMBIA;N;0;No;No;1 o 2 veces por semana;3 a 5 veces por semana;Nunca o rara vez comemos eso;Uno;Primaria incompleta;Primaria incompleta;Estrato 6;0 A 10 LIBROS;1 a 2;Igual;No;No;No;Si;Si;No;No;No;Es agricultor, pesquero o jornalero;Es agricultor, pesquero o jornalero;10;12;2;12;16;25;38;209;27;45;44;45
20201;SB11202010030209;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;183256000633;183256000633;18;18256;190892;CAQUETA;MIXTO;SABATINA;EL PAUJÍL;OFICIAL;I.E NUESTRA SE¿ORA DE LAS MERCEDES;NUESTRA SEÑORA DE LAS MERCEDES;S;1;A-;2;1;2;N;18;18256;18;18256;Entre 30 y 60 minutos;Entre 30 y 60 minutos;CAQUETA;CAQUETA;N;;15/10/1980;GENERACION E - GRATUIDAD;M;26;Más de 30 horas;26.428537;EL PAUJÍL;EL PAUJÍL;COLOMBIA;1;1;COLOMBIA;N;0;No;Si, en efectivo;1 o 2 veces por semana;1 o 2 veces por semana;1 o 2 veces por semana;Uno;Primaria incompleta;Ninguno;Sin Estrato;0 A 10 LIBROS;3 a 4;Igual;No;No;No;No;No;No;No;No;No aplica;No aplica;2;6;3;15;2;29;31;187;30;47;27;47
20201;SB11202010030222;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;183256000633;183256000633;18;18256;190892;CAQUETA;MIXTO;SABATINA;EL PAUJÍL;OFICIAL;I.E NUESTRA SE¿ORA DE LAS MERCEDES;NUESTRA SEÑORA DE LAS MERCEDES;S;1;A-;2;1;1;N;18;18256;18;18256;No Navega Internet;Entre 30 y 60 minutos;CAQUETA;CAQUETA;N;;25/12/1993;GENERACION E - GRATUIDAD;F;26;Menos de 10 horas;37.188171;EL PAUJÍL;EL PAUJÍL;COLOMBIA;1;1;COLOMBIA;N;0;No;No;1 o 2 veces por semana;Todos o casi todos los días;Todos o casi todos los días;Dos;Secundaria (Bachillerato) incompleta;Primaria incompleta;Sin Estrato;11 A 25 LIBROS;5 a 6;Mejor;No;No;No;No;No;No;No;No;Trabaja en el hogar, no trabaja o estudia;Es agricultor, pesquero o jornalero;3;3;1;17;4;3;32;172;25;48;32;29
20201;SB11202010030204;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;183256000633;183256000633;18;18256;190892;CAQUETA;MIXTO;SABATINA;EL PAUJÍL;OFICIAL;I.E NUESTRA SE¿ORA DE LAS MERCEDES;NUESTRA SEÑORA DE LAS MERCEDES;S;2;A-;1;1;1;N;18;18256;18;18256;No Navega Internet;No leo por entretenimiento;CAQUETA;CAQUETA;N;;16/06/1994;GENERACION E - GRATUIDAD;F;26;Más de 30 horas;32.157597;EL PAUJÍL;EL PAUJÍL;COLOMBIA;1;1;COLOMBIA;N;0;No;Si, en efectivo;1 o 2 veces por semana;3 a 5 veces por semana;1 o 2 veces por semana;Dos;Secundaria (Bachillerato) completa;Primaria incompleta;Estrato 1;0 A 10 LIBROS;3 a 4;Peor;No;No;No;No;No;No;Si;No;Es agricultor, pesquero o jornalero;Es agricultor, pesquero o jornalero;14;2;9;2;1;5;41;160;39;32;22;31
20201;SB11202010030224;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;183256000633;183256000633;18;18256;190892;CAQUETA;MIXTO;SABATINA;EL PAUJÍL;OFICIAL;I.E NUESTRA SE¿ORA DE LAS MERCEDES;NUESTRA SEÑORA DE LAS MERCEDES;S;2;A-;2;2;2;N;18;18256;18;18256;30 minutos o menos;30 minutos o menos;CAQUETA;CAQUETA;N;;26/04/1983;NO;M;26;Entre 11 y 20 horas;41.643059;EL PAUJÍL;EL PAUJÍL;COLOMBIA;1;2;COLOMBIA;N;0;No;Si, en efectivo;3 a 5 veces por semana;1 o 2 veces por semana;3 a 5 veces por semana;Seis o mas;Ninguno;Primaria incompleta;Estrato 1;26 A 100 LIBROS;5 a 6;Igual;No;Si;No;No;No;Si;Si;No;Es agricultor, pesquero o jornalero;Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;14;12;4;14;10;26;41;210;31;46;40;45
