periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_dedicacioninternet;estu_dedicacionlecturadiaria;estu_depto_presentacion;estu_depto_reside;estu_discapacidad;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_horassemanatrabaja;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_establecimiento;estu_nse_individual;estu_pais_reside;estu_privado_libertad;estu_repite;estu_tieneetnia;estu_tiporemuneracion;fami_comecarnepescadohuevo;fami_comecerealfrutoslegumbre;fami_comelechederivados;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_situacioneconomica;fami_tieneautomovil;fami_tienecomputador;fami_tieneconsolavideojuegos;fami_tienehornomicroogas;fami_tieneinternet;fami_tienelavadora;fami_tienemotocicleta;fami_tieneserviciotv;fami_trabajolabormadre;fami_trabajolaborpadre;percentil_c_naturales;percentil_global;percentil_ingles;percentil_lectura_critica;percentil_matematicas;percentil_sociales_ciudadanas;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas;estu_grupoetnia
20242;SB11202430586069;ESTUDIANTE;CC;URBANA;N;A;ACADÉMICO;318001003768;318001003768;18;18001;111161;CAQUETA;MIXTO;SABATINA;FLORENCIA;NO OFICIAL;INFORPH;INFORPH;S;1;A-;1;1;1;S;18;18753;18;18001;Entre 1 y 3 horas;No leo por entretenimiento;CAQUETA;CAQUETA;N;;20/03/1976;M;26;;50.612209;SAN VICENTE DEL CAGUÁN;FLORENCIA;COLOMBIA;2;2;COLOMBIA;N;0;;;Todos o casi todos los días;3 a 5 veces por semana;3 a 5 veces por semana;;Primaria incompleta;Primaria incompleta;Estrato 3;0 A 10 LIBROS;;;;;;;Si;;;Si;;;7;1;6;2;2;2;35;150;33;32;25;27;NINGUNO
20242;SB11202430355500;ESTUDIANTE;CC;RURAL;;A;TÉCNICO/ACADÉMICO;218610001098;218610001098;18;18610;710137;CAQUETA;MIXTO;SABATINA;SAN JOSÉ DEL FRAGUA;OFICIAL;I.E.R. DIVINO NIÑO;PUERTO NUEVO ZABALETA;S;1;A-;1;1;1;S;18;18610;18;18610;No Navega Internet;30 minutos o menos;CAQUETA;CAQUETA;N;;30/05/2004;F;26;Entre 11 y 20 horas;29.650761;SAN JOSÉ DEL FRAGUA;SAN JOSÉ DEL FRAGUA;COLOMBIA;2;1;COLOMBIA;N;0;;No;1 o 2 veces por semana;Nunca o rara vez comemos eso;Nunca o rara vez comemos eso;Tres;Primaria incompleta;Primaria incompleta;Estrato 4;0 A 10 LIBROS;5 a 6;Peor;No;No;No;No;No;No;Si;No;Trabaja en el hogar, no trabaja o estudia;Es agricultor, pesquero o jornalero;6;3;3;4;4;18;34;166;29;35;29;36;NINGUNO
20242;SB11202430073219;ESTUDIANTE;TI;RURAL;N;A;TÉCNICO/ACADÉMICO;283592002011;283592002011;18;18592;747295;CAQUETA;MIXTO;UNICA;PUERTO RICO;OFICIAL;I.E. R. JORGE ELIECER GAITAN;JORGE ELIECER GAITAN;S;2;A-;2;3;1;S;18;18592;18;18592;30 minutos o menos;30 minutos o menos;CAQUETA;CAQUETA;N;;05/05/2007;M;11;Entre 11 y 20 horas;31.437632;PUERTO RICO;PUERTO RICO;COLOMBIA;1;1;COLOMBIA;N;0;;No;1 o 2 veces por semana;1 o 2 veces por semana;1 o 2 veces por semana;Cuatro;Primaria incompleta;Primaria incompleta;Estrato 1;0 A 10 LIBROS;5 a 6;Igual;No;No;No;No;No;No;No;Si;Es agricultor, pesquero o jornalero;Es agricultor, pesquero o jornalero;28;30;25;23;47;28;43;225;43;46;52;40;NINGUNO
20242;SB11202430115712;ESTUDIANTE;TI;URBANA;;A;ACADÉMICO;318001002961;318001002961;18;18001;150805;CAQUETA;MIXTO;MAÑANA;FLORENCIA;NO OFICIAL;LICEO SUPERIOR PRIMERAS LUCES;LICEO SUPERIOR PRIMERAS LUCES;S;3;A1;3;3;3;S;18;18001;18;18001;Entre 1 y 3 horas;Más de 2 horas;CAQUETA;CAQUETA;N;;21/01/2008;M;11;Entre 11 y 20 horas;57.899654;FLORENCIA;FLORENCIA;COLOMBIA;3;3;COLOMBIA;N;0;;Si, en efectivo;3 a 5 veces por semana;Todos o casi todos los días;3 a 5 veces por semana;Cuatro;Técnica o tecnológica completa;Secundaria (Bachillerato) incompleta;Estrato 2;MÁS DE 100 LIBROS;5 a 6;Peor;Si;Si;No;No;Si;Si;Si;Si;Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;Trabaja por cuenta propia (por ejemplo plomero, electricista);93;83;68;60;90;74;66;309;56;57;69;57;NINGUNO
20242;SB11202430521023;ESTUDIANTE;TI;URBANA;N;A;TÉCNICO/ACADÉMICO;118205000187;283094001571;18;18205;749853;CAQUETA;MIXTO;UNICA;CURILLO;OFICIAL;I.E ANGEL CUNIBERTI;SAN PABLO;N;2;A1;3;2;2;S;18;18610;18;18205;Entre 30 y 60 minutos;30 minutos o menos;CAQUETA;CAQUETA;N;;26/03/2007;M;11;0;41.880203;SAN JOSÉ DEL FRAGUA;CURILLO;COLOMBIA;2;2;COLOMBIA;N;0;;No;Todos o casi todos los días;1 o 2 veces por semana;3 a 5 veces por semana;Cuatro;Primaria incompleta;Primaria incompleta;Estrato 1;0 A 10 LIBROS;7 a 8;Peor;No;No;No;No;Si;Si;Si;Si;Trabaja en el hogar, no trabaja o estudia;Es agricultor, pesquero o jornalero;28;38;48;44;44;38;43;238;49;53;50;44;NINGUNO
20242;SB11202430477599;ESTUDIANTE;CC;URBANA;N;A;ACADÉMICO;183256000633;183256000633;18;18256;671628;CAQUETA;MIXTO;UNICA;EL PAUJÍL;OFICIAL;I.E NUESTRA SE¿ORA DE LAS MERCEDES;NUESTRA SEÑORA DE LAS MERCEDES;S;3;A1;3;2;2;S;18;18256;18;18256;Entre 1 y 3 horas;Entre 1 y 2 horas;CAQUETA;CAQUETA;N;;27/12/2004;F;11;0;39.812572;EL PAUJÍL;EL PAUJÍL;COLOMBIA;2;1;COLOMBIA;N;0;;No;1 o 2 veces por semana;3 a 5 veces por semana;1 o 2 veces por semana;Dos;Primaria incompleta;Secundaria (Bachillerato) completa;Estrato 1;0 A 10 LIBROS;3 a 4;Igual;No;No;No;No;No;Si;Si;Si;Trabaja en el hogar, no trabaja o estudia;Es agricultor, pesquero o jornalero;82;64;61;53;43;69;61;276;54;55;50;55;NINGUNO
20242;SB11202430199064;ESTUDIANTE;TI;URBANA;;A;ACADÉMICO;318001002805;318001002805;18;18001;151373;CAQUETA;MIXTO;MAÑANA;FLORENCIA;NO OFICIAL;COMFACA;COMFACA;S;2;B1;3;3;3;S;18;18001;18;18001;;;CAQUETA;CAQUETA;N;;12/07/2007;F;11;Entre 11 y 20 horas;;FLORENCIA;FLORENCIA;COLOMBIA;3;;COLOMBIA;N;166068;;No;;;;Tres;;;Estrato 2;;3 a 4;Igual;No;No;No;No;;Si;Si;;Trabaja en el hogar, no trabaja o estudia;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);42;69;92;67;66;73;48;283;71;59;58;57;NINGUNO
20242;SB11202430548305;ESTUDIANTE;TI;URBANA;N;A;TÉCNICO/ACADÉMICO;183001000940;183001000940;18;18001;773374;CAQUETA;MIXTO;UNICA;FLORENCIA;OFICIAL;INSTITUCION EDUCATIVA NORMAL SUPERIOR;NORMAL SUPERIOR;S;2;A2;3;3;2;S;18;18001;18;18001;Entre 30 y 60 minutos;30 minutos o menos;CAQUETA;CAQUETA;N;;25/09/2007;M;11;0;56.403728;FLORENCIA;FLORENCIA;COLOMBIA;3;3;COLOMBIA;N;164828;;No;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Tres;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 4;0 A 10 LIBROS;3 a 4;Igual;No;No;Si;Si;Si;Si;Si;Si;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;No aplica;56;62;75;66;72;43;52;272;59;59;60;45;NINGUNO
20242;SB11202430365378;ESTUDIANTE;TI;URBANA;N;A;TÉCNICO/ACADÉMICO;183001002217;183001002217;18;18001;741090;CAQUETA;MIXTO;UNICA;FLORENCIA;OFICIAL;INSTITUCION EDUCATIVA JORGE ELIECER GAITAN;JORGE ELIECER GAITAN;S;4;A1;3;3;3;S;18;18001;18;18001;Entre 30 y 60 minutos;Entre 1 y 2 horas;CAQUETA;CAQUETA;N;;09/02/2008;M;11;0;40.390415;FLORENCIA;FLORENCIA;COLOMBIA;2;1;COLOMBIA;N;204998;;No;1 o 2 veces por semana;Nunca o rara vez comemos eso;1 o 2 veces por semana;Tres;No sabe;Secundaria (Bachillerato) completa;Estrato 1;0 A 10 LIBROS;5 a 6;Igual;Si;No;No;No;No;No;Si;No;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);No sabe;98;83;67;38;86;86;71;310;56;51;66;62;NINGUNO
20242;SB11202430346083;ESTUDIANTE;TI;URBANA;N;A;TÉCNICO/ACADÉMICO;183094001665;183094001665;18;18094;274373;CAQUETA;MIXTO;MAÑANA;BELÉN DE LOS ANDAQUÍES;OFICIAL;I.E AGROTECNICO MIXTO;AGROTECNICO MIXTO;S;3;A2;4;4;4;S;18;18610;18;18094;Entre 30 y 60 minutos;No leo por entretenimiento;CAQUETA;CAQUETA;N;;06/02/2007;F;11;Menos de 10 horas;32.57391;SAN JOSÉ DEL FRAGUA;BELÉN DE LOS ANDAQUÍES;COLOMBIA;1;1;COLOMBIA;N;0;;Si, en efectivo;Nunca o rara vez comemos eso;1 o 2 veces por semana;Nunca o rara vez comemos eso;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) incompleta;Estrato 1;;7 a 8;Igual;No;No;No;No;No;No;No;No;Es agricultor, pesquero o jornalero;Es agricultor, pesquero o jornalero;89;95;75;89;97;97;64;342;59;67;75;71;NINGUNO
