periodo;estu_consecutivo;estu_estudiante;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_ingles;desemp_profundiza_biologia;desemp_profundiza_csociales;desemp_profundiza_lenguaje;desemp_profundiza_matematica;estu_anomatriculaprimero;estu_anomatriculasexto;estu_anoscolegioactual;estu_anospreescolar;estu_anoterminobachiller;estu_anoterminoquinto;estu_antecedentes;estu_areareside;estu_cod_depto_presentacion;estu_cod_iesdeseada;estu_cod_mcpio_presentacion;estu_cod_mcpioiesdeseada;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_cuantoscolegioestudio;estu_depto_presentacion;estu_depto_reside;estu_etnia;estu_fechanacimiento;estu_genero;estu_iesdeseada;estu_instporamigosestudiando;estu_instporcostomatricula;estu_instporoportunidades;estu_instporotrarazon;estu_instporprestigio;estu_instporubicacion;estu_instporunicaqueofrece;estu_mcpio_presentacion;estu_mcpio_reside;estu_mcpioiesdeseada;estu_mesterminobachiller;estu_motivo_presentavalidacion;estu_nacionalidad;estu_pais_reside;estu_privado_libertad;estu_puesto;estu_razonretirocolegio;estu_reprobocuarto;estu_reprobodecimo;estu_reprobonoveno;estu_reprobooctavo;estu_reprobooncemas;estu_reproboprimero;estu_reproboquinto;estu_reprobosegundo;estu_reproboseptimo;estu_reprobosexto;estu_reprobotercero;estu_seretirocolegio;estu_tipocarreradeseada;estu_tipodocumento;estu_totalalumnoscurso;estu_trabajaactualmente;estu_valorpensioncolegio;estu_vecespresentoexamen;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_ingresofmiliarmensual;fami_nivelsisben;fami_ocupacionmadre;fami_ocupacionpadre;fami_personashogar;fami_pisoshogar;fami_telefono;fami_tiene_celular;fami_tiene_nevera;fami_tiene_serviciotv;fami_tieneautomovil;fami_tienecomputador;fami_tienedvd;fami_tienehorno;fami_tieneinternet;fami_tienelavadora;fami_tienemicroondas;punt_biologia;punt_ciencias_sociales;punt_filosofia;punt_fisica;punt_ingles;punt_interdisc_medioambiente;punt_interdisc_violenciaysoc;punt_lenguaje;punt_matematicas;punt_profundiza_biologia;punt_profundiza_csociales;punt_profundiza_lenguaje;punt_profundiza_matematica;punt_quimica
20111;SB11201110046188;ESTUDIANTE;URBANO;N;A;TÉCNICO/ACADÉMICO;185001000268;185001000268;85;85001;72330;CASANARE;MIXTO;SABATINA;YOPAL;OFICIAL;IE BRAULIO GONZALEZ;BRAULIO GONZALEZ;S;A-;;;;;;;;;;;No;Cabecera Municipal;85;;85001;;85;85001;;CASANARE;CASANARE;;05/11/1988;F;;;;;;;;;YOPAL;YOPAL;;;;COLOMBIA;COLOMBIA;N;443;;;;;;;;;;;;;;;CC;;No;No paga Pensión;Ninguna vez;Dos;Primaria incompleta;Primaria incompleta;Estrato 1;Menos de 1 SMLV;No está clasificada por el SISBEN;Hogar;Otra actividad u ocupación;Cuatro;Cemento, gravilla, ladrillo;No;Si;Si;Si;No;No;No;No;No;No;No;49.73;42.91;43.68;31.75;41.43;;56.98;57.48;52.110001;;;;;47.490002
20111;SB11201110107742;ESTUDIANTE;URBANO;N;A;ACADÉMICO;385001004259;385001004259;85;85001;82719;CASANARE;MIXTO;MAÑANA;YOPAL;NO OFICIAL;INST AUTONOMO SHAKESPEARE Y CERVANTES;INST AUTONOMO SHAKESPEARE Y CERVANTES;S;A-;;;;;1999;2006;3 años;Un año de preescolar;;2005;Si;Cabecera Municipal;85;1803;85001;11001;85;85001;Uno;CASANARE;CASANARE;;09/12/1993;F;UNIVERSIDAD DE LA SALLE;No;No;Si;No;No;No;No;YOPAL;YOPAL;BOGOTÁ D.C.;;;COLOMBIA;COLOMBIA;N;664;;No;No;No;No;No;No;No;No;Si;Si;No;No;Profesional;TI;43;No;Menos de 87.000;Ninguna vez;Cuatro;Primaria completa;Primaria completa;Estrato 1;Entre 2 y menos de 3 SMLV;Nivel 1;Empleado obrero u operario;Trabajador por cuenta propia;Siete;Cemento, gravilla, ladrillo;No;Si;Si;No;No;No;No;No;No;No;No;43.220001;44.25;29;50.41;25.709999;47.580002;;50.470001;44.689999;;;;;45.849998
20111;SB11201110046180;ESTUDIANTE;URBANO;N;A;TÉCNICO/ACADÉMICO;185001000268;185001000268;85;85001;72330;CASANARE;MIXTO;SABATINA;YOPAL;OFICIAL;IE BRAULIO GONZALEZ;BRAULIO GONZALEZ;S;A-;;;;;;;;;;;No;Cabecera Municipal;85;;85001;;85;85001;;CASANARE;CASANARE;;29/12/1988;F;;;;;;;;;YOPAL;YOPAL;;;;COLOMBIA;COLOMBIA;N;890;;;;;;;;;;;;;;;CC;;Si, menos de 20 horas a la semana;No paga Pensión;Ninguna vez;Tres;Primaria incompleta;Primaria completa;Estrato 1;Menos de 1 SMLV;Nivel 1;Hogar;Hogar;Cuatro;Cemento, gravilla, ladrillo;No;Si;Si;No;No;No;No;No;No;No;No;43.299999;31.049999;34.84;31.68;39.869999;52.189999;;48.439999;32.419998;;;;;35.02
20111;SB11201110123640;ESTUDIANTE;URBANO;N;A;ACADÉMICO;385001004259;385001004259;85;85001;82719;CASANARE;MIXTO;MAÑANA;YOPAL;NO OFICIAL;INST AUTONOMO SHAKESPEARE Y CERVANTES;INST AUTONOMO SHAKESPEARE Y CERVANTES;S;A1;;;;I;;;;;;;No;Cabecera Municipal;85;;85001;;85;85001;;CASANARE;CASANARE;;05/04/1993;F;;;;;;;;;YOPAL;YOPAL;;;;COLOMBIA;COLOMBIA;N;958;;;;;;;;;;;;;;;TI;;No;Menos de 87.000;Ninguna vez;Uno;Primaria incompleta;Primaria incompleta;Estrato 1;Entre 1 y menos de 2 SMLV;Nivel 1;Otra actividad u ocupación;Trabajador por cuenta propia;Dos;Cemento, gravilla, ladrillo;No;Si;Si;No;No;No;No;No;No;No;No;33.540001;24.719999;32.209999;38.009998;48.400002;;;38.389999;38.939999;;;;5;41.619999
20111;SB11201110132913;ESTUDIANTE;URBANO;N;A;ACADÉMICO;385001004259;385001004259;85;85001;82719;CASANARE;MIXTO;MAÑANA;YOPAL;NO OFICIAL;INST AUTONOMO SHAKESPEARE Y CERVANTES;INST AUTONOMO SHAKESPEARE Y CERVANTES;S;A-;;I;;;;;;;;;No;;85;;85001;;85;85001;;CASANARE;CASANARE;;28/10/1992;M;;;;;;;;;YOPAL;YOPAL;;;;COLOMBIA;COLOMBIA;N;988;;;;;;;;;;;;;;;CC;;;Menos de 87.000;Ninguna vez;;;;Estrato 1;;;;;;;;;;;;;;;;;;45.400002;23.209999;29;50.41;33.810001;;;40.389999;18.23;;5.3000002;;;42.099998
20111;SB11201110014857;ESTUDIANTE;URBANO;;A;ACADÉMICO;385440000419;385440000419;85;85440;137273;CASANARE;MIXTO;SABATINA;VILLANUEVA;NO OFICIAL;INCETEC INSTITUTO CENTRALIZADO DE ESTUDIOS TECNICOS;INCETEC INSTITUTO CENTRALIZADO DE ESTUDIOS TECNICOS;S;A-;;;;;;;;;;;No;Cabecera Municipal;50;;50001;;;;;META;;;26/09/1988;F;;;;;;;;;VILLAVICENCIO;;;;;COLOMBIA;COLOMBIA;N;566;;;;;;;;;;;;;;;CC;;;Menos de 87.000;Ninguna vez;;;;;;;;;;;;;;;;;;;;;;43.299999;48.16;37.34;31.68;41.43;50.23;;52.419998;47.189999;;;;;41.619999
20111;SB11201110045881;ESTUDIANTE;URBANO;;A;ACADÉMICO;185001003542;185001003542;85;85001;133314;CASANARE;MIXTO;SABATINA;YOPAL;OFICIAL;IE CARLOS LLERAS RESTREPO;CARLOS LLERAS RESTREPO;S;A-;;;;;;;;;;;No;Cabecera Municipal;85;;85001;;85;85001;;CASANARE;CASANARE;;23/11/1976;F;;;;;;;;;YOPAL;YOPAL;;;;COLOMBIA;COLOMBIA;N;892;;;;;;;;;;;;;;;CC;;No;Menos de 87.000;Ninguna vez;Uno;Primaria incompleta;Primaria incompleta;Estrato 1;Entre 1 y menos de 2 SMLV;Nivel 1;Otra actividad u ocupación;Otra actividad u ocupación;Dos;Cemento, gravilla, ladrillo;No;Si;Si;No;No;No;Si;No;No;No;No;38.740002;30.620001;39.75;53.27;41.43;53.990002;;44.02;32.419998;;;;;39.599998
20111;SB11201110088653;ESTUDIANTE;URBANO;N;A;ACADÉMICO;385001004259;385001004259;85;85001;82719;CASANARE;MIXTO;MAÑANA;YOPAL;NO OFICIAL;INST AUTONOMO SHAKESPEARE Y CERVANTES;INST AUTONOMO SHAKESPEARE Y CERVANTES;S;A2;;;;;;;;;;;No;Cabecera Municipal;85;;85001;;85;85001;;CASANARE;CASANARE;;23/11/1989;F;;;;;;;;;YOPAL;YOPAL;;;;COLOMBIA;COLOMBIA;N;306;;;;;;;;;;;;;;;CC;;No;No paga Pensión;Ninguna vez;Cuatro;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 1;Entre 2 y menos de 3 SMLV;Nivel 1;Hogar;Empleado obrero u operario;Siete;Cemento, gravilla, ladrillo;No;Si;Si;No;No;No;No;No;No;No;No;54.130001;50.110001;29;52.830002;53.32;52.189999;;54.32;60.200001;;;;;49.450001
20111;SB11201110102197;ESTUDIANTE;URBANO;N;A;ACADÉMICO;385001004259;385001004259;85;85001;82719;CASANARE;MIXTO;MAÑANA;YOPAL;NO OFICIAL;INST AUTONOMO SHAKESPEARE Y CERVANTES;INST AUTONOMO SHAKESPEARE Y CERVANTES;S;A-;;;;I;;;;;;;No;Cabecera Municipal;85;;85001;;85;85001;;CASANARE;CASANARE;;20/01/1993;M;;;;;;;;;YOPAL;YOPAL;;;;COLOMBIA;COLOMBIA;N;524;;;;;;;;;;;;;;;TI;;Si, 20 horas o más a la semana;Menos de 87.000;Ninguna vez;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 1;Entre 1 y menos de 2 SMLV;Nivel 1;Hogar;Trabajador por cuenta propia;Tres;Cemento, gravilla, ladrillo;No;Si;Si;No;No;No;No;No;No;No;No;49.77;42.080002;34.580002;41.27;41.43;;;48.549999;51.970001;;;;5;43.509998
20111;SB11201110046316;ESTUDIANTE;URBANO;N;A;TÉCNICO;185250000201;185250000201;85;85250;89672;CASANARE;MIXTO;NOCHE;PAZ DE ARIPORO;OFICIAL;IE JUAN JOSE RONDON;JUAN JOSE RONDON;S;A1;;;;;;;;;;;No;Area Rural;85;;85250;;85;85250;;CASANARE;CASANARE;;27/12/1990;F;;;;;;;;;PAZ DE ARIPORO;PAZ DE ARIPORO;;;;COLOMBIA;COLOMBIA;N;860;;;;;;;;;;;;;;;CC;;Si, 20 horas o más a la semana;Menos de 87.000;Ninguna vez;Dos;Primaria incompleta;Primaria incompleta;Estrato 1;Menos de 1 SMLV;Nivel 1;Trabajador por cuenta propia;Trabajador por cuenta propia;Cuatro;Cemento, gravilla, ladrillo;No;Si;No;No;No;No;No;No;No;No;No;41.150002;21.709999;33.790001;27.99;43.48;51.25;;50.470001;49.57;;;;;49.27
