periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_ingles;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_depto_presentacion;estu_depto_reside;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_individual;estu_pais_reside;estu_pilopaga;estu_privado_libertad;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_personashogar;fami_tieneautomovil;fami_tienecomputador;fami_tieneinternet;fami_tienelavadora;fami_tieneserviciotv;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20142;SB11201420494651;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO/ACADÉMICO;185001003836;185001003836;85;85001;154724;CASANARE;MIXTO;SABATINA;YOPAL;OFICIAL;IE SAN MATEO;SAN MATEO;S;A-;S;85;85001;85;85001;CASANARE;CASANARE;Ninguno;23/07/1995;F;26;39.097683;YOPAL;YOPAL;COLOMBIA;NSE1;COLOMBIA;NO;N;Uno;Primaria completa;No sabe;Estrato 1;Cinco;No;No;No;No;Si;43;217;47;35;48;46
20142;SB11201420348900;ESTUDIANTE;TI;RURAL;N;A;TÉCNICO/ACADÉMICO;285001000521;285001000521;85;85001;116111;CASANARE;MIXTO;MAÑANA;YOPAL;OFICIAL;IE POLICARPA SALAVARRIETA;POLICARPA SALAVARRIETA;S;A-;S;85;85001;85;85001;CASANARE;CASANARE;Ninguno;24/04/1996;F;11;44.282215;YOPAL;YOPAL;COLOMBIA;NSE2;COLOMBIA;NO;N;Tres;Primaria completa;Primaria completa;Estrato 2;Cuatro;No;No;No;Si;Si;47;226;41;45;36;54
20142;SB11201420577427;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;285001003873;285001003873;85;85001;166819;CASANARE;MIXTO;MAÑANA;YOPAL;OFICIAL;I.E. LLANO LINDO;I.E. LLANO LINDO - SEDE PRINCIPAL;S;A1;S;85;85001;85;85001;CASANARE;CASANARE;Ninguno;19/04/1985;F;26;47.540703;YOPAL;YOPAL;COLOMBIA;NSE2;COLOMBIA;NO;N;Tres;Primaria completa;Primaria completa;Estrato 1;Tres;Si;Si;No;Si;No;54;235;49;47;33;53
20142;SB11201420475045;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;185001003437;185001003437;85;85001;127126;CASANARE;MIXTO;TARDE;YOPAL;OFICIAL;IE EL PARAISO;EL PARAISO;S;A-;S;85;85001;85;85001;CASANARE;CASANARE;Ninguno;30/05/1996;F;11;36.173386;YOPAL;YOPAL;COLOMBIA;NSE1;COLOMBIA;NO;N;Tres;Primaria incompleta;Primaria incompleta;Estrato 1;Seis;No;No;No;No;Si;45;227;43;47;48;42
20142;SB11201420372800;ESTUDIANTE;TI;RURAL;;A;ACADÉMICO;285010000259;285010000259;85;85010;133611;CASANARE;MIXTO;MAÑANA;AGUAZUL;OFICIAL;I.E. CUPIAGUA;I.E. CUPIAGUA - SEDE PRINCIPAL;S;A1;S;85;85010;85;85010;CASANARE;CASANARE;Ninguno;09/01/1996;F;11;44.01778;AGUAZUL;AGUAZUL;COLOMBIA;NSE2;COLOMBIA;NO;N;Dos;Primaria completa;Primaria completa;Estrato 1;Siete;No;Si;No;Si;No;60;242;50;44;47;42
20142;SB11201420300091;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO;185001003534;185001003534;85;85001;82735;CASANARE;MIXTO;MAÑANA;YOPAL;OFICIAL;INST TEC EMPRESARIAL;INST TECNICO EMPRESARIAL;S;A1;S;85;85001;85;85001;CASANARE;CASANARE;Ninguno;26/05/1998;M;11;52.643425;YOPAL;YOPAL;COLOMBIA;NSE3;COLOMBIA;NO;N;Tres;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) completa;Estrato 2;Tres;No;Si;Si;Si;Si;56;272;54;51;58;53
20142;SB11201420067247;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;185001001965;185001001965;85;85001;48066;CASANARE;MIXTO;MAÑANA;YOPAL;OFICIAL;IE CENTRO SOCIAL;CENTRO SOCIAL LA PRESENTACION;S;A1;S;85;85001;85;85001;CASANARE;CASANARE;Ninguno;31/10/1996;F;11;45.515221;YOPAL;YOPAL;COLOMBIA;NSE2;COLOMBIA;NO;N;Tres;Primaria incompleta;Primaria incompleta;Estrato 1;Cinco;No;Si;Si;Si;No;40;230;54;38;56;47
20142;SB11201420156906;ESTUDIANTE;TI;URBANO;;A;TÉCNICO;185001002031;185001002031;85;85001;132183;CASANARE;MIXTO;MAÑANA;YOPAL;OFICIAL;IE MANUELA BELTRAN;MANUELA BELTRAN;S;A-;S;85;85001;85;85001;CASANARE;CASANARE;Ninguno;18/06/1997;M;11;59.622368;YOPAL;YOPAL;COLOMBIA;NSE3;COLOMBIA;NO;N;Dos;Educación profesional completa;Secundaria (Bachillerato) completa;Estrato 3;Tres;Si;Si;Si;Si;Si;42;224;42;47;44;47
20142;SB11201420510770;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;185162000527;185162000527;85;85162;65508;CASANARE;MIXTO;COMPLETA;MONTERREY;OFICIAL;INST TEC DIVERSIFICADO MONTERREY;INST TECNICO DIVERSIFICADO MONTERREY;S;A-;S;85;85162;85;85162;CASANARE;CASANARE;Ninguno;16/05/1998;F;11;39.012901;MONTERREY;MONTERREY;COLOMBIA;NSE1;COLOMBIA;NO;N;Uno;Primaria completa;Primaria completa;Estrato 1;Una;No;No;No;No;No;54;249;45;55;45;47
20142;SB11201420327349;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;185010000271;185010000271;85;85010;28563;CASANARE;MIXTO;MAÑANA;AGUAZUL;OFICIAL;IE CAMILO TORRES RESTREPO;CAMILO TORRES RESTREPO;S;A-;S;85;85010;85;85010;CASANARE;CASANARE;Ninguno;30/07/1995;M;11;44.630596;AGUAZUL;AGUAZUL;COLOMBIA;NSE2;COLOMBIA;NO;N;Uno;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) incompleta;Estrato 2;Dos;No;No;No;No;Si;54;248;42;52;53;42
