periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_ingles;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_depto_presentacion;estu_depto_reside;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_individual;estu_pais_reside;estu_pilopaga;estu_privado_libertad;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_tieneautomovil;fami_tienecomputador;fami_tieneinternet;fami_tienelavadora;fami_tieneserviciotv;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20151;SB11201510113909;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;385001003819;385001003819;85;85001;72348;CASANARE;MIXTO;SABATINA;YOPAL;NO OFICIAL;COLEGIO ANTONIO NARIÑO;COLEGIO ANTONIO NARIÑO;S;A-;N;85;85001;85;85001;CASANARE;CASANARE;Ninguno;31/01/1997;M;26;63.62183;YOPAL;YOPAL;COLOMBIA;NSE3;COLOMBIA;NO;N;Tres;Técnica o tecnológica incompleta;Técnica o tecnológica completa;Estrato 3;26 A 100 LIBROS;Tres;Si;Si;Si;Si;Si;48;250;43;58;41;55
20151;SB11201510101207;ESTUDIANTE;CC;URBANO;;A;ACADÉMICO;385440000419;385440000419;85;85440;137273;CASANARE;MIXTO;SABATINA;VILLANUEVA;NO OFICIAL;INCETEC INSTITUTO CENTRALIZADO DE ESTUDIOS TECNICOS;INCETEC INSTITUTO CENTRALIZADO DE ESTUDIOS TECNICOS;S;A-;S;85;85001;85;85440;CASANARE;CASANARE;Ninguno;05/04/1994;F;26;46.731358;YOPAL;VILLANUEVA;COLOMBIA;NSE2;COLOMBIA;NO;N;Uno;Primaria incompleta;Primaria incompleta;Estrato 1;0 A 10 LIBROS;Dos;No;Si;No;Si;No;43;242;45;49;51;52
20151;SB11201510102517;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;385001004259;385001004259;85;85001;82719;CASANARE;MIXTO;MAÑANA;YOPAL;NO OFICIAL;INST AUTONOMO SHAKESPEARE Y CERVANTES;INST AUTONOMO SHAKESPEARE Y CERVANTES;S;A1;S;85;85001;85;85001;CASANARE;CASANARE;Ninguno;19/05/1997;M;26;53.692215;YOPAL;YOPAL;COLOMBIA;NSE3;COLOMBIA;NO;N;Cuatro;Primaria incompleta;Técnica o tecnológica incompleta;Estrato 2;0 A 10 LIBROS;Cuatro;No;Si;Si;No;Si;49;237;54;43;48;47
20151;SB11201510101610;ESTUDIANTE;TI;URBANO;;A;ACADÉMICO;385440000419;385440000419;85;85440;137273;CASANARE;MIXTO;SABATINA;VILLANUEVA;NO OFICIAL;INCETEC INSTITUTO CENTRALIZADO DE ESTUDIOS TECNICOS;INCETEC INSTITUTO CENTRALIZADO DE ESTUDIOS TECNICOS;S;A-;S;50;50001;85;85440;META;CASANARE;;24/05/1999;M;26;43.497025;VILLAVICENCIO;VILLANUEVA;COLOMBIA;NSE2;COLOMBIA;NO;N;Dos;Primaria completa;Primaria incompleta;Estrato 1;0 A 10 LIBROS;Tres;No;No;No;Si;No;46;224;43;44;45;45
20151;SB11201510113910;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;385001003819;385001003819;85;85001;72348;CASANARE;MIXTO;SABATINA;YOPAL;NO OFICIAL;COLEGIO ANTONIO NARIÑO;COLEGIO ANTONIO NARIÑO;S;A1;S;85;85001;85;85001;CASANARE;CASANARE;Ninguno;21/03/1997;F;26;65.061073;YOPAL;YOPAL;COLOMBIA;NSE4;COLOMBIA;NO;N;Tres;Técnica o tecnológica incompleta;Técnica o tecnológica incompleta;Estrato 3;26 A 100 LIBROS;Tres;Si;Si;Si;Si;Si;48;241;50;43;53;48
20151;SB11201510083832;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO/ACADÉMICO;185001000268;185001000268;85;85001;61671;CASANARE;MIXTO;NOCHE;YOPAL;OFICIAL;IE BRAULIO GONZALEZ;BRAULIO GONZALEZ;S;A1;S;85;85001;85;85001;CASANARE;CASANARE;Ninguno;27/04/1996;M;26;54.143887;YOPAL;YOPAL;COLOMBIA;NSE3;COLOMBIA;NO;N;Tres;Secundaria (Bachillerato) completa;Educación profesional incompleta;Estrato 1;11 A 25 LIBROS;Cuatro;No;Si;Si;Si;Si;41;220;49;48;49;36
20151;SB11201510067328;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO/ACADÉMICO;185001001183;185001001183;85;85001;173146;CASANARE;MIXTO;SABATINA;YOPAL;OFICIAL;IE LUIS HERNANDEZ VARGAS;LUIS HERNANDEZ VARGAS;S;A-;S;85;85001;85;85001;CASANARE;CASANARE;Ninguno;02/04/1984;F;26;48.349594;YOPAL;YOPAL;COLOMBIA;NSE2;COLOMBIA;NO;N;Tres;Secundaria (Bachillerato) incompleta;Primaria completa;Estrato 1;11 A 25 LIBROS;Diez;No;Si;Si;Si;Si;51;241;42;41;50;53
20151;SB11201510088753;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;385001004259;385001004259;85;85001;82719;CASANARE;MIXTO;MAÑANA;YOPAL;NO OFICIAL;INST AUTONOMO SHAKESPEARE Y CERVANTES;INST AUTONOMO SHAKESPEARE Y CERVANTES;S;A-;S;85;85001;85;85001;CASANARE;CASANARE;Ninguno;06/08/1997;F;26;60.762539;YOPAL;YOPAL;COLOMBIA;NSE3;COLOMBIA;NO;N;Tres;Técnica o tecnológica completa;Educación profesional completa;Estrato 3;26 A 100 LIBROS;Cuatro;Si;Si;Si;Si;Si;59;269;42;52;50;58
20151;SB11201510102721;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;385001004259;385001004259;85;85001;82719;CASANARE;MIXTO;MAÑANA;YOPAL;NO OFICIAL;INST AUTONOMO SHAKESPEARE Y CERVANTES;INST AUTONOMO SHAKESPEARE Y CERVANTES;S;A-;S;85;85001;85;85001;CASANARE;CASANARE;Ninguno;06/06/1996;M;26;53.619007;YOPAL;YOPAL;COLOMBIA;NSE3;COLOMBIA;NO;N;Tres;Técnica o tecnológica completa;Secundaria (Bachillerato) completa;Estrato 2;11 A 25 LIBROS;Cuatro;No;Si;Si;Si;Si;42;209;37;43;45;39
20151;SB11201510097729;ESTUDIANTE;CC;URBANO;;A;ACADÉMICO;385440000419;385440000419;85;85440;137273;CASANARE;MIXTO;SABATINA;VILLANUEVA;NO OFICIAL;INCETEC INSTITUTO CENTRALIZADO DE ESTUDIOS TECNICOS;INCETEC INSTITUTO CENTRALIZADO DE ESTUDIOS TECNICOS;S;A1;S;50;50001;85;85440;META;CASANARE;Ninguno;03/12/1996;F;26;43.258152;VILLAVICENCIO;VILLANUEVA;COLOMBIA;NSE2;COLOMBIA;NO;N;Dos;Primaria completa;Primaria completa;Estrato 1;11 A 25 LIBROS;Tres;Si;No;No;Si;No;45;221;49;41;48;41
20151;SB11201510084003;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;385001004259;385001004259;85;85001;82719;CASANARE;MIXTO;MAÑANA;YOPAL;NO OFICIAL;INST AUTONOMO SHAKESPEARE Y CERVANTES;INST AUTONOMO SHAKESPEARE Y CERVANTES;S;A-;S;85;85001;85;85001;CASANARE;CASANARE;Ninguno;20/03/1996;M;26;52.575928;YOPAL;YOPAL;COLOMBIA;NSE3;COLOMBIA;NO;N;Cuatro;Secundaria (Bachillerato) incompleta;Técnica o tecnológica incompleta;Estrato 2;11 A 25 LIBROS;Tres;Si;Si;No;Si;Si;54;287;45;51;55;74
20151;SB11201510067612;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO/ACADÉMICO;185001001183;185001001183;85;85001;173146;CASANARE;MIXTO;SABATINA;YOPAL;OFICIAL;IE LUIS HERNANDEZ VARGAS;LUIS HERNANDEZ VARGAS;S;A1;S;85;85001;85;85001;CASANARE;CASANARE;Ninguno;12/08/1996;F;26;54.983967;YOPAL;YOPAL;COLOMBIA;NSE3;COLOMBIA;NO;N;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 2;11 A 25 LIBROS;Cinco;Si;Si;Si;Si;Si;42;213;55;41;38;45
20151;SB11201510100420;ESTUDIANTE;CC;URBANO;;A;ACADÉMICO;385440000419;385440000419;85;85440;137273;CASANARE;MIXTO;SABATINA;VILLANUEVA;NO OFICIAL;INCETEC INSTITUTO CENTRALIZADO DE ESTUDIOS TECNICOS;INCETEC INSTITUTO CENTRALIZADO DE ESTUDIOS TECNICOS;S;A-;S;50;50001;85;85440;META;CASANARE;Ninguno;11/05/1996;F;26;45.982994;VILLAVICENCIO;VILLANUEVA;COLOMBIA;NSE2;COLOMBIA;NO;N;Dos;Primaria incompleta;Primaria incompleta;Estrato 1;0 A 10 LIBROS;Dos;No;Si;No;Si;No;38;199;47;38;34;47
20151;SB11201510084006;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;385001004259;385001004259;85;85001;82719;CASANARE;MIXTO;MAÑANA;YOPAL;NO OFICIAL;INST AUTONOMO SHAKESPEARE Y CERVANTES;INST AUTONOMO SHAKESPEARE Y CERVANTES;S;A-;S;85;85001;85;85001;CASANARE;CASANARE;Ninguno;28/03/1997;F;26;55.178551;YOPAL;YOPAL;COLOMBIA;NSE3;COLOMBIA;NO;N;Tres;Educación profesional incompleta;Técnica o tecnológica completa;Estrato 2;11 A 25 LIBROS;Tres;No;Si;Si;Si;No;36;213;45;43;46;45
20151;SB11201510098546;ESTUDIANTE;CC;URBANO;;A;ACADÉMICO;385440000419;385440000419;85;85440;137273;CASANARE;MIXTO;SABATINA;VILLANUEVA;NO OFICIAL;INCETEC INSTITUTO CENTRALIZADO DE ESTUDIOS TECNICOS;INCETEC INSTITUTO CENTRALIZADO DE ESTUDIOS TECNICOS;S;A-;S;50;50001;85;85440;META;CASANARE;Ninguno;28/12/1993;F;26;41.931454;VILLAVICENCIO;VILLANUEVA;COLOMBIA;NSE2;COLOMBIA;NO;N;Dos;Primaria incompleta;Primaria completa;Estrato 1;11 A 25 LIBROS;Tres;No;No;No;Si;No;30;199;47;40;41;46
20151;SB11201510097639;ESTUDIANTE;CC;URBANO;;A;ACADÉMICO;385440000419;385440000419;85;85440;137273;CASANARE;MIXTO;SABATINA;VILLANUEVA;NO OFICIAL;INCETEC INSTITUTO CENTRALIZADO DE ESTUDIOS TECNICOS;INCETEC INSTITUTO CENTRALIZADO DE ESTUDIOS TECNICOS;S;A-;S;85;85001;85;85440;CASANARE;CASANARE;Ninguno;10/05/1993;F;26;40.939877;YOPAL;VILLANUEVA;COLOMBIA;NSE1;COLOMBIA;NO;N;Dos;Primaria incompleta;Primaria completa;Estrato 2;0 A 10 LIBROS;Tres;No;No;No;Si;No;27;158;49;43;17;34
20151;SB11201510101317;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;385001004259;385001004259;85;85001;82719;CASANARE;MIXTO;MAÑANA;YOPAL;NO OFICIAL;INST AUTONOMO SHAKESPEARE Y CERVANTES;INST AUTONOMO SHAKESPEARE Y CERVANTES;S;A-;S;85;85001;85;85001;CASANARE;CASANARE;Ninguno;08/02/1998;M;26;62.558929;YOPAL;YOPAL;COLOMBIA;NSE3;COLOMBIA;NO;N;Cinco;Técnica o tecnológica completa;Educación profesional completa;Estrato 2;11 A 25 LIBROS;Seis;No;Si;Si;Si;Si;25;157;33;30;39;31
20151;SB11201510095096;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;385001003819;385001003819;85;85001;72348;CASANARE;MIXTO;SABATINA;YOPAL;NO OFICIAL;COLEGIO ANTONIO NARIÑO;COLEGIO ANTONIO NARIÑO;S;A-;S;85;85001;85;85001;CASANARE;CASANARE;Ninguno;23/02/1998;M;26;47.656921;YOPAL;YOPAL;COLOMBIA;NSE2;COLOMBIA;NO;N;Cuatro;Técnica o tecnológica completa;Educación profesional completa;Estrato 2;26 A 100 LIBROS;Tres;No;No;No;No;No;47;221;41;39;47;45
20151;SB11201510095084;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;385001003819;385001003819;85;85001;72348;CASANARE;MIXTO;SABATINA;YOPAL;NO OFICIAL;COLEGIO ANTONIO NARIÑO;COLEGIO ANTONIO NARIÑO;S;A1;S;85;85001;85;85001;CASANARE;CASANARE;Ninguno;12/06/1996;M;26;62.967865;YOPAL;YOPAL;COLOMBIA;NSE3;COLOMBIA;NO;N;Tres;Educación profesional completa;Secundaria (Bachillerato) incompleta;Estrato 1;11 A 25 LIBROS;Tres;Si;Si;Si;Si;Si;60;292;49;51;58;68
20151;SB11201510100730;ESTUDIANTE;TI;URBANO;;A;ACADÉMICO;385440000419;385440000419;85;85440;137273;CASANARE;MIXTO;SABATINA;VILLANUEVA;NO OFICIAL;INCETEC INSTITUTO CENTRALIZADO DE ESTUDIOS TECNICOS;INCETEC INSTITUTO CENTRALIZADO DE ESTUDIOS TECNICOS;S;A1;S;50;50001;85;85440;META;CASANARE;Ninguno;16/11/1997;M;26;41.949314;VILLAVICENCIO;VILLANUEVA;COLOMBIA;NSE2;COLOMBIA;NO;N;Dos;Primaria completa;Primaria incompleta;Estrato 1;0 A 10 LIBROS;Dos;No;No;No;Si;No;39;208;50;43;41;41
