periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_dedicacioninternet;estu_dedicacionlecturadiaria;estu_depto_presentacion;estu_depto_reside;estu_discapacidad;estu_etnia;estu_fechanacimiento;estu_generacione;estu_genero;estu_grado;estu_horassemanatrabaja;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_establecimiento;estu_nse_individual;estu_pais_reside;estu_privado_libertad;estu_repite;estu_tieneetnia;estu_tiporemuneracion;fami_comecarnepescadohuevo;fami_comecerealfrutoslegumbre;fami_comelechederivados;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_situacioneconomica;fami_tieneautomovil;fami_tienecomputador;fami_tieneconsolavideojuegos;fami_tienehornomicroogas;fami_tieneinternet;fami_tienelavadora;fami_tienemotocicleta;fami_tieneserviciotv;fami_trabajolabormadre;fami_trabajolaborpadre;percentil_c_naturales;percentil_global;percentil_ingles;percentil_lectura_critica;percentil_matematicas;percentil_sociales_ciudadanas;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20212;SB11202140166864;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;185001001183;185001001183;85;85001;93203;CASANARE;MIXTO;MAÑANA;YOPAL;OFICIAL;IE LUIS HERNANDEZ VARGAS;LUIS HERNANDEZ VARGAS;S;1;A-;2;2;1;S;85;85001;85;85001;30 minutos o menos;No leo por entretenimiento;CASANARE;CASANARE;N;;07/12/2003;NO;M;11;Entre 21 y 30 horas;52.09219;YOPAL;YOPAL;COLOMBIA;3;3;COLOMBIA;N;0;No;Si, en efectivo;3 a 5 veces por semana;Nunca o rara vez comemos eso;1 o 2 veces por semana;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 3;11 A 25 LIBROS;1 a 2;Mejor;Si;Si;No;Si;Si;No;Si;No;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;11;13;18;26;21;9;36;189;36;45;40;31
20212;SB11202140171326;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;285001003873;285001003873;85;85001;662049;CASANARE;MIXTO;SABATINA;YOPAL;OFICIAL;INSTITUCIÓN EDUCATIVA TÉCNICA EMPRESARIAL LLANO LINDO ITELL;I.E. LLANO LINDO - SEDE PRINCIPAL;S;1;A-;3;2;2;S;85;85001;85;85001;No Navega Internet;30 minutos o menos;CASANARE;CASANARE;N;;20/08/1986;NO;F;26;Entre 11 y 20 horas;46.425461;YOPAL;YOPAL;COLOMBIA;2;2;COLOMBIA;N;0;No;Si, en efectivo;Todos o casi todos los días;3 a 5 veces por semana;1 o 2 veces por semana;Tres;Ninguno;Ninguno;Estrato 2;0 A 10 LIBROS;3 a 4;Igual;Si;Si;No;No;Si;Si;No;Si;Trabaja en el hogar, no trabaja o estudia;Trabaja en el hogar, no trabaja o estudia;19;39;45;61;23;51;39;228;46;56;41;46
20212;SB11202140485479;ESTUDIANTE;TI;RURAL;N;A;TÉCNICO;285001002923;285001002923;85;85001;696229;CASANARE;MIXTO;UNICA;YOPAL;OFICIAL;INSTITUCIÓN EDUCATIVA TÉCNICA AGROPECUARIA LORGIO RODRÍGUEZ;INSTITUCIÓN EDUCATIVA TÉCNICA AGROPECUARIA LORGIO RODRÍGUEZ- SEDE PRINCIPAL;S;2;A-;3;3;2;S;85;85001;85;85001;30 minutos o menos;Entre 30 y 60 minutos;CASANARE;CASANARE;N;;27/12/2004;GENERACION E - GRATUIDAD;M;11;0;35.53091;YOPAL;YOPAL;COLOMBIA;2;1;COLOMBIA;N;0;No;No;3 a 5 veces por semana;Todos o casi todos los días;1 o 2 veces por semana;Dos;Primaria incompleta;Primaria incompleta;Estrato 1;0 A 10 LIBROS;5 a 6;Igual;No;No;No;No;No;No;No;No;Trabaja en el hogar, no trabaja o estudia;Trabaja en el hogar, no trabaja o estudia;54;55;18;44;75;55;48;249;36;51;57;48
20212;SB11202140401027;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;185015000104;185015000104;85;85015;738054;CASANARE;MIXTO;UNICA;CHÁMEZA;OFICIAL;INSTITUCION EDUCATIVA JOSE ANTONIO GALAN;JOSE ANTONIO GALAN;S;2;A1;3;3;3;S;85;85001;85;85015;Entre 30 y 60 minutos;30 minutos o menos;CASANARE;CASANARE;N;;01/02/2005;GENERACION E - GRATUIDAD;F;11;Menos de 10 horas;57.250298;YOPAL;CHÁMEZA;COLOMBIA;2;3;COLOMBIA;N;0;No;Si, en efectivo;Todos o casi todos los días;3 a 5 veces por semana;Todos o casi todos los días;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 1;26 A 100 LIBROS;5 a 6;Peor;No;Si;No;Si;Si;Si;Si;Si;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Es operario de máquinas o conduce vehículos (taxita, chofer);69;77;57;82;64;84;53;285;50;63;54;60
20212;SB11202140204534;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO/ACADÉMICO;185162000241;185162000241;85;85162;29157;CASANARE;MIXTO;MAÑANA;MONTERREY;OFICIAL;INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR DE MONTERREY;ESCUELA NORMAL SUPERIOR DE MONTERREY;S;1;A-;2;2;1;S;85;85162;85;85162;Entre 30 y 60 minutos;30 minutos o menos;CASANARE;CASANARE;N;;08/01/2003;NO;F;11;0;51.487282;MONTERREY;MONTERREY;COLOMBIA;2;3;COLOMBIA;N;0;No;No;1 o 2 veces por semana;Todos o casi todos los días;3 a 5 veces por semana;Tres;Secundaria (Bachillerato) completa;Primaria completa;Estrato 3;0 A 10 LIBROS;5 a 6;Mejor;No;Si;No;Si;Si;Si;Si;Si;Trabaja en el hogar, no trabaja o estudia;Es operario de máquinas o conduce vehículos (taxita, chofer);16;7;4;10;22;2;38;175;31;39;40;24
20212;SB11202140546949;ESTUDIANTE;TI;URBANO;;A;NO APLICA;385001004273;385001004273;85;85001;638429;CASANARE;MIXTO;MAÑANA;YOPAL;NO OFICIAL;LICEO PEDAGOGICO SAN MARTIN;LICEO PEDAGOGICO SAN MARTIN;S;1;A1;2;3;1;S;85;85001;85;85001;Más de 3 horas;No leo por entretenimiento;CASANARE;CASANARE;N;;11/02/2005;NO;M;11;0;50.626114;YOPAL;YOPAL;COLOMBIA;3;2;COLOMBIA;N;0;No;Si, en efectivo;1 o 2 veces por semana;1 o 2 veces por semana;1 o 2 veces por semana;Cuatro;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) incompleta;Estrato 2;26 A 100 LIBROS;1 a 2;Igual;No;Si;No;Si;No;Si;Si;Si;Es vendedor o trabaja en atención al público;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;2;21;75;11;71;12;30;203;56;39;56;32
20212;SB11202140191837;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO;185440000053;185440000053;85;85440;93179;CASANARE;MIXTO;MAÑANA;VILLANUEVA;OFICIAL;INSTITUCION EDUCATIVA FABIO RIVEROS;FABIO RIVEROS;S;2;A-;2;3;2;S;85;85440;85;85440;Entre 1 y 3 horas;Entre 30 y 60 minutos;CASANARE;CASANARE;N;;19/04/2005;NO;F;11;0;46.527897;VILLANUEVA;VILLANUEVA;COLOMBIA;2;2;COLOMBIA;N;0;No;No;Todos o casi todos los días;3 a 5 veces por semana;1 o 2 veces por semana;Cuatro;Primaria incompleta;Primaria incompleta;Estrato 2;0 A 10 LIBROS;5 a 6;Igual;No;Si;Si;No;Si;Si;Si;Si;Es agricultor, pesquero o jornalero;Es agricultor, pesquero o jornalero;33;49;49;34;68;55;43;241;47;47;55;48
20212;SB11202140385524;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO/ACADÉMICO;185001001744;185001001744;85;85001;146852;CASANARE;MIXTO;SABATINA;YOPAL;OFICIAL;IE LUCILA PIRAGAUTA;LUCILA PIRAGAUTA;S;1;A-;3;2;2;S;85;85001;85;85001;;;CASANARE;CASANARE;N;;17/07/1999;GENERACION E - GRATUIDAD;F;26;;;YOPAL;YOPAL;COLOMBIA;2;;COLOMBIA;N;0;No;;;;;;;;;;;;;;;;;;;;;;3;22;6;52;23;36;31;204;32;53;41;41
20212;SB11202140065497;ESTUDIANTE;TI;URBANO;;A;TÉCNICO;185001002031;185001002031;85;85001;724302;CASANARE;MIXTO;UNICA;YOPAL;OFICIAL;IE MANUELA BELTRAN;MANUELA BELTRAN;S;2;A-;2;3;2;S;85;85001;85;85001;Entre 30 y 60 minutos;No leo por entretenimiento;CASANARE;CASANARE;N;;08/04/2005;GENERACION E - GRATUIDAD;M;11;Menos de 10 horas;54.89716;YOPAL;YOPAL;COLOMBIA;3;3;COLOMBIA;N;0;No;Si, en efectivo;Todos o casi todos los días;3 a 5 veces por semana;Todos o casi todos los días;Tres;Primaria completa;Primaria incompleta;Estrato 3;26 A 100 LIBROS;3 a 4;Mejor;Si;Si;No;Si;Si;Si;Si;Si;Trabaja en el hogar, no trabaja o estudia;No sabe;58;58;41;14;84;73;50;255;44;40;61;55
20212;SB11202140207013;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO;185440000053;185440000053;85;85440;93179;CASANARE;MIXTO;MAÑANA;VILLANUEVA;OFICIAL;INSTITUCION EDUCATIVA FABIO RIVEROS;FABIO RIVEROS;S;3;A2;3;3;2;S;85;85440;85;85440;Entre 30 y 60 minutos;30 minutos o menos;CASANARE;CASANARE;N;;25/07/2004;NO;M;11;0;58.742317;VILLANUEVA;VILLANUEVA;COLOMBIA;2;3;COLOMBIA;N;0;No;No;Todos o casi todos los días;3 a 5 veces por semana;Todos o casi todos los días;Cinco;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 2;0 A 10 LIBROS;5 a 6;Igual;Si;Si;No;Si;Si;Si;No;Si;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;92;84;78;83;82;71;63;299;58;63;60;54
