periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_dedicacioninternet;estu_dedicacionlecturadiaria;estu_depto_presentacion;estu_depto_reside;estu_discapacidad;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_horassemanatrabaja;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_establecimiento;estu_nse_individual;estu_pais_reside;estu_privado_libertad;estu_repite;estu_tieneetnia;estu_tiporemuneracion;fami_comecarnepescadohuevo;fami_comecerealfrutoslegumbre;fami_comelechederivados;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_situacioneconomica;fami_tieneautomovil;fami_tienecomputador;fami_tieneconsolavideojuegos;fami_tienehornomicroogas;fami_tieneinternet;fami_tienelavadora;fami_tienemotocicleta;fami_tieneserviciotv;fami_trabajolabormadre;fami_trabajolaborpadre;percentil_c_naturales;percentil_global;percentil_ingles;percentil_lectura_critica;percentil_matematicas;percentil_sociales_ciudadanas;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20221;SB11202210068704;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;385001004259;385001004259;85;85001;82719;CASANARE;MIXTO;MAÑANA;YOPAL;NO OFICIAL;INST AUTONOMO SHAKESPEARE Y CERVANTES;INST AUTONOMO SHAKESPEARE Y CERVANTES;S;2;A-;2;3;1;N;85;85001;85;85001;Más de 3 horas;Entre 30 y 60 minutos;CASANARE;CASANARE;N;;30/10/2002;M;11;Entre 21 y 30 horas;55.287231;YOPAL;YOPAL;COLOMBIA;3;3;COLOMBIA;N;0;No;No;3 a 5 veces por semana;Todos o casi todos los días;1 o 2 veces por semana;Cuatro;Primaria incompleta;Primaria incompleta;Estrato 2;26 A 100 LIBROS;3 a 4;Igual;No;Si;No;No;Si;No;Si;Si;Es vendedor o trabaja en atención al público;Es vendedor o trabaja en atención al público;41;27;20;15;54;11;52;239;46;45;60;35
20221;SB11202210058543;ESTUDIANTE;TI;URBANO;;A;ACADÉMICO;385440000419;385440000419;85;85440;137273;CASANARE;MIXTO;SABATINA;VILLANUEVA;NO OFICIAL;INCETEC INSTITUTO CENTRALIZADO DE ESTUDIOS TECNICOS;INCETEC INSTITUTO CENTRALIZADO DE ESTUDIOS TECNICOS;S;3;B+;4;4;3;N;50;50001;85;85440;Entre 1 y 3 horas;Entre 30 y 60 minutos;META;CASANARE;N;;20/04/2005;F;11;0;73.284584;VILLAVICENCIO;VILLANUEVA;COLOMBIA;3;4;COLOMBIA;N;0;No;No;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Tres;Postgrado;Secundaria (Bachillerato) completa;Estrato 2;MÁS DE 100 LIBROS;3 a 4;Mejor;No;Si;No;Si;Si;Si;Si;Si;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;No sabe;49;71;76;95;83;52;56;328;79;75;71;56
20221;SB11202210064482;ESTUDIANTE;TI;URBANO;;A;ACADÉMICO;385440000419;385440000419;85;85440;137273;CASANARE;MIXTO;SABATINA;VILLANUEVA;NO OFICIAL;INCETEC INSTITUTO CENTRALIZADO DE ESTUDIOS TECNICOS;INCETEC INSTITUTO CENTRALIZADO DE ESTUDIOS TECNICOS;S;2;A-;2;2;2;N;50;50001;85;85440;Entre 30 y 60 minutos;30 minutos o menos;META;CASANARE;N;;05/10/2004;M;26;0;53.973408;VILLAVICENCIO;VILLANUEVA;COLOMBIA;3;3;COLOMBIA;N;0;No;Si, en efectivo;1 o 2 veces por semana;Nunca o rara vez comemos eso;Nunca o rara vez comemos eso;Dos;Educación profesional incompleta;Secundaria (Bachillerato) completa;Estrato 3;0 A 10 LIBROS;3 a 4;Mejor;No;No;No;No;Si;Si;Si;Si;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;Es operario de máquinas o conduce vehículos (taxita, chofer);34;18;21;4;18;24;49;217;46;37;44;43
20221;SB11202210062092;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;385001004259;385001004259;85;85001;82719;CASANARE;MIXTO;MAÑANA;YOPAL;NO OFICIAL;INST AUTONOMO SHAKESPEARE Y CERVANTES;INST AUTONOMO SHAKESPEARE Y CERVANTES;S;2;A-;2;3;2;N;85;85001;85;85001;Más de 3 horas;No leo por entretenimiento;CASANARE;CASANARE;N;;13/10/2004;M;11;0;60.48967;YOPAL;YOPAL;COLOMBIA;3;3;COLOMBIA;N;0;No;No;3 a 5 veces por semana;3 a 5 veces por semana;1 o 2 veces por semana;Dos;No sabe;No sabe;Estrato 3;0 A 10 LIBROS;3 a 4;Igual;No;Si;No;Si;Si;Si;Si;Si;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;No sabe;38;33;20;19;52;33;51;254;46;47;59;48
20221;SB11202210077316;ESTUDIANTE;TI;URBANO;;A;ACADÉMICO;385440000419;385440000419;85;85440;137273;CASANARE;MIXTO;SABATINA;VILLANUEVA;NO OFICIAL;INCETEC INSTITUTO CENTRALIZADO DE ESTUDIOS TECNICOS;INCETEC INSTITUTO CENTRALIZADO DE ESTUDIOS TECNICOS;S;4;B+;4;3;3;N;11;11001;85;85440;Más de 3 horas;Entre 1 y 2 horas;BOGOTÁ;CASANARE;N;;05/07/2005;F;26;0;64.712334;BOGOTÁ D.C.;VILLANUEVA;COLOMBIA;3;4;COLOMBIA;N;0;No;No;Todos o casi todos los días;1 o 2 veces por semana;Todos o casi todos los días;Cuatro;Educación profesional completa;Educación profesional incompleta;Estrato 2;26 A 100 LIBROS;3 a 4;Igual;Si;Si;No;Si;Si;Si;No;Si;Trabaja en el hogar, no trabaja o estudia;Es agricultor, pesquero o jornalero;90;85;86;79;78;81;71;352;83;69;69;68
20221;SB11202210066536;ESTUDIANTE;TI;URBANO;;A;ACADÉMICO;385440000419;385440000419;85;85440;137273;CASANARE;MIXTO;SABATINA;VILLANUEVA;NO OFICIAL;INCETEC INSTITUTO CENTRALIZADO DE ESTUDIOS TECNICOS;INCETEC INSTITUTO CENTRALIZADO DE ESTUDIOS TECNICOS;S;1;A-;2;3;1;N;50;50001;85;85440;30 minutos o menos;No leo por entretenimiento;META;CASANARE;N;;19/04/2004;M;26;0;57.634846;VILLAVICENCIO;VILLANUEVA;COLOMBIA;3;3;COLOMBIA;N;0;No;Si, en especie;Nunca o rara vez comemos eso;Todos o casi todos los días;3 a 5 veces por semana;Uno;Educación profesional completa;Secundaria (Bachillerato) completa;Sin Estrato;0 A 10 LIBROS;5 a 6;Igual;No;Si;Si;No;No;Si;;Si;;Trabaja en el hogar, no trabaja o estudia;13;17;14;24;37;4;40;216;42;50;53;30
20221;SB11202210068827;ESTUDIANTE;TI;URBANO;;A;ACADÉMICO;385440000419;385440000419;85;85440;137273;CASANARE;MIXTO;SABATINA;VILLANUEVA;NO OFICIAL;INCETEC INSTITUTO CENTRALIZADO DE ESTUDIOS TECNICOS;INCETEC INSTITUTO CENTRALIZADO DE ESTUDIOS TECNICOS;S;2;A1;3;3;3;N;50;50001;85;85440;30 minutos o menos;Entre 30 y 60 minutos;META;CASANARE;N;;14/01/2004;F;26;Menos de 10 horas;52.909309;VILLAVICENCIO;VILLANUEVA;COLOMBIA;3;3;COLOMBIA;N;0;No;Si, en efectivo;3 a 5 veces por semana;Todos o casi todos los días;Todos o casi todos los días;Dos;Primaria completa;Primaria completa;Estrato 2;11 A 25 LIBROS;3 a 4;Igual;No;No;No;No;No;No;Si;Si;Es agricultor, pesquero o jornalero;Es agricultor, pesquero o jornalero;39;41;25;46;34;58;51;273;48;59;52;59
20221;SB11202210064540;ESTUDIANTE;TI;URBANO;;A;ACADÉMICO;385440000419;385440000419;85;85440;137273;CASANARE;MIXTO;SABATINA;VILLANUEVA;NO OFICIAL;INCETEC INSTITUTO CENTRALIZADO DE ESTUDIOS TECNICOS;INCETEC INSTITUTO CENTRALIZADO DE ESTUDIOS TECNICOS;S;1;A-;2;2;1;N;85;85001;85;85440;Entre 1 y 3 horas;Entre 1 y 2 horas;CASANARE;CASANARE;N;;07/06/2004;M;26;Entre 21 y 30 horas;54.589596;YOPAL;VILLANUEVA;COLOMBIA;3;3;COLOMBIA;N;0;No;Si, en efectivo;Todos o casi todos los días;Todos o casi todos los días;1 o 2 veces por semana;Dos;Secundaria (Bachillerato) incompleta;Primaria completa;Estrato 2;11 A 25 LIBROS;1 a 2;Igual;No;No;No;Si;Si;Si;Si;Si;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);Es agricultor, pesquero o jornalero;4;6;9;12;13;3;34;183;38;43;40;29
20221;SB11202210064483;ESTUDIANTE;TI;URBANO;;A;ACADÉMICO;385440000419;385440000419;85;85440;137273;CASANARE;MIXTO;SABATINA;VILLANUEVA;NO OFICIAL;INCETEC INSTITUTO CENTRALIZADO DE ESTUDIOS TECNICOS;INCETEC INSTITUTO CENTRALIZADO DE ESTUDIOS TECNICOS;S;2;A-;3;3;2;N;11;11001;85;85440;Entre 1 y 3 horas;30 minutos o menos;BOGOTÁ;CASANARE;N;;26/02/2004;M;26;Más de 30 horas;54.581112;BOGOTÁ D.C.;VILLANUEVA;COLOMBIA;3;3;COLOMBIA;N;0;No;Si, en efectivo;3 a 5 veces por semana;Nunca o rara vez comemos eso;3 a 5 veces por semana;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 2;0 A 10 LIBROS;3 a 4;Igual;No;Si;No;No;Si;No;No;Si;Trabaja en el hogar, no trabaja o estudia;Trabaja por cuenta propia (por ejemplo plomero, electricista);33;39;21;39;52;38;49;267;46;57;59;51
20221;SB11202210066230;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;385001004259;385001004259;85;85001;82719;CASANARE;MIXTO;MAÑANA;YOPAL;NO OFICIAL;INST AUTONOMO SHAKESPEARE Y CERVANTES;INST AUTONOMO SHAKESPEARE Y CERVANTES;S;3;A1;3;3;3;N;85;85001;85;85001;Entre 1 y 3 horas;Entre 30 y 60 minutos;CASANARE;CASANARE;N;;23/04/2005;M;11;0;65.222755;YOPAL;YOPAL;COLOMBIA;3;4;COLOMBIA;N;0;No;No;3 a 5 veces por semana;1 o 2 veces por semana;3 a 5 veces por semana;Dos;Educación profesional incompleta;Educación profesional completa;Estrato 3;26 A 100 LIBROS;3 a 4;Igual;Si;Si;No;No;Si;Si;No;No;Trabaja en el hogar, no trabaja o estudia;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);64;48;34;40;36;60;61;287;53;57;53;60
