periodo;estu_consecutivo;estu_estudiante;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_ingles;desemp_profundiza_biologia;desemp_profundiza_csociales;desemp_profundiza_lenguaje;desemp_profundiza_matematica;estu_anoterminobachiller;estu_areareside;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_depto_presentacion;estu_depto_reside;estu_etnia;estu_fechanacimiento;estu_genero;estu_mcpio_presentacion;estu_mcpio_reside;estu_mesterminobachiller;estu_motivo_presentavalidacion;estu_nacionalidad;estu_pais_reside;estu_privado_libertad;estu_puesto;estu_tipodocumento;estu_trabajaactualmente;estu_valorpensioncolegio;estu_vecespresentoexamen;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_ingresofmiliarmensual;fami_nivelsisben;fami_ocupacionmadre;fami_ocupacionpadre;fami_personashogar;fami_pisoshogar;fami_telefono;fami_tiene_celular;fami_tiene_nevera;fami_tiene_serviciotv;fami_tieneautomovil;fami_tienecomputador;fami_tienedvd;fami_tienehorno;fami_tieneinternet;fami_tienelavadora;fami_tienemicroondas;punt_biologia;punt_ciencias_sociales;punt_filosofia;punt_fisica;punt_ingles;punt_interdisc_medioambiente;punt_interdisc_violenciaysoc;punt_lenguaje;punt_matematicas;punt_profundiza_biologia;punt_profundiza_csociales;punt_profundiza_lenguaje;punt_profundiza_matematica;punt_quimica
20101;SB11201010106176;ESTUDIANTE;URBANO;N;B;ACADÉMICO;319001000370;319001000370;19;19001;7070;CAUCA;MIXTO;MAÑANA;POPAYÁN;NO OFICIAL;REAL COL SAN FRANCISCO DE ASIS;REAL COL SAN FRANCISCO DE ASIS;S;A2;;;II;;2010;Cabecera Municipal;19;19001;19;19001;CAUCA;CAUCA;;16/06/1993;M;POPAYÁN;POPAYÁN;Junio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;160;TI;No;Entre 150.000 y menos de 250.000;Ninguna vez;Dos;Postgrado;Postgrado;Estrato 5;Entre 3 y menos de 5 SMLV;No está clasificada por el SISBEN;Profesional independiente;;Dos;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;Si;Si;Si;Si;Si;No;Si;No;No;45.639999;52.490002;51.150002;40.060001;58.59;52.16;;62.84;54.77;;;6.3000002;;50.439999
20101;SB11201010106503;ESTUDIANTE;URBANO;N;B;ACADÉMICO;319001000051;319001000051;19;19001;118802;CAUCA;MIXTO;MAÑANA;POPAYÁN;NO OFICIAL;COL TECNICO COMFACAUCA;COLTECNICO COMFACAUCA;S;A-;GB;;;;;;19;19001;;;CAUCA;;;07/08/1993;F;POPAYÁN;;;;COLOMBIA;COLOMBIA;N;840;TI;;;;;;;;;;;;;;;;;;;;;;;;;43.869999;36.630001;29.030001;36.110001;42.759998;;35.93;52.610001;37.560001;5.3000002;;;;43.400002
20101;SB11201010124619;ESTUDIANTE;URBANO;N;A;;319001005061;319001005061;19;19001;112680;CAUCA;MIXTO;MAÑANA;POPAYÁN;NO OFICIAL;INSTITUTO EMPRESARIAL NUEVO HORIZONTE;INSTITUTO EMPRESARIAL NUEVO HORIZONTE - SEDE PRINCIPAL;S;A-;GB;;;;2010;Cabecera Municipal;19;19001;19;19001;CAUCA;CAUCA;;01/12/1992;M;POPAYÁN;POPAYÁN;Junio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;889;TI;No;Entre 120.000 y menos de 150.000;Ninguna vez;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 2;Entre 1 y menos de 2 SMLV;Nivel 1;Hogar;Trabajador por cuenta propia;Cuatro;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;No;No;No;Si;Si;49.560001;31.290001;40.169998;40.060001;38.779999;49.290001;;50.619999;33.459999;5.3000002;;;;39.759998
20101;SB11201010106153;ESTUDIANTE;URBANO;N;B;ACADÉMICO;319001000434;319001000434;19;19001;7013;CAUCA;MIXTO;MAÑANA;POPAYÁN;NO OFICIAL;COL CHAMPAGNAT;COL CHAMPAGNAT;S;A-;GB;;;;2010;Area Rural;19;19001;19;19001;CAUCA;CAUCA;;08/10/1993;M;POPAYÁN;POPAYÁN;Junio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;899;TI;No;250.000 o más;Ninguna vez;Tres;Educación profesional incompleta;Educación profesional incompleta;Estrato 4;Menos de 1 SMLV;Nivel 2;;;Cinco;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;No;Si;Si;Si;Si;Si;Si;43.869999;47.540001;43.459999;45.299999;37.099998;50.779999;;32.130001;40.93;5;;;;50.259998
20101;SB11201010123067;ESTUDIANTE;URBANO;N;A;ACADÉMICO;319698002846;319698002846;19;19698;84806;CAUCA;MIXTO;SABATINA;SANTANDER DE QUILICHAO;NO OFICIAL;COLEGIO NUEVO MILENIO;COLEGIO NUEVO MILENIO;S;A-;;;;GB;2010;Cabecera Municipal;19;19698;19;19698;CAUCA;CAUCA;;08/01/1993;M;SANTANDER DE QUILICHAO;SANTANDER DE QUILICHAO;Julio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;880;CC;No;Menos de 87.000;Ninguna vez;Dos;Primaria completa;Primaria completa;Estrato 2;Menos de 1 SMLV;Nivel 2;Otra actividad u ocupación;Otra actividad u ocupación;Tres;Cemento, gravilla, ladrillo;Si;Si;Si;No;No;No;Si;No;No;Si;Si;41.75;34.080002;43.459999;45.299999;38.779999;50.779999;;46.439999;40.93;;;;3.7;29.24
20101;SB11201010106149;ESTUDIANTE;URBANO;N;B;ACADÉMICO;319001000434;319001000434;19;19001;7013;CAUCA;MIXTO;MAÑANA;POPAYÁN;NO OFICIAL;COL CHAMPAGNAT;COL CHAMPAGNAT;S;A-;I;;;;2010;Cabecera Municipal;19;19001;19;19001;CAUCA;CAUCA;;11/02/1993;M;POPAYÁN;POPAYÁN;Junio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;250;TI;No;Entre 120.000 y menos de 150.000;Dos veces;Dos;Técnica o tecnológica completa;Secundaria (Bachillerato) completa;Estrato 1;Menos de 1 SMLV;Nivel 1;Profesional independiente;Profesional independiente;Cuatro;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;No;No;Si;No;No;Si;No;No;53.650002;59.580002;33.5;53.060001;41.610001;52.16;;52.610001;59.860001;5.5999999;;;;53.73
20101;SB11201010118195;ESTUDIANTE;URBANO;N;A;ACADÉMICO;319573000747;319573000747;19;19573;88781;CAUCA;MIXTO;SABATINA;PUERTO TEJADA;NO OFICIAL;GIMNACIO CAUCANO DE BACHILLERATO ACADEMICO GICABA;GIMNACIO CAUCANO DE BACHILLERATO ACADEMICO GICABA;S;A-;;;GB;;2010;Cabecera Municipal;19;19698;19;19698;CAUCA;CAUCA;;08/05/1990;F;SANTANDER DE QUILICHAO;SANTANDER DE QUILICHAO;Julio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;706;CC;No;Menos de 87.000;Ninguna vez;Cuatro;Técnica o tecnológica incompleta;Técnica o tecnológica incompleta;Estrato 2;Entre 1 y menos de 2 SMLV;Nivel 2;Hogar;Trabajador por cuenta propia;Cuatro;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;No;Si;Si;Si;Si;Si;No;Si;Si;41.75;39.580002;33.5;36.110001;33.220001;;24.75;50.849998;46.84;;;3.2;;43.400002
20101;SB11201010106630;ESTUDIANTE;URBANO;N;B;ACADÉMICO;319001002895;319001002895;19;19001;79061;CAUCA;MIXTO;MAÑANA;POPAYÁN;NO OFICIAL;COL GIMNACIO CALIBIO;COL GIMNASIO CALIBIO;S;A2;;;GB;;2010;Cabecera Municipal;19;19001;;;CAUCA;;;03/07/1991;M;POPAYÁN;;Junio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;30;CC;;250.000 o más;Ninguna vez;;;;;;;;;;;;;;;;;;;;;;62.110001;65.330002;45.93;56.25;57.27;;66.290001;70.129997;62.560001;;;4.1999998;;53.91
20101;SB11201010106501;ESTUDIANTE;URBANO;;B;ACADÉMICO;319001001201;319001001201;19;19001;131581;CAUCA;MIXTO;MAÑANA;POPAYÁN;NO OFICIAL;COL MIXTO SINTRAFEC;COL MIXTO SINTRAFEC;S;A1;;I;;;2010;Cabecera Municipal;19;19001;19;19001;CAUCA;CAUCA;;07/02/1994;F;POPAYÁN;POPAYÁN;Junio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;368;TI;No;Menos de 87.000;Ninguna vez;Tres;Educación profesional completa;Educación profesional completa;Estrato 4;Entre 1 y menos de 2 SMLV;No está clasificada por el SISBEN;Hogar;Profesional independiente;Cinco;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;No;43.869999;44.119999;46.23;39.450001;43.48;;39.41;58.709999;49.549999;;5.0999999;;;46.880001
20101;SB11201010106321;ESTUDIANTE;URBANO;N;OTRO;NO APLICA;319001004475;319001004475;19;19001;93740;CAUCA;MIXTO;MAÑANA;POPAYÁN;NO OFICIAL;COL. LOS ALCAZARES;COL. LOS ALCAZARES;S;A1;;;;I;2010;Cabecera Municipal;19;19001;19;19256;CAUCA;CAUCA;;16/12/1991;M;POPAYÁN;EL TAMBO;Junio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;928;TI;No;Entre 87.000 y menos de 120.000;Ninguna vez;Cuatro;Primaria completa;Secundaria (Bachillerato) completa;Estrato 1;Menos de 1 SMLV;Nivel 1;Hogar;Otra actividad u ocupación;Cuatro;Cemento, gravilla, ladrillo;No;Si;Si;No;No;No;No;No;No;No;No;39.23;31.290001;28.68;36.700001;46.349998;45.540001;;46.439999;46.77;;;;5.3000002;29.370001
