periodo;estu_consecutivo;estu_estudiante;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_ingles;desemp_profundiza_biologia;desemp_profundiza_csociales;desemp_profundiza_lenguaje;desemp_profundiza_matematica;estu_anomatriculaprimero;estu_anomatriculasexto;estu_anoscolegioactual;estu_anospreescolar;estu_anoterminobachiller;estu_anoterminoquinto;estu_antecedentes;estu_areareside;estu_cod_depto_presentacion;estu_cod_iesdeseada;estu_cod_mcpio_presentacion;estu_cod_mcpioiesdeseada;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_cuantoscolegioestudio;estu_depto_presentacion;estu_depto_reside;estu_etnia;estu_fechanacimiento;estu_genero;estu_iesdeseada;estu_instporamigosestudiando;estu_instporcostomatricula;estu_instporoportunidades;estu_instporotrarazon;estu_instporprestigio;estu_instporubicacion;estu_instporunicaqueofrece;estu_mcpio_presentacion;estu_mcpio_reside;estu_mcpioiesdeseada;estu_mesterminobachiller;estu_motivo_presentavalidacion;estu_nacionalidad;estu_pais_reside;estu_privado_libertad;estu_puesto;estu_razonretirocolegio;estu_reprobocuarto;estu_reprobodecimo;estu_reprobonoveno;estu_reprobooctavo;estu_reprobooncemas;estu_reproboprimero;estu_reproboquinto;estu_reprobosegundo;estu_reproboseptimo;estu_reprobosexto;estu_reprobotercero;estu_seretirocolegio;estu_tipocarreradeseada;estu_tipodocumento;estu_totalalumnoscurso;estu_trabajaactualmente;estu_valorpensioncolegio;estu_vecespresentoexamen;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_ingresofmiliarmensual;fami_nivelsisben;fami_ocupacionmadre;fami_ocupacionpadre;fami_personashogar;fami_pisoshogar;fami_telefono;fami_tiene_celular;fami_tiene_nevera;fami_tiene_serviciotv;fami_tieneautomovil;fami_tienecomputador;fami_tienedvd;fami_tienehorno;fami_tieneinternet;fami_tienelavadora;fami_tienemicroondas;punt_biologia;punt_ciencias_sociales;punt_filosofia;punt_fisica;punt_ingles;punt_interdisc_medioambiente;punt_interdisc_violenciaysoc;punt_lenguaje;punt_matematicas;punt_profundiza_biologia;punt_profundiza_csociales;punt_profundiza_lenguaje;punt_profundiza_matematica;punt_quimica
20111;SB11201110071601;ESTUDIANTE;URBANO;;B;ACADÉMICO;319001001201;319001001201;19;19001;131581;CAUCA;MIXTO;MAÑANA;POPAYÁN;NO OFICIAL;COL MIXTO SINTRAFEC;COL MIXTO SINTRAFEC;S;A2;I;;;;;;;;;;No;Cabecera Municipal;19;;19001;;19;19001;;CAUCA;CAUCA;;26/12/1994;M;;;;;;;;;POPAYÁN;POPAYÁN;;;;COLOMBIA;COLOMBIA;N;63;;;;;;;;;;;;;;;TI;;No;Menos de 87.000;Ninguna vez;Dos;Educación profesional completa;Secundaria (Bachillerato) completa;Estrato 3;Menos de 1 SMLV;No está clasificada por el SISBEN;Empleado de nivel técnico o profesional;Empleado de nivel técnico o profesional;Tres;Cemento, gravilla, ladrillo;Si;Si;Si;Si;No;Si;Si;Si;Si;Si;No;67.790001;61.849998;49.23;58.630001;54.639999;;;59.23;65.459999;6;;;;58.689999
20111;SB11201110133778;ESTUDIANTE;URBANO;N;A;ACADÉMICO;319698002901;319698002901;19;19698;84780;CAUCA;MIXTO;SABATINA;SANTANDER DE QUILICHAO;NO OFICIAL;COLEGIO LA SANTISIMA TRINIDAD;COLEGIO LA SANTISIMA TRINIDAD;S;A-;;;;;;;;;;;No;Cabecera Municipal;19;;19698;;19;19698;;CAUCA;CAUCA;;18/01/1993;F;;;;;;;;;SANTANDER DE QUILICHAO;SANTANDER DE QUILICHAO;;;;COLOMBIA;COLOMBIA;N;761;;;;;;;;;;;;;;;CC;;No;Menos de 87.000;Ninguna vez;Dos;Secundaria (Bachillerato) incompleta;Ninguno;Estrato 1;Entre 1 y menos de 2 SMLV;Nivel 1;Hogar;Trabajador por cuenta propia;Cinco;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;Si;No;No;No;No;No;No;No;No;26.870001;43.09;41.27;35.029999;38.080002;;45.580002;55.41;49.57;;;;;29.450001
20111;SB11201110091689;ESTUDIANTE;URBANO;;OTRO;ACADÉMICO;319001004669;319001004669;19;19001;135301;CAUCA;MIXTO;MAÑANA;POPAYÁN;NO OFICIAL;COORPORACION EDUCATIVA DEL SUR OCCIDENTE COLOMBIANO;COORPORACION EDUCATIVA DEL SUR OCCIDENTE COLOMBIANO - SEDE PRINCIPAL;S;A1;;;;;;;;;;;No;Cabecera Municipal;19;;19001;;19;19001;;CAUCA;CAUCA;;17/10/1991;M;;;;;;;;;POPAYÁN;POPAYÁN;;;;COLOMBIA;COLOMBIA;N;639;;;;;;;;;;;;;;;CC;;No;Menos de 87.000;Ninguna vez;Cuatro;Secundaria (Bachillerato) completa;Educación profesional completa;Estrato 4;Menos de 1 SMLV;No está clasificada por el SISBEN;Hogar;Profesional independiente;Cuatro;Cemento, gravilla, ladrillo;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;43.360001;44.130001;46.099998;37.98;43.48;51.25;;46.369999;41.689999;;;;;39.959999
20111;SB11201110094308;ESTUDIANTE;URBANO;;OTRO;ACADÉMICO;319001004669;319001004669;19;19001;135301;CAUCA;MIXTO;MAÑANA;POPAYÁN;NO OFICIAL;COORPORACION EDUCATIVA DEL SUR OCCIDENTE COLOMBIANO;COORPORACION EDUCATIVA DEL SUR OCCIDENTE COLOMBIANO - SEDE PRINCIPAL;S;A-;;;I;;;;;;;;No;Cabecera Municipal;19;;19001;;19;19001;;CAUCA;CAUCA;;19/05/1992;F;;;;;;;;;POPAYÁN;POPAYÁN;;;;COLOMBIA;COLOMBIA;N;345;;;;;;;;;;;;;;;CC;;No;Menos de 87.000;Ninguna vez;Cuatro;Primaria completa;Primaria completa;Estrato 1;Menos de 1 SMLV;Nivel 1;Hogar;Pequeño empresario;Cuatro;Cemento, gravilla, ladrillo;No;Si;No;No;No;No;No;No;No;No;No;49.77;44.130001;49.23;58.630001;42.759998;;;54.48;49.43;;;5.8000002;;47.169998
20111;SB11201110073283;ESTUDIANTE;URBANO;N;A;ACADÉMICO;319698002944;319698002944;19;19698;106724;CAUCA;MIXTO;SABATINA;SANTANDER DE QUILICHAO;NO OFICIAL;COLEGIO DE ADULTOS POR CICLOS INTEGRADOS GIMNASIO DEL NORTE;COLEGIO DE ADULTOS POR CICLOS INTEGRADOS GIMNASIO DEL NORTE;S;A-;;;;;1996;2000;2 años;Un año de preescolar;;1988;Si;Cabecera Municipal;19;1110;19698;19001;19;19698;Uno;CAUCA;CAUCA;;13/04/1989;F;UNIVERSIDAD DEL CAUCA;No;No;No;No;No;No;No;SANTANDER DE QUILICHAO;SANTANDER DE QUILICHAO;POPAYAN;;;COLOMBIA;COLOMBIA;N;706;Por razones económicas;No;No;No;No;No;No;No;No;No;No;No;Si, menos de un año escolar;Tecnológica;CC;28;No;Menos de 87.000;Ninguna vez;Dos;Secundaria (Bachillerato) incompleta;Ninguno;Estrato 2;Menos de 1 SMLV;Nivel 2;Hogar;Pequeño empresario;Dos;Cemento, gravilla, ladrillo;No;No;No;No;No;No;No;No;No;No;No;41.07;33.549999;39.75;40.799999;38.080002;54.91;;43.959999;49.77;;;;;49.029999
20111;SB11201110071811;ESTUDIANTE;URBANO;N;B;ACADÉMICO;319001000175;319001000175;19;19001;106179;CAUCA;FEMENINO;MAÑANA;POPAYÁN;NO OFICIAL;COL HOGAR MADRE DE DIOS;COL HOGAR MADRE DE DIOS;S;A1;GB;;;;;;;;;;No;Area Rural;19;;19001;;19;19001;;CAUCA;CAUCA;;09/05/1994;F;;;;;;;;;POPAYÁN;POPAYÁN;;;;COLOMBIA;COLOMBIA;N;455;;;;;;;;;;;;;;;TI;;No;Entre 87.000 y menos de 120.000;Ninguna vez;Cuatro;Técnica o tecnológica completa;Educación profesional completa;Estrato 1;Entre 1 y menos de 2 SMLV;No está clasificada por el SISBEN;;Empleado de nivel técnico o profesional;Seis;Madera burda, tabla, tablón;No;Si;Si;No;No;Si;Si;Si;No;No;No;45.470001;53.200001;51.75;43.889999;43.48;;;51.709999;41.509998;5.4000001;;;;43.509998
20111;SB11201110071742;ESTUDIANTE;URBANO;N;B;ACADÉMICO;319001003280;319001003280;19;19001;100354;CAUCA;MIXTO;COMPLETA;POPAYÁN;NO OFICIAL;COL CAMPESTRE AMERICANO;COL CAMPESTRE AMERICANO - SEDE PRINCIPAL;S;B1;I;;;;;;;;2011;;No;Cabecera Municipal;19;;19001;;19;19001;;CAUCA;CAUCA;;27/01/1994;F;;;;;;;;;POPAYÁN;POPAYÁN;;;Para prepararse para el examen de Estado;COLOMBIA;COLOMBIA;N;107;;;;;;;;;;;;;;;TI;;No;250.000 o más;Una Vez;Dos;Postgrado;Postgrado;Estrato 4;Entre 7 y menos de 10 SMLV;No está clasificada por el SISBEN;;;Dos;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;56.509998;67.110001;49.23;58.630001;75.339996;;;51.580002;62.529999;6.3000002;;;;50.779999
20111;SB11201110071252;ESTUDIANTE;URBANO;N;B;ACADÉMICO;319001000434;319001000434;19;19001;7013;CAUCA;MIXTO;MAÑANA;POPAYÁN;NO OFICIAL;COL CHAMPAGNAT;COL CHAMPAGNAT;S;A1;;;;;;;;;;;No;Cabecera Municipal;19;;19001;;19;19001;;CAUCA;CAUCA;;12/03/1994;M;;;;;;;;;POPAYÁN;POPAYÁN;;;;COLOMBIA;COLOMBIA;N;426;;;;;;;;;;;;;;;TI;;No;250.000 o más;Ninguna vez;Dos;Técnica o tecnológica completa;Postgrado;Estrato 4;Entre 3 y menos de 5 SMLV;No está clasificada por el SISBEN;Profesional independiente;Empleado de nivel auxiliar o administrativo;Tres;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;45.470001;49.049999;37.34;45.950001;46.709999;;48.900002;53.509998;44.549999;;;;;43.540001
20111;SB11201110112022;ESTUDIANTE;URBANO;N;A;ACADÉMICO;319548000820;319548000820;19;19548;93559;CAUCA;MIXTO;SABATINA;PIENDAMÓ - TUNÍA;NO OFICIAL;BACHILLERATO ACADEMICO PARA ADULTOS ALHERSAN;BACHILLERATO ACADEMICO PARA ADULTOS ALHERSAN;S;A1;I;;;;;;;;;;No;Cabecera Municipal;19;;19001;;19;19548;;CAUCA;CAUCA;;06/05/1991;M;;;;;;;;;POPAYÁN;PIENDAMÓ - TUNÍA;;;;COLOMBIA;COLOMBIA;N;750;;;;;;;;;;;;;;;CC;;No;Menos de 87.000;Ninguna vez;Tres;Primaria completa;Primaria completa;Estrato 1;Entre 1 y menos de 2 SMLV;Nivel 1;Hogar;Pequeño empresario;Nueve;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;Si;Si;No;No;Si;Si;No;Si;Si;43.299999;31.76;41.990002;35.5;43.48;;;45.43;44.23;5.6999998;;;;43.509998
20111;SB11201110128252;ESTUDIANTE;URBANO;N;A;ACADÉMICO;319698002901;319698002901;19;19698;84780;CAUCA;MIXTO;SABATINA;SANTANDER DE QUILICHAO;NO OFICIAL;COLEGIO LA SANTISIMA TRINIDAD;COLEGIO LA SANTISIMA TRINIDAD;S;A1;;;;;;;;;;;No;Area Rural;19;;19698;;19;19548;;CAUCA;CAUCA;;21/04/1990;F;;;;;;;;;SANTANDER DE QUILICHAO;PIENDAMÓ - TUNÍA;;;;COLOMBIA;COLOMBIA;N;714;;;;;;;;;;;;;;;CC;;No;Menos de 87.000;Ninguna vez;Dos;Primaria incompleta;Primaria incompleta;Estrato 1;Menos de 1 SMLV;Nivel 1;Hogar;Otra actividad u ocupación;Cuatro;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;Si;No;No;No;No;No;No;No;No;47.560001;44.970001;39.349998;34.709999;43.48;;42.419998;45.43;36.110001;;;;;42.099998
20111;SB11201110071330;ESTUDIANTE;URBANO;N;B;ACADÉMICO;319001000370;319001000370;19;19001;7070;CAUCA;MIXTO;MAÑANA;POPAYÁN;NO OFICIAL;REAL COL SAN FRANCISCO DE ASIS;REAL COL SAN FRANCISCO DE ASIS;S;A1;;;;;;;;;;;No;Cabecera Municipal;19;;19001;;19;19001;;CAUCA;CAUCA;;28/10/1993;F;;;;;;;;;POPAYÁN;POPAYÁN;;;;COLOMBIA;COLOMBIA;N;343;;;;;;;;;;;;;;;TI;;No;Entre 150.000 y menos de 250.000;Ninguna vez;Cuatro;Educación profesional completa;Postgrado;Estrato 3;Entre 3 y menos de 5 SMLV;No está clasificada por el SISBEN;Profesional independiente;Empleado de nivel técnico o profesional;Seis;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;No;No;No;Si;No;56.459999;58.200001;56.470001;57.810001;44.709999;53.990002;;46.290001;49.849998;;;;;47.66
20111;SB11201110137350;ESTUDIANTE;URBANO;N;A;ACADÉMICO;319548000820;319548000820;19;19548;93559;CAUCA;MIXTO;SABATINA;PIENDAMÓ - TUNÍA;NO OFICIAL;BACHILLERATO ACADEMICO PARA ADULTOS ALHERSAN;BACHILLERATO ACADEMICO PARA ADULTOS ALHERSAN;S;A-;;;;;;;;;;;No;Area Rural;19;;19001;;19;19548;;CAUCA;CAUCA;;29/10/1991;F;;;;;;;;;POPAYÁN;PIENDAMÓ - TUNÍA;;;;COLOMBIA;COLOMBIA;N;590;;;;;;;;;;;;;;;CC;;No;Menos de 87.000;Ninguna vez;Dos;Primaria incompleta;Primaria incompleta;Estrato 1;Menos de 1 SMLV;Nivel 1;Hogar;Pequeño empresario;Tres;Tierra, arena;No;Si;Si;No;No;No;Si;No;No;No;No;51.93;50.110001;44.459999;48.41;38.080002;53.09;;54.32;32.419998;;;;;37.419998
20111;SB11201110071222;ESTUDIANTE;URBANO;N;B;ACADÉMICO;319001000434;319001000434;19;19001;7013;CAUCA;MIXTO;MAÑANA;POPAYÁN;NO OFICIAL;COL CHAMPAGNAT;COL CHAMPAGNAT;S;A2;;;;;;;;;;;No;Cabecera Municipal;19;;19001;;19;19001;;CAUCA;CAUCA;;02/02/1994;F;;;;;;;;;POPAYÁN;POPAYÁN;;;;COLOMBIA;COLOMBIA;N;231;;;;;;;;;;;;;;;TI;;No;250.000 o más;Ninguna vez;Dos;Secundaria (Bachillerato) completa;Educación profesional completa;Estrato 5;Entre 1 y menos de 2 SMLV;No está clasificada por el SISBEN;Hogar;Profesional independiente;Tres;Madera pulida, baldosa, tableta, mármol, alfombra;Si;No;Si;Si;Si;Si;Si;Si;Si;Si;Si;51.93;60.75;37.34;48.41;61.220001;53.09;;58.25;47.189999;;;;;52.720001
20111;SB11201110071805;ESTUDIANTE;URBANO;N;B;ACADÉMICO;319001000175;319001000175;19;19001;106179;CAUCA;FEMENINO;MAÑANA;POPAYÁN;NO OFICIAL;COL HOGAR MADRE DE DIOS;COL HOGAR MADRE DE DIOS;S;A2;;;GB;;;;;;;;No;Cabecera Municipal;19;;19001;;19;19001;;CAUCA;CAUCA;;18/07/1994;F;;;;;;;;;POPAYÁN;POPAYÁN;;;;COLOMBIA;COLOMBIA;N;558;;;;;;;;;;;;;;;TI;;No;Entre 87.000 y menos de 120.000;Ninguna vez;Dos;Técnica o tecnológica completa;Técnica o tecnológica completa;Estrato 3;Entre 1 y menos de 2 SMLV;No está clasificada por el SISBEN;Hogar;Empleado de nivel auxiliar o administrativo;Cuatro;Cemento, gravilla, ladrillo;Si;Si;Si;No;No;No;No;No;No;No;No;51.900002;54.220001;39.349998;40.439999;53.32;;;44.02;44.689999;;;4.5;;42.099998
