periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_ingles;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_depto_presentacion;estu_depto_reside;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_individual;estu_pais_reside;estu_pilopaga;estu_privado_libertad;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_tieneautomovil;fami_tienecomputador;fami_tieneinternet;fami_tienelavadora;fami_tieneserviciotv;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20151;SB11201510002728;ESTUDIANTE;TI;URBANO;N;B;ACADÉMICO;319001002895;319001002895;19;19001;79061;CAUCA;MIXTO;MAÑANA;POPAYAN;NO OFICIAL;COL GIMNACIO CALIBIO;COL GIMNASIO CALIBIO;S;B1;S;19;19001;19;19001;CAUCA;CAUCA;Ninguno;22/04/1998;M;11;75.345093;POPAYAN;POPAYAN;COLOMBIA;NSE4;COLOMBIA;NO;N;Tres;Educación profesional completa;Educación profesional completa;Estrato 6;26 A 100 LIBROS;Tres;Si;Si;Si;Si;Si;78;350;80;62;75;62
20151;SB11201510032163;ESTUDIANTE;TI;URBANO;;B;ACADÉMICO;319001001201;319001001201;19;19001;131581;CAUCA;MIXTO;MAÑANA;POPAYAN;NO OFICIAL;COL MIXTO SINTRAFEC;COL MIXTO SINTRAFEC;S;A2;S;19;19001;19;19001;CAUCA;CAUCA;Ninguno;24/01/1999;M;11;65.681892;POPAYAN;POPAYAN;COLOMBIA;NSE4;COLOMBIA;NO;N;Dos;Técnica o tecnológica completa;Secundaria (Bachillerato) completa;Estrato 3;26 A 100 LIBROS;Tres;Si;Si;Si;Si;Si;59;331;66;64;68;74
20151;SB11201510007881;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;319548000820;319548000820;19;19548;93559;CAUCA;MIXTO;SABATINA;PIENDAMO;NO OFICIAL;BACHILLERATO ACADEMICO PARA ADULTOS ALHERSAN;BACHILLERATO ACADEMICO PARA ADULTOS ALHERSAN;S;A-;S;19;19001;19;19548;CAUCA;CAUCA;Ninguno;05/05/1997;M;26;45.509422;POPAYAN;PIENDAMO;COLOMBIA;NSE2;COLOMBIA;NO;N;Cuatro;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 1;0 A 10 LIBROS;Cuatro;No;No;No;No;Si;51;232;40;45;47;45
20151;SB11201510050160;ESTUDIANTE;TI;URBANO;N;B;ACADÉMICO;319001000451;319001000451;19;19001;31369;CAUCA;MIXTO;MAÑANA;POPAYAN;NO OFICIAL;INSTITUTO MELVIN JONES;INSTITUTO MELVIN JONES;S;A2;S;19;19001;19;19001;CAUCA;CAUCA;Ninguno;27/07/1999;F;11;58.876038;POPAYAN;POPAYAN;COLOMBIA;NSE3;COLOMBIA;NO;N;Tres;Educación profesional completa;Educación profesional incompleta;Estrato 2;26 A 100 LIBROS;Seis;No;Si;Si;Si;Si;62;283;68;52;56;53
20151;SB11201510053915;ESTUDIANTE;TI;URBANO;N;B;ACADÉMICO;319001000370;319001000370;19;19001;7070;CAUCA;MIXTO;MAÑANA;POPAYAN;NO OFICIAL;REAL COL SAN FRANCISCO DE ASIS;REAL COL SAN FRANCISCO DE ASIS;S;A1;S;19;19001;19;19001;CAUCA;CAUCA;Ninguno;04/07/1997;M;11;58.899677;POPAYAN;POPAYAN;COLOMBIA;NSE3;COLOMBIA;NO;N;Cuatro;Técnica o tecnológica completa;Educación profesional completa;Estrato 3;MÁS DE 100 LIBROS;Seis;Si;Si;Si;Si;Si;53;270;55;53;75;35
20151;SB11201510000207;ESTUDIANTE;TI;URBANO;N;B;ACADÉMICO;319001001180;319001001180;19;19001;50625;CAUCA;MIXTO;COMPLETA;POPAYAN;NO OFICIAL;COL LOS ANDES;COL LOS ANDES;S;A1;S;19;19001;19;19001;CAUCA;CAUCA;Ninguno;14/12/1998;F;11;62.983379;POPAYAN;POPAYAN;COLOMBIA;NSE3;COLOMBIA;NO;N;Tres;Secundaria (Bachillerato) completa;Postgrado;Estrato 3;MÁS DE 100 LIBROS;Tres;Si;Si;Si;Si;Si;55;290;53;58;61;60
20151;SB11201510083117;ESTUDIANTE;TI;URBANO;N;B;ACADÉMICO;319001002151;319001002151;19;19001;79095;CAUCA;MIXTO;MAÑANA;POPAYAN;NO OFICIAL;COL GUILLERMO LEON VALENCIA;COL GUILLERMO LEON VALENCIA;S;B1;S;19;19001;19;19001;CAUCA;CAUCA;Ninguno;09/08/1997;F;11;66.812279;POPAYAN;POPAYAN;COLOMBIA;NSE4;COLOMBIA;NO;N;Cinco;Educación profesional completa;Técnica o tecnológica completa;Estrato 4;11 A 25 LIBROS;Seis;No;Si;Si;Si;Si;63;304;70;64;59;54
20151;SB11201510008050;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;319548000820;319548000820;19;19548;93559;CAUCA;MIXTO;SABATINA;PIENDAMO;NO OFICIAL;BACHILLERATO ACADEMICO PARA ADULTOS ALHERSAN;BACHILLERATO ACADEMICO PARA ADULTOS ALHERSAN;S;A-;S;19;19001;19;19548;CAUCA;CAUCA;Ninguno;15/01/1996;M;26;41.635159;POPAYAN;PIENDAMO;COLOMBIA;NSE2;COLOMBIA;NO;N;Tres;Ninguno;Primaria incompleta;Estrato 1;0 A 10 LIBROS;Seis;No;No;No;No;Si;35;201;45;49;37;38
20151;SB11201510055686;ESTUDIANTE;TI;URBANO;N;B;TÉCNICO;319573000508;319573000508;19;19573;118919;CAUCA;MIXTO;MAÑANA;PUERTO TEJADA;NO OFICIAL;COLEGIO COMFACAUCA;COLEGIO COMFACAUCA;S;A-;S;19;19698;19;19573;CAUCA;CAUCA;Ninguno;25/04/1999;F;11;64.59153;SANTANDER DE QUILICHAO;PUERTO TEJADA;COLOMBIA;NSE4;COLOMBIA;NO;N;Cinco;Educación profesional completa;Educación profesional completa;Estrato 2;11 A 25 LIBROS;Cuatro;Si;Si;Si;Si;Si;69;267;40;57;41;51
20151;SB11201510002734;ESTUDIANTE;TI;URBANO;N;B;ACADÉMICO;319001002895;319001002895;19;19001;79061;CAUCA;MIXTO;MAÑANA;POPAYAN;NO OFICIAL;COL GIMNACIO CALIBIO;COL GIMNASIO CALIBIO;S;B1;S;19;19001;19;19001;CAUCA;CAUCA;Ninguno;23/03/1999;M;11;76.674446;POPAYAN;POPAYAN;COLOMBIA;NSE4;COLOMBIA;NO;N;Tres;Educación profesional completa;Educación profesional completa;Estrato 6;26 A 100 LIBROS;Cuatro;Si;Si;Si;Si;Si;100;421;78;69;88;82
