periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_dedicacioninternet;estu_dedicacionlecturadiaria;estu_depto_presentacion;estu_depto_reside;estu_discapacidad;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_horassemanatrabaja;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_establecimiento;estu_nse_individual;estu_pais_reside;estu_privado_libertad;estu_repite;estu_tieneetnia;estu_tiporemuneracion;fami_comecarnepescadohuevo;fami_comecerealfrutoslegumbre;fami_comelechederivados;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_situacioneconomica;fami_tieneautomovil;fami_tienecomputador;fami_tieneconsolavideojuegos;fami_tienehornomicroogas;fami_tieneinternet;fami_tienelavadora;fami_tienemotocicleta;fami_tieneserviciotv;fami_trabajolabormadre;fami_trabajolaborpadre;percentil_c_naturales;percentil_global;percentil_ingles;percentil_lectura_critica;percentil_matematicas;percentil_sociales_ciudadanas;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas;estu_grupoetnia
20241;SB11202410007132;ESTUDIANTE;TI;URBANO;;B;;319001002151;319001002151;19;19001;79095;CAUCA;MIXTO;MAÑANA;POPAYÁN;NO OFICIAL;COL GUILLERMO LEON VALENCIA;COL GUILLERMO LEON VALENCIA;S;3;A2;3;4;3;S;19;19001;19;19001;Entre 1 y 3 horas;30 minutos o menos;CAUCA;CAUCA;N;;15/06/2007;F;11;0;50.405697;POPAYÁN;POPAYÁN;COLOMBIA;3;2;COLOMBIA;N;0;;Si, en efectivo;Todos o casi todos los días;3 a 5 veces por semana;Nunca o rara vez comemos eso;Uno;Técnica o tecnológica completa;Técnica o tecnológica completa;Estrato 2;11 A 25 LIBROS;1 a 2;Peor;No;No;No;No;Si;Si;No;No;Trabaja en el hogar, no trabaja o estudia;No sabe;82;74;51;65;84;69;68;335;66;65;72;63;NINGUNO
20241;SB11202410000899;ESTUDIANTE;TI;URBANO;;B;;319001004651;319001004651;19;19001;609875;CAUCA;MIXTO;MAÑANA;POPAYÁN;NO OFICIAL;CENTRO PEDAGOGICO CREATIVO DEL CAUCA ;CENTRO PEDAGOGICO CREATIVO DEL CAUCA  - SEDE PRINCIPAL;S;3;B1;3;3;3;S;19;19001;19;19001;Entre 1 y 3 horas;30 minutos o menos;CAUCA;CAUCA;N;;18/10/2008;F;11;0;59.987442;POPAYÁN;POPAYÁN;COLOMBIA;3;3;COLOMBIA;N;0;;No;Todos o casi todos los días;Todos o casi todos los días;3 a 5 veces por semana;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 2;26 A 100 LIBROS;3 a 4;Igual;Si;Si;No;Si;Si;Si;Si;Si;Trabaja en el hogar, no trabaja o estudia;Pensionado;73;65;62;62;62;60;64;319;74;64;64;60;NINGUNO
20241;SB11202410000890;ESTUDIANTE;TI;URBANO;;B;;319001004651;319001004651;19;19001;609875;CAUCA;MIXTO;MAÑANA;POPAYÁN;NO OFICIAL;CENTRO PEDAGOGICO CREATIVO DEL CAUCA ;CENTRO PEDAGOGICO CREATIVO DEL CAUCA  - SEDE PRINCIPAL;S;1;;1;1;1;N;19;19001;19;19001;Entre 1 y 3 horas;No leo por entretenimiento;CAUCA;CAUCA;S;;05/06/2005;F;11;0;61.067982;POPAYÁN;POPAYÁN;COLOMBIA;3;3;COLOMBIA;N;0;;No;3 a 5 veces por semana;3 a 5 veces por semana;3 a 5 veces por semana;Tres;Secundaria (Bachillerato) completa;Técnica o tecnológica completa;Estrato 4;MÁS DE 100 LIBROS;5 a 6;Igual;Si;Si;No;Si;Si;Si;No;Si;Es operario de máquinas o conduce vehículos (taxita, chofer);Es operario de máquinas o conduce vehículos (taxita, chofer);6;;;2;3;8;35;162;;32;29;34;NINGUNO
20241;SB11202410010297;ESTUDIANTE;TI;URBANO;;B;;319001005096;319001005096;19;19001;610006;CAUCA;MIXTO;UNICA;POPAYÁN;NO OFICIAL;LICEO HISPANOAMERICANO;LICEO HISPANOAMERICANO - SEDE PRINCIPAL;S;3;B1;4;4;3;S;19;19001;19;19001;Entre 1 y 3 horas;30 minutos o menos;CAUCA;CAUCA;N;;09/06/2007;F;11;0;70.578804;POPAYÁN;POPAYÁN;COLOMBIA;4;4;COLOMBIA;N;0;;Si, en efectivo;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Dos;Educación profesional completa;Técnica o tecnológica completa;Estrato 3;26 A 100 LIBROS;3 a 4;Peor;Si;Si;No;Si;Si;Si;No;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja como profesional (por ejemplo médico, abogado, ingeniero);77;73;63;73;81;60;66;333;74;67;71;60;NINGUNO
20241;SB11202410043442;ESTUDIANTE;CC;URBANO;;OTRO;;519001000002;519001000002;19;19001;814939;CAUCA;MIXTO;SABATINA;POPAYÁN;NO OFICIAL;CENT EDUCATIVO EMPRESARIAL COMFACAUCA;CENT EDUCATIVO EMPRESARIAL COMFACAUCA;S;2;A1;3;3;3;N;19;19001;19;19001;;;CAUCA;CAUCA;N;;10/04/2004;M;26;Menos de 10 horas;;POPAYÁN;POPAYÁN;COLOMBIA;3;;COLOMBIA;N;0;;Si, en efectivo;;;;Dos;No sabe;Secundaria (Bachillerato) completa;Estrato 3;;3 a 4;Mejor;No;Si;No;No;;Si;Si;;No aplica;Trabaja por cuenta propia (por ejemplo plomero, electricista);42;50;37;37;79;49;52;290;56;55;70;56;NINGUNO
20241;SB11202410005750;ESTUDIANTE;TI;URBANO;;B;;319001001201;319001001201;19;19001;131581;CAUCA;MIXTO;MAÑANA;POPAYÁN;NO OFICIAL;COL MIXTO SINTRAFEC;COL MIXTO SINTRAFEC;S;3;A2;4;3;3;S;19;19001;19;19001;30 minutos o menos;No leo por entretenimiento;CAUCA;CAUCA;N;;04/10/2008;M;11;0;55.00145;POPAYÁN;POPAYÁN;COLOMBIA;3;3;COLOMBIA;N;0;;No;1 o 2 veces por semana;1 o 2 veces por semana;1 o 2 veces por semana;Cuatro;No sabe;No sabe;Estrato 3;11 A 25 LIBROS;7 a 8;Igual;Si;Si;No;No;Si;Si;No;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);No aplica;72;72;47;79;64;84;64;331;62;69;64;69;NINGUNO
20241;SB11202410042711;ESTUDIANTE;TI;URBANO;;B;;319001000370;319001000370;19;19001;7070;CAUCA;MIXTO;MAÑANA;POPAYÁN;NO OFICIAL;REAL COL SAN FRANCISCO DE ASIS;REAL COL SAN FRANCISCO DE ASIS;S;3;A2;3;3;3;S;19;19001;19;19001;Entre 1 y 3 horas;Entre 1 y 2 horas;CAUCA;CAUCA;N;;15/08/2007;F;11;0;56.282963;POPAYÁN;POPAYÁN;COLOMBIA;3;3;COLOMBIA;N;0;;No;3 a 5 veces por semana;3 a 5 veces por semana;3 a 5 veces por semana;Dos;Educación profesional completa;Técnica o tecnológica completa;Estrato 1;0 A 10 LIBROS;3 a 4;Peor;No;Si;No;Si;Si;Si;Si;No;Trabaja en el hogar, no trabaja o estudia;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);72;63;46;66;61;66;64;317;61;65;63;62;NINGUNO
20241;SB11202410049471;ESTUDIANTE;CC;URBANO;;A;;319698003070;319698003070;19;19698;191163;CAUCA;MIXTO;NOCHE;SANTANDER DE QUILICHAO;NO OFICIAL;INSTITUTO TRASPASANDO FRONTERAS;INSTITUTO TRASPASANDO FRONTERAS - SEDE PRINCIPAL;S;1;A-;2;2;1;N;19;19698;19;19137;30 minutos o menos;Entre 30 y 60 minutos;CAUCA;CAUCA;N;;12/10/1998;F;26;Entre 11 y 20 horas;31.873058;SANTANDER DE QUILICHAO;CALDONO;COLOMBIA;2;1;COLOMBIA;N;0;;No;Nunca o rara vez comemos eso;3 a 5 veces por semana;Nunca o rara vez comemos eso;Tres;Primaria incompleta;Primaria incompleta;Estrato 1;;5 a 6;Igual;;;;;Si;;Si;No;Es agricultor, pesquero o jornalero;Es agricultor, pesquero o jornalero;5;7;2;11;11;11;34;183;30;42;37;36;NINGUNO
20241;SB11202410039322;ESTUDIANTE;TI;URBANO;;B;;319573000508;319573000508;19;19573;118919;CAUCA;MIXTO;MAÑANA;PUERTO TEJADA;NO OFICIAL;COLEGIO COMFACAUCA;COLEGIO COMFACAUCA;S;2;A1;2;2;2;S;19;19698;19;19573;30 minutos o menos;30 minutos o menos;CAUCA;CAUCA;N;;02/12/2007;M;11;;45.934132;SANTANDER DE QUILICHAO;PUERTO TEJADA;COLOMBIA;3;2;COLOMBIA;N;0;;;Nunca o rara vez comemos eso;Nunca o rara vez comemos eso;Nunca o rara vez comemos eso;;Técnica o tecnológica completa;Técnica o tecnológica completa;Estrato 1;0 A 10 LIBROS;;;;;;;Si;;;Si;;;28;24;28;20;20;30;46;231;51;48;43;46;NINGUNO
20241;SB11202410045446;ESTUDIANTE;TI;URBANO;;A;;319001004371;319001004371;19;19001;745935;CAUCA;MIXTO;SABATINA;POPAYÁN;NO OFICIAL;BTO ACAD CICLICO DEL CAUCA;BTO ACAD CICLICO DEL CAUCA;S;2;A-;3;2;1;N;19;19001;19;19001;;;CAUCA;CAUCA;N;;06/07/2006;F;26;;;POPAYÁN;POPAYÁN;COLOMBIA;2;;COLOMBIA;N;0;;;;;;;;;;;;;;;;;;;;;;;19;24;12;47;30;13;42;231;40;59;49;37;NINGUNO
