periodo;estu_consecutivo;estu_estudiante;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_ingles;desemp_profundiza_biologia;desemp_profundiza_csociales;desemp_profundiza_lenguaje;desemp_profundiza_matematica;estu_anomatriculaprimero;estu_anomatriculasexto;estu_anoscolegioactual;estu_anospreescolar;estu_anoterminobachiller;estu_anoterminoquinto;estu_antecedentes;estu_areareside;estu_cod_depto_presentacion;estu_cod_iesdeseada;estu_cod_mcpio_presentacion;estu_cod_mcpioiesdeseada;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_cuantoscolegioestudio;estu_depto_presentacion;estu_depto_reside;estu_etnia;estu_fechanacimiento;estu_genero;estu_iesdeseada;estu_instporamigosestudiando;estu_instporcostomatricula;estu_instporoportunidades;estu_instporotrarazon;estu_instporprestigio;estu_instporubicacion;estu_instporunicaqueofrece;estu_mcpio_presentacion;estu_mcpio_reside;estu_mcpioiesdeseada;estu_mesterminobachiller;estu_motivo_presentavalidacion;estu_nacionalidad;estu_pais_reside;estu_privado_libertad;estu_puesto;estu_razonretirocolegio;estu_reprobocuarto;estu_reprobodecimo;estu_reprobonoveno;estu_reprobooctavo;estu_reprobooncemas;estu_reproboprimero;estu_reproboquinto;estu_reprobosegundo;estu_reproboseptimo;estu_reprobosexto;estu_reprobotercero;estu_seretirocolegio;estu_tipocarreradeseada;estu_tipodocumento;estu_totalalumnoscurso;estu_trabajaactualmente;estu_valorpensioncolegio;estu_vecespresentoexamen;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_ingresofmiliarmensual;fami_nivelsisben;fami_ocupacionmadre;fami_ocupacionpadre;fami_personashogar;fami_pisoshogar;fami_telefono;fami_tiene_celular;fami_tiene_nevera;fami_tiene_serviciotv;fami_tieneautomovil;fami_tienecomputador;fami_tienedvd;fami_tienehorno;fami_tieneinternet;fami_tienelavadora;fami_tienemicroondas;punt_biologia;punt_ciencias_sociales;punt_filosofia;punt_fisica;punt_ingles;punt_interdisc_medioambiente;punt_interdisc_violenciaysoc;punt_lenguaje;punt_matematicas;punt_profundiza_biologia;punt_profundiza_csociales;punt_profundiza_lenguaje;punt_profundiza_matematica;punt_quimica
20111;SB11201110074783;ESTUDIANTE;URBANO;S;B;ACADÉMICO;323001005778;323001005778;23;23001;79657;CORDOBA;MIXTO;COMPLETA;MONTERÍA;NO OFICIAL;COLEGIO BRITANICO DE MONTERIA MS S.A.S;COLEGIO BRITANICO DE MONTERIA MS S.A.S - SEDE PRINCIPAL;S;B+;;;;;;;;;2011;;No;Cabecera Municipal;23;;23001;;23;23001;;CORDOBA;CORDOBA;;03/06/1993;M;;;;;;;;;MONTERÍA;MONTERÍA;;;;COLOMBIA;COLOMBIA;N;49;;;;;;;;;;;;;;;TI;;No;250.000 o más;Una Vez;Cuatro;Educación profesional completa;Educación profesional completa;Estrato 3;10 o más SMLV;No está clasificada por el SISBEN;Pequeño empresario;;Seis;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;51.950001;65.190002;44.380001;56.130001;83.410004;54.91;;61.889999;68.620003;;;;;56.549999
20111;SB11201110074774;ESTUDIANTE;URBANO;S;B;ACADÉMICO;323001005778;323001005778;23;23001;79657;CORDOBA;MIXTO;COMPLETA;MONTERÍA;NO OFICIAL;COLEGIO BRITANICO DE MONTERIA MS S.A.S;COLEGIO BRITANICO DE MONTERIA MS S.A.S - SEDE PRINCIPAL;S;B+;;;;;;;;;;;No;Cabecera Municipal;23;;23001;;23;23001;;CORDOBA;CORDOBA;;05/10/1993;M;;;;;;;;;MONTERÍA;MONTERÍA;;;;COLOMBIA;COLOMBIA;N;72;;;;;;;;;;;;;;;TI;;No;250.000 o más;Ninguna vez;Tres;Técnica o tecnológica completa;Postgrado;Estrato 6;10 o más SMLV;No está clasificada por el SISBEN;;Profesional independiente;Cinco;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;47.560001;57.279999;48.759998;52.830002;87.559998;;45.580002;57.310001;76.650002;;;;;56.98
20111;SB11201110083532;ESTUDIANTE;URBANO;N;;;;0;23;23001;119305;CORDOBA;MIXTO;SABATINA;MONTERÍA;NO OFICIAL;INSTITUCION EDUCATIVA AVANZAR;INSTITUCION EDUCATIVA AVANZAR;N;A-;GB;;;;;;;;;;No;Cabecera Municipal;81;;81794;;81;81794;;ARAUCA;ARAUCA;;18/03/1994;F;;;;;;;;;TAME;TAME;;;;COLOMBIA;COLOMBIA;N;759;;;;;;;;;;;;;;;TI;;No;Menos de 87.000;Ninguna vez;Tres;Técnica o tecnológica completa;Secundaria (Bachillerato) completa;Estrato 2;Entre 1 y menos de 2 SMLV;Nivel 2;Hogar;Empleado obrero u operario;Cinco;Cemento, gravilla, ladrillo;No;Si;Si;Si;No;Si;Si;No;No;Si;No;41.07;34.18;37.119999;51.27;41.43;;;45.43;38.639999;5.4000001;;;;50.779999
20111;SB11201110096230;ESTUDIANTE;URBANO;N;;;;0;23;23001;119305;CORDOBA;MIXTO;SABATINA;MONTERÍA;NO OFICIAL;INSTITUCION EDUCATIVA AVANZAR;INSTITUCION EDUCATIVA AVANZAR;N;A1;;;;;2000;2005;2 años;Un año de preescolar;;2004;Si;Cabecera Municipal;81;1209;81794;54001;81;81794;Dos;ARAUCA;ARAUCA;;02/04/1994;F;UNIVERSIDAD FRANCISCO DE PAULA SANTANDER;Si;Si;Si;No;No;Si;No;TAME;TAME;CUCUTA;;;COLOMBIA;COLOMBIA;N;613;Por enfermedad;No;No;No;No;No;No;No;No;No;No;No;Si, dos años o más;Profesional;TI;25;Si, menos de 20 horas a la semana;Menos de 87.000;Ninguna vez;Cuatro;Secundaria (Bachillerato) completa;Ninguno;Estrato 1;Entre 1 y menos de 2 SMLV;Nivel 1;Hogar;Hogar;Cinco;Cemento, gravilla, ladrillo;Si;Si;Si;Si;No;No;Si;No;No;Si;No;51.950001;48.150002;37.119999;35.5;44.709999;51.25;;44.02;46.860001;;;;;45.360001
20111;SB11201110074761;ESTUDIANTE;RURAL;N;A;ACADÉMICO;223001006702;223001006702;23;23001;156653;CORDOBA;MIXTO;SABATINA;MONTERÍA;OFICIAL;INSTITUCION EDUCATIVA EL SABANAL;INSTITUCIÓN EDUCATIVA EL SABANAL;S;A1;;I;;;;;;;;;No;Area Rural;23;;23001;;23;23001;;CORDOBA;CORDOBA;;20/10/1963;F;;;;;;;;;MONTERÍA;MONTERÍA;;;;COLOMBIA;COLOMBIA;N;901;;;;;;;;;;;;;;;CC;;Si, menos de 20 horas a la semana;No paga Pensión;Ninguna vez;Dos;Primaria incompleta;Ninguno;Estrato 1;Menos de 1 SMLV;Nivel 1;Hogar;Trabajador por cuenta propia;Cuatro;Cemento, gravilla, ladrillo;No;Si;No;No;No;No;No;No;No;No;No;38.84;38.68;17.07;48.240002;43.48;;;47.630001;32.419998;;5.3000002;;;51.07
20111;SB11201110116470;ESTUDIANTE;URBANO;N;;;;0;23;23001;119305;CORDOBA;MIXTO;SABATINA;MONTERÍA;NO OFICIAL;INSTITUCION EDUCATIVA AVANZAR;INSTITUCION EDUCATIVA AVANZAR;N;A-;;;;;;;;;;;No;Cabecera Municipal;81;;81794;;81;81794;;ARAUCA;ARAUCA;;12/04/1993;F;;;;;;;;;TAME;TAME;;;;COLOMBIA;COLOMBIA;N;592;;;;;;;;;;;;;;;TI;;No;Menos de 87.000;Ninguna vez;Tres;Ninguno;Ninguno;Estrato 1;Entre 1 y menos de 2 SMLV;Nivel 1;Hogar;Hogar;Cinco;Cemento, gravilla, ladrillo;Si;Si;Si;No;No;Si;Si;No;No;No;No;38.630001;50.16;36.939999;45.540001;42.759998;50.23;;48.549999;39.16;;;;;45.849998
20111;SB11201110074772;ESTUDIANTE;RURAL;N;A;ACADÉMICO;223001006702;223001006702;23;23001;156653;CORDOBA;MIXTO;SABATINA;MONTERÍA;OFICIAL;INSTITUCION EDUCATIVA EL SABANAL;INSTITUCIÓN EDUCATIVA EL SABANAL;S;A1;;;;;1997;2003;2 años;Un año de preescolar;;2002;Si;Area Rural;23;1113;23001;23001;23;23001;Uno;CORDOBA;CORDOBA;;20/06/1987;F;UNIVERSIDAD DE CORDOBA;No;Si;Si;No;No;Si;No;MONTERÍA;MONTERÍA;MONTERIA;;;COLOMBIA;COLOMBIA;N;965;Por otra razón;No;No;No;No;No;No;No;No;No;No;No;Si, un año escolar;Profesional;CC;32;No;No paga Pensión;Ninguna vez;Uno;Primaria completa;Primaria completa;Estrato 1;Menos de 1 SMLV;Nivel 1;Hogar;Trabajador por cuenta propia;Tres;Cemento, gravilla, ladrillo;No;Si;No;No;No;No;No;No;No;No;No;26.74;38.09;25.889999;35.5;43.48;50.23;;38.380001;38.639999;;;;;32.330002
20111;SB11201110074742;ESTUDIANTE;URBANO;N;A;ACADÉMICO;323001008581;323001008581;23;23001;83246;CORDOBA;MIXTO;NOCHE;MONTERÍA;NO OFICIAL;CENTRO DE ESTUDIOS PARA EL APRENDIZAJE Y CAPACITACION CEPAC;CENTRO DE ESTUDIOS PARA EL APRENDIZAJE Y CAPACITACION CEPAC;S;A-;;;;;;;;;;;No;Cabecera Municipal;23;;23001;;23;23001;;CORDOBA;CORDOBA;;03/04/1991;M;;;;;;;;;MONTERÍA;MONTERÍA;;;;COLOMBIA;COLOMBIA;N;555;;;;;;;;;;;;;;;CC;;No;Menos de 87.000;Ninguna vez;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 2;Entre 1 y menos de 2 SMLV;No está clasificada por el SISBEN;Hogar;Trabajador por cuenta propia;Cuatro;Cemento, gravilla, ladrillo;No;Si;Si;No;No;No;No;No;No;No;No;45.5;46.209999;46.099998;57.990002;42.759998;51.25;;48.439999;38.84;;;;;45.689999
20111;SB11201110074758;ESTUDIANTE;RURAL;N;A;ACADÉMICO;223001006702;223001006702;23;23001;156653;CORDOBA;MIXTO;SABATINA;MONTERÍA;OFICIAL;INSTITUCION EDUCATIVA EL SABANAL;INSTITUCIÓN EDUCATIVA EL SABANAL;S;A-;;;;;;;;;;;No;Area Rural;23;;23001;;23;23001;;CORDOBA;CORDOBA;;10/12/1989;M;;;;;;;;;MONTERÍA;MONTERÍA;;;;COLOMBIA;COLOMBIA;N;853;;;;;;;;;;;;;;;CC;;No;No paga Pensión;Ninguna vez;Tres;Ninguno;Primaria incompleta;Estrato 1;Menos de 1 SMLV;Nivel 1;Hogar;Trabajador por cuenta propia;Ocho;Tierra, arena;No;Si;No;No;No;No;No;No;No;No;No;38.630001;35.889999;31.82;34.709999;38.080002;50.23;;41.369999;39.16;;;;;45.849998
20111;SB11201110074749;ESTUDIANTE;RURAL;N;A;ACADÉMICO;223001006702;223001006702;23;23001;156653;CORDOBA;MIXTO;SABATINA;MONTERÍA;OFICIAL;INSTITUCION EDUCATIVA EL SABANAL;INSTITUCIÓN EDUCATIVA EL SABANAL;S;A-;;;;;;;;;;;No;Area Rural;23;;23001;;23;23001;;CORDOBA;CORDOBA;;02/03/1989;M;;;;;;;;;MONTERÍA;MONTERÍA;;;;COLOMBIA;COLOMBIA;N;712;;;;;;;;;;;;;;;CC;;No;No paga Pensión;Ninguna vez;Tres;Primaria completa;Primaria completa;Estrato 1;Menos de 1 SMLV;Nivel 1;Hogar;Trabajador por cuenta propia;Cuatro;Cemento, gravilla, ladrillo;No;Si;No;No;No;No;No;No;No;No;No;51.93;44.130001;32.209999;48.41;36.060001;49.060001;;46.369999;38.939999;;;;;39.599998
