periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_ingles;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_depto_presentacion;estu_depto_reside;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_individual;estu_pais_reside;estu_pilopaga;estu_privado_libertad;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_tieneautomovil;fami_tienecomputador;fami_tieneinternet;fami_tienelavadora;fami_tieneserviciotv;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20151;SB11201510093847;ESTUDIANTE;CC;URBANO;;A;ACADÉMICO;323079090658;323079090658;23;23079;125377;CORDOBA;MIXTO;SABATINA;BUENAVISTA;NO OFICIAL;INSTITUCION EDUCATIVA NEWTON;INSTITUCIONN EDUCATIVA NEWTON;S;A-;S;23;23001;23;23807;CORDOBA;CORDOBA;Ninguno;15/10/1989;F;26;37.65638;MONTERIA;TIERRALTA;COLOMBIA;NSE1;COLOMBIA;NO;N;Dos;Primaria incompleta;Primaria incompleta;Estrato 1;0 A 10 LIBROS;Cinco;No;No;No;No;No;41;186;42;48;34;24
20151;SB11201510077395;ESTUDIANTE;CC;URBANO;;A;ACADÉMICO;323079090658;323079090658;23;23079;125377;CORDOBA;MIXTO;SABATINA;BUENAVISTA;NO OFICIAL;INSTITUCION EDUCATIVA NEWTON;INSTITUCIONN EDUCATIVA NEWTON;S;A-;S;85;85250;85;85250;CASANARE;CASANARE;Ninguno;10/10/1980;F;26;42.177502;PAZ DE ARIPORO;PAZ DE ARIPORO;COLOMBIA;NSE2;COLOMBIA;NO;N;Dos;Secundaria (Bachillerato) incompleta;Primaria completa;Estrato 1;0 A 10 LIBROS;Cinco;No;No;No;No;Si;25;168;40;41;37;29
20151;SB11201510035462;ESTUDIANTE;CC;URBANO;;A;ACADÉMICO;323079090658;323079090658;23;23079;125377;CORDOBA;MIXTO;SABATINA;BUENAVISTA;NO OFICIAL;INSTITUCION EDUCATIVA NEWTON;INSTITUCIONN EDUCATIVA NEWTON;S;A-;S;23;23001;23;23555;CORDOBA;CORDOBA;Ninguno;16/09/1982;F;26;47.394054;MONTERIA;PLANETA RICA;COLOMBIA;NSE2;COLOMBIA;NO;N;Tres;Ninguno;Ninguno;Estrato 1;0 A 10 LIBROS;Siete;No;Si;Si;No;Si;41;184;37;37;26;43
20151;SB11201510077889;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;323001008988;323001008988;23;23001;86652;CORDOBA;MIXTO;TARDE;MONTERIA;NO OFICIAL;POLITECNICO DEL SINÚ;POLITECNICO DEL SINÚ;S;A1;S;23;23001;23;23001;CORDOBA;CORDOBA;Ninguno;29/01/1997;F;26;67.059669;MONTERIA;MONTERIA;COLOMBIA;NSE4;COLOMBIA;NO;N;Tres;Técnica o tecnológica completa;Técnica o tecnológica completa;Estrato 2;11 A 25 LIBROS;Cuatro;Si;Si;Si;Si;Si;39;213;55;50;43;34
20151;SB11201510009748;ESTUDIANTE;TI;URBANO;S;B;ACADÉMICO;323001005778;323001005778;23;23001;79657;CORDOBA;MIXTO;COMPLETA;MONTERIA;NO OFICIAL;COLEGIO BRITANICO DE MONTERIA MS S.A.S;COLEGIO BRITANICO DE MONTERIA - SEDE PRINCIPAL;S;B+;S;23;23001;23;23001;CORDOBA;CORDOBA;Ninguno;21/10/1997;M;11;81.174004;MONTERIA;MONTERIA;COLOMBIA;NSE4;COLOMBIA;NO;N;Cuatro;Postgrado;Postgrado;Estrato 6;26 A 100 LIBROS;Siete;Si;Si;Si;Si;Si;75;370;85;61;77;79
20151;SB11201510077880;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;323001008988;323001008988;23;23001;86652;CORDOBA;MIXTO;TARDE;MONTERIA;NO OFICIAL;POLITECNICO DEL SINÚ;POLITECNICO DEL SINÚ;S;A1;S;23;23001;23;23001;CORDOBA;CORDOBA;Ninguno;26/10/1998;M;26;61.018581;MONTERIA;MONTERIA;COLOMBIA;NSE3;COLOMBIA;NO;N;Dos;Técnica o tecnológica completa;Técnica o tecnológica completa;Estrato 2;0 A 10 LIBROS;Cuatro;No;Si;Si;Si;Si;42;240;52;51;50;48
20151;SB11201510026684;ESTUDIANTE;CC;URBANO;;A;ACADÉMICO;323079090658;323079090658;23;23079;125377;CORDOBA;MIXTO;SABATINA;BUENAVISTA;NO OFICIAL;INSTITUCION EDUCATIVA NEWTON;INSTITUCIONN EDUCATIVA NEWTON;S;A-;S;23;23466;23;23580;CORDOBA;CORDOBA;Ninguno;03/03/1985;F;26;49.826756;MONTELIBANO;PUERTO LIBERTADOR;COLOMBIA;NSE2;COLOMBIA;NO;N;Dos;Secundaria (Bachillerato) incompleta;Primaria incompleta;Estrato 1;0 A 10 LIBROS;Tres;No;Si;Si;Si;Si;49;220;42;46;43;39
20151;SB11201510077869;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;323001008988;323001008988;23;23001;86652;CORDOBA;MIXTO;TARDE;MONTERIA;NO OFICIAL;POLITECNICO DEL SINÚ;POLITECNICO DEL SINÚ;S;A-;S;23;23001;23;23001;CORDOBA;CORDOBA;Ninguno;25/08/1998;M;26;64.732704;MONTERIA;MONTERIA;COLOMBIA;NSE4;COLOMBIA;NO;N;Tres;Educación profesional completa;Educación profesional completa;Estrato 2;0 A 10 LIBROS;Cinco;No;Si;Si;Si;Si;34;208;45;41;51;39
20151;SB11201510026618;ESTUDIANTE;CC;URBANO;;A;ACADÉMICO;323079090658;323079090658;23;23079;125377;CORDOBA;MIXTO;SABATINA;BUENAVISTA;NO OFICIAL;INSTITUCION EDUCATIVA NEWTON;INSTITUCIONN EDUCATIVA NEWTON;S;A-;S;23;23466;23;23580;CORDOBA;CORDOBA;Ninguno;19/02/1980;F;26;38.011787;MONTELIBANO;PUERTO LIBERTADOR;COLOMBIA;NSE1;COLOMBIA;NO;N;Dos;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 1;0 A 10 LIBROS;Cinco;No;No;No;No;No;19;152;42;33;38;28
20151;SB11201510102998;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;323001009277;323001009277;23;23001;169763;CORDOBA;MIXTO;MAÑANA;MONTERIA;NO OFICIAL;CENTRO DE ESTUDIOS TECNICOS CEPRODENT;CENTRO DE ESTUDIOS TRCNICOS CEPRODENT - SEDE PRINCIPAL;S;A-;S;23;23001;23;23001;CORDOBA;CORDOBA;Ninguno;10/06/1998;F;26;50.182159;MONTERIA;MONTERIA;COLOMBIA;NSE2;COLOMBIA;NO;N;Cuatro;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 1;0 A 10 LIBROS;Tres;No;Si;No;Si;Si;44;205;45;40;39;40
