periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_dedicacioninternet;estu_dedicacionlecturadiaria;estu_depto_presentacion;estu_depto_reside;estu_discapacidad;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_horassemanatrabaja;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_establecimiento;estu_nse_individual;estu_pais_reside;estu_pilopaga;estu_privado_libertad;estu_repite;estu_tieneetnia;estu_tiporemuneracion;fami_comecarnepescadohuevo;fami_comecerealfrutoslegumbre;fami_comelechederivados;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_situacioneconomica;fami_tieneautomovil;fami_tienecomputador;fami_tieneconsolavideojuegos;fami_tienehornomicroogas;fami_tieneinternet;fami_tienelavadora;fami_tienemotocicleta;fami_tieneserviciotv;fami_trabajolabormadre;fami_trabajolaborpadre;percentil_c_naturales;percentil_global;percentil_ingles;percentil_lectura_critica;percentil_matematicas;percentil_sociales_ciudadanas;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20171;SB11201710090093;ESTUDIANTE;CC;URBANO;;A;;323001009633;323001009633;23;23001;663260;CORDOBA;MIXTO;SABATINA;MONTERÍA;NO OFICIAL;COLEGIO HUMANISTA EDGAR HERNANDO SANCHEZ DUARTE;COLEGIO HUMANISTA EDGAR HERNANDO SANCHEZ DUARTE - SEDE PRINCIPAL;S;2;A-;2;2;1;N;23;23001;23;23001;Entre 1 y 3 horas;Entre 30 y 60 minutos;CORDOBA;CORDOBA;N;;09/10/1997;M;26;Más de 30 horas;53.609486;MONTERÍA;MONTERÍA;COLOMBIA;2;NSE3;COLOMBIA;NO;N;0;No;Si, en efectivo;;;Nunca o rara vez comemos eso;Dos;Técnica o tecnológica incompleta;Primaria completa;Estrato 3;MÁS DE 100 LIBROS;3 a 4;Igual;No;Si;No;Si;Si;Si;No;Si;Es vendedor o trabaja en atención al público;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;22;14;6;29;19;4;46;210;29;50;42;34
20171;SB11201710090085;ESTUDIANTE;CC;URBANO;;A;;323001009633;323001009633;23;23001;663260;CORDOBA;MIXTO;SABATINA;MONTERÍA;NO OFICIAL;COLEGIO HUMANISTA EDGAR HERNANDO SANCHEZ DUARTE;COLEGIO HUMANISTA EDGAR HERNANDO SANCHEZ DUARTE - SEDE PRINCIPAL;S;1;A-;2;1;1;N;23;23001;23;23001;Entre 1 y 3 horas;Más de 2 horas;CORDOBA;CORDOBA;N;;11/10/1997;M;26;Entre 11 y 20 horas;45.450745;MONTERÍA;MONTERÍA;COLOMBIA;2;NSE2;COLOMBIA;NO;N;0;No;Si, en efectivo;Todos o casi todos los días;3 a 5 veces por semana;1 o 2 veces por semana;Tres;Primaria completa;Primaria completa;Estrato 2;0 A 10 LIBROS;1 a 2;Igual;No;No;Si;Si;No;Si;No;Si;Trabaja en el hogar, no trabaja o estudia;No aplica;8;8;15;21;4;12;38;194;37;47;31;40
20171;SB11201710003636;ESTUDIANTE;CC;URBANO;S;B;ACADÉMICO;323001005778;323001005778;23;23001;79657;CORDOBA;MIXTO;COMPLETA;MONTERÍA;NO OFICIAL;COLEGIO BRITANICO DE MONTERIA MS S.A.S;COLEGIO BRITANICO DE MONTERIA MS S.A.S - SEDE PRINCIPAL;S;3;B1;3;3;2;S;23;23001;23;23001;Entre 30 y 60 minutos;30 minutos o menos;CORDOBA;CORDOBA;N;;28/11/1997;F;11;0;79.795937;MONTERÍA;MONTERÍA;COLOMBIA;4;NSE4;COLOMBIA;NO;N;0;No;No;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Tres;Postgrado;Postgrado;Estrato 5;26 A 100 LIBROS;3 a 4;Mejor;Si;Si;Si;Si;Si;Si;No;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja como profesional (por ejemplo médico, abogado, ingeniero);57;49;62;48;42;41;60;284;69;57;53;53
20171;SB11201710079965;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;323807005565;323807005565;23;23807;113795;CORDOBA;MIXTO;SABATINA;TIERRALTA;NO OFICIAL;CENTRO DE FORMACION DE ADULTOS ABC;CENTRO DE FORMACION DE ADULTOS ABC - SEDE PRINCIPAL;S;2;A-;2;2;1;N;23;23001;23;23807;30 minutos o menos;Entre 30 y 60 minutos;CORDOBA;CORDOBA;N;;27/12/1999;M;26;Más de 30 horas;39.223343;MONTERÍA;TIERRALTA;COLOMBIA;2;NSE1;COLOMBIA;NO;N;0;No;Si, en especie;Nunca o rara vez comemos eso;1 o 2 veces por semana;1 o 2 veces por semana;Cinco;Secundaria (Bachillerato) completa;;Estrato 1;0 A 10 LIBROS;7 a 8;Igual;No;No;No;No;No;Si;No;No;No sabe;;16;5;4;15;14;1;43;184;26;45;39;24
20171;SB11201710003808;ESTUDIANTE;CC;URBANO;S;B;ACADÉMICO;323001005778;323001005778;23;23001;79657;CORDOBA;MIXTO;COMPLETA;MONTERÍA;NO OFICIAL;COLEGIO BRITANICO DE MONTERIA MS S.A.S;COLEGIO BRITANICO DE MONTERIA MS S.A.S - SEDE PRINCIPAL;S;3;B1;3;3;3;S;23;23001;23;23001;Entre 1 y 3 horas;Más de 2 horas;CORDOBA;CORDOBA;N;;28/09/1998;M;11;0;59.187168;MONTERÍA;MONTERÍA;COLOMBIA;4;NSE3;COLOMBIA;NO;N;0;No;No;Todos o casi todos los días;3 a 5 veces por semana;3 a 5 veces por semana;Cuatro;Secundaria (Bachillerato) completa;Educación profesional completa;Estrato 3;26 A 100 LIBROS;5 a 6;Igual;Si;Si;No;Si;No;Si;No;Si;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);63;67;69;65;69;66;62;319;74;63;64;63
20171;SB11201710090090;ESTUDIANTE;CC;URBANO;;A;;323001009633;323001009633;23;23001;663260;CORDOBA;MIXTO;SABATINA;MONTERÍA;NO OFICIAL;COLEGIO HUMANISTA EDGAR HERNANDO SANCHEZ DUARTE;COLEGIO HUMANISTA EDGAR HERNANDO SANCHEZ DUARTE - SEDE PRINCIPAL;S;1;A-;2;1;2;N;23;23001;23;23001;30 minutos o menos;30 minutos o menos;CORDOBA;CORDOBA;N;;20/05/1996;F;26;Entre 11 y 20 horas;45.920033;MONTERÍA;MONTERÍA;COLOMBIA;2;NSE2;COLOMBIA;NO;N;0;No;No;3 a 5 veces por semana;3 a 5 veces por semana;Todos o casi todos los días;Cuatro;Primaria completa;Primaria incompleta;Estrato 1;0 A 10 LIBROS;9 o más;Igual;No;No;No;Si;No;Si;No;Si;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;No aplica;5;7;8;11;5;19;36;190;31;42;32;44
20171;SB11201710004186;ESTUDIANTE;TI;URBANO;S;B;ACADÉMICO;323001005778;323001005778;23;23001;79657;CORDOBA;MIXTO;COMPLETA;MONTERÍA;NO OFICIAL;COLEGIO BRITANICO DE MONTERIA MS S.A.S;COLEGIO BRITANICO DE MONTERIA MS S.A.S - SEDE PRINCIPAL;S;4;B+;4;3;3;S;23;23001;23;23001;Entre 1 y 3 horas;Más de 2 horas;CORDOBA;CORDOBA;N;;17/05/1999;F;11;0;75.983398;MONTERÍA;MONTERÍA;COLOMBIA;4;NSE4;COLOMBIA;NO;N;0;No;No;Todos o casi todos los días;Todos o casi todos los días;1 o 2 veces por semana;Cuatro;Postgrado;Postgrado;Estrato 6;MÁS DE 100 LIBROS;3 a 4;Igual;Si;Si;Si;Si;Si;Si;No;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;87;89;80;99;75;85;72;362;80;79;66;70
20171;SB11201710004407;ESTUDIANTE;CR;URBANO;S;B;ACADÉMICO;323001005778;323001005778;23;23001;79657;CORDOBA;MIXTO;COMPLETA;MONTERÍA;NO OFICIAL;COLEGIO BRITANICO DE MONTERIA MS S.A.S;COLEGIO BRITANICO DE MONTERIA MS S.A.S - SEDE PRINCIPAL;S;2;A2;3;2;1;S;23;23001;23;23001;Más de 3 horas;30 minutos o menos;CORDOBA;CORDOBA;N;;16/01/1998;M;11;Menos de 10 horas;70.822807;MONTERÍA;MONTERÍA;COLOMBIA;4;NSE4;COLOMBIA;NO;N;0;No;No;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Tres;Postgrado;Postgrado;Estrato 5;MÁS DE 100 LIBROS;3 a 4;Igual;Si;Si;No;Si;Si;Si;No;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja en el hogar, no trabaja o estudia;44;30;53;30;29;11;55;245;62;51;47;39
20171;SB11201710061907;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;323807005565;323807005565;23;23807;113795;CORDOBA;MIXTO;SABATINA;TIERRALTA;NO OFICIAL;CENTRO DE FORMACION DE ADULTOS ABC;CENTRO DE FORMACION DE ADULTOS ABC - SEDE PRINCIPAL;S;1;A-;2;2;2;N;23;23001;23;23807;Entre 1 y 3 horas;Más de 2 horas;CORDOBA;CORDOBA;N;;11/04/2001;F;26;0;49.620358;MONTERÍA;TIERRALTA;COLOMBIA;2;NSE2;COLOMBIA;NO;N;0;No;No;Todos o casi todos los días;3 a 5 veces por semana;1 o 2 veces por semana;Tres;Primaria completa;Primaria completa;Estrato 1;MÁS DE 100 LIBROS;5 a 6;Mejor;No;No;No;Si;Si;Si;Si;Si;Trabaja en el hogar, no trabaja o estudia;Es agricultor, pesquero o jornalero;7;12;16;27;9;16;37;205;38;50;36;42
20171;SB11201710079431;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;323807005565;323807005565;23;23807;113795;CORDOBA;MIXTO;SABATINA;TIERRALTA;NO OFICIAL;CENTRO DE FORMACION DE ADULTOS ABC;CENTRO DE FORMACION DE ADULTOS ABC - SEDE PRINCIPAL;S;1;A-;2;1;1;N;23;23001;23;23807;Más de 3 horas;No leo por entretenimiento;CORDOBA;CORDOBA;N;;25/08/1998;F;26;0;51.992229;MONTERÍA;TIERRALTA;COLOMBIA;2;NSE3;COLOMBIA;NO;N;0;No;No;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Seis o mas;Educación profesional completa;Secundaria (Bachillerato) completa;Estrato 2;11 A 25 LIBROS;9 o más;Igual;No;No;No;Si;No;Si;Si;Si;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Es operario de máquinas o conduce vehículos (taxita, chofer);3;2;1;6;4;9;33;170;18;39;31;38
