periodo;estu_consecutivo;estu_estudiante;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_ingles;desemp_profundiza_biologia;desemp_profundiza_csociales;desemp_profundiza_lenguaje;desemp_profundiza_matematica;estu_anomatriculaprimero;estu_anomatriculasexto;estu_anoscolegioactual;estu_anospreescolar;estu_anoterminobachiller;estu_anoterminoquinto;estu_antecedentes;estu_areareside;estu_cod_depto_presentacion;estu_cod_iesdeseada;estu_cod_mcpio_presentacion;estu_cod_mcpioiesdeseada;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_cuantoscolegioestudio;estu_depto_presentacion;estu_depto_reside;estu_etnia;estu_fechanacimiento;estu_genero;estu_iesdeseada;estu_instporamigosestudiando;estu_instporcostomatricula;estu_instporoportunidades;estu_instporotrarazon;estu_instporprestigio;estu_instporubicacion;estu_instporunicaqueofrece;estu_mcpio_presentacion;estu_mcpio_reside;estu_mcpioiesdeseada;estu_mesterminobachiller;estu_motivo_presentavalidacion;estu_nacionalidad;estu_pais_reside;estu_privado_libertad;estu_puesto;estu_razonretirocolegio;estu_reprobocuarto;estu_reprobodecimo;estu_reprobonoveno;estu_reprobooctavo;estu_reprobooncemas;estu_reproboprimero;estu_reproboquinto;estu_reprobosegundo;estu_reproboseptimo;estu_reprobosexto;estu_reprobotercero;estu_seretirocolegio;estu_tipocarreradeseada;estu_tipodocumento;estu_totalalumnoscurso;estu_trabajaactualmente;estu_valorpensioncolegio;estu_vecespresentoexamen;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_ingresofmiliarmensual;fami_nivelsisben;fami_ocupacionmadre;fami_ocupacionpadre;fami_personashogar;fami_pisoshogar;fami_telefono;fami_tiene_celular;fami_tiene_nevera;fami_tiene_serviciotv;fami_tieneautomovil;fami_tienecomputador;fami_tienedvd;fami_tienehorno;fami_tieneinternet;fami_tienelavadora;fami_tienemicroondas;punt_biologia;punt_ciencias_sociales;punt_filosofia;punt_fisica;punt_ingles;punt_interdisc_medioambiente;punt_interdisc_violenciaysoc;punt_lenguaje;punt_matematicas;punt_profundiza_biologia;punt_profundiza_csociales;punt_profundiza_lenguaje;punt_profundiza_matematica;punt_quimica
20111;SB11201110121905;ESTUDIANTE;URBANO;;A;;325175032273;325175032273;25;25175;84111;CUNDINAMARCA;MIXTO;MAÑANA;CHÍA;NO OFICIAL;CENTRO INTEGRAL DE EDUCACION TECNICA CIET;CENTRO INTEGRAL DE EDUCACION TECNICA CIET;S;A2;;;;I;;;;;;;No;Area Rural;25;;25175;;25;25175;;CUNDINAMARCA;CUNDINAMARCA;;01/05/1994;M;;;;;;;;;CHÍA;CHÍA;;;;COLOMBIA;COLOMBIA;N;843;;;;;;;;;;;;;;;TI;;No;Entre 87.000 y menos de 120.000;Ninguna vez;Tres;Educación profesional completa;Educación profesional completa;Estrato 2;Entre 1 y menos de 2 SMLV;No está clasificada por el SISBEN;Empleado obrero u operario;Trabajador por cuenta propia;Cuatro;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;40.98;24.719999;22.33;57.810001;54.639999;;;48.549999;47.299999;;;;5.4000001;53.09
20111;SB11201110123877;ESTUDIANTE;URBANO;;A;;325175032273;325175032273;25;25175;84111;CUNDINAMARCA;MIXTO;MAÑANA;CHÍA;NO OFICIAL;CENTRO INTEGRAL DE EDUCACION TECNICA CIET;CENTRO INTEGRAL DE EDUCACION TECNICA CIET;S;A-;;;;;;;;;;;No;Cabecera Municipal;25;;25175;;25;25175;;CUNDINAMARCA;CUNDINAMARCA;;02/06/1992;M;;;;;;;;;CHÍA;CHÍA;;;;COLOMBIA;COLOMBIA;N;266;;;;;;;;;;;;;;;CC;;Si, 20 horas o más a la semana;Menos de 87.000;Ninguna vez;Cuatro;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 3;Entre 2 y menos de 3 SMLV;Nivel 2;Empleado obrero u operario;Empleado obrero u operario;Cinco;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;Si;Si;Si;Si;Si;Si;No;Si;No;45.470001;52.18;49.23;56.130001;41.43;50.23;;54.48;57.110001;;;;;45.360001
20111;SB11201110109594;ESTUDIANTE;URBANO;;A;;325175032273;325175032273;25;25175;84111;CUNDINAMARCA;MIXTO;MAÑANA;CHÍA;NO OFICIAL;CENTRO INTEGRAL DE EDUCACION TECNICA CIET;CENTRO INTEGRAL DE EDUCACION TECNICA CIET;S;A-;;;;;;;;;;;No;Cabecera Municipal;25;;25175;;25;25175;;CUNDINAMARCA;CUNDINAMARCA;;04/10/1992;M;;;;;;;;;CHÍA;CHÍA;;;;COLOMBIA;COLOMBIA;N;648;;;;;;;;;;;;;;;CC;;No;Entre 87.000 y menos de 120.000;Ninguna vez;Tres;Educación profesional completa;Postgrado;Estrato 3;Entre 2 y menos de 3 SMLV;Nivel 2;Empleado de nivel técnico o profesional;Profesional independiente;Tres;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;47.560001;44.970001;36.939999;27.66;42.759998;;39.290001;49.709999;47.299999;;;;;42.099998
20111;SB11201110133752;ESTUDIANTE;URBANO;N;A;ACADÉMICO;125286000697;125286000123;25;25286;141887;CUNDINAMARCA;MIXTO;NOCHE;FUNZA;OFICIAL;I.E.D. MIGUEL ANTONIO CARO;CONCENTRACION  URBANA MIGUEL ANTONIO CARO;N;A-;;;;;;;;;;;No;Cabecera Municipal;25;;25269;;25;25286;;CUNDINAMARCA;CUNDINAMARCA;;28/03/1961;F;;;;;;;;;FACATATIVÁ;FUNZA;;;;COLOMBIA;COLOMBIA;N;760;;;;;;;;;;;;;;;CC;;Si, menos de 20 horas a la semana;Menos de 87.000;Ninguna vez;Dos;Primaria incompleta;Primaria incompleta;Estrato 3;Entre 1 y menos de 2 SMLV;Nivel 1;Pequeño empresario;Pequeño empresario;Dos;Cemento, gravilla, ladrillo;Si;Si;Si;No;No;Si;No;No;Si;No;No;41.07;44.130001;22.290001;46.41;39.869999;51.25;;54.48;35.549999;;;;;39.59
20111;SB11201110136773;ESTUDIANTE;URBANO;;A;;325175032273;325175032273;25;25175;84111;CUNDINAMARCA;MIXTO;MAÑANA;CHÍA;NO OFICIAL;CENTRO INTEGRAL DE EDUCACION TECNICA CIET;CENTRO INTEGRAL DE EDUCACION TECNICA CIET;S;A1;;;;;;;;;;;No;Cabecera Municipal;25;;25175;;25;25175;;CUNDINAMARCA;CUNDINAMARCA;;26/09/1992;F;;;;;;;;;CHÍA;CHÍA;;;;COLOMBIA;COLOMBIA;N;749;;;;;;;;;;;;;;;CC;;No;Entre 87.000 y menos de 120.000;Ninguna vez;Tres;No sabe;Educación profesional completa;Estrato 3;Entre 3 y menos de 5 SMLV;No está clasificada por el SISBEN;Trabajador por cuenta propia;Pequeño empresario;Cuatro;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;Si;Si;No;Si;Si;No;No;Si;Si;47.619999;26.98;39.580002;32.18;45.630001;;42.419998;55.41;41.509998;;;;;43.509998
20111;SB11201110134647;ESTUDIANTE;URBANO;;A;;325175032273;325175032273;25;25175;84111;CUNDINAMARCA;MIXTO;MAÑANA;CHÍA;NO OFICIAL;CENTRO INTEGRAL DE EDUCACION TECNICA CIET;CENTRO INTEGRAL DE EDUCACION TECNICA CIET;S;A1;I;;;;;;;;;;No;Cabecera Municipal;25;;25175;;25;25175;;CUNDINAMARCA;CUNDINAMARCA;;07/05/1995;M;;;;;;;;;CHÍA;CHÍA;;;;COLOMBIA;COLOMBIA;N;331;;;;;;;;;;;;;;;TI;;No;Entre 87.000 y menos de 120.000;Ninguna vez;Tres;Secundaria (Bachillerato) incompleta;Primaria completa;Estrato 3;Entre 2 y menos de 3 SMLV;Nivel 3;Trabajador por cuenta propia;Empleado obrero u operario;Cuatro;Madera pulida, baldosa, tableta, mármol, alfombra;Si;No;Si;Si;No;Si;Si;Si;Si;Si;Si;45.5;53.07;51.080002;53.049999;43.48;;;51.580002;47.009998;6;;;;52.900002
20111;SB11201110088064;ESTUDIANTE;URBANO;N;A;ACADÉMICO;125286000697;125286000123;25;25286;141887;CUNDINAMARCA;MIXTO;NOCHE;FUNZA;OFICIAL;I.E.D. MIGUEL ANTONIO CARO;CONCENTRACION  URBANA MIGUEL ANTONIO CARO;N;A1;;;;;;;;;;;No;Cabecera Municipal;25;;25269;;25;25286;;CUNDINAMARCA;CUNDINAMARCA;;12/05/1984;F;;;;;;;;;FACATATIVÁ;FUNZA;;;;COLOMBIA;COLOMBIA;N;715;;;;;;;;;;;;;;;CC;;Si, 20 horas o más a la semana;Menos de 87.000;Ninguna vez;Dos;Primaria completa;Primaria completa;Estrato 2;Entre 2 y menos de 3 SMLV;Nivel 1;Hogar;Pequeño empresario;Cuatro;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;Si;Si;No;No;Si;No;No;Si;No;45.400002;38.09;44.040001;34.709999;44.709999;52.189999;;46.290001;39.16;;;;;42.099998
20111;SB11201110050783;ESTUDIANTE;RURAL;N;B;ACADÉMICO;311001002347;311001002347;25;25214;21485;CUNDINAMARCA;MIXTO;COMPLETA;COTA;NO OFICIAL;COL JOSE MAX LEON;COL JOSE MAX LEON;S;B1;;;II;;;;;;2011;;No;Cabecera Municipal;11;;11001;;11;11001;;BOGOTÁ;BOGOTÁ;;29/10/1993;M;;;;;;;;;BOGOTÁ D.C.;BOGOTÁ D.C.;;;;COLOMBIA;COLOMBIA;N;80;;;;;;;;;;;;;;;TI;;No;250.000 o más;Ninguna vez;Tres;Educación profesional completa;Educación profesional incompleta;Estrato 4;10 o más SMLV;No está clasificada por el SISBEN;Profesional independiente;;Cuatro;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;No;56.459999;50.110001;56.470001;45.540001;70.18;;;59.950001;72.629997;;;6.1999998;;54.990002
20111;SB11201110053542;ESTUDIANTE;RURAL;S;B;ACADÉMICO;425175000969;425175000969;25;25175;94250;CUNDINAMARCA;MIXTO;COMPLETA;CHÍA;NO OFICIAL;GIMN LOS CAOBOS;GIMN LOS CAOBOS;S;B1;;;;;;;;;;;No;Cabecera Municipal;11;;11001;;11;11001;;BOGOTÁ;BOGOTÁ;;15/09/1993;M;;;;;;;;;BOGOTÁ D.C.;BOGOTÁ D.C.;;;;COLOMBIA;COLOMBIA;N;57;;;;;;;;;;;;;;;TI;;No;250.000 o más;Ninguna vez;Tres;Postgrado;Postgrado;Estrato 5;10 o más SMLV;No está clasificada por el SISBEN;Profesional independiente;Empresario;Seis;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;58.75;49.049999;59.470001;60.599998;79.550003;;48.900002;61.200001;65.669998;;;;;56.77
20111;SB11201110135128;ESTUDIANTE;URBANO;;A;ACADÉMICO;325754005358;325754005358;25;25754;156752;CUNDINAMARCA;MIXTO;SABATINA;SOACHA;NO OFICIAL;FUNDACIÓN ACEPTA EL CAMBIO PARA VIDA NUEVA;FUNDACIÓN ACEPTA EL CAMBIO PARA VIDA NUEVA - SEDE PRINCIPAL;S;A-;;;;;;;;;;;No;Cabecera Municipal;25;;25754;;25;25754;;CUNDINAMARCA;CUNDINAMARCA;;08/05/1968;F;;;;;;;;;SOACHA;SOACHA;;;;COLOMBIA;COLOMBIA;N;713;;;;;;;;;;;;;;;CC;;No;No paga Pensión;Ninguna vez;Tres;Primaria completa;Primaria incompleta;Estrato 2;Entre 1 y menos de 2 SMLV;Nivel 2;Otra actividad u ocupación;Otra actividad u ocupación;Cinco;Cemento, gravilla, ladrillo;Si;Si;Si;No;No;No;No;No;No;No;No;49.73;38.68;46.099998;48.240002;39.869999;;39.290001;43.040001;41.689999;;;;;39.959999
