periodo;estu_consecutivo;estu_estudiante;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_ingles;desemp_profundiza_biologia;desemp_profundiza_csociales;desemp_profundiza_lenguaje;desemp_profundiza_matematica;estu_anomatriculaprimero;estu_anomatriculasexto;estu_anoscolegioactual;estu_anospreescolar;estu_anoterminobachiller;estu_anoterminoquinto;estu_antecedentes;estu_areareside;estu_cod_depto_presentacion;estu_cod_iesdeseada;estu_cod_mcpio_presentacion;estu_cod_mcpioiesdeseada;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_cuantoscolegioestudio;estu_depto_presentacion;estu_depto_reside;estu_etnia;estu_fechanacimiento;estu_genero;estu_iesdeseada;estu_instporamigosestudiando;estu_instporcostomatricula;estu_instporoportunidades;estu_instporotrarazon;estu_instporprestigio;estu_instporubicacion;estu_instporunicaqueofrece;estu_mcpio_presentacion;estu_mcpio_reside;estu_mcpioiesdeseada;estu_mesterminobachiller;estu_motivo_presentavalidacion;estu_nacionalidad;estu_pais_reside;estu_privado_libertad;estu_puesto;estu_razonretirocolegio;estu_reprobocuarto;estu_reprobodecimo;estu_reprobonoveno;estu_reprobooctavo;estu_reprobooncemas;estu_reproboprimero;estu_reproboquinto;estu_reprobosegundo;estu_reproboseptimo;estu_reprobosexto;estu_reprobotercero;estu_seretirocolegio;estu_tipocarreradeseada;estu_tipodocumento;estu_totalalumnoscurso;estu_trabajaactualmente;estu_valorpensioncolegio;estu_vecespresentoexamen;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_ingresofmiliarmensual;fami_nivelsisben;fami_ocupacionmadre;fami_ocupacionpadre;fami_personashogar;fami_pisoshogar;fami_telefono;fami_tiene_celular;fami_tiene_nevera;fami_tiene_serviciotv;fami_tieneautomovil;fami_tienecomputador;fami_tienedvd;fami_tieneinternet;fami_tienelavadora;fami_tienemicroondas;punt_biologia;punt_ciencias_sociales;punt_filosofia;punt_fisica;punt_ingles;punt_interdisc_medioambiente;punt_interdisc_violenciaysoc;punt_lenguaje;punt_matematicas;punt_profundiza_biologia;punt_profundiza_csociales;punt_profundiza_lenguaje;punt_profundiza_matematica;punt_quimica;recaf_punt_c_naturales;recaf_punt_ingles;recaf_punt_lectura_critica;recaf_punt_matematicas;recaf_punt_sociales_ciudadanas
20121;SB11201210092599;ESTUDIANTE;URBANO;;A;;325175032273;325175032273;25;25175;84111;CUNDINAMARCA;MIXTO;MAÑANA;CHÍA;NO OFICIAL;CENTRO INTEGRAL DE EDUCACION TECNICA CIET;CENTRO INTEGRAL DE EDUCACION TECNICA CIET;S;A-;;;;;1996;2003;1 año;Tres años de preescolar;;2002;Si;Cabecera Municipal;25;1711;25175;25175;25;25175;Dos;CUNDINAMARCA;CUNDINAMARCA;Ninguno;18/07/1990;M;UNIVERSIDAD DE LA SABANA;Si;No;Si;Si;Si;Si;No;CHÍA;CHÍA;CHIA;;;COLOMBIA;COLOMBIA;N;772;;Si;No;No;No;No;No;No;No;Si;Si;No;;Profesional;CC;8;Si, menos de 20 horas a la semana;Menos de 87.000;Ninguna vez;Dos;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) completa;Estrato 3;Entre 2 y menos de 3 SMLV;Nivel 3;Hogar;;Cinco;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;Si;Si;No;No;Si;No;Si;No;44;34;29;48;31;;36;44;52;;;;;45;52;38;45;56;36
20121;SB11201210085889;ESTUDIANTE;RURAL;N;B;ACADÉMICO;311001047294;311001047294;25;25126;62208;CUNDINAMARCA;MIXTO;COMPLETA;CAJICÁ;NO OFICIAL;COL MAYOR DE LOS ANDES;COL MAYOR DE LOS ANDES - SEDE PRINCIPAL;S;B1;;;;;;;;;;;No;Cabecera Municipal;25;;25175;;25;25126;;CUNDINAMARCA;CUNDINAMARCA;Ninguno;14/03/1996;M;;;;;;;;;CHÍA;CAJICÁ;;;;COLOMBIA;COLOMBIA;N;109;;;;;;;;;;;;;;;TI;;No;250.000 o más;Ninguna vez;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 4;Entre 5 y menos de 7 SMLV;No está clasificada por el SISBEN;;Pequeño empresario;Cuatro;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;47;54;52;66;72;56;;52;74;;;;;61;68;76;58;77;59
20121;SB11201210085956;ESTUDIANTE;URBANO;N;OTRO;ACADÉMICO;325175032424;325175032424;25;25175;111195;CUNDINAMARCA;MIXTO;NOCHE;CHÍA;NO OFICIAL;CENTRO EDUCATIVO DE ADULTOS CEAM;CENTRO EDUCATIVO DE ADULTOS CEAM - SEDE PRINCIPAL;S;A-;;;;GB;;;;;;;No;Cabecera Municipal;25;;25175;;25;25175;;CUNDINAMARCA;CUNDINAMARCA;Ninguno;02/05/1995;M;;;;;;;;;CHÍA;CHÍA;;;;COLOMBIA;COLOMBIA;N;371;;;;;;;;;;;;;;;TI;;No;Menos de 87.000;Ninguna vez;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 3;Entre 3 y menos de 5 SMLV;Nivel 3;Empleado obrero u operario;Empleado obrero u operario;Cuatro;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;Si;No;No;No;No;No;Si;No;44;52;41;42;42;;;52;57;;;;4;39;48;46;55;60;55
20121;SB11201210099734;ESTUDIANTE;URBANO;N;A;ACADÉMICO;325290002151;325290002151;25;25290;111203;CUNDINAMARCA;MIXTO;MAÑANA;FUSAGASUGÁ;NO OFICIAL;COL FUND EDUC FUNDETEC;COL FUND EDUC FUNDETEC;S;A-;;;;;;;;;;;No;Cabecera Municipal;25;;25290;;25;25290;;CUNDINAMARCA;CUNDINAMARCA;Ninguno;02/01/1994;M;;;;;;;;;FUSAGASUGÁ;FUSAGASUGÁ;;;;COLOMBIA;COLOMBIA;N;959;;;;;;;;;;;;;;;CC;;Si, 20 horas o más a la semana;Menos de 87.000;Ninguna vez;Uno;Educación profesional completa;No sabe;Estrato 3;Menos de 1 SMLV;No está clasificada por el SISBEN;Otra actividad u ocupación;Empleado de nivel técnico o profesional;Una;Madera burda, tabla, tablón;No;Si;No;No;No;No;No;No;No;No;33;39;22;39;39;;48;41;30;;;;;35;35;43;45;39;39
20121;SB11201210054992;ESTUDIANTE;RURAL;S;B;ACADÉMICO;325175000549;325175000549;25;25175;42473;CUNDINAMARCA;MIXTO;COMPLETA;CHÍA;NO OFICIAL;GIMN BRITANICO                                              ;GIMN BRITANICO                                              ;S;B1;;;I;;;;;;;;No;Cabecera Municipal;11;;11001;;11;11001;;BOGOTÁ;BOGOTÁ;Ninguno;31/07/1995;M;;;;;;;;;BOGOTÁ D.C.;BOGOTÁ D.C.;;;;COLOMBIA;COLOMBIA;N;257;;;;;;;;;;;;;;;TI;;No;250.000 o más;Ninguna vez;Tres;Postgrado;Postgrado;Estrato 4;10 o más SMLV;No está clasificada por el SISBEN;;;Cuatro;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;49;52;46;42;65;;;50;57;;;5;;56;55;71;58;56;65
20121;SB11201210101074;ESTUDIANTE;URBANO;;A;;325286001048;325286001048;25;25286;131987;CUNDINAMARCA;MIXTO;MAÑANA;FUNZA;NO OFICIAL;LICEO SANTA MARTHA;LICEO SANTA MARTHA - SEDE PRINCIPAL;S;A-;;;GB;;;;;;;;No;Area Rural;25;;25175;;25;25286;;CUNDINAMARCA;CUNDINAMARCA;Ninguno;01/10/1993;F;;;;;;;;;CHÍA;FUNZA;;;;COLOMBIA;COLOMBIA;N;547;;;;;;;;;;;;;;;CC;;No;Menos de 87.000;Ninguna vez;Dos;Primaria completa;Primaria completa;Estrato 2;Entre 2 y menos de 3 SMLV;Nivel 2;Empleado obrero u operario;Empleado obrero u operario;Cuatro;Madera burda, tabla, tablón;No;Si;Si;Si;No;Si;Si;Si;No;No;42;44;32;45;33;;;48;51;;;4;;48;43;39;43;51;50
20121;SB11201210097264;ESTUDIANTE;URBANO;N;A;;325754004980;325754004980;25;25754;119321;CUNDINAMARCA;MIXTO;MAÑANA;SOACHA;NO OFICIAL;COL CENT DE INSTRUCION SISTEMATIZADO;COL CENT DE INSTRUCION SISTEMATIZADO - SEDE PRINCIPAL;S;A-;;I;;;;;;;;;No;Cabecera Municipal;25;;25754;;25;25754;;CUNDINAMARCA;CUNDINAMARCA;Ninguno;27/03/1996;F;;;;;;;;;SOACHA;SOACHA;;;;COLOMBIA;COLOMBIA;N;735;;;;;;;;;;;;;;;TI;;No;Menos de 87.000;Ninguna vez;Tres;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 3;Entre 3 y menos de 5 SMLV;Nivel 3;Empleado obrero u operario;Empleado obrero u operario;Tres;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;37;46;39;33;43;;;46;37;;5;;;50;46;48;45;44;53
20121;SB11201210085892;ESTUDIANTE;RURAL;N;B;ACADÉMICO;311001047294;311001047294;25;25126;62208;CUNDINAMARCA;MIXTO;COMPLETA;CAJICÁ;NO OFICIAL;COL MAYOR DE LOS ANDES;COL MAYOR DE LOS ANDES - SEDE PRINCIPAL;S;B+;;;;II;;;;;;;No;Area Rural;25;;25175;;25;25175;;CUNDINAMARCA;CUNDINAMARCA;Ninguno;01/04/1995;M;;;;;;;;;CHÍA;CHÍA;;;;COLOMBIA;COLOMBIA;N;38;;;;;;;;;;;;;;;TI;;No;250.000 o más;Ninguna vez;Tres;Postgrado;Educación profesional completa;Estrato 4;10 o más SMLV;No está clasificada por el SISBEN;Hogar;;Cuatro;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;No;65;60;64;65;83;;;59;69;;;;6;56;75;85;67;74;72
20121;SB11201210086983;ESTUDIANTE;URBANO;N;A;NO APLICA;325290002128;325290002128;25;25290;135111;CUNDINAMARCA;MIXTO;NOCHE;FUSAGASUGÁ;NO OFICIAL;COL BOSTON C.L.E.I.;COL. BOSTON C.L.E.I.;S;A-;;;GB;;;;;;;;No;Area Rural;25;;25290;;25;25290;;CUNDINAMARCA;CUNDINAMARCA;Ninguno;11/01/1996;M;;;;;;;;;FUSAGASUGÁ;FUSAGASUGÁ;;;;COLOMBIA;COLOMBIA;N;583;;;;;;;;;;;;;;;TI;;No;Menos de 87.000;Ninguna vez;Ocho;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 3;Entre 1 y menos de 2 SMLV;Nivel 3;Otra actividad u ocupación;Empresario;Ocho;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;Si;Si;No;No;Si;Si;Si;Si;42;44;41;42;42;;;44;47;;;4;;49;54;46;45;53;45
20121;SB11201210009326;ESTUDIANTE;URBANO;N;A;TÉCNICO/ACADÉMICO;125781000121;125781000121;25;25781;164467;CUNDINAMARCA;MIXTO;SABATINA;SUTATAUSA;OFICIAL;INSTITUCION EDUCATIVA DEPARTAMENTAL INTEGRADA DE SUTATAUSA;INSTITUCION EDUCATIVA DEPARTAMENTAL INTEGRADA DE SUTATAUSA;S;A-;;;;;;;;;;;No;Area Rural;25;;25899;;25;25781;;CUNDINAMARCA;CUNDINAMARCA;Ninguno;15/11/1984;F;;;;;;;;;ZIPAQUIRÁ;SUTATAUSA;;;;COLOMBIA;COLOMBIA;N;680;;;;;;;;;;;;;;;CC;;Si, menos de 20 horas a la semana;No paga Pensión;Ninguna vez;Tres;Primaria incompleta;Primaria incompleta;Estrato 1;Menos de 1 SMLV;Nivel 1;Hogar;Otra actividad u ocupación;Una;Madera burda, tabla, tablón;No;Si;No;No;No;No;No;No;No;No;34;46;36;40;33;54;;52;40;;;;;40;44;39;45;48;49
