periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_dedicacioninternet;estu_dedicacionlecturadiaria;estu_depto_presentacion;estu_depto_reside;estu_discapacidad;estu_etnia;estu_fechanacimiento;estu_generacione;estu_genero;estu_grado;estu_horassemanatrabaja;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_establecimiento;estu_nse_individual;estu_pais_reside;estu_privado_libertad;estu_repite;estu_tieneetnia;estu_tiporemuneracion;fami_comecarnepescadohuevo;fami_comecerealfrutoslegumbre;fami_comelechederivados;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_situacioneconomica;fami_tieneautomovil;fami_tienecomputador;fami_tieneconsolavideojuegos;fami_tienehornomicroogas;fami_tieneinternet;fami_tienelavadora;fami_tienemotocicleta;fami_tieneserviciotv;fami_trabajolabormadre;fami_trabajolaborpadre;percentil_c_naturales;percentil_global;percentil_ingles;percentil_lectura_critica;percentil_matematicas;percentil_sociales_ciudadanas;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20201;SB11202010074147;ESTUDIANTE;TI;URBANO;;A;;341001800096;341001800096;41;41001;706457;HUILA;MIXTO;TARDE;NEIVA;NO OFICIAL;GIMNASIO LOS ANDES PAULO FREIRE;GIMNASIO LOS ANDES PAULO FREIRE - SEDE PRINCIPAL;S;2;A-;3;2;1;N;41;41001;;;;;HUILA;;N;;08/10/2002;NO;M;11;;;NEIVA;;COLOMBIA;3;;COLOMBIA;N;0;;;;;;;;;;;;;;;;;;;;;;;22;16;5;29;16;17;45;223;34;53;44;40
20201;SB11202010042267;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO;341001005440;341001005440;41;41001;170456;HUILA;MIXTO;TARDE;NEIVA;NO OFICIAL;COL DE BTO. TECNICO EN COMERCIO Y SISTEMAS HEISENBERG;COL DE BTO. TECNICO EN COMERCIO Y SISTEMAS HEISENBERG;S;2;A-;2;2;1;N;41;41001;41;41001;30 minutos o menos;Entre 1 y 2 horas;HUILA;HUILA;N;;17/08/2002;NO;M;26;0;49.117722;NEIVA;NEIVA;COLOMBIA;2;2;COLOMBIA;N;0;No;No;3 a 5 veces por semana;1 o 2 veces por semana;1 o 2 veces por semana;Tres;Primaria incompleta;Secundaria (Bachillerato) completa;Estrato 1;11 A 25 LIBROS;3 a 4;Peor;;No;No;Si;Si;Si;No;Si;Trabaja en el hogar, no trabaja o estudia;Es vendedor o trabaja en atención al público;14;9;8;17;11;5;41;198;38;48;40;30
20201;SB11202010036311;ESTUDIANTE;TI;URBANO;;A;;341001800096;341001800096;41;41001;706309;HUILA;MIXTO;MAÑANA;NEIVA;NO OFICIAL;GIMNASIO LOS ANDES PAULO FREIRE;GIMNASIO LOS ANDES PAULO FREIRE - SEDE PRINCIPAL;S;3;A1;3;3;2;N;41;41001;41;41001;Entre 1 y 3 horas;Entre 30 y 60 minutos;HUILA;HUILA;N;;24/10/2002;NO;M;11;0;72.547394;NEIVA;NEIVA;COLOMBIA;3;4;COLOMBIA;N;0;No;;Todos o casi todos los días;3 a 5 veces por semana;3 a 5 veces por semana;Tres;Educación profesional completa;Postgrado;Estrato 3;0 A 10 LIBROS;3 a 4;Mejor;Si;Si;Si;Si;Si;Si;Si;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja como profesional (por ejemplo médico, abogado, ingeniero);50;43;29;48;39;43;57;283;54;60;56;54
20201;SB11202010073062;ESTUDIANTE;TI;URBANO;;A;ACADÉMICO;341001061028;341001061028;41;41001;134007;HUILA;MIXTO;SABATINA;NEIVA;NO OFICIAL;LICEO ANTONIO NARIÑO;LIC ANTONIO NARIÑO ( LICEO AMERICANO);S;1;A1;3;3;1;N;41;41001;41;41001;30 minutos o menos;30 minutos o menos;HUILA;HUILA;N;;25/10/2003;NO;M;11;0;48.231133;NEIVA;NEIVA;COLOMBIA;3;2;COLOMBIA;N;0;No;No;1 o 2 veces por semana;3 a 5 veces por semana;Nunca o rara vez comemos eso;Dos;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) completa;Estrato 2;0 A 10 LIBROS;3 a 4;Igual;No;Si;No;No;Si;Si;No;No;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);Es operario de máquinas o conduce vehículos (taxita, chofer);8;15;29;24;27;8;37;219;54;51;51;33
20201;SB11202010062229;ESTUDIANTE;CC;URBANO;;A;;341001800096;341001800096;41;41001;706309;HUILA;MIXTO;MAÑANA;NEIVA;NO OFICIAL;GIMNASIO LOS ANDES PAULO FREIRE;GIMNASIO LOS ANDES PAULO FREIRE - SEDE PRINCIPAL;S;2;A-;3;2;2;N;41;41001;41;41001;Entre 30 y 60 minutos;No leo por entretenimiento;HUILA;HUILA;N;;01/01/2000;NO;M;11;0;41.847355;NEIVA;NEIVA;COLOMBIA;3;2;COLOMBIA;N;0;No;Si, en efectivo;1 o 2 veces por semana;3 a 5 veces por semana;Nunca o rara vez comemos eso;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 1;;3 a 4;Igual;No;No;No;No;No;Si;Si;No;No sabe;No sabe;37;28;8;47;21;28;52;252;37;60;47;47
20201;SB11202010069539;ESTUDIANTE;TI;URBANO;;A;;341001800096;341001800096;41;41001;706309;HUILA;MIXTO;MAÑANA;NEIVA;NO OFICIAL;GIMNASIO LOS ANDES PAULO FREIRE;GIMNASIO LOS ANDES PAULO FREIRE - SEDE PRINCIPAL;S;3;A1;3;3;2;N;41;41001;41;41001;Más de 3 horas;Entre 30 y 60 minutos;HUILA;HUILA;N;;02/10/2003;NO;F;11;0;68.719727;NEIVA;NEIVA;COLOMBIA;3;4;COLOMBIA;N;0;No;No;Todos o casi todos los días;3 a 5 veces por semana;Todos o casi todos los días;Cuatro;Educación profesional completa;Técnica o tecnológica completa;Estrato 3;MÁS DE 100 LIBROS;3 a 4;Igual;Si;Si;No;Si;Si;Si;No;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;53;41;24;41;45;38;58;279;51;58;58;51
20201;SB11202010069942;ESTUDIANTE;TI;URBANO;;A;ACADÉMICO;341001061028;341001061028;41;41001;134007;HUILA;MIXTO;SABATINA;NEIVA;NO OFICIAL;LICEO ANTONIO NARIÑO;LIC ANTONIO NARIÑO ( LICEO AMERICANO);S;2;A1;3;2;1;N;41;41001;41;41001;Entre 30 y 60 minutos;30 minutos o menos;HUILA;HUILA;N;;22/05/2002;NO;M;26;Menos de 10 horas;57.128529;NEIVA;NEIVA;COLOMBIA;3;3;COLOMBIA;N;0;No;Si, en efectivo;3 a 5 veces por semana;3 a 5 veces por semana;3 a 5 veces por semana;Cinco;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 2;11 A 25 LIBROS;5 a 6;Mejor;No;Si;Si;Si;Si;Si;Si;Si;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);26;22;27;24;26;16;47;237;52;51;50;40
20201;SB11202010069941;ESTUDIANTE;TI;URBANO;;A;ACADÉMICO;341001061028;341001061028;41;41001;134007;HUILA;MIXTO;SABATINA;NEIVA;NO OFICIAL;LICEO ANTONIO NARIÑO;LIC ANTONIO NARIÑO ( LICEO AMERICANO);S;3;A2;3;3;3;N;41;41001;41;41001;Más de 3 horas;Entre 1 y 2 horas;HUILA;HUILA;N;;25/07/2003;NO;M;11;0;70.514748;NEIVA;NEIVA;COLOMBIA;3;4;COLOMBIA;N;0;No;No;1 o 2 veces por semana;3 a 5 veces por semana;;Dos;Educación profesional completa;Educación profesional completa;Estrato 3;11 A 25 LIBROS;1 a 2;Igual;Si;Si;Si;Si;Si;Si;Si;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja como profesional (por ejemplo médico, abogado, ingeniero);47;51;39;64;40;63;56;298;60;65;56;61
20201;SB11202010069649;ESTUDIANTE;CC;URBANO;;A;;341001061358;341001061358;41;41001;658617;HUILA;MIXTO;SABATINA;NEIVA;NO OFICIAL;INSTITUTO TOMAS MORO;INSTITUTO TOMAS MORO - SEDE PRINCIPAL;S;2;A-;3;3;3;N;41;41001;41;41001;Más de 3 horas;30 minutos o menos;HUILA;HUILA;N;;18/07/1999;NO;F;11;0;44.751419;NEIVA;NEIVA;COLOMBIA;2;2;COLOMBIA;N;0;No;No;1 o 2 veces por semana;Nunca o rara vez comemos eso;1 o 2 veces por semana;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 2;0 A 10 LIBROS;3 a 4;Igual;No;No;No;No;Si;Si;Si;No;Trabaja en el hogar, no trabaja o estudia;No sabe;30;37;13;44;34;58;49;271;42;59;54;59
20201;SB11202010069627;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;341001060961;341001060961;41;41001;91967;HUILA;MIXTO;TARDE;NEIVA;NO OFICIAL;INST DE SERVICOS ACADEMICOS- IDESA;INST DE SERVICOS ACADEMICOS- IDESA;S;2;A1;2;2;1;N;41;41001;41;41001;;;HUILA;HUILA;N;;16/12/1999;NO;M;11;Menos de 10 horas;60.755131;NEIVA;NEIVA;COLOMBIA;3;3;COLOMBIA;N;14275;No;Si, en efectivo;;;;;;;;;3 a 4;Peor;Si;Si;Si;Si;;Si;Si;;Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;Trabaja en el hogar, no trabaja o estudia;29;9;24;7;15;1;49;198;51;40;43;23
