periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_dedicacioninternet;estu_dedicacionlecturadiaria;estu_depto_presentacion;estu_depto_reside;estu_discapacidad;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_horassemanatrabaja;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_establecimiento;estu_nse_individual;estu_pais_reside;estu_privado_libertad;estu_repite;estu_tieneetnia;estu_tiporemuneracion;fami_comecarnepescadohuevo;fami_comecerealfrutoslegumbre;fami_comelechederivados;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_situacioneconomica;fami_tieneautomovil;fami_tienecomputador;fami_tieneconsolavideojuegos;fami_tienehornomicroogas;fami_tieneinternet;fami_tienelavadora;fami_tienemotocicleta;fami_tieneserviciotv;fami_trabajolabormadre;fami_trabajolaborpadre;percentil_c_naturales;percentil_global;percentil_ingles;percentil_lectura_critica;percentil_matematicas;percentil_sociales_ciudadanas;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20211;SB11202110065149;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO/ACADÉMICO;141001000082;141001000082;41;41001;9787;HUILA;MIXTO;MAÑANA;NEIVA;OFICIAL;INSTITUCION EDUCATIVA OLIVERIO LARA BORRERO;OLIVERIO LARA BORRERO;S;2;A-;2;2;2;N;41;41001;41;41001;30 minutos o menos;30 minutos o menos;HUILA;HUILA;N;Ninguno;28/05/1995;M;11;Entre 11 y 20 horas;49.111881;NEIVA;NEIVA;COLOMBIA;2;2;COLOMBIA;N;0;Si;No;1 o 2 veces por semana;1 o 2 veces por semana;Todos o casi todos los días;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 1;;5 a 6;Peor;No;Si;No;No;Si;No;Si;Si;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;Trabaja por cuenta propia (por ejemplo plomero, electricista);13;7;3;6;4;19;44;205;33;41;36;46
20211;SB11202110063808;ESTUDIANTE;TI;URBANO;;A;ACADÉMICO;341001061028;341001061028;41;41001;134007;HUILA;MIXTO;SABATINA;NEIVA;NO OFICIAL;LICEO ANTONIO NARIÑO;LIC ANTONIO NARIÑO ( LICEO AMERICANO);S;3;B1;3;3;3;N;41;41001;41;41001;Entre 1 y 3 horas;No leo por entretenimiento;HUILA;HUILA;N;;10/05/2004;M;26;0;52.964729;NEIVA;NEIVA;COLOMBIA;3;3;COLOMBIA;N;0;;No;1 o 2 veces por semana;3 a 5 veces por semana;1 o 2 veces por semana;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 1;;3 a 4;Peor;No;Si;Si;No;Si;Si;No;Si;Trabaja en el hogar, no trabaja o estudia;Trabaja por cuenta propia (por ejemplo plomero, electricista);41;48;47;48;60;40;56;305;70;63;66;56
20211;SB11202110064034;ESTUDIANTE;TI;URBANO;;A;ACADÉMICO;341001061028;341001061028;41;41001;134007;HUILA;MIXTO;SABATINA;NEIVA;NO OFICIAL;LICEO ANTONIO NARIÑO;LIC ANTONIO NARIÑO ( LICEO AMERICANO);S;1;A-;2;1;1;N;41;41001;41;41001;;;HUILA;HUILA;N;;29/05/2003;M;26;Entre 21 y 30 horas;42.722179;NEIVA;NEIVA;COLOMBIA;3;2;COLOMBIA;N;0;;No;;;;Dos;;;;;5 a 6;Igual;No;Si;No;No;;Si;Si;;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;3;2;7;2;3;4;34;173;40;36;34;33
20211;SB11202110065148;ESTUDIANTE;CC;URBANO;;A;NO APLICA;341001003188;341001003188;41;41001;615278;HUILA;MIXTO;COMPLETA;NEIVA;NO OFICIAL;COL SURCOLOMBIANO TIMANCO;COL SURCOLOMBIANO TIMANCO;S;2;A-;3;3;2;N;41;41001;41;41001;;;HUILA;HUILA;N;;11/01/1992;F;11;Más de 30 horas;37.469265;NEIVA;NEIVA;COLOMBIA;1;1;COLOMBIA;N;0;;Si, en efectivo;;;;Dos;;;;;7 a 8;Peor;No;Si;No;No;;No;Si;;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;11;19;5;23;26;32;43;248;37;54;53;53
20211;SB11202110064346;ESTUDIANTE;TI;URBANO;;A;ACADÉMICO;341001061028;341001061028;41;41001;134007;HUILA;MIXTO;SABATINA;NEIVA;NO OFICIAL;LICEO ANTONIO NARIÑO;LIC ANTONIO NARIÑO ( LICEO AMERICANO);S;2;A1;3;3;2;N;41;41001;41;41001;Más de 3 horas;No leo por entretenimiento;HUILA;HUILA;N;;25/11/2003;M;26;Entre 11 y 20 horas;53.889847;NEIVA;NEIVA;COLOMBIA;3;3;COLOMBIA;N;0;;Si, en efectivo;Todos o casi todos los días;3 a 5 veces por semana;1 o 2 veces por semana;Dos;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) completa;Estrato 2;26 A 100 LIBROS;5 a 6;Igual;Si;Si;No;No;Si;Si;No;Si;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;No aplica;33;29;16;35;31;31;53;270;49;58;55;52
20211;SB11202110065524;ESTUDIANTE;TI;URBANO;;A;ACADÉMICO;341001061028;341001061028;41;41001;134007;HUILA;MIXTO;SABATINA;NEIVA;NO OFICIAL;LICEO ANTONIO NARIÑO;LIC ANTONIO NARIÑO ( LICEO AMERICANO);S;2;A-;2;3;2;N;41;41001;41;41001;Más de 3 horas;No leo por entretenimiento;HUILA;HUILA;N;;11/07/2003;M;26;Entre 11 y 20 horas;63.553387;NEIVA;NEIVA;COLOMBIA;3;3;COLOMBIA;N;0;;Si, en efectivo;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Uno;Educación profesional completa;Postgrado;Estrato 3;0 A 10 LIBROS;1 a 2;Igual;No;Si;No;Si;Si;Si;Si;Si;No sabe;No sabe;29;17;8;7;24;26;52;243;42;43;52;50
20211;SB11202110065445;ESTUDIANTE;CC;URBANO;;A;ACADÉMICO;341001061028;341001061028;41;41001;134007;HUILA;MIXTO;SABATINA;NEIVA;NO OFICIAL;LICEO ANTONIO NARIÑO;LIC ANTONIO NARIÑO ( LICEO AMERICANO);S;1;A2;3;2;2;N;41;41001;41;41001;Más de 3 horas;No leo por entretenimiento;HUILA;HUILA;N;;24/11/2002;M;26;Menos de 10 horas;49.2813;NEIVA;NEIVA;COLOMBIA;3;2;COLOMBIA;N;0;;Si, en efectivo;1 o 2 veces por semana;Nunca o rara vez comemos eso;Nunca o rara vez comemos eso;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 1;0 A 10 LIBROS;1 a 2;Igual;No;Si;Si;Si;Si;Si;No;No;Trabaja en el hogar, no trabaja o estudia;No aplica;4;16;34;21;18;28;36;240;61;53;48;51
20211;SB11202110029676;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;341001060961;341001060961;41;41001;91967;HUILA;MIXTO;TARDE;NEIVA;NO OFICIAL;INST DE SERVICOS ACADEMICOS- IDESA;INST DE SERVICOS ACADEMICOS- IDESA;S;2;A-;2;2;2;N;41;41001;41;41001;No Navega Internet;No leo por entretenimiento;HUILA;HUILA;N;;30/10/1995;F;11;Menos de 10 horas;48.121326;NEIVA;NEIVA;COLOMBIA;2;2;COLOMBIA;N;0;No;No;3 a 5 veces por semana;1 o 2 veces por semana;3 a 5 veces por semana;Tres;Ninguno;Secundaria (Bachillerato) incompleta;Estrato 1;11 A 25 LIBROS;3 a 4;Igual;Si;No;No;No;Si;Si;No;Si;Trabaja por cuenta propia (por ejemplo plomero, electricista);No aplica;11;7;2;4;7;24;43;207;29;39;39;49
20211;SB11202110063667;ESTUDIANTE;TI;URBANO;;A;ACADÉMICO;341001061028;341001061028;41;41001;134007;HUILA;MIXTO;SABATINA;NEIVA;NO OFICIAL;LICEO ANTONIO NARIÑO;LIC ANTONIO NARIÑO ( LICEO AMERICANO);S;2;A-;2;1;1;N;41;41001;41;41001;30 minutos o menos;30 minutos o menos;HUILA;HUILA;N;;29/08/2004;M;26;;;NEIVA;NEIVA;COLOMBIA;3;;COLOMBIA;N;0;;;1 o 2 veces por semana;Nunca o rara vez comemos eso;3 a 5 veces por semana;;Primaria incompleta;Secundaria (Bachillerato) completa;Estrato 6;11 A 25 LIBROS;;;;;;;Si;;;Si;;;18;6;5;12;3;4;47;200;37;47;34;33
20211;SB11202110025119;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;341001060961;341001060961;41;41001;91967;HUILA;MIXTO;TARDE;NEIVA;NO OFICIAL;INST DE SERVICOS ACADEMICOS- IDESA;INST DE SERVICOS ACADEMICOS- IDESA;S;3;A1;3;3;2;N;41;41001;41;41001;Más de 3 horas;Entre 1 y 2 horas;HUILA;HUILA;N;;07/12/2002;M;11;Menos de 10 horas;53.623402;NEIVA;NEIVA;COLOMBIA;2;3;COLOMBIA;N;0;No;No;3 a 5 veces por semana;1 o 2 veces por semana;Todos o casi todos los días;Dos;Técnica o tecnológica completa;Secundaria (Bachillerato) incompleta;Estrato 2;0 A 10 LIBROS;3 a 4;Igual;No;Si;No;Si;Si;Si;Si;Si;Trabaja en el hogar, no trabaja o estudia;Trabaja por cuenta propia (por ejemplo plomero, electricista);55;38;26;38;38;36;60;288;56;59;58;54
