periodo;estu_consecutivo;estu_estudiante;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_ingles;desemp_profundiza_biologia;desemp_profundiza_csociales;desemp_profundiza_lenguaje;desemp_profundiza_matematica;estu_anoterminobachiller;estu_areareside;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_depto_presentacion;estu_depto_reside;estu_etnia;estu_fechanacimiento;estu_genero;estu_mcpio_presentacion;estu_mcpio_reside;estu_mesterminobachiller;estu_motivo_presentavalidacion;estu_nacionalidad;estu_pais_reside;estu_privado_libertad;estu_puesto;estu_tipodocumento;estu_trabajaactualmente;estu_valorpensioncolegio;estu_vecespresentoexamen;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_ingresofmiliarmensual;fami_nivelsisben;fami_ocupacionmadre;fami_ocupacionpadre;fami_personashogar;fami_pisoshogar;fami_telefono;fami_tiene_celular;fami_tiene_nevera;fami_tiene_serviciotv;fami_tieneautomovil;fami_tienecomputador;fami_tienedvd;fami_tienehorno;fami_tieneinternet;fami_tienelavadora;fami_tienemicroondas;punt_biologia;punt_ciencias_sociales;punt_filosofia;punt_fisica;punt_ingles;punt_interdisc_medioambiente;punt_interdisc_violenciaysoc;punt_lenguaje;punt_matematicas;punt_profundiza_biologia;punt_profundiza_csociales;punt_profundiza_lenguaje;punt_profundiza_matematica;punt_quimica
20101;SB11201010120447;ESTUDIANTE;;N;A;;;0;44;44001;28688;LA GUAJIRA;MIXTO;COMPLETA;RIOHACHA;NO OFICIAL;COLEGIO SANTO TOMAS;COLEGIO SANTO TOMAS;N;A1;;;II;;2010;Cabecera Municipal;76;76001;76;76001;VALLE;VALLE;;28/03/1989;M;CALI;CALI;Julio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;381;TI;No;Entre 87.000 y menos de 120.000;Ninguna vez;Uno;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 2;Entre 1 y menos de 2 SMLV;No está clasificada por el SISBEN;Hogar;Empleado obrero u operario;Dos;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;Si;Si;No;No;No;No;No;No;No;49.790001;50.439999;40.490002;45.299999;46.349998;;47.709999;48.810001;49.549999;;;6.6999998;;51.98
20101;SB11201010114898;ESTUDIANTE;;N;A;;;0;44;44001;28688;LA GUAJIRA;MIXTO;COMPLETA;RIOHACHA;NO OFICIAL;COLEGIO SANTO TOMAS;COLEGIO SANTO TOMAS;N;A-;;;;I;2010;Cabecera Municipal;76;76001;76;76001;VALLE;VALLE;;10/02/1994;M;CALI;CALI;Julio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;836;TI;No;Entre 87.000 y menos de 120.000;Ninguna vez;Dos;Secundaria (Bachillerato) completa;Educación profesional completa;Estrato 3;Entre 1 y menos de 2 SMLV;No está clasificada por el SISBEN;Profesional independiente;Empleado obrero u operario;Tres;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;No;Si;No;Si;No;Si;Si;47.619999;41.27;33.150002;40.060001;37.099998;51.470001;;41.720001;40.779999;;;;5;43.560001
20101;SB11201010021868;ESTUDIANTE;URBANO;N;B;ACADÉMICO;344430001443;344430001443;44;44430;57539;LA GUAJIRA;MIXTO;COMPLETA;MAICAO;NO OFICIAL;COLEGIO COLOMBO ARABE DAR EL ARKAM;COLEGIO COLOMBO ARABE DAR EL ARKAM;S;A1;;;;I;2010;Cabecera Municipal;44;44430;44;44430;LA GUAJIRA;LA GUAJIRA;;12/07/1993;M;MAICAO;MAICAO;Junio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;349;TI;No;250.000 o más;Ninguna vez;Cinco;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 3;Entre 3 y menos de 5 SMLV;No está clasificada por el SISBEN;Hogar;Pequeño empresario;Siete;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;51.720001;45.509998;56.419998;45.299999;50.66;51.470001;;48.57;49.549999;;;;5;53.73
20101;SB11201010021750;ESTUDIANTE;URBANO;S;B;ACADÉMICO;344430001303;344430001303;44;44035;50724;LA GUAJIRA;MIXTO;COMPLETA;ALBANIA;NO OFICIAL;COLEGIO ALBANIA;COLEGIO ALBANIA;S;B1;;I;;;2010;Area Rural;44;44035;44;44078;LA GUAJIRA;LA GUAJIRA;;12/10/1991;F;ALBANIA;BARRANCAS;Junio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;374;CC;No;250.000 o más;Una Vez;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 3;Entre 3 y menos de 5 SMLV;No está clasificada por el SISBEN;Hogar;Empleado obrero u operario;Seis;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;No;Si;Si;Si;Si;Si;Si;Si;55.459999;39.580002;58.709999;40.060001;72.32;54.490002;;54.790001;46.77;;5.0999999;;;52.150002
20101;SB11201010117591;ESTUDIANTE;URBANO;N;A;ACADÉMICO;344001001310;344001001310;44;44001;89557;LA GUAJIRA;MIXTO;SABATINA;RIOHACHA;NO OFICIAL;INSTITUTO POLITÉCNICO DEL CARIBE;INSTITUTO POLITÉCNICO DEL CARIBE - SEDE PRINCIPAL;S;A-;;;I;;2010;Cabecera Municipal;44;44001;44;44001;LA GUAJIRA;LA GUAJIRA;Wayúu;17/04/1990;F;RIOHACHA;RIOHACHA;Julio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;803;TI;No;Menos de 87.000;Ninguna vez;Tres;Secundaria (Bachillerato) incompleta;Primaria incompleta;Estrato 2;Entre 1 y menos de 2 SMLV;Nivel 2;;Pequeño empresario;Cinco;Cemento, gravilla, ladrillo;No;Si;Si;Si;No;No;No;Si;No;Si;No;43.869999;41.900002;40.490002;21.52;41.610001;;42.400002;54.790001;37.560001;;;4.5999999;;45.16
20101;SB11201010021876;ESTUDIANTE;URBANO;N;B;ACADÉMICO;344430001443;344430001443;44;44430;57539;LA GUAJIRA;MIXTO;COMPLETA;MAICAO;NO OFICIAL;COLEGIO COLOMBO ARABE DAR EL ARKAM;COLEGIO COLOMBO ARABE DAR EL ARKAM;S;A2;;GB;;;2010;Cabecera Municipal;44;44430;44;44430;LA GUAJIRA;LA GUAJIRA;;20/07/1993;F;MAICAO;MAICAO;Junio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;211;TI;No;250.000 o más;Una Vez;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 4;Entre 2 y menos de 3 SMLV;No está clasificada por el SISBEN;Hogar;Pequeño empresario;Cinco;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;No;Si;Si;Si;Si;Si;Si;51.720001;41.900002;43.459999;50.540001;61.220001;;42.400002;58.709999;59.860001;;4.6999998;;;46.880001
20101;SB11201010124132;ESTUDIANTE;;N;A;;;0;44;44001;28688;LA GUAJIRA;MIXTO;COMPLETA;RIOHACHA;NO OFICIAL;COLEGIO SANTO TOMAS;COLEGIO SANTO TOMAS;N;A-;GB;;;;;;76;76001;;;VALLE;;;07/07/1993;F;CALI;;;;COLOMBIA;COLOMBIA;N;440;TI;;;;;;;;;;;;;;;;;;;;;;;;;47.860001;45.509998;48.869999;47.970001;40.279999;50.779999;;48.57;49.549999;5.3000002;;;;41.560001
20101;SB11201010127915;ESTUDIANTE;;N;A;;;0;44;44001;28688;LA GUAJIRA;MIXTO;COMPLETA;RIOHACHA;NO OFICIAL;COLEGIO SANTO TOMAS;COLEGIO SANTO TOMAS;N;A-;GB;;;;2010;Cabecera Municipal;76;76520;76;76275;VALLE;VALLE;;01/03/1992;F;PALMIRA;FLORIDA;Septiembre;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;845;TI;Si, 20 horas o más a la semana;Menos de 87.000;Ninguna vez;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 3;Entre 1 y menos de 2 SMLV;No está clasificada por el SISBEN;Hogar;;Tres;Cemento, gravilla, ladrillo;No;Si;Si;Si;No;No;Si;Si;No;No;No;45.639999;41.27;40.169998;40.060001;35.25;50.07;;35.889999;46.77;4.5999999;;;;47.049999
20101;SB11201010021759;ESTUDIANTE;URBANO;S;B;ACADÉMICO;344430001303;344430001303;44;44035;50724;LA GUAJIRA;MIXTO;COMPLETA;ALBANIA;NO OFICIAL;COLEGIO ALBANIA;COLEGIO ALBANIA;S;B+;I;;;;2010;Area Rural;44;44035;44;44035;LA GUAJIRA;LA GUAJIRA;;09/08/1992;F;ALBANIA;ALBANIA;Junio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;703;TI;No;250.000 o más;Una Vez;Tres;Educación profesional completa;Educación profesional completa;Estrato 3;Entre 7 y menos de 10 SMLV;No está clasificada por el SISBEN;Hogar;;Seis;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;47.619999;57.509998;22.82;36.700001;87.559998;54.490002;;50.619999;40.779999;5.9000001;;;;48.740002
20101;SB11201010021768;ESTUDIANTE;URBANO;S;B;ACADÉMICO;344430001303;344430001303;44;44035;50724;LA GUAJIRA;MIXTO;COMPLETA;ALBANIA;NO OFICIAL;COLEGIO ALBANIA;COLEGIO ALBANIA;S;B1;;GB;;;2010;Area Rural;44;44035;44;44035;LA GUAJIRA;LA GUAJIRA;;24/05/1991;M;ALBANIA;ALBANIA;Junio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;134;CE;No;250.000 o más;Una Vez;Tres;Educación profesional completa;Postgrado;Estrato 4;10 o más SMLV;No está clasificada por el SISBEN;Hogar;Empleado de nivel técnico o profesional;Cuatro;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;No;Si;Si;Si;Si;64.739998;63.040001;53.66;45.939999;72.32;53.639999;;58.709999;46.77;;4.3000002;;;50.439999
