periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_ingles;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_depto_presentacion;estu_depto_reside;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_individual;estu_pais_reside;estu_pilopaga;estu_privado_libertad;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_personashogar;fami_tieneautomovil;fami_tienecomputador;fami_tieneinternet;fami_tienelavadora;fami_tieneserviciotv;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20142;SB11201420578505;ESTUDIANTE;TI;RURAL;N;A;ACADÉMICO;244430000868;244430000868;44;44430;141481;LA GUAJIRA;MIXTO;MAÑANA;MAICAO;OFICIAL;INSTITUCION EDUCATIVA INDIGENA NO. 4;C.E.I.R NO. 11 - MAJAYUTPANA - SEDE PRINCIPAL;S;A-;S;44;44430;44;44430;LA GUAJIRA;LA GUAJIRA;Ninguno;10/11/1997;M;11;42.732082;MAICAO;MAICAO;COLOMBIA;NSE2;COLOMBIA;NO;N;Dos;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 1;Siete;No;No;No;Si;No;52;227;45;43;36;51
20142;SB11201420356509;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO;144279000368;144279000368;44;44279;77206;LA GUAJIRA;MIXTO;NOCHE;FONSECA;OFICIAL;INSTITUCION EDUCATIVA ROIG Y VILLALBA;COL. BTO. ROIG Y VILLALBA;S;A-;S;44;44279;44;44279;LA GUAJIRA;LA GUAJIRA;Ninguno;27/11/1992;F;26;41.848072;FONSECA;FONSECA;COLOMBIA;NSE2;COLOMBIA;NO;N;Dos;Primaria completa;Primaria completa;Estrato 2;Tres;No;No;No;No;No;36;195;41;42;39;38
20142;SB11201420087543;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;144430000669;144430000669;44;44430;114249;LA GUAJIRA;MIXTO;MAÑANA;MAICAO;OFICIAL;INSTITUCION EDUCATIVA NO. 2;LA INMACULADA - SEDE PRINCIPAL;S;A-;S;44;44430;44;44430;LA GUAJIRA;LA GUAJIRA;Ninguno;02/12/1997;F;11;55.19389;MAICAO;MAICAO;COLOMBIA;NSE3;COLOMBIA;NO;N;Dos;Técnica o tecnológica completa;Educación profesional completa;Estrato 1;Cuatro;No;Si;Si;Si;Si;53;265;47;55;52;54
20142;SB11201420549777;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;144078000599;144078000599;44;44078;31815;LA GUAJIRA;MIXTO;MAÑANA;BARRANCAS;OFICIAL;INSTITUCI¿N EDUCATIVA PAULO VI;PAULO VI;S;A-;S;44;44279;44;44078;LA GUAJIRA;LA GUAJIRA;Ninguno;19/03/1997;M;11;35.047672;FONSECA;BARRANCAS;COLOMBIA;NSE1;COLOMBIA;NO;N;Dos;Primaria completa;Primaria completa;Estrato 1;Cuatro;No;No;No;No;No;49;221;44;35;50;43
20142;SB11201420584162;ESTUDIANTE;TI;RURAL;;A;ACADÉMICO;244847001689;244847001689;44;44847;149369;LA GUAJIRA;MIXTO;MAÑANA;URIBIA;OFICIAL;INSTITUCI¿N ETNOEDUCATIVA INTEGRAL RURAL INTERNADO DE SIAPANA;INSTITUCI¿N ETNOEDUCATIVA INTEGRAL RURAL INTERNADO DE SIAPANA;S;A-;S;44;44847;44;44847;LA GUAJIRA;LA GUAJIRA;;05/04/1997;F;11;30.868965;URIBIA;URIBIA;COLOMBIA;NSE1;COLOMBIA;NO;N;Uno;Primaria incompleta;Ninguno;Estrato 1;Cuatro;No;No;No;No;No;46;230;44;42;48;49
20142;SB11201420332176;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;144279000392;144279000392;44;44279;10264;LA GUAJIRA;MIXTO;MAÑANA;FONSECA;OFICIAL;INSTITUCION EDUCATIVA JUAN JACOBO ARAGON;COLEGIO NACIONAL DE VARONES (JUAN JACOBO ARAGÀN);S;A-;S;44;44279;44;44279;LA GUAJIRA;LA GUAJIRA;Ninguno;07/04/1997;M;11;38.942207;FONSECA;FONSECA;COLOMBIA;NSE1;COLOMBIA;NO;N;Cuatro;Primaria incompleta;Secundaria (Bachillerato) incompleta;Estrato 1;Ocho;No;No;No;No;No;37;222;41;47;48;47
20142;SB11201420020776;ESTUDIANTE;CC;RURAL;N;A;ACADÉMICO;144078000581;144078000581;44;44078;108910;LA GUAJIRA;MIXTO;MAÑANA;BARRANCAS;OFICIAL;INSTITUCION ETNOEDUCATIVA MONTE ALVERNIA;MONTE ALVERNIA;S;A-;S;44;44279;44;44078;LA GUAJIRA;LA GUAJIRA;;07/12/1995;F;11;37.655472;FONSECA;BARRANCAS;COLOMBIA;NSE1;COLOMBIA;NO;N;Cinco;Primaria incompleta;Secundaria (Bachillerato) completa;Estrato 1;Seis;No;No;No;No;No;46;222;43;47;41;44
20142;SB11201420058430;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO;144855000387;144855000387;44;44855;38182;LA GUAJIRA;MIXTO;COMPLETA;URUMITA;OFICIAL;INSTITUCIÓN EDUCATIVA TECNICA AGROPECUARIA DE URUMITA;INST.  EDUCATIVA AGROPECUARIA;S;A-;S;44;44874;44;44855;LA GUAJIRA;LA GUAJIRA;Ninguno;17/09/1998;F;11;45.241882;VILLANUEVA;URUMITA;COLOMBIA;NSE2;COLOMBIA;NO;N;Uno;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 1;Dos;No;No;No;Si;No;48;211;47;41;36;42
20142;SB11201420043956;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;144874000347;144874000347;44;44874;10348;LA GUAJIRA;MIXTO;COMPLETA;VILLANUEVA;OFICIAL;INSTITUCION EDUCATIVA ROQUE DE ALBA;ROQUE DE ALBA;S;A-;S;44;44874;44;44874;LA GUAJIRA;LA GUAJIRA;Ninguno;17/05/1998;F;11;39.284435;VILLANUEVA;VILLANUEVA;COLOMBIA;NSE1;COLOMBIA;NO;N;Uno;Secundaria (Bachillerato) completa;Ninguno;Estrato 1;Tres;Si;No;No;No;No;31;196;44;38;44;42
20142;SB11201420059491;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;144001002106;144001002106;44;44001;114207;LA GUAJIRA;MIXTO;MAÑANA;RIOHACHA;OFICIAL;ECOLOGICA EL CARMEN;EL CARMEN;S;A1;S;44;44001;44;44001;LA GUAJIRA;LA GUAJIRA;Ninguno;27/08/1997;M;11;56.284237;RIOHACHA;RIOHACHA;COLOMBIA;NSE3;COLOMBIA;NO;N;Tres;Técnica o tecnológica completa;Técnica o tecnológica completa;Estrato 1;Cinco;No;Si;Si;Si;Si;41;202;49;40;38;40
20142;SB11201420592349;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;244855000331;244855000331;44;44420;68338;LA GUAJIRA;MIXTO;COMPLETA;LA JAGUA DEL PILAR;OFICIAL;I.E.T. AGROPECUARIA ANAURIO MANJARREZ;I.E.T. AGROPECUARIA ANAURIO MANJARREZ - SEDE PRINCIAPL;S;A1;S;44;44874;44;44001;LA GUAJIRA;LA GUAJIRA;;01/01/1900;;11;;VILLANUEVA;RIOHACHA;COLOMBIA;;COLOMBIA;NO;N;;;;;;;;;;;49;237;49;44;47;49
