periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_ingles;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_depto_presentacion;estu_depto_reside;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_individual;estu_pais_reside;estu_pilopaga;estu_privado_libertad;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_tieneautomovil;fami_tienecomputador;fami_tieneinternet;fami_tienelavadora;fami_tieneserviciotv;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20151;SB11201510000428;ESTUDIANTE;CC;URBANO;S;B;ACADÉMICO;344430001303;344430001303;44;44035;50724;LA GUAJIRA;MIXTO;COMPLETA;ALBANIA;NO OFICIAL;COLEGIO ALBANIA;COLEGIO ALBANIA;S;B1;S;44;44035;44;44035;LA GUAJIRA;LA GUAJIRA;Ninguno;22/01/1997;F;11;65.968933;ALBANIA;ALBANIA;COLOMBIA;NSE4;COLOMBIA;NO;N;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 3;26 A 100 LIBROS;Tres;Si;Si;Si;Si;Si;54;279;78;53;49;60
20151;SB11201510000426;ESTUDIANTE;TI;URBANO;S;B;ACADÉMICO;344430001303;344430001303;44;44035;50724;LA GUAJIRA;MIXTO;COMPLETA;ALBANIA;NO OFICIAL;COLEGIO ALBANIA;COLEGIO ALBANIA;S;B1;S;44;44035;44;44035;LA GUAJIRA;LA GUAJIRA;Ninguno;17/11/1997;F;11;72.82386;ALBANIA;ALBANIA;COLOMBIA;NSE4;COLOMBIA;NO;N;Tres;Secundaria (Bachillerato) completa;Postgrado;Estrato 4;MÁS DE 100 LIBROS;Cuatro;Si;Si;Si;Si;Si;57;289;74;59;50;60
20151;SB11201510045239;ESTUDIANTE;TI;URBANO;N;B;ACADÉMICO;344430001443;344430001443;44;44430;57539;LA GUAJIRA;MIXTO;COMPLETA;MAICAO;NO OFICIAL;COLEGIO COLOMBO ARABE DAR EL ARKAM;COLEGIO COLOMBO ARABE DAR EL ARKAM;S;B1;S;44;44430;44;44430;LA GUAJIRA;LA GUAJIRA;Ninguno;06/09/1998;M;11;64.009857;MAICAO;MAICAO;COLOMBIA;NSE3;COLOMBIA;NO;N;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) incompleta;Estrato 3;26 A 100 LIBROS;Seis;Si;Si;Si;Si;Si;54;267;74;49;67;37
20151;SB11201510045244;ESTUDIANTE;TI;URBANO;N;B;ACADÉMICO;344430001443;344430001443;44;44430;57539;LA GUAJIRA;MIXTO;COMPLETA;MAICAO;NO OFICIAL;COLEGIO COLOMBO ARABE DAR EL ARKAM;COLEGIO COLOMBO ARABE DAR EL ARKAM;S;A1;S;44;44430;44;44430;LA GUAJIRA;LA GUAJIRA;Ninguno;28/10/1998;M;11;58.158463;MAICAO;MAICAO;COLOMBIA;NSE3;COLOMBIA;NO;N;Tres;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 3;11 A 25 LIBROS;Cuatro;No;Si;Si;Si;Si;65;306;49;52;68;64
20151;SB11201510065052;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;244279001008;244279001008;44;44279;45468;LA GUAJIRA;MIXTO;NOCHE;FONSECA;OFICIAL;INSTITUCION EDUCATIVA ERNESTO PARODI MEDINA;COL. BTO. ERNESTO PARODI MEDINA;S;A-;S;44;44001;44;44279;LA GUAJIRA;LA GUAJIRA;Wayúu;11/08/1994;M;26;36.43372;RIOHACHA;FONSECA;COLOMBIA;NSE1;COLOMBIA;NO;N;Dos;Primaria completa;Secundaria (Bachillerato) completa;Estrato 1;0 A 10 LIBROS;Seis;No;No;No;No;No;27;173;42;40;36;33
20151;SB11201510041246;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;244279001008;244279001008;44;44279;45468;LA GUAJIRA;MIXTO;NOCHE;FONSECA;OFICIAL;INSTITUCION EDUCATIVA ERNESTO PARODI MEDINA;COL. BTO. ERNESTO PARODI MEDINA;S;A1;S;20;20001;44;44279;CESAR;LA GUAJIRA;Ninguno;16/09/1993;F;26;36.575905;VALLEDUPAR;FONSECA;COLOMBIA;NSE1;COLOMBIA;NO;N;Uno;Primaria incompleta;Secundaria (Bachillerato) incompleta;Estrato 1;0 A 10 LIBROS;Seis;No;No;No;No;No;35;190;49;45;47;21
20151;SB11201510045262;ESTUDIANTE;TI;URBANO;N;B;ACADÉMICO;344430001443;344430001443;44;44430;57539;LA GUAJIRA;MIXTO;COMPLETA;MAICAO;NO OFICIAL;COLEGIO COLOMBO ARABE DAR EL ARKAM;COLEGIO COLOMBO ARABE DAR EL ARKAM;S;A1;S;44;44430;44;44430;LA GUAJIRA;LA GUAJIRA;Ninguno;23/07/1998;F;11;57.502823;MAICAO;MAICAO;COLOMBIA;NSE3;COLOMBIA;NO;N;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 2;0 A 10 LIBROS;Seis;No;Si;Si;Si;Si;69;319;55;67;52;70
20151;SB11201510049195;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;244279001008;244279001008;44;44279;45468;LA GUAJIRA;MIXTO;NOCHE;FONSECA;OFICIAL;INSTITUCION EDUCATIVA ERNESTO PARODI MEDINA;COL. BTO. ERNESTO PARODI MEDINA;S;A-;S;44;44001;44;44279;LA GUAJIRA;LA GUAJIRA;Ninguno;18/03/1997;M;26;37.510593;RIOHACHA;FONSECA;COLOMBIA;NSE1;COLOMBIA;NO;N;Cuatro;Primaria completa;Primaria completa;Estrato 1;0 A 10 LIBROS;Doce o más;No;No;No;No;No;39;198;38;43;32;45
20151;SB11201510041242;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;244279001008;244279001008;44;44279;45468;LA GUAJIRA;MIXTO;NOCHE;FONSECA;OFICIAL;INSTITUCION EDUCATIVA ERNESTO PARODI MEDINA;COL. BTO. ERNESTO PARODI MEDINA;S;A-;S;20;20001;44;44279;CESAR;LA GUAJIRA;Ninguno;17/05/1997;F;26;29.884731;VALLEDUPAR;FONSECA;COLOMBIA;NSE1;COLOMBIA;NO;N;Dos;Primaria completa;Primaria completa;Estrato 1;0 A 10 LIBROS;Siete;No;No;No;No;No;49;231;42;45;41;51
20151;SB11201510049196;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;244279001008;244279001008;44;44279;45468;LA GUAJIRA;MIXTO;NOCHE;FONSECA;OFICIAL;INSTITUCION EDUCATIVA ERNESTO PARODI MEDINA;COL. BTO. ERNESTO PARODI MEDINA;S;A1;S;20;20001;44;44279;CESAR;LA GUAJIRA;Ninguno;13/02/1997;M;26;38.981419;VALLEDUPAR;FONSECA;COLOMBIA;NSE1;COLOMBIA;NO;N;Dos;Primaria completa;Primaria completa;Estrato 1;0 A 10 LIBROS;Ocho;No;No;No;Si;No;43;193;50;37;47;24
20151;SB11201510041240;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;244279001008;244279001008;44;44279;45468;LA GUAJIRA;MIXTO;NOCHE;FONSECA;OFICIAL;INSTITUCION EDUCATIVA ERNESTO PARODI MEDINA;COL. BTO. ERNESTO PARODI MEDINA;S;A-;S;20;20001;44;44279;CESAR;LA GUAJIRA;Ninguno;23/06/1996;M;26;39.342831;VALLEDUPAR;FONSECA;COLOMBIA;NSE1;COLOMBIA;NO;N;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 2;0 A 10 LIBROS;Seis;No;No;No;No;No;41;235;45;46;50;52
20151;SB11201510041237;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;244279001008;244279001008;44;44279;45468;LA GUAJIRA;MIXTO;NOCHE;FONSECA;OFICIAL;INSTITUCION EDUCATIVA ERNESTO PARODI MEDINA;COL. BTO. ERNESTO PARODI MEDINA;S;A-;S;44;44001;44;44279;LA GUAJIRA;LA GUAJIRA;Ninguno;31/05/1995;M;26;33.992985;RIOHACHA;FONSECA;COLOMBIA;NSE1;COLOMBIA;NO;N;Uno;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 1;0 A 10 LIBROS;Cinco;No;No;No;No;No;33;195;43;44;39;39
20151;SB11201510045260;ESTUDIANTE;TI;URBANO;N;B;ACADÉMICO;344430001443;344430001443;44;44430;57539;LA GUAJIRA;MIXTO;COMPLETA;MAICAO;NO OFICIAL;COLEGIO COLOMBO ARABE DAR EL ARKAM;COLEGIO COLOMBO ARABE DAR EL ARKAM;S;A-;S;44;44430;44;44430;LA GUAJIRA;LA GUAJIRA;Ninguno;16/06/1998;M;11;61.49522;MAICAO;MAICAO;COLOMBIA;NSE3;COLOMBIA;NO;N;Cuatro;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) incompleta;Estrato 3;0 A 10 LIBROS;Siete;No;Si;Si;Si;Si;35;183;49;30;41;36
20151;SB11201510000423;ESTUDIANTE;TI;URBANO;S;B;ACADÉMICO;344430001303;344430001303;44;44035;50724;LA GUAJIRA;MIXTO;COMPLETA;ALBANIA;NO OFICIAL;COLEGIO ALBANIA;COLEGIO ALBANIA;S;B+;S;44;44035;44;44035;LA GUAJIRA;LA GUAJIRA;Ninguno;19/01/1998;F;11;79.319656;ALBANIA;ALBANIA;COLOMBIA;NSE4;COLOMBIA;NO;N;Tres;Postgrado;Postgrado;Estrato 3;MÁS DE 100 LIBROS;Cuatro;Si;Si;Si;Si;Si;55;297;95;64;50;57
20151;SB11201510000430;ESTUDIANTE;CC;URBANO;S;B;ACADÉMICO;344430001303;344430001303;44;44035;50724;LA GUAJIRA;MIXTO;COMPLETA;ALBANIA;NO OFICIAL;COLEGIO ALBANIA;COLEGIO ALBANIA;S;B1;S;44;44035;44;44035;LA GUAJIRA;LA GUAJIRA;Ninguno;30/10/1996;F;11;71.784698;ALBANIA;ALBANIA;COLOMBIA;NSE4;COLOMBIA;NO;N;Dos;Educación profesional completa;Educación profesional completa;Estrato 3;26 A 100 LIBROS;Tres;Si;Si;Si;Si;Si;45;266;80;51;50;58
20151;SB11201510041250;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;244279001008;244279001008;44;44279;45468;LA GUAJIRA;MIXTO;NOCHE;FONSECA;OFICIAL;INSTITUCION EDUCATIVA ERNESTO PARODI MEDINA;COL. BTO. ERNESTO PARODI MEDINA;S;A-;S;20;20001;44;44279;CESAR;LA GUAJIRA;Ninguno;12/03/1996;M;26;37.333504;VALLEDUPAR;FONSECA;COLOMBIA;NSE1;COLOMBIA;NO;N;Dos;Primaria completa;Secundaria (Bachillerato) completa;Estrato 1;0 A 10 LIBROS;Siete;No;No;No;No;No;33;194;33;46;41;37
20151;SB11201510000415;ESTUDIANTE;TI;URBANO;S;B;ACADÉMICO;344430001303;344430001303;44;44035;50724;LA GUAJIRA;MIXTO;COMPLETA;ALBANIA;NO OFICIAL;COLEGIO ALBANIA;COLEGIO ALBANIA;S;B1;S;44;44035;44;44035;LA GUAJIRA;LA GUAJIRA;;12/05/1997;M;11;71.784698;ALBANIA;ALBANIA;COLOMBIA;NSE4;COLOMBIA;NO;N;Tres;Educación profesional completa;Educación profesional completa;Estrato 3;26 A 100 LIBROS;Cuatro;Si;Si;Si;Si;Si;68;304;70;52;58;62
20151;SB11201510045252;ESTUDIANTE;TI;URBANO;N;B;ACADÉMICO;344430001443;344430001443;44;44430;57539;LA GUAJIRA;MIXTO;COMPLETA;MAICAO;NO OFICIAL;COLEGIO COLOMBO ARABE DAR EL ARKAM;COLEGIO COLOMBO ARABE DAR EL ARKAM;S;A2;S;44;44430;44;44430;LA GUAJIRA;LA GUAJIRA;Ninguno;13/07/1998;M;11;66.909988;MAICAO;MAICAO;COLOMBIA;NSE4;COLOMBIA;NO;N;Cuatro;Educación profesional incompleta;Secundaria (Bachillerato) completa;Estrato 3;11 A 25 LIBROS;Siete;Si;Si;Si;Si;Si;54;248;60;46;43;52
20151;SB11201510065056;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;244279001008;244279001008;44;44279;45468;LA GUAJIRA;MIXTO;NOCHE;FONSECA;OFICIAL;INSTITUCION EDUCATIVA ERNESTO PARODI MEDINA;COL. BTO. ERNESTO PARODI MEDINA;S;A-;S;20;20001;44;44279;CESAR;LA GUAJIRA;Ninguno;27/12/1997;F;26;41.320126;VALLEDUPAR;FONSECA;COLOMBIA;NSE2;COLOMBIA;NO;N;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 1;0 A 10 LIBROS;Cinco;No;No;No;No;No;47;238;42;55;38;52
