periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_dedicacioninternet;estu_dedicacionlecturadiaria;estu_depto_presentacion;estu_depto_reside;estu_discapacidad;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_horassemanatrabaja;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_establecimiento;estu_nse_individual;estu_pais_reside;estu_privado_libertad;estu_repite;estu_tieneetnia;estu_tiporemuneracion;fami_comecarnepescadohuevo;fami_comecerealfrutoslegumbre;fami_comelechederivados;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_situacioneconomica;fami_tieneautomovil;fami_tienecomputador;fami_tieneconsolavideojuegos;fami_tienehornomicroogas;fami_tieneinternet;fami_tienelavadora;fami_tienemotocicleta;fami_tieneserviciotv;fami_trabajolabormadre;fami_trabajolaborpadre;percentil_c_naturales;percentil_global;percentil_ingles;percentil_lectura_critica;percentil_matematicas;percentil_sociales_ciudadanas;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas;estu_grupoetnia
20241;SB11202410060890;ESTUDIANTE;TI;URBANO;;A;;347245050381;347245050381;47;47245;97469;MAGDALENA;MIXTO;SABATINA;EL BANCO;NO OFICIAL;INSTITUTO POLITECNICO DEL MAGDALENA;POLITECNICO DEL MAGDALENA;S;2;A-;3;1;2;N;11;11001;13;13074;;;BOGOTÁ;BOLIVAR;N;;14/08/2006;F;26;;;BOGOTÁ D.C.;BARRANCO DE LOBA;COLOMBIA;2;;COLOMBIA;N;0;;;;;;;;;;;;;;;;;;;;;;;23;20;12;33;6;35;44;222;40;54;32;49;NINGUNO
20241;SB11202410055151;ESTUDIANTE;PPT;URBANO;;A;;147189001186;147189001186;47;47189;10694;MAGDALENA;MIXTO;NOCHE;CIÉNAGA;OFICIAL;INSTITUCION EDUCATIVA SAN JUAN DEL CORDOBA;IE SAN JUAN DEL CORDOBA;S;1;A-;2;2;1;N;47;47001;47;47189;;;MAGDALENA;MAGDALENA;N;;21/11/2006;F;26;0;;SANTA MARTA;CIÉNAGA;VENEZUELA;2;;COLOMBIA;N;0;;No;;;;Dos;;;;;5 a 6;Igual;No;No;No;No;;No;Si;;Es vendedor o trabaja en atención al público;Trabaja en el hogar, no trabaja o estudia;15;11;2;18;18;7;40;197;30;46;42;33;NINGUNO
20241;SB11202410000869;ESTUDIANTE;TI;URBANO;;B;;347001051105;347001051105;47;47001;143644;MAGDALENA;MIXTO;MAÑANA;SANTA MARTA;NO OFICIAL;REDCOL - COLEGIO BURECHE;COLEGIO BURECHE;S;2;B+;3;3;3;S;47;47001;47;47001;;;MAGDALENA;MAGDALENA;N;;26/06/2006;M;11;Menos de 10 horas;;SANTA MARTA;SANTA MARTA;COLOMBIA;4;;COLOMBIA;N;0;;Si, en efectivo;;;;Cuatro;;;;;5 a 6;Igual;Si;Si;Si;Si;;Si;No;;Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;27;50;76;63;41;64;46;290;80;64;54;61;NINGUNO
20241;SB11202410013102;ESTUDIANTE;TI;URBANO;;B;;447001004284;447001004284;47;47001;53363;MAGDALENA;MIXTO;COMPLETA;SANTA MARTA;NO OFICIAL;COLEGIO BILINGUE  SANTA MARTA;COL. BILINGUE SANTA MARTA;S;3;B1;4;4;3;S;47;47001;47;47001;Más de 3 horas;30 minutos o menos;MAGDALENA;MAGDALENA;N;;11/03/2006;M;11;0;73.717575;SANTA MARTA;SANTA MARTA;COLOMBIA;4;4;COLOMBIA;N;0;;No;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Tres;Postgrado;Educación profesional completa;Estrato 3;MÁS DE 100 LIBROS;3 a 4;Mejor;Si;Si;Si;Si;Si;Si;No;Si;Trabaja en el hogar, no trabaja o estudia;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);60;76;71;71;86;81;60;339;78;67;73;68;NINGUNO
20241;SB11202410000804;ESTUDIANTE;TI;URBANO;;B;;347001051105;347001051105;47;47001;143644;MAGDALENA;MIXTO;MAÑANA;SANTA MARTA;NO OFICIAL;REDCOL - COLEGIO BURECHE;COLEGIO BURECHE;S;3;B1;4;3;3;S;47;47001;47;47001;Entre 1 y 3 horas;30 minutos o menos;MAGDALENA;MAGDALENA;N;;06/02/2006;M;11;0;73.677025;SANTA MARTA;SANTA MARTA;COLOMBIA;4;4;COLOMBIA;N;0;;No;Todos o casi todos los días;3 a 5 veces por semana;3 a 5 veces por semana;Cuatro;Postgrado;Educación profesional completa;Estrato 6;11 A 25 LIBROS;3 a 4;Igual;Si;Si;Si;Si;Si;Si;Si;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;87;80;71;74;73;78;70;345;78;68;68;67;NINGUNO
20241;SB11202410013115;ESTUDIANTE;TI;URBANO;;B;;447001004284;447001004284;47;47001;53363;MAGDALENA;MIXTO;COMPLETA;SANTA MARTA;NO OFICIAL;COLEGIO BILINGUE  SANTA MARTA;COL. BILINGUE SANTA MARTA;S;3;B+;4;3;2;S;47;47001;47;47001;Más de 3 horas;Entre 30 y 60 minutos;MAGDALENA;MAGDALENA;N;;02/12/2005;F;11;0;75.800217;SANTA MARTA;SANTA MARTA;COLOMBIA;4;4;COLOMBIA;N;0;;No;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Seis o mas;Educación profesional completa;Educación profesional completa;Estrato 6;26 A 100 LIBROS;5 a 6;Igual;Si;Si;Si;Si;Si;Si;No;Si;Trabaja en el hogar, no trabaja o estudia;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);61;61;88;70;57;47;60;312;84;66;62;54;NINGUNO
20241;SB11202410089946;ESTUDIANTE;TI;URBANO;;A;;447001800013;447001800013;47;47001;720110;MAGDALENA;MIXTO;COMPLETA;SANTA MARTA;NO OFICIAL;EUROPEAN SCHOOL DE SANTA MARTA;EUROPEAN SCHOOL DE SANTA MARTA - SEDE PRINCIPAL;S;3;B1;3;3;3;N;47;47001;47;47001;Más de 3 horas;Entre 1 y 2 horas;MAGDALENA;MAGDALENA;N;;19/10/2006;M;11;0;75.272736;SANTA MARTA;SANTA MARTA;COLOMBIA;4;4;COLOMBIA;N;0;;No;3 a 5 veces por semana;Todos o casi todos los días;Todos o casi todos los días;Tres;Postgrado;Educación profesional completa;Estrato 5;11 A 25 LIBROS;5 a 6;Peor;Si;Si;Si;Si;Si;Si;No;No;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja como profesional (por ejemplo médico, abogado, ingeniero);66;63;56;62;57;68;62;317;70;64;62;63;NINGUNO
20241;SB11202410089943;ESTUDIANTE;TI;URBANO;;A;;447001800013;447001800013;47;47001;720110;MAGDALENA;MIXTO;COMPLETA;SANTA MARTA;NO OFICIAL;EUROPEAN SCHOOL DE SANTA MARTA;EUROPEAN SCHOOL DE SANTA MARTA - SEDE PRINCIPAL;S;3;B1;3;3;3;N;47;47001;47;47001;Más de 3 horas;No leo por entretenimiento;MAGDALENA;MAGDALENA;N;;23/08/2007;F;11;Menos de 10 horas;65.036667;SANTA MARTA;SANTA MARTA;COLOMBIA;4;4;COLOMBIA;N;0;;Si, en efectivo;Todos o casi todos los días;1 o 2 veces por semana;3 a 5 veces por semana;Tres;Secundaria (Bachillerato) completa;Educación profesional completa;Estrato 3;0 A 10 LIBROS;3 a 4;Mejor;Si;Si;No;Si;Si;Si;No;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja como profesional (por ejemplo médico, abogado, ingeniero);59;61;60;63;46;74;60;312;73;64;57;65;NINGUNO
20241;SB11202410089940;ESTUDIANTE;TI;URBANO;;A;;447001800013;447001800013;47;47001;720110;MAGDALENA;MIXTO;COMPLETA;SANTA MARTA;NO OFICIAL;EUROPEAN SCHOOL DE SANTA MARTA;EUROPEAN SCHOOL DE SANTA MARTA - SEDE PRINCIPAL;S;3;B+;4;3;4;N;47;47001;47;47001;Más de 3 horas;Entre 30 y 60 minutos;MAGDALENA;MAGDALENA;N;;11/09/2007;F;11;0;62.470917;SANTA MARTA;SANTA MARTA;COLOMBIA;4;3;COLOMBIA;N;0;;No;Todos o casi todos los días;1 o 2 veces por semana;Todos o casi todos los días;Cuatro;Educación profesional completa;Secundaria (Bachillerato) incompleta;Estrato 2;26 A 100 LIBROS;5 a 6;Igual;Si;Si;Si;Si;Si;Si;No;Si;Trabaja en el hogar, no trabaja o estudia;Trabaja por cuenta propia (por ejemplo plomero, electricista);75;79;81;72;65;94;65;344;81;67;65;74;NINGUNO
20241;SB11202410092756;ESTUDIANTE;CC;URBANO;;A;;147001051441;147001051441;47;47001;92072;MAGDALENA;MIXTO;NOCHE;SANTA MARTA;NO OFICIAL;INSTITUTO DE CAPACITACION EDUCATIVA INCED;INSTITUTO DE CAPACITACION EDUCATIVA INCED;S;2;A1;3;2;2;N;47;47001;47;47001;Más de 3 horas;No leo por entretenimiento;MAGDALENA;MAGDALENA;N;;28/07/2000;M;26;Entre 11 y 20 horas;42.808277;SANTA MARTA;SANTA MARTA;COLOMBIA;3;2;COLOMBIA;N;0;;Si, en efectivo;1 o 2 veces por semana;3 a 5 veces por semana;1 o 2 veces por semana;Uno;Secundaria (Bachillerato) completa;Ninguno;Estrato 1;0 A 10 LIBROS;3 a 4;Igual;No;No;No;Si;No;Si;Si;Si;Trabaja en el hogar, no trabaja o estudia;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;22;28;39;37;24;26;43;240;57;55;46;45;NINGUNO
