periodo;estu_consecutivo;estu_estudiante;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_ingles;desemp_profundiza_biologia;desemp_profundiza_csociales;desemp_profundiza_lenguaje;desemp_profundiza_matematica;estu_anoterminobachiller;estu_areareside;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_depto_presentacion;estu_depto_reside;estu_etnia;estu_fechanacimiento;estu_genero;estu_mcpio_presentacion;estu_mcpio_reside;estu_mesterminobachiller;estu_motivo_presentavalidacion;estu_nacionalidad;estu_pais_reside;estu_privado_libertad;estu_puesto;estu_tipodocumento;estu_trabajaactualmente;estu_valorpensioncolegio;estu_vecespresentoexamen;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_ingresofmiliarmensual;fami_nivelsisben;fami_ocupacionmadre;fami_ocupacionpadre;fami_personashogar;fami_pisoshogar;fami_telefono;fami_tiene_celular;fami_tiene_nevera;fami_tiene_serviciotv;fami_tieneautomovil;fami_tienecomputador;fami_tienedvd;fami_tienehorno;fami_tieneinternet;fami_tienelavadora;fami_tienemicroondas;punt_biologia;punt_ciencias_sociales;punt_filosofia;punt_fisica;punt_ingles;punt_interdisc_medioambiente;punt_interdisc_violenciaysoc;punt_lenguaje;punt_matematicas;punt_profundiza_biologia;punt_profundiza_csociales;punt_profundiza_lenguaje;punt_profundiza_matematica;punt_quimica
20101;SB11201010128845;ESTUDIANTE;URBANO;;A;ACADÉMICO;350001006992;350001006992;50;50001;134239;META;MIXTO;SABATINA;VILLAVICENCIO;NO OFICIAL;CENANFO;CENANFO - SEDE PRINCIPAL;S;A-;GB;;;;2010;Cabecera Municipal;50;50001;50;50001;META;META;;09/05/1992;F;VILLAVICENCIO;VILLAVICENCIO;Junio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;910;TI;No;No paga Pensión;Ninguna vez;Dos;Secundaria (Bachillerato) incompleta;Primaria completa;Estrato 1;Entre 1 y menos de 2 SMLV;Nivel 1;Trabajador por cuenta propia;Pequeño empresario;Dos;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;Si;Si;No;No;Si;Si;No;Si;No;41.48;28.18;36.889999;28.190001;42.759998;;42.400002;46.439999;46.77;5;;;;37.650002
20101;SB11201010022690;ESTUDIANTE;URBANO;N;A;ACADÉMICO;350001006852;350001006852;50;50001;106435;META;MIXTO;MAÑANA;VILLAVICENCIO;NO OFICIAL;LICEO REPUBLICA DE COLOMBIA;LICEO REPUBLICA DE COLOMBIA;S;A-;;;GB;;2010;Cabecera Municipal;50;50001;50;50001;META;META;;27/08/1990;M;VILLAVICENCIO;VILLAVICENCIO;Junio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;638;CC;No;Menos de 87.000;Ninguna vez;Tres;Educación profesional completa;Técnica o tecnológica completa;Estrato 3;Entre 1 y menos de 2 SMLV;No está clasificada por el SISBEN;Profesional independiente;Profesional independiente;Tres;Cemento, gravilla, ladrillo;Si;Si;Si;No;Si;Si;Si;Si;Si;Si;Si;39.490002;48.369999;46.23;36.110001;33.220001;50.779999;;44.419998;52.169998;;;3.8;;39.610001
20101;SB11201010022755;ESTUDIANTE;URBANO;N;A;ACADÉMICO;350001006852;350001006852;50;50001;106435;META;MIXTO;MAÑANA;VILLAVICENCIO;NO OFICIAL;LICEO REPUBLICA DE COLOMBIA;LICEO REPUBLICA DE COLOMBIA;S;A1;;;II;;2010;Cabecera Municipal;50;50001;50;50001;META;META;;22/10/1992;M;VILLAVICENCIO;VILLAVICENCIO;Junio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;405;TI;No;Menos de 87.000;Ninguna vez;Tres;Técnica o tecnológica incompleta;Secundaria (Bachillerato) completa;Estrato 3;Entre 1 y menos de 2 SMLV;No está clasificada por el SISBEN;Empleado obrero u operario;Empleado obrero u operario;Tres;Cemento, gravilla, ladrillo;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;51.5;41.900002;53.66;40.060001;46.349998;50.779999;;54.790001;46.77;;;6.3000002;;47.049999
20101;SB11201010024829;ESTUDIANTE;URBANO;N;A;TÉCNICO/ACADÉMICO;150001004621;150001004621;50;50001;79590;META;MIXTO;NOCHE;VILLAVICENCIO;OFICIAL;INSTITUCION EDUCATIVA COL. GUILLERMO NIÑO MEDINA;INSTITUCION EDUCATICA COLEGIO GUILLERMO NIÑO MEDINA;S;A1;;GB;;;2010;Cabecera Municipal;50;50001;11;11001;META;BOGOTÁ;;25/04/1981;F;VILLAVICENCIO;BOGOTÁ D.C.;Junio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;455;CC;No;Menos de 87.000;Ninguna vez;Uno;Secundaria (Bachillerato) completa;Ninguno;;Menos de 1 SMLV;No está clasificada por el SISBEN;Empleado obrero u operario;Trabajador por cuenta propia;Tres;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;No;No;No;No;Si;No;No;No;No;41.48;48.369999;36.889999;48.619999;46.349998;;42.400002;54.790001;46.77;;3;;;43.560001
20101;SB11201010022651;ESTUDIANTE;URBANO;N;A;TÉCNICO/ACADÉMICO;150001004621;150001004621;50;50001;79590;META;MIXTO;NOCHE;VILLAVICENCIO;OFICIAL;INSTITUCION EDUCATIVA COL. GUILLERMO NIÑO MEDINA;INSTITUCION EDUCATICA COLEGIO GUILLERMO NIÑO MEDINA;S;A1;;;;GB;2010;Area Rural;50;50001;50;50001;META;META;;17/03/1992;F;VILLAVICENCIO;VILLAVICENCIO;Junio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;743;TI;No;No paga Pensión;Ninguna vez;Dos;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 1;Entre 1 y menos de 2 SMLV;Nivel 1;Otra actividad u ocupación;Pensionado;Cuatro;Madera burda, tabla, tablón;No;Si;Si;Si;No;No;No;No;No;No;No;41.48;45.509998;33.150002;48.619999;43.48;47.27;;46.439999;40.779999;;;;4.1999998;39.759998
20101;SB11201010022611;ESTUDIANTE;URBANO;;A;ACADÉMICO;350001007107;350001007107;50;50001;147090;META;MIXTO;SABATINA;VILLAVICENCIO;NO OFICIAL;LICEO SANTO TOMÁS;LICEO SANTO TOMÁS - SEDE PRINCIPAL;S;A1;I;;;;2010;Cabecera Municipal;50;50001;50;50001;META;META;;16/06/1993;F;VILLAVICENCIO;VILLAVICENCIO;Junio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;639;TI;No;Menos de 87.000;Ninguna vez;Tres;Primaria completa;Secundaria (Bachillerato) incompleta;Estrato 3;Entre 1 y menos de 2 SMLV;No está clasificada por el SISBEN;Hogar;Pequeño empresario;Cinco;Cemento, gravilla, ladrillo;Si;Si;Si;Si;No;Si;Si;Si;Si;Si;Si;45.639999;49.540001;43.150002;36.700001;43.48;49.290001;;48.57;37.360001;5.9000001;;;;43.560001
20101;SB11201010022615;ESTUDIANTE;URBANO;;A;ACADÉMICO;350001007107;350001007107;50;50001;147090;META;MIXTO;SABATINA;VILLAVICENCIO;NO OFICIAL;LICEO SANTO TOMÁS;LICEO SANTO TOMÁS - SEDE PRINCIPAL;S;A-;;II;;;2010;Cabecera Municipal;50;50001;50;50001;META;META;;08/07/1988;F;VILLAVICENCIO;VILLAVICENCIO;Junio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;797;CC;No;Menos de 87.000;Ninguna vez;Tres;Primaria incompleta;Primaria incompleta;Estrato 1;Entre 1 y menos de 2 SMLV;No está clasificada por el SISBEN;Hogar;Otra actividad u ocupación;Cuatro;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;Si;No;No;No;Si;Si;No;No;No;41.48;37.139999;40.169998;36.700001;33.220001;;35.93;41.98;46.77;;6.3000002;;;41.720001
20101;SB11201010022660;ESTUDIANTE;RURAL;N;A;ACADÉMICO;350001006607;350001006607;50;50001;88146;META;MIXTO;MAÑANA;VILLAVICENCIO;NO OFICIAL;INSTITUTO POLITECNICO AGROINDUSTRIAL;INSTITUTO POLITECNICO AGROINDUSTRIAL;S;A-;;;;GB;2010;Cabecera Municipal;50;50001;50;50001;META;META;;25/03/1993;M;VILLAVICENCIO;VILLAVICENCIO;Junio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;804;TI;No;Entre 87.000 y menos de 120.000;Ninguna vez;Dos;Secundaria (Bachillerato) completa;Primaria completa;Estrato 3;Entre 1 y menos de 2 SMLV;Nivel 2;Hogar;Pequeño empresario;Seis;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;No;Si;Si;Si;Si;Si;Si;Si;43.869999;31.290001;33.5;47.970001;38.779999;51.470001;;48.57;49.549999;;;;4.1999998;37.509998
20101;SB11201010022735;ESTUDIANTE;URBANO;N;A;ACADÉMICO;350001006852;350001006852;50;50001;106435;META;MIXTO;MAÑANA;VILLAVICENCIO;NO OFICIAL;LICEO REPUBLICA DE COLOMBIA;LICEO REPUBLICA DE COLOMBIA;S;A1;;;GB;;2010;Cabecera Municipal;50;50001;50;50001;META;META;;08/11/1992;F;VILLAVICENCIO;VILLAVICENCIO;Junio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;979;TI;No;Menos de 87.000;Ninguna vez;Tres;Técnica o tecnológica completa;Técnica o tecnológica incompleta;Estrato 3;Entre 1 y menos de 2 SMLV;No está clasificada por el SISBEN;Empleado obrero u operario;Empleado obrero u operario;Tres;Cemento, gravilla, ladrillo;Si;Si;Si;Si;No;Si;Si;No;Si;Si;Si;39.490002;37.139999;40.490002;32.27;44.919998;47.27;;36.169998;29.110001;;;4.1999998;;35.169998
20101;SB11201010022694;ESTUDIANTE;URBANO;N;A;ACADÉMICO;350001006852;350001006852;50;50001;106435;META;MIXTO;MAÑANA;VILLAVICENCIO;NO OFICIAL;LICEO REPUBLICA DE COLOMBIA;LICEO REPUBLICA DE COLOMBIA;S;A-;;;;GB;2010;Cabecera Municipal;50;50001;50;50001;META;META;;25/06/1993;M;VILLAVICENCIO;VILLAVICENCIO;Junio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;466;TI;No;Menos de 87.000;Una Vez;Tres;Técnica o tecnológica completa;Técnica o tecnológica completa;Estrato 3;Entre 1 y menos de 2 SMLV;No está clasificada por el SISBEN;Empleado obrero u operario;Empleado obrero u operario;Tres;Cemento, gravilla, ladrillo;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;39.23;51.52;45.93;40.060001;35.25;49.290001;;50.619999;49.52;;;;3.7;50.439999
