periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_dedicacioninternet;estu_dedicacionlecturadiaria;estu_depto_presentacion;estu_depto_reside;estu_discapacidad;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_horassemanatrabaja;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_establecimiento;estu_nse_individual;estu_pais_reside;estu_privado_libertad;estu_repite;estu_tieneetnia;estu_tiporemuneracion;fami_comecarnepescadohuevo;fami_comecerealfrutoslegumbre;fami_comelechederivados;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_situacioneconomica;fami_tieneautomovil;fami_tienecomputador;fami_tieneconsolavideojuegos;fami_tienehornomicroogas;fami_tieneinternet;fami_tienelavadora;fami_tienemotocicleta;fami_tieneserviciotv;fami_trabajolabormadre;fami_trabajolaborpadre;percentil_c_naturales;percentil_global;percentil_ingles;percentil_lectura_critica;percentil_matematicas;percentil_sociales_ciudadanas;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20221;SB11202210037128;ESTUDIANTE;CC;URBANO;;A;;350006800026;350006800026;50;50006;747725;META;MIXTO;SABATINA;ACACÍAS;NO OFICIAL;GIMNASIO INTERACTIVO KAIZEN;GIMNASIO INTERACTIVO KAIZEN - SEDE PRINCIPAL;S;1;A-;1;1;1;N;50;50001;50;50006;30 minutos o menos;30 minutos o menos;META;META;N;;05/02/2002;M;11;Más de 30 horas;59.273083;VILLAVICENCIO;ACACÍAS;COLOMBIA;3;3;COLOMBIA;N;0;No;No;Todos o casi todos los días;3 a 5 veces por semana;3 a 5 veces por semana;Dos;Técnica o tecnológica incompleta;Primaria incompleta;Estrato 2;0 A 10 LIBROS;1 a 2;Igual;No;No;No;No;Si;Si;Si;No;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Es vendedor o trabaja en atención al público;11;3;6;2;6;11;38;173;35;32;33;35
20221;SB11202210030092;ESTUDIANTE;TI;URBANO;;A;ACADÉMICO;350001006933;350001006933;50;50001;127944;META;MIXTO;SABATINA;VILLAVICENCIO;NO OFICIAL;GIMNASIO INTERACTIVO KAIZEN;GIMNASIO INTERACTIVO KAIZEN - SEDE PRINCIPAL;S;1;A2;3;3;2;N;50;50001;50;50001;Entre 1 y 3 horas;30 minutos o menos;META;META;N;;12/09/2004;M;26;0;55.961491;VILLAVICENCIO;VILLAVICENCIO;COLOMBIA;3;3;COLOMBIA;N;0;No;No;Nunca o rara vez comemos eso;3 a 5 veces por semana;Nunca o rara vez comemos eso;Tres;Técnica o tecnológica completa;Primaria completa;Estrato 3;11 A 25 LIBROS;3 a 4;Peor;No;Si;No;No;Si;Si;Si;Si;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Es agricultor, pesquero o jornalero;12;30;42;35;49;23;39;247;58;55;58;43
20221;SB11202210073531;ESTUDIANTE;CC;URBANO;;A;;350001007808;350001007808;50;50001;199182;META;MIXTO;SABATINA;VILLAVICENCIO;NO OFICIAL;COLEGIO LICEO DEL ROSARIO;COLEGIO LICEO DEL ROSARIO - SEDE PRINCIPAL;S;1;A-;1;1;1;N;50;50001;50;50001;Entre 30 y 60 minutos;30 minutos o menos;META;META;N;;15/01/2004;F;26;Entre 11 y 20 horas;52.052334;VILLAVICENCIO;VILLAVICENCIO;COLOMBIA;3;3;COLOMBIA;N;0;No;No;Todos o casi todos los días;1 o 2 veces por semana;1 o 2 veces por semana;Uno;Primaria completa;Primaria incompleta;Estrato 1;26 A 100 LIBROS;3 a 4;Igual;No;No;No;No;Si;Si;No;No;No aplica;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;6;1;5;1;5;3;35;159;33;31;32;29
20221;SB11202210013276;ESTUDIANTE;TI;URBANO;;A;;350006800026;350006800026;50;50006;747725;META;MIXTO;SABATINA;ACACÍAS;NO OFICIAL;GIMNASIO INTERACTIVO KAIZEN;GIMNASIO INTERACTIVO KAIZEN - SEDE PRINCIPAL;S;2;A1;1;2;1;N;50;50001;50;50006;30 minutos o menos;No leo por entretenimiento;META;META;N;;27/01/2005;M;11;0;68.525803;VILLAVICENCIO;ACACÍAS;COLOMBIA;3;4;COLOMBIA;N;0;No;No;Todos o casi todos los días;Todos o casi todos los días;Nunca o rara vez comemos eso;Dos;No sabe;No sabe;Sin Estrato;0 A 10 LIBROS;3 a 4;Igual;Si;Si;Si;Si;Si;Si;No;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja como profesional (por ejemplo médico, abogado, ingeniero);20;10;27;3;18;6;43;197;49;35;44;32
20221;SB11202210001913;ESTUDIANTE;CC;URBANO;;A;ACADÉMICO;350001006933;350001006933;50;50001;127944;META;MIXTO;SABATINA;VILLAVICENCIO;NO OFICIAL;GIMNASIO INTERACTIVO KAIZEN;GIMNASIO INTERACTIVO KAIZEN - SEDE PRINCIPAL;S;2;A1;3;2;2;N;50;50001;50;50001;Entre 30 y 60 minutos;No leo por entretenimiento;META;META;N;;05/03/2003;M;11;Entre 11 y 20 horas;62.320965;VILLAVICENCIO;VILLAVICENCIO;COLOMBIA;3;3;COLOMBIA;N;0;No;Si, en efectivo;Todos o casi todos los días;3 a 5 veces por semana;1 o 2 veces por semana;Cuatro;Secundaria (Bachillerato) completa;Educación profesional completa;Estrato 3;0 A 10 LIBROS;3 a 4;Mejor;Si;Si;Si;Si;Si;Si;No;Si;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;29;33;25;30;30;48;47;255;48;53;50;55
20221;SB11202210043032;ESTUDIANTE;CC;URBANO;;A;;350001800214;350001800214;50;50001;780072;META;MIXTO;SABATINA;VILLAVICENCIO;NO OFICIAL;LICEO TECNOLOGICO DE COLOMBIA;LICEO TECNOLOGICO DEL LLANO;S;3;A-;3;3;2;N;50;50001;50;50001;Entre 1 y 3 horas;No leo por entretenimiento;META;META;N;;15/11/2002;M;11;Menos de 10 horas;56.870564;VILLAVICENCIO;VILLAVICENCIO;COLOMBIA;3;3;COLOMBIA;N;0;No;Si, en efectivo;3 a 5 veces por semana;Todos o casi todos los días;1 o 2 veces por semana;Tres;Técnica o tecnológica completa;Secundaria (Bachillerato) incompleta;Estrato 2;;5 a 6;Igual;No;Si;No;Si;Si;No;Si;No;Trabaja en el hogar, no trabaja o estudia;Trabaja por cuenta propia (por ejemplo plomero, electricista);49;41;20;34;59;36;56;273;46;54;62;49
20221;SB11202210043678;ESTUDIANTE;TI;URBANO;;A;;350001007808;350001007808;50;50001;199182;META;MIXTO;SABATINA;VILLAVICENCIO;NO OFICIAL;COLEGIO LICEO DEL ROSARIO;COLEGIO LICEO DEL ROSARIO - SEDE PRINCIPAL;S;2;A-;2;2;1;N;50;50001;50;50001;Entre 1 y 3 horas;No leo por entretenimiento;META;META;N;;14/10/2004;M;26;Más de 30 horas;56.399281;VILLAVICENCIO;VILLAVICENCIO;COLOMBIA;3;3;COLOMBIA;N;0;No;Si, en efectivo;3 a 5 veces por semana;Todos o casi todos los días;1 o 2 veces por semana;Tres;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) completa;Estrato 2;26 A 100 LIBROS;3 a 4;Igual;No;Si;Si;No;Si;Si;Si;No;Trabaja en el hogar, no trabaja o estudia;Es vendedor o trabaja en atención al público;18;12;14;11;24;5;42;203;42;42;47;31
20221;SB11202210032146;ESTUDIANTE;CC;URBANO;;A;ACADÉMICO;350400800015;350400800015;50;50400;189456;META;MIXTO;SABATINA;LEJANÍAS;NO OFICIAL;INSTITUTO JORGE TADEO LOZANO;INSTITUTO JORGE TADEO LOZANO - SEDE PRINCIPAL;S;1;A-;1;1;1;N;50;50313;50;50400;No Navega Internet;30 minutos o menos;META;META;N;;21/02/2002;M;26;Entre 11 y 20 horas;54.740311;GRANADA;LEJANÍAS;COLOMBIA;3;3;COLOMBIA;N;0;No;Si, en efectivo;1 o 2 veces por semana;3 a 5 veces por semana;;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Sin Estrato;11 A 25 LIBROS;3 a 4;Mejor;No;No;No;Si;No;Si;Si;Si;Trabaja en el hogar, no trabaja o estudia;Es agricultor, pesquero o jornalero;12;4;14;3;2;11;39;175;42;35;28;36
20221;SB11202210035143;ESTUDIANTE;TI;URBANO;;A;ACADÉMICO;350001006933;350001006933;50;50001;127944;META;MIXTO;SABATINA;VILLAVICENCIO;NO OFICIAL;GIMNASIO INTERACTIVO KAIZEN;GIMNASIO INTERACTIVO KAIZEN - SEDE PRINCIPAL;S;2;A1;3;3;2;N;50;50001;50;50001;Entre 30 y 60 minutos;30 minutos o menos;META;META;N;;04/03/2005;F;11;0;55.006592;VILLAVICENCIO;VILLAVICENCIO;COLOMBIA;3;3;COLOMBIA;N;0;No;No;3 a 5 veces por semana;Nunca o rara vez comemos eso;1 o 2 veces por semana;Tres;Secundaria (Bachillerato) completa;Primaria completa;Estrato 2;26 A 100 LIBROS;3 a 4;Igual;No;No;No;No;Si;No;No;Si;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;Es vendedor o trabaja en atención al público;29;35;31;42;34;36;47;257;51;58;52;49
20221;SB11202210033970;ESTUDIANTE;TI;URBANO;N;A;;350001007361;350001007361;50;50001;156802;META;MIXTO;MAÑANA;VILLAVICENCIO;NO OFICIAL;LICEO CRISTIANO LOS ANDES;LICEO CRISTIANO LOS ANDES;S;1;A-;1;1;1;N;50;50001;50;50001;Entre 30 y 60 minutos;30 minutos o menos;META;META;N;;11/05/2004;M;26;Menos de 10 horas;59.633438;VILLAVICENCIO;VILLAVICENCIO;COLOMBIA;3;3;COLOMBIA;N;0;No;Si, en efectivo;1 o 2 veces por semana;Nunca o rara vez comemos eso;Nunca o rara vez comemos eso;Dos;Postgrado;No sabe;Estrato 2;26 A 100 LIBROS;3 a 4;Igual;No;No;No;No;Si;Si;No;No;Trabaja por cuenta propia (por ejemplo plomero, electricista);No aplica;3;3;2;3;7;9;33;168;29;34;35;34
