periodo;estu_consecutivo;estu_estudiante;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_ingles;desemp_profundiza_biologia;desemp_profundiza_csociales;desemp_profundiza_lenguaje;desemp_profundiza_matematica;estu_anoterminobachiller;estu_areareside;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_depto_presentacion;estu_depto_reside;estu_etnia;estu_fechanacimiento;estu_genero;estu_mcpio_presentacion;estu_mcpio_reside;estu_mesterminobachiller;estu_motivo_presentavalidacion;estu_nacionalidad;estu_pais_reside;estu_privado_libertad;estu_puesto;estu_tipodocumento;estu_trabajaactualmente;estu_valorpensioncolegio;estu_vecespresentoexamen;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_ingresofmiliarmensual;fami_nivelsisben;fami_ocupacionmadre;fami_ocupacionpadre;fami_personashogar;fami_pisoshogar;fami_telefono;fami_tiene_celular;fami_tiene_nevera;fami_tiene_serviciotv;fami_tieneautomovil;fami_tienecomputador;fami_tienedvd;fami_tienehorno;fami_tieneinternet;fami_tienelavadora;fami_tienemicroondas;punt_biologia;punt_ciencias_sociales;punt_filosofia;punt_fisica;punt_ingles;punt_interdisc_medioambiente;punt_interdisc_violenciaysoc;punt_lenguaje;punt_matematicas;punt_profundiza_biologia;punt_profundiza_csociales;punt_profundiza_lenguaje;punt_profundiza_matematica;punt_quimica
20101;SB11201010116938;ESTUDIANTE;URBANO;N;A;TÉCNICO/ACADÉMICO;354001011720;354001011720;54;54001;95745;NORTE SANTANDER;MIXTO;MAÑANA;CÚCUTA;NO OFICIAL;CENT PRESENCIAL ESTUDIANTIL CENPES;CENT PRESENCIAL ESTUDIANTIL CENPES;S;A-;;;GB;;2010;Cabecera Municipal;54;54001;54;54001;NORTE SANTANDER;NORTE SANTANDER;;27/03/1988;F;CÚCUTA;CÚCUTA;Julio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;830;CC;Si, 20 horas o más a la semana;Menos de 87.000;Ninguna vez;Dos;Técnica o tecnológica incompleta;Primaria completa;Estrato 3;Entre 1 y menos de 2 SMLV;Nivel 2;Hogar;Trabajador por cuenta propia;Tres;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;Si;Si;No;Si;Si;Si;No;No;Si;36.790001;46.27;45.93;48.619999;40.279999;;35.93;39.27;40.779999;;;3.8;;39.759998
20101;SB11201010117778;ESTUDIANTE;URBANO;N;A;ACADÉMICO;354001004758;354001004758;54;54874;100982;NORTE SANTANDER;MIXTO;SABATINA;VILLA DEL ROSARIO;NO OFICIAL;GIMNASIO CAMPESTRE COMFAORIENTE;GIMNASIO CAMPESTRE COMFAORIENTE;S;A-;;;;GB;2010;Cabecera Municipal;54;54001;54;54001;NORTE SANTANDER;NORTE SANTANDER;;21/10/1989;F;CÚCUTA;CÚCUTA;Diciembre;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;626;CC;No;Menos de 87.000;Ninguna vez;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 2;Entre 1 y menos de 2 SMLV;Nivel 1;Hogar;Trabajador por cuenta propia;Cuatro;Cemento, gravilla, ladrillo;Si;Si;Si;No;No;No;Si;No;No;No;No;43.610001;47.540001;56.169998;32.84;33.220001;47.27;;50.619999;43.880001;;;;3.7;41.720001
20101;SB11201010038012;ESTUDIANTE;URBANO;N;A;ACADÉMICO;354001011364;354001011364;54;54001;97550;NORTE SANTANDER;MIXTO;NOCHE;CÚCUTA;NO OFICIAL;COL EDUC FORMAL POR CICLOS ADULTOS COLOMBO BRITANICO;COL EDUC FORMAL POR CICLOS ADULTOS COLOMBO BRITANICO;S;A-;;;I;;2010;Cabecera Municipal;54;54001;54;54001;NORTE SANTANDER;NORTE SANTANDER;;16/03/1991;M;CÚCUTA;CÚCUTA;Diciembre;Para prepararse para el examen de Estado;COLOMBIA;COLOMBIA;N;818;TI;Si, 20 horas o más a la semana;Menos de 87.000;Ninguna vez;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) incompleta;Estrato 3;Entre 1 y menos de 2 SMLV;No está clasificada por el SISBEN;Otra actividad u ocupación;Otra actividad u ocupación;Cuatro;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;Si;Si;Si;No;Si;No;No;Si;No;41.75;39.580002;43.459999;47.970001;28.639999;52.16;;50.849998;33.720001;;;4.5999999;;39.610001
20101;SB11201010126247;ESTUDIANTE;URBANO;N;A;ACADÉMICO;354001004758;354001004758;54;54874;100982;NORTE SANTANDER;MIXTO;SABATINA;VILLA DEL ROSARIO;NO OFICIAL;GIMNASIO CAMPESTRE COMFAORIENTE;GIMNASIO CAMPESTRE COMFAORIENTE;S;A-;;;;I;2010;Area Rural;54;54001;54;54001;NORTE SANTANDER;NORTE SANTANDER;;16/03/1990;F;CÚCUTA;CÚCUTA;Diciembre;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;331;CC;No;Menos de 87.000;Ninguna vez;Cuatro;Primaria completa;Primaria completa;Estrato 2;Entre 1 y menos de 2 SMLV;Nivel 1;Hogar;Trabajador por cuenta propia;Siete;Cemento, gravilla, ladrillo;Si;Si;Si;No;No;No;No;No;No;No;No;55.630001;53.5;43.459999;45.299999;33.220001;50.779999;;56.52;46.84;;;;4.5999999;51.98
20101;SB11201010124880;ESTUDIANTE;URBANO;N;A;ACADÉMICO;354001010278;354001010278;54;54001;92395;NORTE SANTANDER;MIXTO;SABATINA;CÚCUTA;NO OFICIAL;INST EDUC REGIONAL INTER;INST EDUC REGIONAL INTER;S;A-;GB;;;;2010;Cabecera Municipal;54;54498;54;54498;NORTE SANTANDER;NORTE SANTANDER;;15/12/1989;F;OCAÑA;OCAÑA;Julio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;500;CC;Si, 20 horas o más a la semana;Menos de 87.000;Ninguna vez;Tres;Secundaria (Bachillerato) incompleta;Primaria completa;Estrato 1;Menos de 1 SMLV;Nivel 1;Trabajador por cuenta propia;Empleado obrero u operario;Cinco;Cemento, gravilla, ladrillo;No;Si;Si;Si;No;No;No;No;No;No;No;45.900002;43.43;43.459999;39.450001;40.279999;52.16;;56.52;43.990002;4.0999999;;;;41.560001
20101;SB11201010118394;ESTUDIANTE;URBANO;N;A;TÉCNICO/ACADÉMICO;354001011720;354001011720;54;54001;95745;NORTE SANTANDER;MIXTO;MAÑANA;CÚCUTA;NO OFICIAL;CENT PRESENCIAL ESTUDIANTIL CENPES;CENT PRESENCIAL ESTUDIANTIL CENPES;S;A-;;I;;;2010;Cabecera Municipal;54;54001;54;54001;NORTE SANTANDER;NORTE SANTANDER;;25/04/1983;F;CÚCUTA;CÚCUTA;Julio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;711;CC;Si, 20 horas o más a la semana;Menos de 87.000;Ninguna vez;Tres;No sabe;No sabe;Estrato 2;Entre 1 y menos de 2 SMLV;Nivel 1;Otra actividad u ocupación;Otra actividad u ocupación;Tres;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;Si;No;No;No;Si;Si;No;Si;No;49.560001;44.119999;40.169998;28.190001;35.25;;39.41;48.810001;43.880001;;5.0999999;;;43.560001
20101;SB11201010128384;ESTUDIANTE;URBANO;N;A;ACADÉMICO;354518001490;354518001490;54;54518;105197;NORTE SANTANDER;MIXTO;SABATINA;PAMPLONA;NO OFICIAL;I.E. COLEGIO LUIS CARLOS GALÁN SARMIENTO;I.E. COLEGIO LUIS CARLOS GALÁN SARMIENTO - SEDE PRINCIPAL;S;A1;GB;;;;2010;Cabecera Municipal;54;54518;54;54518;NORTE SANTANDER;NORTE SANTANDER;;14/02/1994;M;PAMPLONA;PAMPLONA;Julio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;290;TI;No;Entre 87.000 y menos de 120.000;Ninguna vez;Cuatro;Educación profesional completa;Educación profesional completa;Estrato 2;Entre 1 y menos de 2 SMLV;Nivel 2;Otra actividad u ocupación;Otra actividad u ocupación;Cuatro;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;Si;45.639999;49.540001;45.93;43.110001;50.66;53.639999;;52.610001;49.52;5;;;;48.740002
20101;SB11201010117103;ESTUDIANTE;URBANO;N;A;ACADÉMICO;354001004758;354001004758;54;54874;100982;NORTE SANTANDER;MIXTO;SABATINA;VILLA DEL ROSARIO;NO OFICIAL;GIMNASIO CAMPESTRE COMFAORIENTE;GIMNASIO CAMPESTRE COMFAORIENTE;S;A-;I;;;;2010;Area Rural;54;54001;54;54001;NORTE SANTANDER;NORTE SANTANDER;;12/04/1992;M;CÚCUTA;CÚCUTA;Diciembre;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;971;TI;No;Menos de 87.000;Ninguna vez;Cuatro;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) completa;Estrato 2;Entre 1 y menos de 2 SMLV;Nivel 1;Hogar;Trabajador por cuenta propia;Seis;Cemento, gravilla, ladrillo;No;Si;Si;No;No;No;No;No;No;No;No;45.900002;36.630001;23.18;39.450001;41.610001;;39.41;35.889999;43.990002;6.1999998;;;;32.490002
20101;SB11201010119565;ESTUDIANTE;URBANO;N;A;ACADÉMICO;354518001490;354518001490;54;54518;105197;NORTE SANTANDER;MIXTO;SABATINA;PAMPLONA;NO OFICIAL;I.E. COLEGIO LUIS CARLOS GALÁN SARMIENTO;I.E. COLEGIO LUIS CARLOS GALÁN SARMIENTO - SEDE PRINCIPAL;S;A-;I;;;;2010;Cabecera Municipal;54;54518;54;54518;NORTE SANTANDER;NORTE SANTANDER;;04/09/1994;M;PAMPLONA;PAMPLONA;Julio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;770;TI;No;Entre 87.000 y menos de 120.000;Ninguna vez;Seis;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 2;Entre 1 y menos de 2 SMLV;Nivel 2;Otra actividad u ocupación;Otra actividad u ocupación;Cuatro;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;No;Si;Si;No;Si;Si;Si;43.869999;49.540001;43.459999;42.48;33.220001;49.290001;;44.169998;40.93;5.5999999;;;;32.490002
20101;SB11201010118424;ESTUDIANTE;URBANO;N;A;ACADÉMICO;354518001490;354518001490;54;54518;105197;NORTE SANTANDER;MIXTO;SABATINA;PAMPLONA;NO OFICIAL;I.E. COLEGIO LUIS CARLOS GALÁN SARMIENTO;I.E. COLEGIO LUIS CARLOS GALÁN SARMIENTO - SEDE PRINCIPAL;S;A-;GB;;;;2010;Cabecera Municipal;54;54518;54;54518;NORTE SANTANDER;NORTE SANTANDER;;18/12/1991;M;PAMPLONA;PAMPLONA;Julio;Para ingresar a la educación superior;COLOMBIA;COLOMBIA;N;782;CR;No;Entre 87.000 y menos de 120.000;Ninguna vez;Cuatro;No sabe;No sabe;Estrato 2;Entre 1 y menos de 2 SMLV;Nivel 2;Otra actividad u ocupación;Otra actividad u ocupación;Cuatro;Madera pulida, baldosa, tableta, mármol, alfombra;No;No;Si;Si;No;Si;Si;No;No;No;No;41.48;39.02;36.889999;40.060001;37.099998;;31.51;44.169998;40.779999;4.5999999;;;;39.759998
