periodo;estu_consecutivo;estu_estudiante;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_ingles;desemp_profundiza_biologia;desemp_profundiza_csociales;desemp_profundiza_lenguaje;desemp_profundiza_matematica;estu_anomatriculaprimero;estu_anomatriculasexto;estu_anoscolegioactual;estu_anospreescolar;estu_anoterminobachiller;estu_anoterminoquinto;estu_antecedentes;estu_areareside;estu_cod_depto_presentacion;estu_cod_iesdeseada;estu_cod_mcpio_presentacion;estu_cod_mcpioiesdeseada;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_cuantoscolegioestudio;estu_depto_presentacion;estu_depto_reside;estu_etnia;estu_fechanacimiento;estu_genero;estu_iesdeseada;estu_instporamigosestudiando;estu_instporcostomatricula;estu_instporoportunidades;estu_instporotrarazon;estu_instporprestigio;estu_instporubicacion;estu_instporunicaqueofrece;estu_mcpio_presentacion;estu_mcpio_reside;estu_mcpioiesdeseada;estu_mesterminobachiller;estu_motivo_presentavalidacion;estu_nacionalidad;estu_pais_reside;estu_privado_libertad;estu_puesto;estu_razonretirocolegio;estu_reprobocuarto;estu_reprobodecimo;estu_reprobonoveno;estu_reprobooctavo;estu_reprobooncemas;estu_reproboprimero;estu_reproboquinto;estu_reprobosegundo;estu_reproboseptimo;estu_reprobosexto;estu_reprobotercero;estu_seretirocolegio;estu_tipocarreradeseada;estu_tipodocumento;estu_totalalumnoscurso;estu_trabajaactualmente;estu_valorpensioncolegio;estu_vecespresentoexamen;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_ingresofmiliarmensual;fami_nivelsisben;fami_ocupacionmadre;fami_ocupacionpadre;fami_personashogar;fami_pisoshogar;fami_telefono;fami_tiene_celular;fami_tiene_nevera;fami_tiene_serviciotv;fami_tieneautomovil;fami_tienecomputador;fami_tienedvd;fami_tienehorno;fami_tieneinternet;fami_tienelavadora;fami_tienemicroondas;punt_biologia;punt_ciencias_sociales;punt_filosofia;punt_fisica;punt_ingles;punt_interdisc_medioambiente;punt_interdisc_violenciaysoc;punt_lenguaje;punt_matematicas;punt_profundiza_biologia;punt_profundiza_csociales;punt_profundiza_lenguaje;punt_profundiza_matematica;punt_quimica
20111;SB11201110026860;ESTUDIANTE;URBANO;;A;ACADÉMICO;354001011681;354001011681;54;54001;135210;NORTE SANTANDER;MIXTO;SABATINA;CÚCUTA;NO OFICIAL;INST EDUC FORMAL DE ADULTOS PROYECCION SIGLO XXI;INST EDUC FORMAL DE ADULTOS PROYECCION SIGLO XXI;S;A-;;;;;;;;;;;No;Cabecera Municipal;54;;54001;;54;54001;;NORTE SANTANDER;NORTE SANTANDER;;04/04/1987;M;;;;;;;;;CÚCUTA;CÚCUTA;;;;COLOMBIA;COLOMBIA;N;730;;;;;;;;;;;;;;;CC;;Si, menos de 20 horas a la semana;Menos de 87.000;Ninguna vez;Dos;Primaria incompleta;Primaria incompleta;Estrato 2;Entre 1 y menos de 2 SMLV;Nivel 2;Hogar;Trabajador por cuenta propia;Tres;Cemento, gravilla, ladrillo;Si;Si;Si;No;No;No;Si;No;No;No;No;38.740002;38.09;46.810001;35.009998;38.080002;52.189999;;50.470001;38.939999;;;;;39.599998
20111;SB11201110026941;ESTUDIANTE;URBANO;;A;NO APLICA;554001300011;554001300011;54;54001;118968;NORTE SANTANDER;MIXTO;NOCHE;CÚCUTA;NO OFICIAL;COL INST BOLIVARIANO ESDISE¥OS;COL INST BOLIVARIANO ESDISE¥OS;S;A1;;;;;;;;;;;No;Cabecera Municipal;54;;54001;;54;54001;;NORTE SANTANDER;NORTE SANTANDER;;29/12/1994;F;;;;;;;;;CÚCUTA;CÚCUTA;;;;COLOMBIA;COLOMBIA;N;663;;;;;;;;;;;;;;;TI;;No;Menos de 87.000;Ninguna vez;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 1;Entre 1 y menos de 2 SMLV;Nivel 1;Profesional independiente;Profesional independiente;Cinco;Cemento, gravilla, ladrillo;Si;Si;Si;No;No;No;No;No;No;Si;No;41.07;41.060001;34.580002;38.5;48.860001;;42.419998;47.549999;41.509998;;;;;39.59
20111;SB11201110106934;ESTUDIANTE;URBANO;N;A;ACADÉMICO;354001011967;354001011967;54;54001;84004;NORTE SANTANDER;MIXTO;SABATINA;CÚCUTA;NO OFICIAL;COL ASED;COL ASED;S;A2;;;;;;;;;;;No;Cabecera Municipal;54;;54001;;54;54001;;NORTE SANTANDER;NORTE SANTANDER;;17/12/1993;M;;;;;;;;;CÚCUTA;CÚCUTA;;;;COLOMBIA;COLOMBIA;N;412;;;;;;;;;;;;;;;TI;;No;Entre 87.000 y menos de 120.000;Ninguna vez;Tres;Primaria completa;Secundaria (Bachillerato) completa;Estrato 3;Entre 2 y menos de 3 SMLV;Nivel 2;Trabajador por cuenta propia;Trabajador por cuenta propia;Cuatro;Madera pulida, baldosa, tableta, mármol, alfombra;Si;No;Si;No;No;Si;Si;No;Si;Si;No;41.150002;34.18;48.560001;50.639999;54.639999;;52.580002;51.709999;59.939999;;;;;52.900002
20111;SB11201110027452;ESTUDIANTE;URBANO;N;A;TÉCNICO/ACADÉMICO;354001008583;354001008583;54;54001;121269;NORTE SANTANDER;MIXTO;SABATINA;CÚCUTA;NO OFICIAL;COL BOLIVARIANO DEL NORTE;COL BOLIVARIANO DEL NORTE;S;A-;;I;;;;;;;;;No;Cabecera Municipal;54;;54001;;54;54001;;NORTE SANTANDER;NORTE SANTANDER;;09/05/1987;F;;;;;;;;;CÚCUTA;CÚCUTA;;;;COLOMBIA;COLOMBIA;N;861;;;;;;;;;;;;;;;CC;;Si, menos de 20 horas a la semana;Menos de 87.000;Ninguna vez;Tres;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 2;Entre 1 y menos de 2 SMLV;Nivel 2;Hogar;Trabajador por cuenta propia;Cuatro;Cemento, gravilla, ladrillo;No;Si;Si;Si;No;No;No;Si;No;No;No;30.27;43.09;22.33;43.040001;39.869999;;;49.610001;39.16;;5;;;35.529999
20111;SB11201110026989;ESTUDIANTE;URBANO;N;A;ACADÉMICO;354001011357;354001011357;54;54001;103622;NORTE SANTANDER;MIXTO;MAÑANA;CÚCUTA;NO OFICIAL;INSTITUCIÓN HUMANÍSTICA INDEP;INSTITUCIÓN HUMANITARIA INDEP;S;A-;;;GB;;;;;;;;No;Cabecera Municipal;54;;54001;;54;54001;;NORTE SANTANDER;NORTE SANTANDER;;12/07/1993;M;;;;;;;;;CÚCUTA;CÚCUTA;;;;COLOMBIA;COLOMBIA;N;733;;;;;;;;;;;;;;;TI;;No;Menos de 87.000;Ninguna vez;Dos;Técnica o tecnológica completa;Secundaria (Bachillerato) completa;Estrato 2;Entre 1 y menos de 2 SMLV;Nivel 2;Empleado obrero u operario;Trabajador por cuenta propia;Tres;Madera pulida, baldosa, tableta, mármol, alfombra;Si;No;Si;Si;No;No;Si;No;No;No;No;45.400002;42.25;31.82;45.540001;38.080002;;;43.959999;39.16;;;4.0999999;;42.099998
20111;SB11201110026943;ESTUDIANTE;URBANO;;A;NO APLICA;554001300011;554001300011;54;54001;118968;NORTE SANTANDER;MIXTO;NOCHE;CÚCUTA;NO OFICIAL;COL INST BOLIVARIANO ESDISE¥OS;COL INST BOLIVARIANO ESDISE¥OS;S;A-;;;;I;;;;;;;No;Cabecera Municipal;54;;54001;;54;54001;;NORTE SANTANDER;NORTE SANTANDER;;08/06/1994;M;;;;;;;;;CÚCUTA;CÚCUTA;;;;COLOMBIA;COLOMBIA;N;212;;;;;;;;;;;;;;;TI;;Si, 20 horas o más a la semana;Menos de 87.000;Ninguna vez;Dos;No sabe;No sabe;Estrato 2;Entre 1 y menos de 2 SMLV;Nivel 2;Hogar;Profesional independiente;Tres;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;Si;64.459999;56.32;42.110001;45.950001;41.43;;;56.369999;60.139999;;;;5;50.860001
20111;SB11201110027310;ESTUDIANTE;URBANO;;A;ACADÉMICO;354001011681;354001011681;54;54001;135210;NORTE SANTANDER;MIXTO;SABATINA;CÚCUTA;NO OFICIAL;INST EDUC FORMAL DE ADULTOS PROYECCION SIGLO XXI;INST EDUC FORMAL DE ADULTOS PROYECCION SIGLO XXI;S;A1;;;;;;;;;;;No;Cabecera Municipal;54;;54001;;54;54001;;NORTE SANTANDER;NORTE SANTANDER;;09/03/1978;M;;;;;;;;;CÚCUTA;CÚCUTA;;;;COLOMBIA;COLOMBIA;N;835;;;;;;;;;;;;;;;CC;;Si, menos de 20 horas a la semana;Menos de 87.000;Ninguna vez;Dos;Primaria completa;No sabe;Estrato 2;Entre 1 y menos de 2 SMLV;Nivel 2;Hogar;Trabajador por cuenta propia;Cuatro;Cemento, gravilla, ladrillo;Si;Si;Si;No;No;No;Si;No;No;No;No;38.740002;31.049999;42.110001;31.68;43.48;49.060001;;48.439999;38.939999;;;;;37.419998
20111;SB11201110092992;ESTUDIANTE;URBANO;N;A;TÉCNICO/ACADÉMICO;354001011720;354001011720;54;54001;95745;NORTE SANTANDER;MIXTO;MAÑANA;CÚCUTA;NO OFICIAL;CENT PRESENCIAL ESTUDIANTIL CENPES;CENT PRESENCIAL ESTUDIANTIL CENPES;S;A-;;I;;;;;;;;;No;Cabecera Municipal;54;;54001;;54;54001;;NORTE SANTANDER;NORTE SANTANDER;;29/05/1989;F;;;;;;;;;CÚCUTA;CÚCUTA;;;;COLOMBIA;COLOMBIA;N;611;;;;;;;;;;;;;;;CC;;No;Menos de 87.000;Ninguna vez;Cuatro;Secundaria (Bachillerato) incompleta;Técnica o tecnológica completa;Estrato 2;Entre 2 y menos de 3 SMLV;Nivel 2;Trabajador por cuenta propia;Trabajador por cuenta propia;Cuatro;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;No;Si;Si;Si;Si;Si;Si;36.360001;41.060001;38.84;40.73;41.43;;;51.580002;41.689999;;5;;;45.689999
20111;SB11201110026853;ESTUDIANTE;URBANO;;A;ACADÉMICO;354001011681;354001011681;54;54001;135210;NORTE SANTANDER;MIXTO;SABATINA;CÚCUTA;NO OFICIAL;INST EDUC FORMAL DE ADULTOS PROYECCION SIGLO XXI;INST EDUC FORMAL DE ADULTOS PROYECCION SIGLO XXI;S;A-;;;;;;;;;;;No;Cabecera Municipal;54;;54001;;54;54001;;NORTE SANTANDER;NORTE SANTANDER;;23/07/1961;M;;;;;;;;;CÚCUTA;CÚCUTA;;;;COLOMBIA;COLOMBIA;N;297;;;;;;;;;;;;;;;CC;;Si, menos de 20 horas a la semana;Menos de 87.000;Ninguna vez;Cuatro;No sabe;No sabe;Estrato 2;Entre 2 y menos de 3 SMLV;Nivel 2;Hogar;Trabajador por cuenta propia;Siete;Cemento, gravilla, ladrillo;Si;Si;Si;No;No;No;Si;No;No;No;No;51.900002;52.18;59.389999;45.540001;39.869999;53.990002;;56.369999;49.849998;;;;;47.66
20111;SB11201110026893;ESTUDIANTE;URBANO;N;A;ACADÉMICO;354001011364;354001011364;54;54001;97550;NORTE SANTANDER;MIXTO;NOCHE;CÚCUTA;NO OFICIAL;COL EDUC FORMAL POR CICLOS ADULTOS COLOMBO BRITANICO;COL EDUC FORMAL POR CICLOS ADULTOS COLOMBO BRITANICO;S;A-;;;;;;;;;;;No;Cabecera Municipal;54;;54001;;54;54001;;NORTE SANTANDER;NORTE SANTANDER;;02/11/1993;F;;;;;;;;;CÚCUTA;CÚCUTA;;;;COLOMBIA;COLOMBIA;N;864;;;;;;;;;;;;;;;CC;;No;Entre 120.000 y menos de 150.000;Ninguna vez;Tres;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 3;Entre 1 y menos de 2 SMLV;No está clasificada por el SISBEN;Otra actividad u ocupación;Otra actividad u ocupación;Tres;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;38.73;30.620001;34.580002;41.27;36.060001;50.23;;44.02;35.549999;;;;;39.59
