periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_dedicacioninternet;estu_dedicacionlecturadiaria;estu_depto_presentacion;estu_depto_reside;estu_discapacidad;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_horassemanatrabaja;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_establecimiento;estu_nse_individual;estu_pais_reside;estu_pilopaga;estu_privado_libertad;estu_repite;estu_tieneetnia;estu_tiporemuneracion;fami_comecarnepescadohuevo;fami_comecerealfrutoslegumbre;fami_comelechederivados;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_situacioneconomica;fami_tieneautomovil;fami_tienecomputador;fami_tieneconsolavideojuegos;fami_tienehornomicroogas;fami_tieneinternet;fami_tienelavadora;fami_tienemotocicleta;fami_tieneserviciotv;fami_trabajolabormadre;fami_trabajolaborpadre;percentil_c_naturales;percentil_global;percentil_ingles;percentil_lectura_critica;percentil_matematicas;percentil_sociales_ciudadanas;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20181;SB11201810046785;ESTUDIANTE;TI;URBANO;;A;;354001012483;354001012483;54;54001;708115;NORTE SANTANDER;MIXTO;SABATINA;CÚCUTA;NO OFICIAL;INSTITUTO DE EDUCACION DE ADULTOS COMFAORIENTE;INSTITUTO DE EDUCACION DE ADULTOS COMFAORIENTE - SEDE PRINCIPAL;S;1;A-;1;2;1;N;54;54001;54;54001;Más de 3 horas;No leo por entretenimiento;NORTE SANTANDER;NORTE SANTANDER;N;;06/03/1999;M;26;Más de 30 horas;48.474453;CÚCUTA;CÚCUTA;COLOMBIA;2;NSE2;COLOMBIA;NO;N;0;No;Si, en efectivo;3 a 5 veces por semana;1 o 2 veces por semana;3 a 5 veces por semana;Tres;Técnica o tecnológica completa;Primaria incompleta;Estrato 1;11 A 25 LIBROS;3 a 4;Mejor;No;No;Si;Si;Si;Si;Si;Si;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;4;5;12;1;34;2;34;183;38;33;50;29
20181;SB11201810048616;ESTUDIANTE;CC;RURAL;;A;ACADÉMICO;454001011597;454001011597;54;54001;127928;NORTE SANTANDER;MIXTO;SABATINA;CÚCUTA;NO OFICIAL;INST PEDAG OCUPACIONAL INPO;INST PEDAG OCUPACIONAL - SEDE PRINCIPAL;S;2;A-;3;2;3;N;54;54001;54;54001;30 minutos o menos;30 minutos o menos;NORTE SANTANDER;NORTE SANTANDER;N;;04/02/1991;F;26;0;40.287651;CÚCUTA;CÚCUTA;COLOMBIA;2;NSE1;COLOMBIA;NO;N;0;No;No;Todos o casi todos los días;Todos o casi todos los días;3 a 5 veces por semana;Cuatro;Primaria incompleta;Primaria incompleta;Estrato 2;0 A 10 LIBROS;;Igual;;No;No;No;No;Si;No;No;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;43;37;20;29;34;50;54;263;43;53;50;57
20181;SB11201810048689;ESTUDIANTE;CC;RURAL;;A;ACADÉMICO;454001011597;454001011597;54;54001;127928;NORTE SANTANDER;MIXTO;SABATINA;CÚCUTA;NO OFICIAL;INST PEDAG OCUPACIONAL INPO;INST PEDAG OCUPACIONAL - SEDE PRINCIPAL;S;2;A1;3;2;3;N;54;54001;54;54001;Entre 30 y 60 minutos;Entre 30 y 60 minutos;NORTE SANTANDER;NORTE SANTANDER;N;;05/06/1985;F;26;Más de 30 horas;50.5215;CÚCUTA;CÚCUTA;COLOMBIA;2;NSE2;COLOMBIA;NO;N;0;No;Si, en efectivo;Todos o casi todos los días;3 a 5 veces por semana;Todos o casi todos los días;Cuatro;Primaria completa;Primaria incompleta;Estrato 2;11 A 25 LIBROS;5 a 6;Igual;No;Si;No;No;Si;Si;No;Si;Trabaja en el hogar, no trabaja o estudia;Trabaja por cuenta propia (por ejemplo plomero, electricista);25;33;32;29;30;49;46;254;51;52;48;57
20181;SB11201810037498;ESTUDIANTE;CC;RURAL;;A;ACADÉMICO;454001011597;454001011597;54;54001;127928;NORTE SANTANDER;MIXTO;SABATINA;CÚCUTA;NO OFICIAL;INST PEDAG OCUPACIONAL INPO;INST PEDAG OCUPACIONAL - SEDE PRINCIPAL;S;1;A-;3;1;1;N;54;54001;54;54001;Entre 30 y 60 minutos;Más de 2 horas;NORTE SANTANDER;NORTE SANTANDER;N;;06/08/1990;F;26;Entre 11 y 20 horas;51.098969;CÚCUTA;CÚCUTA;COLOMBIA;2;NSE2;COLOMBIA;NO;N;0;No;No;3 a 5 veces por semana;1 o 2 veces por semana;Nunca o rara vez comemos eso;Cuatro;No Aplica;Postgrado;Estrato 3;26 A 100 LIBROS;3 a 4;Mejor;No;Si;No;No;Si;No;Si;Si;Es vendedor o trabaja en atención al público;Es vendedor o trabaja en atención al público;10;11;15;26;7;12;38;202;41;51;34;38
20181;SB11201810015698;ESTUDIANTE;CC;RURAL;;A;ACADÉMICO;454001011597;454001011597;54;54001;127928;NORTE SANTANDER;MIXTO;SABATINA;CÚCUTA;NO OFICIAL;INST PEDAG OCUPACIONAL INPO;INST PEDAG OCUPACIONAL - SEDE PRINCIPAL;S;1;A-;2;1;2;N;85;85001;85;85410;;;CASANARE;CASANARE;N;;22/04/1979;F;26;Entre 21 y 30 horas;47.232231;YOPAL;TAURAMENA;COLOMBIA;2;NSE2;COLOMBIA;NO;N;0;No;Si, en efectivo y especie;;;;Tres;Primaria incompleta;Primaria incompleta;Estrato 2;0 A 10 LIBROS;3 a 4;Igual;Si;Si;No;No;Si;;;No;Trabaja en el hogar, no trabaja o estudia;Trabaja en el hogar, no trabaja o estudia;9;8;1;8;8;24;38;192;24;41;34;45
20181;SB11201810047006;ESTUDIANTE;CC;URBANO;;A;;354001012483;354001012483;54;54001;708115;NORTE SANTANDER;MIXTO;SABATINA;CÚCUTA;NO OFICIAL;INSTITUTO DE EDUCACION DE ADULTOS COMFAORIENTE;INSTITUTO DE EDUCACION DE ADULTOS COMFAORIENTE - SEDE PRINCIPAL;S;2;A-;2;2;2;N;54;54001;54;54001;No Navega Internet;30 minutos o menos;NORTE SANTANDER;NORTE SANTANDER;N;;25/03/1978;F;26;;36.820404;CÚCUTA;CÚCUTA;COLOMBIA;2;NSE1;COLOMBIA;NO;N;0;No;;3 a 5 veces por semana;3 a 5 veces por semana;1 o 2 veces por semana;Uno;Primaria incompleta;Primaria incompleta;Estrato 1;0 A 10 LIBROS;3 a 4;Peor;No;No;No;No;No;Si;Si;No;Trabaja en el hogar, no trabaja o estudia;Es agricultor, pesquero o jornalero;29;16;12;3;30;17;48;214;38;36;48;41
20181;SB11201810032120;ESTUDIANTE;CC;RURAL;;A;ACADÉMICO;454001011597;454001011597;54;54001;127928;NORTE SANTANDER;MIXTO;SABATINA;CÚCUTA;NO OFICIAL;INST PEDAG OCUPACIONAL INPO;INST PEDAG OCUPACIONAL - SEDE PRINCIPAL;S;2;A1;3;2;2;N;54;54001;54;54001;Más de 3 horas;No leo por entretenimiento;NORTE SANTANDER;NORTE SANTANDER;N;;02/08/1999;M;26;0;65.034729;CÚCUTA;CÚCUTA;COLOMBIA;2;NSE4;COLOMBIA;NO;N;0;No;No;Todos o casi todos los días;3 a 5 veces por semana;1 o 2 veces por semana;Dos;Educación profesional completa;Educación profesional completa;Estrato 3;MÁS DE 100 LIBROS;3 a 4;Igual;No;Si;No;Si;Si;Si;No;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja como profesional (por ejemplo médico, abogado, ingeniero);23;21;43;26;12;18;45;226;57;52;38;42
20181;SB11201810029064;ESTUDIANTE;CC;RURAL;;A;ACADÉMICO;454001011597;454001011597;54;54001;127928;NORTE SANTANDER;MIXTO;SABATINA;CÚCUTA;NO OFICIAL;INST PEDAG OCUPACIONAL INPO;INST PEDAG OCUPACIONAL - SEDE PRINCIPAL;S;2;A-;2;2;2;N;54;54001;54;54001;30 minutos o menos;30 minutos o menos;NORTE SANTANDER;NORTE SANTANDER;N;;30/12/1992;F;26;Entre 21 y 30 horas;49.690002;CÚCUTA;CÚCUTA;COLOMBIA;2;NSE2;COLOMBIA;NO;N;0;No;Si, en efectivo;Todos o casi todos los días;Todos o casi todos los días;1 o 2 veces por semana;Dos;Primaria incompleta;Primaria incompleta;Estrato 2;26 A 100 LIBROS;3 a 4;Mejor;No;Si;No;No;Si;Si;Si;Si;Trabaja en el hogar, no trabaja o estudia;No aplica;24;22;12;15;24;33;45;229;38;46;45;50
20181;SB11201810046817;ESTUDIANTE;CC;URBANO;;A;;354001012483;354001012483;54;54001;708115;NORTE SANTANDER;MIXTO;SABATINA;CÚCUTA;NO OFICIAL;INSTITUTO DE EDUCACION DE ADULTOS COMFAORIENTE;INSTITUTO DE EDUCACION DE ADULTOS COMFAORIENTE - SEDE PRINCIPAL;S;1;A-;2;1;2;N;54;54001;54;54001;;;NORTE SANTANDER;NORTE SANTANDER;N;;15/04/1967;F;26;Menos de 10 horas;34.765385;CÚCUTA;CÚCUTA;COLOMBIA;2;NSE1;COLOMBIA;NO;N;0;No;No;;;;Uno;;;;;3 a 4;Igual;No;No;No;No;;No;No;;No aplica;No aplica;2;9;3;22;7;24;31;195;30;50;33;45
20181;SB11201810031255;ESTUDIANTE;TI;RURAL;;A;ACADÉMICO;454001011597;454001011597;54;54001;127928;NORTE SANTANDER;MIXTO;SABATINA;CÚCUTA;NO OFICIAL;INST PEDAG OCUPACIONAL INPO;INST PEDAG OCUPACIONAL - SEDE PRINCIPAL;S;1;A-;2;1;1;N;54;54498;54;54498;Entre 1 y 3 horas;No leo por entretenimiento;NORTE SANTANDER;NORTE SANTANDER;N;;20/11/2000;F;26;0;45.148048;OCAÑA;OCAÑA;COLOMBIA;2;NSE2;COLOMBIA;NO;N;0;No;No;1 o 2 veces por semana;Nunca o rara vez comemos eso;Nunca o rara vez comemos eso;Uno;Secundaria (Bachillerato) completa;Ninguno;Estrato 1;0 A 10 LIBROS;1 a 2;Mejor;Si;No;No;Si;No;Si;Si;Si;Es vendedor o trabaja en atención al público;Es operario de máquinas o conduce vehículos (taxita, chofer);1;1;3;4;1;2;29;147;29;37;22;30
