periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_dedicacioninternet;estu_dedicacionlecturadiaria;estu_depto_presentacion;estu_depto_reside;estu_discapacidad;estu_etnia;estu_fechanacimiento;estu_generacione;estu_genero;estu_grado;estu_horassemanatrabaja;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_establecimiento;estu_nse_individual;estu_pais_reside;estu_privado_libertad;estu_repite;estu_tieneetnia;estu_tiporemuneracion;fami_comecarnepescadohuevo;fami_comecerealfrutoslegumbre;fami_comelechederivados;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_situacioneconomica;fami_tieneautomovil;fami_tienecomputador;fami_tieneconsolavideojuegos;fami_tienehornomicroogas;fami_tieneinternet;fami_tienelavadora;fami_tienemotocicleta;fami_tieneserviciotv;fami_trabajolabormadre;fami_trabajolaborpadre;percentil_c_naturales;percentil_global;percentil_ingles;percentil_lectura_critica;percentil_matematicas;percentil_sociales_ciudadanas;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20201;SB11202010062568;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;354001012076;354001012076;54;54001;160796;NORTE SANTANDER;MIXTO;SABATINA;CÚCUTA;NO OFICIAL;ATLANTIS SYSTEM;ATLANTIS SYSTEM - SEDE PRINCIPAL;S;2;A-;2;2;2;N;54;54001;54;54001;;;NORTE SANTANDER;NORTE SANTANDER;N;;29/12/2002;NO;F;11;;;CÚCUTA;CÚCUTA;COLOMBIA;2;;COLOMBIA;N;0;No;;;;;;;;;;;;;;;;;;;;;;23;18;19;20;18;18;46;228;47;49;46;41
20201;SB11202010074217;ESTUDIANTE;PEP;URBANO;N;A;ACADÉMICO;354001012076;354001012076;54;54001;160796;NORTE SANTANDER;MIXTO;SABATINA;CÚCUTA;NO OFICIAL;ATLANTIS SYSTEM;ATLANTIS SYSTEM - SEDE PRINCIPAL;S;2;A-;2;2;2;N;54;54001;;;;;NORTE SANTANDER;;N;;19/03/2002;NO;F;11;;42.945984;CÚCUTA;;COLOMBIA;2;2;COLOMBIA;N;0;;;;;;;;;;;;;;;;;;;;;;;13;18;18;15;16;36;41;227;46;46;44;50
20201;SB11202010072709;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;354001012211;354001012211;54;54001;175968;NORTE SANTANDER;MIXTO;MAÑANA;CÚCUTA;NO OFICIAL;I.E. PARA JÓVENES Y ADULTOS SIN FRONTERAS;INSTITUCIÓN EDUCATIVA SINFRONTERAS - SEDE PRINCIPAL;S;2;A-;3;3;2;N;54;54001;54;54001;Más de 3 horas;30 minutos o menos;NORTE SANTANDER;NORTE SANTANDER;N;;18/12/2002;GENERACION E - GRATUIDAD;M;11;Más de 30 horas;52.219517;CÚCUTA;CÚCUTA;COLOMBIA;2;3;COLOMBIA;N;0;No;Si, en efectivo;Todos o casi todos los días;1 o 2 veces por semana;Todos o casi todos los días;Cuatro;Técnica o tecnológica incompleta;Secundaria (Bachillerato) completa;Estrato 1;0 A 10 LIBROS;5 a 6;Igual;No;Si;No;No;Si;Si;No;Si;No aplica;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;21;26;12;28;30;38;45;248;42;53;52;51
20201;SB11202010074062;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;354001012211;354001012211;54;54001;175968;NORTE SANTANDER;MIXTO;MAÑANA;CÚCUTA;NO OFICIAL;I.E. PARA JÓVENES Y ADULTOS SIN FRONTERAS;INSTITUCIÓN EDUCATIVA SINFRONTERAS - SEDE PRINCIPAL;S;2;A-;2;3;2;N;54;54001;;;;;NORTE SANTANDER;;N;;16/01/2002;GENERACION E - GRATUIDAD;F;11;;34.452602;CÚCUTA;;COLOMBIA;2;1;COLOMBIA;N;0;;;;;;;;;;;;;;;;;;;;;;;33;19;2;11;27;25;51;230;29;44;51;44
20201;SB11202010074026;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;354001012211;354001012211;54;54001;175968;NORTE SANTANDER;MIXTO;MAÑANA;CÚCUTA;NO OFICIAL;I.E. PARA JÓVENES Y ADULTOS SIN FRONTERAS;INSTITUCIÓN EDUCATIVA SINFRONTERAS - SEDE PRINCIPAL;S;2;A-;2;2;2;N;54;54001;;;;;NORTE SANTANDER;;N;;10/03/2000;GENERACION E - GRATUIDAD;F;11;;43.378872;CÚCUTA;;COLOMBIA;2;2;COLOMBIA;N;0;;;;;;;;;;;;;;;;;;;;;;;23;17;12;14;18;24;46;226;41;46;46;44
20201;SB11202010073910;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;354518001481;354518001481;54;54518;103648;NORTE SANTANDER;MIXTO;SABATINA;PAMPLONA;NO OFICIAL;BACHILLERATO DIVERSIFICADO A DISTANCIA PARA ADULTOS DE LA UNAD;BACHILLERATO DIVERSIFICADO A DISTANCIA PARA ADULTOS DE LA UNAD - SEDE PRINCIPAL;S;2;A1;2;3;3;N;54;54518;;;;;NORTE SANTANDER;;N;;26/05/2000;GENERACION E - GRATUIDAD;F;11;;51.464676;PAMPLONA;;COLOMBIA;2;3;COLOMBIA;N;0;;;;;;;;;;;;;;;;;;;;;;;17;29;21;23;29;57;43;254;48;50;52;59
20201;SB11202010048415;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO/ACADÉMICO;154810003020;154810003020;54;54810;717298;NORTE SANTANDER;MIXTO;SABATINA;TIBÚ;OFICIAL;COL INTEG FRANCISCO JOSE DE CALDAS;COL INTEG FRANCISCO JOSE DE CALDAS;S;1;A-;2;1;1;N;54;54810;54;54810;No Navega Internet;No leo por entretenimiento;NORTE SANTANDER;NORTE SANTANDER;N;;09/09/1992;GENERACION E - GRATUIDAD;F;26;0;39.528736;TIBÚ;TIBÚ;COLOMBIA;1;1;COLOMBIA;N;0;No;No;Todos o casi todos los días;Todos o casi todos los días;3 a 5 veces por semana;Dos;Primaria completa;Primaria completa;Sin Estrato;0 A 10 LIBROS;3 a 4;Igual;No;No;No;No;No;No;No;No;Trabaja en el hogar, no trabaja o estudia;Es agricultor, pesquero o jornalero;4;4;5;11;4;8;33;179;33;44;33;34
20201;SB11202010070929;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO/ACADÉMICO;154810003020;154810003020;54;54810;717298;NORTE SANTANDER;MIXTO;SABATINA;TIBÚ;OFICIAL;COL INTEG FRANCISCO JOSE DE CALDAS;COL INTEG FRANCISCO JOSE DE CALDAS;S;1;A-;2;1;1;N;54;54810;54;54810;Entre 1 y 3 horas;Entre 1 y 2 horas;NORTE SANTANDER;NORTE SANTANDER;N;;21/11/1999;GENERACION E - GRATUIDAD;M;26;Más de 30 horas;46.421726;TIBÚ;TIBÚ;COLOMBIA;1;2;COLOMBIA;N;0;No;Si, en efectivo;Todos o casi todos los días;3 a 5 veces por semana;1 o 2 veces por semana;Cuatro;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) completa;Estrato 2;0 A 10 LIBROS;3 a 4;Igual;No;No;No;Si;Si;Si;No;No;Trabaja por cuenta propia (por ejemplo plomero, electricista);Es agricultor, pesquero o jornalero;2;2;2;4;2;10;31;162;28;37;28;35
20201;SB11202010072863;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;354001012211;354001012211;54;54001;175968;NORTE SANTANDER;MIXTO;MAÑANA;CÚCUTA;NO OFICIAL;I.E. PARA JÓVENES Y ADULTOS SIN FRONTERAS;INSTITUCIÓN EDUCATIVA SINFRONTERAS - SEDE PRINCIPAL;S;1;A1;2;2;1;N;54;54001;54;54001;Entre 1 y 3 horas;No leo por entretenimiento;NORTE SANTANDER;NORTE SANTANDER;N;;17/11/1999;GENERACION E - GRATUIDAD;M;11;Entre 21 y 30 horas;55.351997;CÚCUTA;CÚCUTA;COLOMBIA;2;3;COLOMBIA;N;0;No;No;Todos o casi todos los días;1 o 2 veces por semana;1 o 2 veces por semana;Cinco;No sabe;Primaria completa;Estrato 2;;5 a 6;Igual;Si;Si;No;Si;Si;Si;No;Si;Trabaja en el hogar, no trabaja o estudia;Pensionado;11;9;21;6;12;10;39;197;48;39;41;36
20201;SB11202010072691;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;354001012211;354001012211;54;54001;175968;NORTE SANTANDER;MIXTO;MAÑANA;CÚCUTA;NO OFICIAL;I.E. PARA JÓVENES Y ADULTOS SIN FRONTERAS;INSTITUCIÓN EDUCATIVA SINFRONTERAS - SEDE PRINCIPAL;S;2;A1;3;3;2;N;54;54001;54;54001;Entre 1 y 3 horas;30 minutos o menos;NORTE SANTANDER;NORTE SANTANDER;N;;23/12/2002;GENERACION E - GRATUIDAD;M;11;Más de 30 horas;56.860634;CÚCUTA;CÚCUTA;COLOMBIA;2;3;COLOMBIA;N;0;No;Si, en efectivo;Todos o casi todos los días;3 a 5 veces por semana;3 a 5 veces por semana;Cuatro;Secundaria (Bachillerato) completa;Educación profesional completa;Estrato 3;0 A 10 LIBROS;5 a 6;Mejor;Si;Si;No;Si;Si;Si;No;Si;Trabaja en el hogar, no trabaja o estudia;Trabaja por cuenta propia (por ejemplo plomero, electricista);15;28;31;30;29;40;42;252;55;54;52;52
