periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_dedicacioninternet;estu_dedicacionlecturadiaria;estu_depto_presentacion;estu_depto_reside;estu_discapacidad;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_horassemanatrabaja;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_establecimiento;estu_nse_individual;estu_pais_reside;estu_privado_libertad;estu_repite;estu_tieneetnia;estu_tiporemuneracion;fami_comecarnepescadohuevo;fami_comecerealfrutoslegumbre;fami_comelechederivados;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_situacioneconomica;fami_tieneautomovil;fami_tienecomputador;fami_tieneconsolavideojuegos;fami_tienehornomicroogas;fami_tieneinternet;fami_tienelavadora;fami_tienemotocicleta;fami_tieneserviciotv;fami_trabajolabormadre;fami_trabajolaborpadre;percentil_c_naturales;percentil_global;percentil_ingles;percentil_lectura_critica;percentil_matematicas;percentil_sociales_ciudadanas;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas;estu_grupoetnia
20251;SB11202510053850;ESTUDIANTE;CC;URBANO;;A;NO APLICA;354001011550;354001011550;54;54001;127936;NORTE SANTANDER;MIXTO;SABATINA;CÚCUTA;NO OFICIAL;CENT ESTUDIANTIL OCUPACIONAL;CENT ESTUDIANTIL OCUPACIONAL - SEDE PRINCIPAL;S;1;A-;2;1;1;N;54;54001;54;54001;Entre 1 y 3 horas;Entre 30 y 60 minutos;NORTE SANTANDER;NORTE SANTANDER;N;;14/08/2006;F;26;Menos de 10 horas;57.643784;CÚCUTA;CÚCUTA;COLOMBIA;3;3;COLOMBIA;N;0;;Si, en efectivo;3 a 5 veces por semana;3 a 5 veces por semana;Todos o casi todos los días;Tres;;;;11 A 25 LIBROS;5 a 6;Mejor;Si;Si;No;No;Si;Si;Si;No;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);8;4;9;23;3;1;36;171;37;48;27;25;NINGUNO
20251;SB11202510057586;ESTUDIANTE;CC;URBANO;;A;;354001800198;354001800198;54;54001;754713;NORTE SANTANDER;MIXTO;SABATINA;CÚCUTA;NO OFICIAL;INSTITUTO FRATERNIDAD DE LA SAGRADA FAMILIA;INSTITUTO FRATERNIDAD DE LA SAGRADA FAMILIA - SEDE PRINCIPAL;S;2;A1;3;2;2;N;54;54001;54;54172;Más de 3 horas;No leo por entretenimiento;NORTE SANTANDER;NORTE SANTANDER;N;;23/09/2002;F;26;Entre 21 y 30 horas;53.902802;CÚCUTA;CHINÁCOTA;COLOMBIA;2;3;COLOMBIA;N;0;;Si, en efectivo;3 a 5 veces por semana;1 o 2 veces por semana;3 a 5 veces por semana;Cuatro;Educación profesional completa;Secundaria (Bachillerato) completa;Estrato 2;11 A 25 LIBROS;5 a 6;Igual;No;No;No;No;Si;Si;Si;Si;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;No sabe;43;30;36;41;16;24;53;242;55;57;40;41;NINGUNO
20251;SB11202510062999;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;354001012076;354001012076;54;54001;160796;NORTE SANTANDER;MIXTO;SABATINA;CÚCUTA;NO OFICIAL;ATLANTIS SYSTEM;ATLANTIS SYSTEM - SEDE PRINCIPAL;S;2;A-;1;2;2;N;54;54001;54;54874;;;NORTE SANTANDER;NORTE SANTANDER;N;;23/02/2006;M;26;0;;CÚCUTA;VILLA DEL ROSARIO;COLOMBIA;2;;COLOMBIA;N;0;;No;;;;Tres;;;;;3 a 4;Mejor;Si;Si;No;No;;Si;Si;;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;18;13;19;2;22;23;41;200;45;32;44;41;NINGUNO
20251;SB11202510021333;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;354518001481;354518001481;54;54518;103648;NORTE SANTANDER;MIXTO;SABATINA;PAMPLONA;NO OFICIAL;BACHILLERATO DIVERSIFICADO A DISTANCIA PARA ADULTOS DE LA UNAD;BACHILLERATO DIVERSIFICADO A DISTANCIA PARA ADULTOS DE LA UNAD - SEDE PRINCIPAL;S;2;A1;3;3;2;N;54;54518;54;54518;Entre 30 y 60 minutos;30 minutos o menos;NORTE SANTANDER;NORTE SANTANDER;N;;08/06/2008;F;26;0;49.737892;PAMPLONA;PAMPLONA;COLOMBIA;3;2;COLOMBIA;N;0;;No;3 a 5 veces por semana;1 o 2 veces por semana;1 o 2 veces por semana;Dos;Técnica o tecnológica completa;Primaria incompleta;Estrato 1;11 A 25 LIBROS;7 a 8;Igual;Si;Si;No;No;Si;No;No;No;Trabaja por cuenta propia (por ejemplo plomero, electricista);Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;40;41;29;61;41;37;51;269;51;63;54;48;NINGUNO
20251;SB11202510067352;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;354001006173;354001006173;54;54001;173773;NORTE SANTANDER;MIXTO;SABATINA;CÚCUTA;NO OFICIAL;COL INTGD COTE LAMUS;COL INTGD COTE LAMUS;S;3;A1;3;2;2;N;76;76001;76;76001;Entre 30 y 60 minutos;Entre 30 y 60 minutos;VALLE;VALLE;N;;05/12/2007;F;26;0;58.060085;CALI;CALI;COLOMBIA;2;3;COLOMBIA;N;0;;No;Todos o casi todos los días;Nunca o rara vez comemos eso;Todos o casi todos los días;Tres;Técnica o tecnológica incompleta;Educación profesional incompleta;Estrato 5;11 A 25 LIBROS;3 a 4;Mejor;No;Si;No;Si;No;Si;No;No;No aplica;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);58;40;35;35;33;39;59;266;55;54;50;49;NINGUNO
20251;SB11202510006890;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;354518001481;354518001481;54;54518;103648;NORTE SANTANDER;MIXTO;SABATINA;PAMPLONA;NO OFICIAL;BACHILLERATO DIVERSIFICADO A DISTANCIA PARA ADULTOS DE LA UNAD;BACHILLERATO DIVERSIFICADO A DISTANCIA PARA ADULTOS DE LA UNAD - SEDE PRINCIPAL;S;1;A-;1;1;1;N;54;54498;54;54206;;;NORTE SANTANDER;NORTE SANTANDER;N;;08/06/1994;M;26;;;OCAÑA;CONVENCIÓN;COLOMBIA;3;;COLOMBIA;N;0;;;;;;;;;;;;;;;;;;;;;;;2;1;4;3;6;1;32;154;31;34;32;25;NINGUNO
20251;SB11202510088515;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;354001012076;354001012076;54;54001;160796;NORTE SANTANDER;MIXTO;SABATINA;CÚCUTA;NO OFICIAL;ATLANTIS SYSTEM;ATLANTIS SYSTEM - SEDE PRINCIPAL;S;1;A-;2;1;1;N;54;54001;54;54001;No Navega Internet;Entre 1 y 2 horas;NORTE SANTANDER;NORTE SANTANDER;N;;25/11/2006;F;26;Entre 11 y 20 horas;54.16481;CÚCUTA;CÚCUTA;COLOMBIA;2;3;COLOMBIA;N;0;;Si, en efectivo;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Uno;Técnica o tecnológica completa;Secundaria (Bachillerato) incompleta;Estrato 2;0 A 10 LIBROS;1 a 2;Igual;Si;No;No;Si;Si;Si;Si;Si;Trabaja en el hogar, no trabaja o estudia;Trabaja por cuenta propia (por ejemplo plomero, electricista);7;3;3;10;5;5;35;167;29;40;30;30;NINGUNO
20251;SB11202510054776;ESTUDIANTE;TI;URBANO;;A;ACADÉMICO;354001800332;354001800332;54;54001;813675;NORTE SANTANDER;MIXTO;NOCHE;CÚCUTA;NO OFICIAL;CORPORACIÓN EL MONTE DEL HOREB - CORPOHOREB;CORPORACIÓN EL MONTE DEL HOREB - CORPOHOREB - SEDE PRINCIPAL;S ;1;A-;2;2;1;N;54;54001;54;54001;Entre 30 y 60 minutos;Entre 30 y 60 minutos;NORTE SANTANDER;NORTE SANTANDER;N;;20/02/2007;F;26;0;41.427765;CÚCUTA;CÚCUTA;COLOMBIA;2;2;COLOMBIA;N;0;;No;3 a 5 veces por semana;Nunca o rara vez comemos eso;1 o 2 veces por semana;Dos;Primaria incompleta;Primaria completa;Estrato 1;0 A 10 LIBROS;3 a 4;Igual;No;No;No;No;Si;Si;No;No;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;7;14;11;19;25;10;35;200;38;46;46;34;NINGUNO
20251;SB11202510084342;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;354001006173;354001006173;54;54001;173773;NORTE SANTANDER;MIXTO;SABATINA;CÚCUTA;NO OFICIAL;COL INTGD COTE LAMUS;COL INTGD COTE LAMUS;S;2;A-;1;2;1;N;54;54001;54;54001;Entre 1 y 3 horas;;NORTE SANTANDER;NORTE SANTANDER;N;;15/12/2007;M;26;0;56.732971;CÚCUTA;CÚCUTA;COLOMBIA;2;3;COLOMBIA;N;0;;;Todos o casi todos los días;Nunca o rara vez comemos eso;;Dos;Técnica o tecnológica completa;Primaria completa;Estrato 2;26 A 100 LIBROS;3 a 4;Igual;;Si;;Si;Si;;Si;Si;Trabaja por cuenta propia (por ejemplo plomero, electricista);Trabaja por cuenta propia (por ejemplo plomero, electricista);21;11;12;2;21;19;42;194;39;31;43;39;NINGUNO
20251;SB11202510092889;ESTUDIANTE;CC;URBANO;;A;NO APLICA;354001011550;354001011550;54;54001;127936;NORTE SANTANDER;MIXTO;SABATINA;CÚCUTA;NO OFICIAL;CENT ESTUDIANTIL OCUPACIONAL;CENT ESTUDIANTIL OCUPACIONAL - SEDE PRINCIPAL;S;1;A-;2;1;1;N;54;54001;54;54405;;;NORTE SANTANDER;NORTE SANTANDER;N;;15/02/2004;F;26;Entre 11 y 20 horas;;CÚCUTA;LOS PATIOS;COLOMBIA;3;;COLOMBIA;N;0;;Si, en efectivo;;;;Dos;;;;;1 a 2;Igual;No;No;No;No;;No;No;;Trabaja en el hogar, no trabaja o estudia;No aplica;1;2;7;7;8;1;28;158;35;38;34;25;NINGUNO
