periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_depto_presentacion;estu_depto_reside;estu_discapacidad;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_establecimiento;estu_nse_individual;estu_pais_reside;estu_pilopaga;estu_privado_libertad;estu_repite;estu_tieneetnia;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_tieneautomovil;fami_tienecomputador;fami_tieneinternet;fami_tienelavadora;fami_tieneserviciotv;percentil_c_naturales;percentil_global;percentil_ingles;percentil_lectura_critica;percentil_matematicas;percentil_sociales_ciudadanas;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20162;SB11201620289861;ESTUDIANTE;CC;URBANO;S;A;ACADÉMICO;186568003906;186568061230;86;86568;50732;PUTUMAYO;MIXTO;MAÑANA;PUERTO ASIS;OFICIAL;IE SANTA TERESA;SAN FERNANDO;N;1;A-;1;1;1;S;86;86568;86;86568;PUTUMAYO;PUTUMAYO;N;;10/04/1997;M;11;43.232536;PUERTO ASÍS;PUERTO ASÍS;COLOMBIA;1;NSE2;COLOMBIA;NO;N;0;No;Dos;Primaria completa;Primaria completa;Estrato 1;0 A 10 LIBROS;Seis;No;No;Si;No;No;9;3;30;1;6;6;39;174;45;31;32;34
20162;SB11201620176563;ESTUDIANTE;TI;RURAL;;A;TÉCNICO/ACADÉMICO;286865001780;286865001780;86;86865;125518;PUTUMAYO;MIXTO;MAÑANA;VILLA GUAMEZ (LA HORMIGA);OFICIAL;IE RUR EL CAIRO;ESC RUR MIX EL CAIRO;S;3;A1;3;3;3;S;86;86865;86;86865;PUTUMAYO;PUTUMAYO;N;;24/05/2000;F;11;47.927277;VALLE DEL GUAMUEZ;VALLE DEL GUAMUEZ;COLOMBIA;1;NSE2;COLOMBIA;NO;N;0;No;Tres;Técnica o tecnológica completa;Primaria incompleta;Estrato 1;0 A 10 LIBROS;Cinco;No;Si;No;Si;Si;71;64;56;44;55;78;58;275;52;51;52;59
20162;SB11201620095873;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;386749000045;386749000045;86;86749;19323;PUTUMAYO;MIXTO;MAÑANA;SIBUNDOY;OFICIAL;IE CHAMPAGNAT;COL CHAMPAGNAT;S;3;B1;4;3;4;S;86;86749;86;86749;PUTUMAYO;PUTUMAYO;N;Otro grupo étnico minoritario;26/07/2000;M;11;41.944851;SIBUNDOY;SIBUNDOY;COLOMBIA;2;NSE2;COLOMBIA;NO;N;0;Si;Seis;Secundaria (Bachillerato) incompleta;Primaria completa;Estrato 1;MÁS DE 100 LIBROS;Siete;No;No;No;Si;Si;96;98;91;94;96;99;69;351;69;68;71;74
20162;SB11201620354851;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO;186568005577;186568005577;86;86568;195495;PUTUMAYO;MIXTO;SABATINA;PUERTO ASIS;OFICIAL;IE SAN FRANCISCO DE ASIS;COL TEC INDUSTRIAL SAN FRANCISCO DE ASIS;S;1;A-;2;1;1;S;86;86568;86;86568;PUTUMAYO;PUTUMAYO;N;;22/09/1999;M;26;32.851925;PUERTO ASÍS;PUERTO ASÍS;COLOMBIA;1;NSE1;COLOMBIA;NO;N;0;No;Tres;Primaria incompleta;Primaria incompleta;Estrato 1;0 A 10 LIBROS;Cinco;No;No;No;No;No;10;6;6;8;9;10;40;185;35;39;34;36
20162;SB11201620175708;ESTUDIANTE;TI;URBANO;S;A;TÉCNICO/ACADÉMICO;186320000188;186320000188;86;86320;170480;PUTUMAYO;MIXTO;MAÑANA;ORITO;OFICIAL;IE SAN JOSE DE ORITO;COL SAN JOSE DE ORITO;S;2;A1;3;3;2;N;86;86320;86;86320;PUTUMAYO;PUTUMAYO;N;;26/02/2000;M;11;34.99115;ORITO;ORITO;COLOMBIA;2;NSE1;COLOMBIA;NO;N;73158;No;Cuatro;Primaria incompleta;No sabe;Estrato 2;0 A 10 LIBROS;Cinco;No;No;No;No;No;50;57;59;52;77;37;53;265;53;53;60;46
20162;SB11201620239809;ESTUDIANTE;TI;URBANO;S;A;ACADÉMICO;186001000175;186001000175;86;86001;34579;PUTUMAYO;MIXTO;MAÑANA;MOCOA;OFICIAL;I.E. PIO XII;I.E. PIO XII - SEDE PRINCIAPL;S;2;A-;3;3;2;S;86;86001;86;86001;PUTUMAYO;PUTUMAYO;N;;02/03/1999;F;11;40.652596;MOCOA;MOCOA;COLOMBIA;2;NSE1;COLOMBIA;NO;N;0;No;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) incompleta;Estrato 1;0 A 10 LIBROS;Cuatro;No;No;No;No;No;51;68;25;55;93;60;53;280;44;54;68;53
20162;SB11201620522385;ESTUDIANTE;CC;URBANO;S;A;ACADÉMICO;186568003906;186568003906;86;86568;174136;PUTUMAYO;MIXTO;SABATINA;PUERTO ASIS;OFICIAL;IE SANTA TERESA;I.E. SANTA TERESA - SEDE PRINCIAPL;S;2;A-;2;1;1;S;86;86568;86;86568;PUTUMAYO;PUTUMAYO;N;;08/09/1997;F;26;45.939541;PUERTO ASÍS;PUERTO ASÍS;COLOMBIA;1;NSE2;COLOMBIA;NO;N;0;No;Tres;Secundaria (Bachillerato) completa;Primaria incompleta;Estrato 1;0 A 10 LIBROS;Cinco;No;Si;No;Si;No;31;17;33;22;7;20;48;209;46;45;33;41
20162;SB11201620061651;ESTUDIANTE;TI;RURAL;N;A;ACADÉMICO;286865001658;286865001658;86;86865;165639;PUTUMAYO;MIXTO;MAÑANA;VILLA GUAMEZ (LA HORMIGA);OFICIAL;INS ETNO RUR SANTA ROSA DEL GUAMUEZ;I. ETNOEDUCATIVO RURAL SANTA ROSA DEL GUAMUEZ - SEDE PRINCIPAL;S;3;A-;2;3;2;S;86;86865;86;86865;PUTUMAYO;PUTUMAYO;N;Otro grupo étnico minoritario;29/11/1997;M;11;30.865721;VALLE DEL GUAMUEZ;VALLE DEL GUAMUEZ;COLOMBIA;1;NSE1;COLOMBIA;NO;N;0;Si;Tres;Ninguno;Ninguno;Estrato 1;0 A 10 LIBROS;Seis;No;No;No;No;No;66;56;10;40;71;58;57;265;37;50;58;53
20162;SB11201620409937;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;386568061022;386568061022;86;86568;88518;PUTUMAYO;MIXTO;SABATINA;PUERTO ASIS;NO OFICIAL;COL SEMIPRESENCIAL SAN JUAN BOSCO;COL SEMIPRESENCIAL SAN JUAN BOSCO;S;2;A1;2;3;2;S;86;86568;86;86568;PUTUMAYO;PUTUMAYO;N;;02/01/2001;F;11;43.437244;PUERTO ASÍS;PUERTO ASÍS;COLOMBIA;2;NSE2;COLOMBIA;NO;N;0;No;Dos;Secundaria (Bachillerato) incompleta;Primaria completa;Estrato 1;0 A 10 LIBROS;Tres;No;No;No;No;Si;58;55;45;44;66;49;55;263;49;51;56;50
20162;SB11201620384945;ESTUDIANTE;CC;URBANO;;A;ACADÉMICO;186001003603;186001003603;86;86001;155994;PUTUMAYO;MIXTO;SABATINA;MOCOA;OFICIAL;IE FIDEL DE MONTCLAR;COL BAS FIDEL DE MONCLART;S;1;A-;1;1;1;S;86;86001;86;86001;PUTUMAYO;PUTUMAYO;N;;01/05/1955;M;26;35.915276;MOCOA;MOCOA;COLOMBIA;1;NSE1;COLOMBIA;NO;N;0;No;Uno;No sabe;No sabe;Estrato 1;0 A 10 LIBROS;Una;No;No;No;No;No;4;1;8;3;1;7;34;163;36;35;26;34
20162;SB11201620434134;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;386568061022;386568061022;86;86568;88518;PUTUMAYO;MIXTO;SABATINA;PUERTO ASIS;NO OFICIAL;COL SEMIPRESENCIAL SAN JUAN BOSCO;COL SEMIPRESENCIAL SAN JUAN BOSCO;S;1;A-;2;1;1;S;86;86573;86;86573;PUTUMAYO;PUTUMAYO;N;;04/11/1989;F;11;37.69976;PUERTO LEGUÍZAMO;PUERTO LEGUÍZAMO;COLOMBIA;2;NSE1;COLOMBIA;NO;N;0;No;Dos;Primaria incompleta;Ninguno;Estrato 1;0 A 10 LIBROS;Cinco;No;No;No;No;Si;6;3;36;11;1;8;37;177;47;40;25;35
20162;SB11201620158571;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;186320000536;186320000536;86;86320;104299;PUTUMAYO;FEMENINO;COMPLETA;ORITO;OFICIAL;IE GABRIELA MISTRAL;COL TEC GABRIELA MISTRAL;S;2;A1;3;3;1;S;86;86320;86;86320;PUTUMAYO;PUTUMAYO;N;Otro grupo étnico minoritario;09/11/1999;F;11;44.927193;ORITO;ORITO;COLOMBIA;2;NSE2;COLOMBIA;NO;N;128745;Si;Tres;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) completa;Estrato 2;26 A 100 LIBROS;Siete;No;No;Si;No;No;57;47;45;46;72;14;54;252;49;51;58;38
20162;SB11201620355045;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO;186568005577;186568005577;86;86568;195495;PUTUMAYO;MIXTO;SABATINA;PUERTO ASIS;OFICIAL;IE SAN FRANCISCO DE ASIS;COL TEC INDUSTRIAL SAN FRANCISCO DE ASIS;S;2;A1;2;2;2;S;86;86568;86;86568;PUTUMAYO;PUTUMAYO;N;;27/11/1998;F;26;41.049339;PUERTO ASÍS;PUERTO ASÍS;COLOMBIA;1;NSE1;COLOMBIA;NO;N;0;No;Tres;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 1;0 A 10 LIBROS;Cinco;No;No;No;No;Si;53;37;57;29;22;43;53;239;53;47;41;48
20162;SB11201620436087;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;186865004059;186865004059;86;86865;160440;PUTUMAYO;MIXTO;MAÑANA;VILLA GUAMEZ (LA HORMIGA);OFICIAL;I.E. LA LIBERTAD;I.E. LA LIBERTAD - SEDE PRINCIPAL;S;2;A1;2;2;2;S;86;86865;86;86885;PUTUMAYO;PUTUMAYO;N;;07/06/2000;M;11;36.658783;VALLE DEL GUAMUEZ;VILLAGARZÓN;COLOMBIA;1;NSE1;COLOMBIA;NO;N;0;No;Dos;Primaria completa;Primaria completa;Estrato 1;0 A 10 LIBROS;Cuatro;No;No;No;No;No;37;44;49;43;34;60;49;249;50;51;45;54
20162;SB11201620255120;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;186320000528;186320000528;86;86320;118588;PUTUMAYO;MIXTO;MAÑANA;ORITO;OFICIAL;IE JORGE ELIECER GAITAN;INST JORGE ELIECER GAITAN;S;2;A2;3;3;3;S;86;86320;86;86320;PUTUMAYO;PUTUMAYO;N;;28/10/1999;M;11;41.545277;ORITO;ORITO;COLOMBIA;2;NSE2;COLOMBIA;NO;N;0;No;Tres;Secundaria (Bachillerato) completa;Primaria completa;Estrato 1;26 A 100 LIBROS;Tres;No;No;No;No;No;42;72;78;73;56;90;51;285;60;59;53;65
20162;SB11201620305722;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;186001002241;186001002241;86;86001;19307;PUTUMAYO;MIXTO;MAÑANA;MOCOA;OFICIAL;IE SANTA MARIA GORETTI;COL SANTA MARIA GORETTI;S;3;A1;2;3;2;S;86;86001;86;86001;PUTUMAYO;PUTUMAYO;N;;15/05/1999;M;11;49.715893;MOCOA;MOCOA;COLOMBIA;3;NSE2;COLOMBIA;NO;N;204304;No;Dos;Secundaria (Bachillerato) incompleta;Técnica o tecnológica completa;Estrato 1;11 A 25 LIBROS;Seis;No;Si;Si;Si;No;78;63;52;41;59;66;60;273;51;50;54;55
