periodo;estu_consecutivo;estu_estudiante;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_ingles;desemp_profundiza_biologia;desemp_profundiza_csociales;desemp_profundiza_lenguaje;desemp_profundiza_matematica;estu_anomatriculaprimero;estu_anomatriculasexto;estu_anoscolegioactual;estu_anospreescolar;estu_anoterminobachiller;estu_anoterminoquinto;estu_antecedentes;estu_areareside;estu_cod_depto_presentacion;estu_cod_iesdeseada;estu_cod_mcpio_presentacion;estu_cod_mcpioiesdeseada;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_cuantoscolegioestudio;estu_depto_presentacion;estu_depto_reside;estu_etnia;estu_fechanacimiento;estu_genero;estu_iesdeseada;estu_instporamigosestudiando;estu_instporcostomatricula;estu_instporoportunidades;estu_instporotrarazon;estu_instporprestigio;estu_instporubicacion;estu_instporunicaqueofrece;estu_mcpio_presentacion;estu_mcpio_reside;estu_mcpioiesdeseada;estu_mesterminobachiller;estu_motivo_presentavalidacion;estu_nacionalidad;estu_pais_reside;estu_privado_libertad;estu_puesto;estu_razonretirocolegio;estu_reprobocuarto;estu_reprobodecimo;estu_reprobonoveno;estu_reprobooctavo;estu_reprobooncemas;estu_reproboprimero;estu_reproboquinto;estu_reprobosegundo;estu_reproboseptimo;estu_reprobosexto;estu_reprobotercero;estu_seretirocolegio;estu_tipocarreradeseada;estu_tipodocumento;estu_totalalumnoscurso;estu_trabajaactualmente;estu_valorpensioncolegio;estu_vecespresentoexamen;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_ingresofmiliarmensual;fami_nivelsisben;fami_ocupacionmadre;fami_ocupacionpadre;fami_personashogar;fami_pisoshogar;fami_telefono;fami_tiene_celular;fami_tiene_nevera;fami_tiene_serviciotv;fami_tieneautomovil;fami_tienecomputador;fami_tienedvd;fami_tieneinternet;fami_tienelavadora;fami_tienemicroondas;punt_biologia;punt_ciencias_sociales;punt_filosofia;punt_fisica;punt_ingles;punt_interdisc_medioambiente;punt_interdisc_violenciaysoc;punt_lenguaje;punt_matematicas;punt_profundiza_biologia;punt_profundiza_csociales;punt_profundiza_lenguaje;punt_profundiza_matematica;punt_quimica;recaf_punt_c_naturales;recaf_punt_ingles;recaf_punt_lectura_critica;recaf_punt_matematicas;recaf_punt_sociales_ciudadanas
20121;SB11201210032211;ESTUDIANTE;URBANO;N;A;ACADÉMICO;363001000051;363001000051;63;63001;101659;QUINDIO;MIXTO;MAÑANA;ARMENIA;NO OFICIAL;BACHILLERATO INTEGRAL DEL QUINDIO;BACHILLERATO INTEGRAL DEL QUINDIO;S;A1;;;I;;;;;;;;No;Cabecera Municipal;63;;63001;;63;63001;;QUINDIO;QUINDIO;Ninguno;13/11/1994;M;;;;;;;;;ARMENIA;ARMENIA;;;;COLOMBIA;COLOMBIA;N;575;;;;;;;;;;;;;;;TI;;No;Entre 150.000 y menos de 250.000;Ninguna vez;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 3;Entre 1 y menos de 2 SMLV;No está clasificada por el SISBEN;Empleado de nivel auxiliar o administrativo;Empleado de nivel auxiliar o administrativo;Dos;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;44;44;37;39;43;;;46;44;;;5;;41;44;49;49;49;45
20121;SB11201210032188;ESTUDIANTE;URBANO;N;A;TÉCNICO/ACADÉMICO;163594000397;163594000397;63;63594;13243;QUINDIO;MIXTO;NOCHE;QUIMBAYA;OFICIAL;INST QUIMBAYA;INST QUIMBAYA;S;A-;;;;;;;;;;;No;Cabecera Municipal;63;;63001;;63;63594;;QUINDIO;QUINDIO;Ninguno;02/02/1994;F;;;;;;;;;ARMENIA;QUIMBAYA;;;;COLOMBIA;COLOMBIA;N;859;;;;;;;;;;;;;;;CC;;No;No paga Pensión;Ninguna vez;Cinco;Primaria incompleta;Secundaria (Bachillerato) incompleta;Estrato 2;Entre 1 y menos de 2 SMLV;Nivel 1;Trabajador por cuenta propia;Trabajador por cuenta propia;Seis;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;Si;Si;Si;No;Si;No;Si;Si;45;42;45;43;35;52;;35;40;;;;;53;55;40;45;48;45
20121;SB11201210032191;ESTUDIANTE;URBANO;N;A;TÉCNICO/ACADÉMICO;163594000397;163594000397;63;63594;13243;QUINDIO;MIXTO;NOCHE;QUIMBAYA;OFICIAL;INST QUIMBAYA;INST QUIMBAYA;S;A-;;;;;;;;;;;No;Cabecera Municipal;63;;63001;;63;63594;;QUINDIO;QUINDIO;Ninguno;10/11/1969;F;;;;;;;;;ARMENIA;QUIMBAYA;;;;COLOMBIA;COLOMBIA;N;742;;;;;;;;;;;;;;;CC;;Si, 20 horas o más a la semana;No paga Pensión;Ninguna vez;Tres;No sabe;No sabe;Estrato 3;Entre 2 y menos de 3 SMLV;Nivel 2;Hogar;Hogar;Tres;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;Si;Si;Si;Si;Si;No;Si;Si;45;47;41;40;43;52;;41;37;;;;;42;44;48;52;42;48
20121;SB11201210098370;ESTUDIANTE;URBANO;N;A;TÉCNICO/ACADÉMICO;163001001325;163001001325;63;63001;84947;QUINDIO;MIXTO;SABATINA;ARMENIA;OFICIAL;INEM JOSE CELESTINO MUTIS;INEM JOSE CELESTINO MUTIS;S;A-;;;;;;;;;;;No;Area Rural;63;;63001;;63;63130;;QUINDIO;QUINDIO;Ninguno;25/08/1992;M;;;;;;;;;ARMENIA;CALARCÁ;;;;COLOMBIA;COLOMBIA;N;671;;;;;;;;;;;;;;;CC;;Si, 20 horas o más a la semana;No paga Pensión;Ninguna vez;Cinco;Secundaria (Bachillerato) completa;Primaria incompleta;Estrato 3;Entre 2 y menos de 3 SMLV;Nivel 2;Hogar;Otra actividad u ocupación;Cuatro;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;Si;Si;Si;Si;Si;No;Si;Si;42;44;29;44;33;52;;46;43;;;;;45;48;39;37;53;45
20121;SB11201210032189;ESTUDIANTE;URBANO;N;A;TÉCNICO/ACADÉMICO;163594000397;163594000397;63;63594;13243;QUINDIO;MIXTO;NOCHE;QUIMBAYA;OFICIAL;INST QUIMBAYA;INST QUIMBAYA;S;A-;;;;;;;;;;;No;Cabecera Municipal;63;;63001;;63;63594;;QUINDIO;QUINDIO;Ninguno;07/05/1993;F;;;;;;;;;ARMENIA;QUIMBAYA;;;;COLOMBIA;COLOMBIA;N;637;;;;;;;;;;;;;;;CC;;No;No paga Pensión;Ninguna vez;Tres;Primaria incompleta;No sabe;Estrato 2;Entre 1 y menos de 2 SMLV;Nivel 1;Hogar;Otra actividad u ocupación;Seis;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;Si;No;No;No;Si;No;Si;No;37;46;39;36;39;48;;52;40;;;;;40;40;43;55;44;45
20121;SB11201210095655;ESTUDIANTE;URBANO;N;A;TÉCNICO/ACADÉMICO;163001001325;163001001325;63;63001;84947;QUINDIO;MIXTO;SABATINA;ARMENIA;OFICIAL;INEM JOSE CELESTINO MUTIS;INEM JOSE CELESTINO MUTIS;S;A-;;I;;;;;;;;;No;Cabecera Municipal;63;;63001;;63;63001;;QUINDIO;QUINDIO;Ninguno;06/05/1984;F;;;;;;;;;ARMENIA;ARMENIA;;;;COLOMBIA;COLOMBIA;N;947;;;;;;;;;;;;;;;CC;;Si, 20 horas o más a la semana;No paga Pensión;Ninguna vez;Uno;Primaria incompleta;Primaria incompleta;Estrato 1;Menos de 1 SMLV;Nivel 1;Otra actividad u ocupación;Otra actividad u ocupación;Dos;Cemento, gravilla, ladrillo;No;Si;Si;No;No;No;No;No;No;No;40;28;41;29;20;;;41;47;;6;;;38;43;30;40;49;36
20121;SB11201210032510;ESTUDIANTE;URBANO;N;A;TÉCNICO/ACADÉMICO;163130000190;163130000190;63;63130;116749;QUINDIO;MIXTO;SABATINA;CALARCÁ;OFICIAL;RAFAEL URIBE URIBE;RAFAEL URIBE URIBE;S;A1;;;GB;;;;;;;;No;Cabecera Municipal;63;;63001;;63;63130;;QUINDIO;QUINDIO;Ninguno;29/10/1993;M;;;;;;;;;ARMENIA;CALARCÁ;;;;COLOMBIA;COLOMBIA;N;332;;;;;;;;;;;;;;;CC;;No;No paga Pensión;Ninguna vez;Tres;Primaria incompleta;Ninguno;Estrato 1;Entre 1 y menos de 2 SMLV;Nivel 1;Trabajador por cuenta propia;;Nueve;Cemento, gravilla, ladrillo;No;Si;Si;No;No;Si;Si;No;No;No;51;53;41;32;46;;;56;55;;;4;;43;48;52;56;58;50
20121;SB11201210032218;ESTUDIANTE;URBANO;N;A;ACADÉMICO;363001000051;363001000051;63;63001;101659;QUINDIO;MIXTO;MAÑANA;ARMENIA;NO OFICIAL;BACHILLERATO INTEGRAL DEL QUINDIO;BACHILLERATO INTEGRAL DEL QUINDIO;S;A2;I;;;;;;;;;;No;Cabecera Municipal;63;;63001;;63;63001;;QUINDIO;QUINDIO;;27/05/1993;F;;;;;;;;;ARMENIA;ARMENIA;;;;COLOMBIA;COLOMBIA;N;381;;;;;;;;;;;;;;;CC;;No;Entre 150.000 y menos de 250.000;Ninguna vez;Tres;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 3;Entre 2 y menos de 3 SMLV;No está clasificada por el SISBEN;Hogar;Trabajador por cuenta propia;Cuatro;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;51;42;38;40;61;;;57;46;5;;;;55;55;68;55;50;43
20121;SB11201210092501;ESTUDIANTE;URBANO;N;A;TÉCNICO/ACADÉMICO;163001001325;163001001325;63;63001;84947;QUINDIO;MIXTO;SABATINA;ARMENIA;OFICIAL;INEM JOSE CELESTINO MUTIS;INEM JOSE CELESTINO MUTIS;S;A-;;;;;;;;;;;No;Cabecera Municipal;63;;63001;;63;63001;;QUINDIO;QUINDIO;Ninguno;08/05/1994;F;;;;;;;;;ARMENIA;ARMENIA;;;;COLOMBIA;COLOMBIA;N;759;;;;;;;;;;;;;;;TI;;No;No paga Pensión;Ninguna vez;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 1;Entre 1 y menos de 2 SMLV;Nivel 1;Hogar;;Cinco;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;No;Si;No;Si;Si;42;42;38;43;29;50;;46;40;;;;;35;41;36;49;50;45
20121;SB11201210032187;ESTUDIANTE;URBANO;N;A;TÉCNICO/ACADÉMICO;163594000397;163594000397;63;63594;13243;QUINDIO;MIXTO;NOCHE;QUIMBAYA;OFICIAL;INST QUIMBAYA;INST QUIMBAYA;S;A-;;;;;;;;;;;No;Cabecera Municipal;63;;63001;;63;63594;;QUINDIO;QUINDIO;Ninguno;18/04/1994;M;;;;;;;;;ARMENIA;QUIMBAYA;;;;COLOMBIA;COLOMBIA;N;529;;;;;;;;;;;;;;;TI;;Si, 20 horas o más a la semana;No paga Pensión;Ninguna vez;Cuatro;No sabe;Primaria incompleta;Estrato 2;Entre 1 y menos de 2 SMLV;Nivel 2;Hogar;Empleado obrero u operario;Doce o más;Madera pulida, baldosa, tableta, mármol, alfombra;No;No;Si;No;No;No;Si;No;No;No;48;47;32;49;43;54;;44;52;;;;;45;48;48;39;54;47
