periodo;estu_consecutivo;estu_estudiante;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_ingles;desemp_profundiza_biologia;desemp_profundiza_csociales;desemp_profundiza_lenguaje;desemp_profundiza_matematica;estu_anomatriculaprimero;estu_anomatriculasexto;estu_anoscolegioactual;estu_anospreescolar;estu_anoterminobachiller;estu_anoterminoquinto;estu_antecedentes;estu_areareside;estu_cod_depto_presentacion;estu_cod_iesdeseada;estu_cod_mcpio_presentacion;estu_cod_mcpioiesdeseada;estu_cod_programadeseado;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_cuantoscolegioestudio;estu_depto_presentacion;estu_depto_reside;estu_etnia;estu_expectativas;estu_fechanacimiento;estu_genero;estu_iesdeseada;estu_ingresar_prog_edusuperior;estu_instporamigosestudiando;estu_instporcostomatricula;estu_instporoportunidades;estu_instporotrarazon;estu_instporprestigio;estu_instporubicacion;estu_instporunicaqueofrece;estu_mcpio_presentacion;estu_mcpio_reside;estu_mcpioiesdeseada;estu_mesterminobachiller;estu_nacionalidad;estu_pais_reside;estu_privado_libertad;estu_progorientacionvocacional;estu_progporbuscandocarrera;estu_progporcolombiaaprende;estu_progporinfluenciaalguien;estu_progporinterespersonal;estu_progpormejorarposicsocial;estu_progportradicionfamiliar;estu_programadeseado;estu_puesto;estu_punt_esperado_ingles;estu_punt_esperado_lenguaje;estu_punt_esperado_matematicas;estu_razonretirocolegio;estu_recibesalario;estu_reprobocuarto;estu_reprobodecimo;estu_reprobonoveno;estu_reprobooctavo;estu_reprobooncemas;estu_reproboprimero;estu_reproboquinto;estu_reprobosegundo;estu_reproboseptimo;estu_reprobosexto;estu_reprobotercero;estu_salario_esperadobachiller;estu_salario_esperadoprofesi;estu_salario_esperadotecnico;estu_seretirocolegio;estu_tipocarreradeseada;estu_tipodocumento;estu_totalalumnoscurso;estu_trabajaactualmente;estu_valorpensioncolegio;estu_vecespresentoexamen;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_ingresofmiliarmensual;fami_nivelsisben;fami_ocupacionmadre;fami_ocupacionpadre;fami_personashogar;fami_pisoshogar;fami_telefono;fami_tiene_celular;fami_tiene_nevera;fami_tiene_serviciotv;fami_tieneautomovil;fami_tienecomputador;fami_tienedvd;fami_tienehorno;fami_tieneinternet;fami_tienelavadora;fami_tienemicroondas;punt_biologia;punt_ciencias_sociales;punt_filosofia;punt_fisica;punt_ingles;punt_interdisc_medioambiente;punt_interdisc_violenciaysoc;punt_lenguaje;punt_matematicas;punt_profundiza_biologia;punt_profundiza_csociales;punt_profundiza_lenguaje;punt_profundiza_matematica;punt_quimica;recaf_punt_c_naturales;recaf_punt_ingles;recaf_punt_lectura_critica;recaf_punt_matematicas;recaf_punt_sociales_ciudadanas
20141;SB11201410006910;ESTUDIANTE;RURAL;S;B;ACADÉMICO;463190000443;463690000443;63;63690;100990;QUINDIO;MIXTO;COMPLETA;SALENTO;NO OFICIAL;GIMN INGLES;GIMN INGLES;S;B+;;;II;;;;;;;;No;Cabecera Municipal;63;;63001;;;63;63001;;QUINDIO;QUINDIO;Ninguno;No;24/05/1996;M;;;;;;;;;;ARMENIA;ARMENIA;;;COLOMBIA;COLOMBIA;N;;;;;;;;;13;;;;;;;;;;;;;;;;;;;;;;TI;;No;250.000 o más;Ninguna vez;Cinco;Postgrado;Postgrado;Estrato 4;Entre 7 y menos de 10 SMLV;No está clasificada por el SISBEN;Profesional independiente;Profesional independiente;Cinco;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;67;70;56;90;94;;;56;78;;;7;;89;92;95;69;79;75
20141;SB11201410010405;ESTUDIANTE;RURAL;S;B;ACADÉMICO;463190000443;463690000443;63;63690;100990;QUINDIO;MIXTO;COMPLETA;SALENTO;NO OFICIAL;GIMN INGLES;GIMN INGLES;S;B+;;;;I;;;;;;;No;Cabecera Municipal;63;;63001;;;63;63001;;QUINDIO;QUINDIO;Ninguno;No;13/05/1995;M;;;;;;;;;;ARMENIA;ARMENIA;;;COLOMBIA;COLOMBIA;N;;;;;;;;;25;;;;;;;;;;;;;;;;;;;;;;CC;;No;250.000 o más;Ninguna vez;Dos;Postgrado;No sabe;Estrato 4;10 o más SMLV;No está clasificada por el SISBEN;Empleado con cargo como director o gerente general;Empleado de nivel técnico o profesional;Dos;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;64;70;53;58;83;;;58;72;;;;5;70;71;85;63;74;71
20141;SB11201410088970;ESTUDIANTE;URBANO;N;A;TÉCNICO/ACADÉMICO;163001001325;163001001325;63;63001;84947;QUINDIO;MIXTO;SABATINA;ARMENIA;OFICIAL;INEM JOSE CELESTINO MUTIS;INEM JOSE CELESTINO MUTIS;S;A-;;GB;;;2002;2008;3 años;Niguno;;2007;Si;Cabecera Municipal;63;9157;63001;824;20;63;63001;Dos colegios;QUINDIO;QUINDIO;Ninguno;No;11/07/1996;F;SERVICIO NACIONAL DE APRENDIZAJE-SENA-ARMENIA;;No;No;Si;No;No;Si;No;ARMENIA;ARMENIA;ARMENIA;;COLOMBIA;COLOMBIA;N;Si;Si;No;No;Si;Si;No;INGENIERÍA AMBIENTAL, SANITARIA Y AFINES;915;;;;;;No;No;No;No;No;No;Si;No;No;No;No;;;;No;Profesional;TI;32;No;No paga Pensión;Ninguna vez;Cuatro;Primaria completa;Primaria completa;Estrato 1;Entre 1 y menos de 2 SMLV;Nivel 1;Hogar;Empleado obrero u operario;Tres;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;Si;No;No;Si;Si;Si;No;Si;No;27;42;31;41;36;;;35;40;;4;;;37;43;41;45;45;44
20141;SB11201410057284;ESTUDIANTE;URBANO;N;A;ACADÉMICO;363001002797;363001002797;63;63001;78592;QUINDIO;MIXTO;SABATINA;ARMENIA;NO OFICIAL;EDUARDO CABALLERO CALDERON;EDUARDO CABALLERO CALDERON;S;A1;;;;;;;;;;;No;Cabecera Municipal;63;;63001;;;63;63190;;QUINDIO;QUINDIO;Ninguno;No;10/10/1989;F;;;;;;;;;;ARMENIA;CIRCASIA;;;COLOMBIA;COLOMBIA;N;;;;;;;;;404;;;;;;;;;;;;;;;;;;;;;;CC;;No;Entre 87.000 y menos de 120.000;Ninguna vez;Dos;Primaria completa;Primaria completa;Estrato 2;Entre 1 y menos de 2 SMLV;Nivel 1;Trabajador por cuenta propia;Trabajador por cuenta propia;Cuatro;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;Si;Si;No;No;No;No;No;No;No;45;46;37;40;45;;43;45;58;;;;;43;46;50;49;61;53
20141;SB11201410057275;ESTUDIANTE;URBANO;N;A;ACADÉMICO;363001002797;363001002797;63;63001;78592;QUINDIO;MIXTO;SABATINA;ARMENIA;NO OFICIAL;EDUARDO CABALLERO CALDERON;EDUARDO CABALLERO CALDERON;S;A-;;;;;;;;;;;No;Area Rural;63;;63001;;;63;63130;;QUINDIO;QUINDIO;Ninguno;No;20/05/1996;F;;;;;;;;;;ARMENIA;CALARCÁ;;;COLOMBIA;COLOMBIA;N;;;;;;;;;742;;;;;;;;;;;;;;;;;;;;;;TI;;No;Entre 87.000 y menos de 120.000;Ninguna vez;Cuatro;Secundaria (Bachillerato) incompleta;No sabe;Estrato 1;Entre 1 y menos de 2 SMLV;Nivel 1;Hogar;Empleado obrero u operario;Cuatro;Cemento, gravilla, ladrillo;No;Si;Si;Si;No;No;Si;Si;Si;No;Si;45;40;42;31;33;;50;48;40;;;;;27;36;39;49;47;52
20141;SB11201410088966;ESTUDIANTE;URBANO;N;A;TÉCNICO/ACADÉMICO;163001001325;163001001325;63;63001;84947;QUINDIO;MIXTO;SABATINA;ARMENIA;OFICIAL;INEM JOSE CELESTINO MUTIS;INEM JOSE CELESTINO MUTIS;S;A1;;;;;;;;;;;No;Cabecera Municipal;63;;63001;;;63;63470;;QUINDIO;QUINDIO;Ninguno;No;23/09/1996;F;;;;;;;;;;ARMENIA;MONTENEGRO;;;COLOMBIA;COLOMBIA;N;;;;;;;;;327;;;;;Si;;;;;;;;;;;;;;;;;TI;;Si, menos de 20 horas a la semana;No paga Pensión;Ninguna vez;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) incompleta;Estrato 1;Entre 1 y menos de 2 SMLV;Nivel 2;Hogar;Trabajador por cuenta propia;Tres;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;No;Si;Si;Si;Si;Si;Si;49;45;44;54;46;51;;49;51;;;;;43;55;51;56;55;50
20141;SB11201410026322;ESTUDIANTE;URBANO;N;A;ACADÉMICO;363001000221;363001000221;63;63001;86918;QUINDIO;MIXTO;SABATINA;ARMENIA;NO OFICIAL;JORGE ISAAC;JORGE ISAAC;S;A-;;;;;;;;;;;No;Area Rural;63;;63001;;;63;63001;;QUINDIO;QUINDIO;Ninguno;No;19/05/1995;F;;;;;;;;;;ARMENIA;ARMENIA;;;COLOMBIA;COLOMBIA;N;;;;;;;;;546;;;;;;;;;;;;;;;;;;;;;;CC;;No;Menos de 87.000;Ninguna vez;Cuatro;Secundaria (Bachillerato) completa;Técnica o tecnológica completa;Estrato 3;Entre 3 y menos de 5 SMLV;Esta clasificada en otro nivel del SISBEN;Hogar;Pensionado;Seis;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;Si;No;Si;Si;Si;Si;Si;Si;42;43;30;31;42;;43;51;48;;;;;36;41;46;45;51;47
20141;SB11201410088975;ESTUDIANTE;URBANO;N;A;TÉCNICO/ACADÉMICO;163001001325;163001001325;63;63001;84947;QUINDIO;MIXTO;SABATINA;ARMENIA;OFICIAL;INEM JOSE CELESTINO MUTIS;INEM JOSE CELESTINO MUTIS;S;A-;;;;GB;;;;;;;No;Cabecera Municipal;63;;63001;;;63;63001;;QUINDIO;QUINDIO;Ninguno;No;04/05/1978;F;;;;;;;;;;ARMENIA;ARMENIA;;;COLOMBIA;COLOMBIA;N;;;;;;;;;794;;;;;Si;;;;;;;;;;;;;;;;;CC;;Si, menos de 20 horas a la semana;No paga Pensión;Ninguna vez;Dos;No sabe;No sabe;Estrato 1;Menos de 1 SMLV;Nivel 1;Trabajador por cuenta propia;Empleado de nivel directivo;Dos;Cemento, gravilla, ladrillo;No;Si;Si;No;No;No;No;No;No;No;No;34;39;34;25;35;;;45;40;;;;5;33;31;40;47;49;46
20141;SB11201410089223;ESTUDIANTE;URBANO;N;A;TÉCNICO/ACADÉMICO;163001001325;163001001325;63;63001;84947;QUINDIO;MIXTO;SABATINA;ARMENIA;OFICIAL;INEM JOSE CELESTINO MUTIS;INEM JOSE CELESTINO MUTIS;S;A-;;;;;;;;;;;No;Cabecera Municipal;63;;63001;;;63;63001;;QUINDIO;QUINDIO;Ninguno;No;22/04/1968;F;;;;;;;;;;ARMENIA;ARMENIA;;;COLOMBIA;COLOMBIA;N;;;;;;;;;1000;;;;;;;;;;;;;;;;;;;;;;CC;;No;No paga Pensión;Ninguna vez;Dos;No sabe;No sabe;Estrato 1;Entre 1 y menos de 2 SMLV;Nivel 1;Hogar;Trabajador por cuenta propia;Tres;Cemento, gravilla, ladrillo;No;Si;Si;Si;No;Si;Si;Si;Si;No;No;0;0;0;0;0;0;;0;0;;;;;16;0;0;0;0;0
20141;SB11201410088971;ESTUDIANTE;URBANO;N;A;TÉCNICO/ACADÉMICO;163001001325;163001001325;63;63001;84947;QUINDIO;MIXTO;SABATINA;ARMENIA;OFICIAL;INEM JOSE CELESTINO MUTIS;INEM JOSE CELESTINO MUTIS;S;A1;;;;;;;;;;;No;Cabecera Municipal;63;;63001;;;63;63001;;QUINDIO;QUINDIO;Ninguno;Si;08/12/1980;F;;No voy a continuar estudiando;;;;;;;;ARMENIA;ARMENIA;;;COLOMBIA;COLOMBIA;N;;;;;;;;;837;Muy bajo (Entre 0 y 30 puntos);Muy bajo (Entre 0 y 30 puntos);Muy bajo (Entre 0 y 30 puntos);;Si;;;;;;;;;;;;Entre 5 y 7 SMLV;Menos de 1 Salario Mínimo Legal Vigente (SMLV) (En 2013 el salario mínimo es de $589.500 pesos);Menos de 1 Salario Mínimo Legal Vigente (SMLV) (En 2013 el salario mínimo es de $589.500 pesos);;;CC;;Si, menos de 20 horas a la semana;No paga Pensión;Ninguna vez;Uno;No sabe;No sabe;Estrato 1;Entre 1 y menos de 2 SMLV;Nivel 1;Hogar;Pensionado;Cinco;Cemento, gravilla, ladrillo;Si;Si;Si;No;No;Si;Si;No;Si;No;No;38;39;28;21;47;50;;44;37;;;;;38;38;52;47;43;45
