periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_ingles;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_depto_presentacion;estu_depto_reside;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_individual;estu_pais_reside;estu_pilopaga;estu_privado_libertad;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_personashogar;fami_tieneautomovil;fami_tienecomputador;fami_tieneinternet;fami_tienelavadora;fami_tieneserviciotv;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20142;SB11201420095404;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;163001002046;163001002046;63;63001;31708;QUINDIO;MIXTO;TARDE;ARMENIA;OFICIAL;RUFINO JOSE CUERVO SUR;RUFINO JOSE CUERVO SUR;S;A1;S;63;63001;63;63001;QUINDIO;QUINDIO;Ninguno;29/04/1998;F;11;48.215168;ARMENIA;ARMENIA;COLOMBIA;NSE2;COLOMBIA;NO;N;Tres;Secundaria (Bachillerato) completa;No sabe;Estrato 2;Cinco;No;Si;No;No;Si;54;285;53;67;53;55
20142;SB11201420005274;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;163001000540;163001000540;63;63001;106716;QUINDIO;MIXTO;MAÑANA;ARMENIA;OFICIAL;CAMARA JUNIOR;CAMARA JUNIOR;S;A-;S;63;63001;63;63001;QUINDIO;QUINDIO;Ninguno;29/11/1997;F;11;54.041164;ARMENIA;ARMENIA;COLOMBIA;NSE3;COLOMBIA;NO;N;Cuatro;Técnica o tecnológica completa;Secundaria (Bachillerato) completa;Estrato 3;Tres;No;No;Si;Si;Si;58;269;48;57;61;41
20142;SB11201420397791;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO/ACADÉMICO;163001003069;163001003069;63;63001;115220;QUINDIO;MIXTO;NOCHE;ARMENIA;OFICIAL;CIUDADELA DE OCCIDENTE;CIUDADELA DE OCCIDENTE;S;A1;S;63;63001;63;63001;QUINDIO;QUINDIO;Ninguno;13/10/1991;F;26;43.44524;ARMENIA;ARMENIA;COLOMBIA;NSE2;COLOMBIA;NO;N;Tres;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 2;Cuatro;No;No;No;Si;No;43;252;52;47;57;54
20142;SB11201420488493;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO/ACADÉMICO;163470000291;163470000291;63;63470;13193;QUINDIO;MIXTO;NOCHE;MONTENEGRO;OFICIAL;INST MONTENEGRO;INST MONTENEGRO;S;A-;S;63;63190;63;63470;QUINDIO;QUINDIO;Ninguno;08/01/1985;F;26;45.142014;CIRCASIA;MONTENEGRO;COLOMBIA;NSE2;COLOMBIA;NO;N;Dos;No sabe;No sabe;Estrato 2;Dos;No;Si;No;No;Si;21;188;42;36;47;45
20142;SB11201420488543;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO/ACADÉMICO;163470000291;163470000291;63;63470;13193;QUINDIO;MIXTO;NOCHE;MONTENEGRO;OFICIAL;INST MONTENEGRO;INST MONTENEGRO;S;A-;S;63;63594;63;63470;QUINDIO;QUINDIO;Ninguno;17/05/1988;F;26;47.903515;QUIMBAYA;MONTENEGRO;COLOMBIA;NSE2;COLOMBIA;NO;N;Dos;Primaria incompleta;No sabe;Estrato 2;Diez;No;Si;Si;No;Si;34;165;42;36;29;30
20142;SB11201420027892;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;163272000278;163272000278;63;63272;13136;QUINDIO;MIXTO;MAÑANA;FILANDIA;OFICIAL;LICEO ANDINO DE LA SANTISIMA TRINIDAD;LICEO ANDINO DE LA SANTISIMA TRINIDAD;S;A1;S;63;63001;63;63272;QUINDIO;QUINDIO;Ninguno;22/09/1997;F;11;41.623291;ARMENIA;FILANDIA;COLOMBIA;NSE2;COLOMBIA;NO;N;Tres;Primaria incompleta;No sabe;Estrato 1;Cuatro;No;No;Si;No;No;33;207;50;47;42;41
20142;SB11201420097428;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;163001002046;163001002046;63;63001;31708;QUINDIO;MIXTO;TARDE;ARMENIA;OFICIAL;RUFINO JOSE CUERVO SUR;RUFINO JOSE CUERVO SUR;S;A1;S;63;63001;63;63001;QUINDIO;QUINDIO;;09/11/1997;F;11;53.301968;ARMENIA;ARMENIA;COLOMBIA;NSE3;COLOMBIA;NO;N;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 1;Cinco;No;Si;Si;Si;Si;54;257;50;50;49;53
20142;SB11201420129203;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;163001000515;163001000515;63;63001;114504;QUINDIO;MIXTO;TARDE;ARMENIA;OFICIAL;CRISTOBAL COLON;CRISTOBAL COLON;S;A-;S;63;63001;63;63001;QUINDIO;QUINDIO;Ninguno;04/08/1996;F;11;39.215054;ARMENIA;ARMENIA;COLOMBIA;NSE1;COLOMBIA;NO;N;Tres;Primaria incompleta;Primaria incompleta;Estrato 1;Cuatro;No;No;No;Si;No;46;248;41;55;47;53
20142;SB11201420079564;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;163130000998;163130000998;63;63130;86900;QUINDIO;MIXTO;MAÑANA;CALARCA;OFICIAL;TECNOL¿GICO;TECNOLOGICO;S;A-;S;63;63130;63;63130;QUINDIO;QUINDIO;Ninguno;28/04/2014;M;11;43.329071;CALARCA;CALARCA;COLOMBIA;NSE2;COLOMBIA;NO;N;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 1;Siete;No;No;No;Si;No;28;204;47;51;43;39
20142;SB11201420065812;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;163001001325;163001001325;63;63001;12955;QUINDIO;MIXTO;MAÑANA;ARMENIA;OFICIAL;INEM JOSE CELESTINO MUTIS;INEM JOSE CELESTINO MUTIS;S;A1;S;63;63001;63;63001;QUINDIO;QUINDIO;Ninguno;09/05/1998;F;11;54.712357;ARMENIA;ARMENIA;COLOMBIA;NSE3;COLOMBIA;NO;N;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 2;Tres;No;Si;Si;Si;Si;58;291;55;63;49;64
20142;SB11201420342500;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;163001003069;163001003069;63;63001;115212;QUINDIO;MIXTO;MAÑANA;ARMENIA;OFICIAL;CIUDADELA DE OCCIDENTE;CIUDADELA DE OCCIDENTE;S;A-;S;63;63001;63;63001;QUINDIO;QUINDIO;Ninguno;30/04/1996;F;11;47.215023;ARMENIA;ARMENIA;COLOMBIA;NSE2;COLOMBIA;NO;N;Dos;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) completa;Estrato 2;Tres;No;Si;No;No;No;38;218;42;44;45;48
20142;SB11201420414758;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;163001003301;163001003301;63;63001;123224;QUINDIO;MIXTO;TARDE;ARMENIA;OFICIAL;CIUDADELA DEL SUR;CIUDADELA DEL SUR;S;A-;S;63;63001;63;63001;QUINDIO;QUINDIO;Ninguno;25/06/1997;F;11;52.320591;ARMENIA;ARMENIA;COLOMBIA;NSE3;COLOMBIA;NO;N;Cuatro;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) incompleta;Estrato 1;Cinco;No;Si;Si;Si;Si;53;252;41;49;51;52
20142;SB11201420072561;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;163594000362;163594000362;63;63594;13268;QUINDIO;MIXTO;MAÑANA;QUIMBAYA;OFICIAL;MERCADOTECNIA MARIA INMACULADA;MERCADOTECNIA MARIA INMACULADA;S;A-;S;63;63594;63;63594;QUINDIO;QUINDIO;Ninguno;18/07/1996;M;11;47.05703;QUIMBAYA;QUIMBAYA;COLOMBIA;NSE2;COLOMBIA;NO;N;Cuatro;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 3;Ocho;No;No;Si;No;Si;34;183;38;31;35;46
20142;SB11201420098508;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;163001002046;163001002046;63;63001;31708;QUINDIO;MIXTO;TARDE;ARMENIA;OFICIAL;RUFINO JOSE CUERVO SUR;RUFINO JOSE CUERVO SUR;S;A1;S;63;63001;63;63001;QUINDIO;QUINDIO;Ninguno;08/08/1997;M;11;66.43425;ARMENIA;ARMENIA;COLOMBIA;NSE4;COLOMBIA;NO;N;Tres;Educación profesional completa;Educación profesional completa;Estrato 3;Cuatro;Si;Si;Si;Si;Si;59;261;57;52;50;46
20142;SB11201420513343;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;363001001821;363001001821;63;63001;103762;QUINDIO;MIXTO;COMPLETA;ARMENIA;NO OFICIAL;CAMPESTRE EDELMIRA NIETO;CAMPESTRE EDELMIRA NIETO;S;A1;S;63;63001;63;63001;QUINDIO;QUINDIO;Ninguno;08/04/1998;F;11;68.581535;ARMENIA;ARMENIA;COLOMBIA;NSE4;COLOMBIA;NO;N;Tres;Educación profesional completa;Educación profesional completa;Estrato 3;Cuatro;Si;Si;Si;Si;Si;62;297;56;63;58;56
20142;SB11201420116802;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;163001000515;163001000515;63;63001;114504;QUINDIO;MIXTO;TARDE;ARMENIA;OFICIAL;CRISTOBAL COLON;CRISTOBAL COLON;S;A1;S;63;63001;63;63001;QUINDIO;QUINDIO;Ninguno;07/12/1997;M;11;45.288952;ARMENIA;ARMENIA;COLOMBIA;NSE2;COLOMBIA;NO;N;Cuatro;Secundaria (Bachillerato) completa;Técnica o tecnológica completa;Estrato 2;Cinco;No;No;No;Si;Si;61;261;54;45;50;52
20142;SB11201420403293;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;163001002593;163001002593;63;63001;114512;QUINDIO;MIXTO;MAÑANA;ARMENIA;OFICIAL;LA ADIELA;LA ADIELA;S;A-;S;63;63001;63;63001;QUINDIO;QUINDIO;Ninguno;17/07/1997;M;11;46.068695;ARMENIA;ARMENIA;COLOMBIA;NSE2;COLOMBIA;NO;N;Tres;Primaria incompleta;No sabe;Estrato 2;Ocho;No;No;No;No;Si;49;247;44;48;49;53
20142;SB11201420233540;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;163001002127;163001002127;63;63001;185967;QUINDIO;MIXTO;TARDE;ARMENIA;OFICIAL;GUSTAVO MATAMOROS D COSTA;GUSTAVO MATAMOROS D'COSTA;S;B1;S;63;63001;63;63001;QUINDIO;QUINDIO;Ninguno;29/08/1997;M;11;48.160587;ARMENIA;ARMENIA;COLOMBIA;NSE2;COLOMBIA;NO;N;Tres;Primaria incompleta;Primaria incompleta;Estrato 2;Seis;No;Si;Si;Si;No;60;313;81;63;64;57
20142;SB11201420410410;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;163001002593;163001002593;63;63001;114512;QUINDIO;MIXTO;MAÑANA;ARMENIA;OFICIAL;LA ADIELA;LA ADIELA;S;A-;S;63;63001;63;63001;QUINDIO;QUINDIO;Ninguno;29/04/1997;F;11;46.968887;ARMENIA;ARMENIA;COLOMBIA;NSE2;COLOMBIA;NO;N;Tres;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 2;Siete;No;No;No;Si;Si;46;206;44;35;45;38
20142;SB11201420362136;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;163001001325;163001001325;63;63001;84947;QUINDIO;MIXTO;SABATINA;ARMENIA;OFICIAL;INEM JOSE CELESTINO MUTIS;INEM JOSE CELESTINO MUTIS;S;A-;S;63;63001;63;63001;QUINDIO;QUINDIO;Ninguno;22/02/1998;F;26;51.419609;ARMENIA;ARMENIA;COLOMBIA;NSE3;COLOMBIA;NO;N;Dos;Primaria completa;Secundaria (Bachillerato) completa;Estrato 1;Cuatro;Si;Si;Si;No;Si;53;223;45;44;41;40
20142;SB11201420014577;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;163001002941;163001002941;63;63001;86934;QUINDIO;MIXTO;MAÑANA;ARMENIA;OFICIAL;CASD HERMOGENES MAZA;CASD HERMOGENES MAZA;S;A2;S;63;63001;63;63001;QUINDIO;QUINDIO;Ninguno;18/01/1998;F;11;45.401031;ARMENIA;ARMENIA;COLOMBIA;NSE2;COLOMBIA;NO;N;Tres;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) completa;Estrato 2;Cuatro;No;No;No;Si;No;59;269;61;52;49;53
20142;SB11201420410357;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;163001002593;163001002593;63;63001;114512;QUINDIO;MIXTO;MAÑANA;ARMENIA;OFICIAL;LA ADIELA;LA ADIELA;S;A-;S;63;63001;63;63001;QUINDIO;QUINDIO;Ninguno;13/12/1997;F;11;48.472862;ARMENIA;ARMENIA;COLOMBIA;NSE2;COLOMBIA;NO;N;Tres;Secundaria (Bachillerato) incompleta;Primaria incompleta;Estrato 1;Cinco;No;Si;Si;Si;No;44;203;38;38;45;36
20142;SB11201420494558;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;163111000138;163111000138;63;63111;162792;QUINDIO;MIXTO;SABATINA;BUENAVISTA;OFICIAL;INST BUENAVISTA;INST BUENAVISTA;S;A-;S;76;76122;63;63111;VALLE;QUINDIO;Ninguno;06/05/1957;M;26;47.090282;CAICEDONIA;BUENAVISTA;COLOMBIA;NSE2;COLOMBIA;NO;N;Dos;Primaria incompleta;Primaria incompleta;Estrato 2;Tres;No;Si;No;Si;Si;35;203;48;43;38;44
20142;SB11201420403680;ESTUDIANTE;CC;RURAL;N;A;TÉCNICO/ACADÉMICO;263130000925;263130000925;63;63130;13045;QUINDIO;MIXTO;MAÑANA;CALARCA;OFICIAL;SAN BERNARDO;SAN BERNARDO;S;A-;S;63;63130;63;63130;QUINDIO;QUINDIO;;09/02/1996;M;11;49.01395;CALARCA;CALARCA;COLOMBIA;NSE2;COLOMBIA;NO;N;Tres;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 1;Cinco;No;Si;Si;Si;Si;42;225;45;44;50;44
