periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_dedicacioninternet;estu_dedicacionlecturadiaria;estu_depto_presentacion;estu_depto_reside;estu_discapacidad;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_horassemanatrabaja;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_establecimiento;estu_nse_individual;estu_pais_reside;estu_privado_libertad;estu_repite;estu_tieneetnia;estu_tiporemuneracion;fami_comecarnepescadohuevo;fami_comecerealfrutoslegumbre;fami_comelechederivados;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_situacioneconomica;fami_tieneautomovil;fami_tienecomputador;fami_tieneconsolavideojuegos;fami_tienehornomicroogas;fami_tieneinternet;fami_tienelavadora;fami_tienemotocicleta;fami_tieneserviciotv;fami_trabajolabormadre;fami_trabajolaborpadre;percentil_c_naturales;percentil_global;percentil_ingles;percentil_lectura_critica;percentil_matematicas;percentil_sociales_ciudadanas;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20222;SB11202240466889;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;163001000345;163001000345;63;63001;252841;QUINDIO;MIXTO;UNICA;ARMENIA;OFICIAL;ESTABLECIMIENTO EDUCATIVO ESCUELA NORMAL SUPERIOR;ESCUELA NORMAL SUPERIOR;S;3;B1;3;4;3;S;63;63001;63;63001;Más de 3 horas;30 minutos o menos;QUINDIO;QUINDIO;N;;14/02/2006;F;11;Menos de 10 horas;35.144188;ARMENIA;ARMENIA;COLOMBIA;3;1;COLOMBIA;N;0;No;Si, en efectivo;1 o 2 veces por semana;Nunca o rara vez comemos eso;Nunca o rara vez comemos eso;Dos;Secundaria (Bachillerato) completa;Educación profesional incompleta;Estrato 1;11 A 25 LIBROS;5 a 6;Igual;No;No;No;No;No;No;Si;No;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;95;95;91;88;96;96;67;339;69;65;71;68
20222;SB11202240208064;ESTUDIANTE;TI;URBANO;;A;TÉCNICO/ACADÉMICO;163001000396;163001000892;63;63001;734137;QUINDIO;MIXTO;UNICA;ARMENIA;OFICIAL;INSTITUCION EDUCATIVA ENRIQUE OLAYA HERRERA;GABRIELA MISTRAL;N;3;B1;3;3;2;S;63;63001;63;63001;30 minutos o menos;No leo por entretenimiento;QUINDIO;QUINDIO;N;;29/08/2005;M;11;0;44.635796;ARMENIA;ARMENIA;COLOMBIA;3;2;COLOMBIA;N;0;No;No;1 o 2 veces por semana;1 o 2 veces por semana;1 o 2 veces por semana;Cuatro;Técnica o tecnológica completa;No sabe;Estrato 1;0 A 10 LIBROS;3 a 4;Igual;No;No;No;No;No;Si;No;Si;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);No sabe;96;87;94;78;84;68;68;313;72;62;63;54
20222;SB11202240546125;ESTUDIANTE;TI;URBANO;;A;TÉCNICO/ACADÉMICO;163001003535;163001003535;63;63001;716100;QUINDIO;MIXTO;UNICA;ARMENIA;OFICIAL;ESTABLECIMIENTO EDUCATIVO LAURA VICUÑA;LAURA VICU½A  ;S;1;A1;2;2;2;S;63;63001;63;63001;Entre 1 y 3 horas;No leo por entretenimiento;QUINDIO;QUINDIO;N;;21/03/2006;F;11;0;51.763748;ARMENIA;ARMENIA;COLOMBIA;3;3;COLOMBIA;N;0;No;No;3 a 5 veces por semana;1 o 2 veces por semana;1 o 2 veces por semana;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) incompleta;Estrato 3;0 A 10 LIBROS;3 a 4;Igual;No;Si;No;Si;Si;Si;Si;Si;Trabaja en el hogar, no trabaja o estudia;Es vendedor o trabaja en atención al público;11;21;52;17;18;38;36;203;49;42;39;43
20222;SB11202240130613;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;163594000257;163594000257;63;63594;669408;QUINDIO;MIXTO;UNICA;QUIMBAYA;OFICIAL;INSTITUCION EDUCATIVA SIMON BOLIVAR;SIMON BOLIVAR;S;2;A-;1;2;1;S;63;63594;63;63594;30 minutos o menos;Entre 30 y 60 minutos;QUINDIO;QUINDIO;N;;10/12/2004;M;11;Menos de 10 horas;41.633728;QUIMBAYA;QUIMBAYA;COLOMBIA;2;2;COLOMBIA;N;0;No;Si, en efectivo;3 a 5 veces por semana;3 a 5 veces por semana;1 o 2 veces por semana;Dos;Primaria completa;Primaria incompleta;Estrato 1;0 A 10 LIBROS;3 a 4;Igual;No;No;No;No;Si;Si;No;No;No aplica;Trabaja en el hogar, no trabaja o estudia;37;20;41;5;35;17;44;202;45;35;46;35
20222;SB11202240615212;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;363001002797;363001002797;63;63001;78592;QUINDIO;MIXTO;SABATINA;ARMENIA;NO OFICIAL;EDUARDO CABALLERO CALDERON;EDUARDO CABALLERO CALDERON;S;2;A-;1;1;1;S;63;63001;63;63001;Más de 3 horas;Entre 30 y 60 minutos;QUINDIO;QUINDIO;N;;24/07/2003;F;26;0;56.526737;ARMENIA;ARMENIA;COLOMBIA;2;3;COLOMBIA;N;0;No;Si, en efectivo;3 a 5 veces por semana;3 a 5 veces por semana;3 a 5 veces por semana;Tres;Secundaria (Bachillerato) incompleta;Educación profesional completa;Estrato 3;11 A 25 LIBROS;5 a 6;Peor;No;Si;Si;No;Si;Si;No;Si;Trabaja en el hogar, no trabaja o estudia;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);34;6;15;5;8;2;44;173;36;35;33;26
20222;SB11202240615172;ESTUDIANTE;TI;RURAL;N;A;TÉCNICO/ACADÉMICO;263001000421;263001003675;63;63001;502419;QUINDIO;MIXTO;UNICA;ARMENIA;OFICIAL;INSTITUCION EDUCATIVA EL CAIMO;LA ESPERANZA;N;3;A2;3;3;2;S;63;63001;63;63001;Entre 30 y 60 minutos;Entre 1 y 2 horas;QUINDIO;QUINDIO;N;;09/02/2005;F;11;0;53.492683;ARMENIA;ARMENIA;COLOMBIA;2;3;COLOMBIA;N;0;;No;Todos o casi todos los días;3 a 5 veces por semana;3 a 5 veces por semana;Tres;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) completa;Estrato 3;26 A 100 LIBROS;5 a 6;Mejor;No;No;Si;Si;Si;Si;No;Si;Trabaja en el hogar, no trabaja o estudia;Es operario de máquinas o conduce vehículos (taxita, chofer);76;70;84;56;70;64;57;279;62;55;57;52
20222;SB11202240302484;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;163001000515;163001000949;63;63001;662213;QUINDIO;MIXTO;UNICA;ARMENIA;OFICIAL;INSTITUCION EDUCATIVA CRISTOBAL COLON;GRAN COLOMBIA;N;2;A1;4;3;2;S;63;63001;63;63001;Más de 3 horas;30 minutos o menos;QUINDIO;QUINDIO;N;;19/06/2005;F;11;0;59.221786;ARMENIA;ARMENIA;COLOMBIA;2;3;COLOMBIA;N;0;No;No;3 a 5 veces por semana;3 a 5 veces por semana;3 a 5 veces por semana;Tres;Educación profesional completa;Técnica o tecnológica incompleta;Estrato 3;11 A 25 LIBROS;3 a 4;Igual;No;Si;No;Si;Si;Si;Si;Si;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);No sabe;69;68;60;91;52;53;54;275;52;67;52;48
20222;SB11202240581304;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;163001000353;163001000353;63;63001;12773;QUINDIO;MIXTO;MAÑANA;ARMENIA;OFICIAL;INSTITUCION EDUCATIVA NACIONAL JESUS MARIA OCAMPO;NACIONAL JESUS MARIA OCAMPO;S;2;A-;2;2;2;S;63;63001;63;63001;Entre 1 y 3 horas;No leo por entretenimiento;QUINDIO;QUINDIO;N;;30/04/2004;F;11;0;55.74683;ARMENIA;ARMENIA;COLOMBIA;2;3;COLOMBIA;N;0;No;No;Todos o casi todos los días;Todos o casi todos los días;3 a 5 veces por semana;Tres;Técnica o tecnológica incompleta;Educación profesional completa;Estrato 3;0 A 10 LIBROS;7 a 8;Igual;No;No;No;No;Si;Si;Si;Si;Trabaja por cuenta propia (por ejemplo plomero, electricista);Trabaja como profesional (por ejemplo médico, abogado, ingeniero);44;38;38;15;25;71;46;229;44;41;42;55
20222;SB11202240580669;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;163001000353;163001000353;63;63001;12773;QUINDIO;MIXTO;MAÑANA;ARMENIA;OFICIAL;INSTITUCION EDUCATIVA NACIONAL JESUS MARIA OCAMPO;NACIONAL JESUS MARIA OCAMPO;S;2;A-;3;2;3;S;63;63001;63;63001;Entre 1 y 3 horas;Entre 30 y 60 minutos;QUINDIO;QUINDIO;N;;12/06/2004;F;11;0;47.039288;ARMENIA;ARMENIA;COLOMBIA;2;2;COLOMBIA;N;0;No;No;1 o 2 veces por semana;3 a 5 veces por semana;1 o 2 veces por semana;Dos;Técnica o tecnológica completa;Secundaria (Bachillerato) completa;Estrato 3;26 A 100 LIBROS;3 a 4;Igual;No;No;No;No;No;Si;No;Si;Trabaja en el hogar, no trabaja o estudia;No sabe;53;56;30;75;20;77;49;256;41;61;40;58
20222;SB11202240298278;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;163130001137;163130001137;63;63130;736017;QUINDIO;MIXTO;UNICA;CALARCÁ;OFICIAL;INSTITUCION EDUCATIVA GENERAL SANTANDER;GENERAL SANTANDER;S;2;A-;3;3;2;S;63;63130;63;63130;Entre 30 y 60 minutos;No leo por entretenimiento;QUINDIO;QUINDIO;N;;01/06/2005;M;11;0;51.421658;CALARCÁ;CALARCÁ;COLOMBIA;2;3;COLOMBIA;N;0;No;No;1 o 2 veces por semana;Todos o casi todos los días;Todos o casi todos los días;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 2;;3 a 4;Mejor;No;No;No;Si;Si;Si;Si;No;No sabe;Trabaja por cuenta propia (por ejemplo plomero, electricista);66;51;45;45;57;39;53;249;47;51;53;43
