periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_dedicacioninternet;estu_dedicacionlecturadiaria;estu_depto_presentacion;estu_depto_reside;estu_discapacidad;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_horassemanatrabaja;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_establecimiento;estu_nse_individual;estu_pais_reside;estu_pilopaga;estu_privado_libertad;estu_repite;estu_tieneetnia;estu_tiporemuneracion;fami_comecarnepescadohuevo;fami_comecerealfrutoslegumbre;fami_comelechederivados;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_situacioneconomica;fami_tieneautomovil;fami_tienecomputador;fami_tieneconsolavideojuegos;fami_tienehornomicroogas;fami_tieneinternet;fami_tienelavadora;fami_tienemotocicleta;fami_tieneserviciotv;fami_trabajolabormadre;fami_trabajolaborpadre;percentil_c_naturales;percentil_global;percentil_ingles;percentil_lectura_critica;percentil_matematicas;percentil_sociales_ciudadanas;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20171;SB11201710023350;ESTUDIANTE;TI;RURAL;S;B;ACADÉMICO;366001003814;366001003814;66;66001;77776;RISARALDA;MIXTO;COMPLETA;PEREIRA;NO OFICIAL;COL FUNDACION LIC INGLES;COL FUNDACION LIC INGLES;S;4;B+;4;4;4;S;66;66001;66;66001;Entre 1 y 3 horas;Entre 30 y 60 minutos;RISARALDA;RISARALDA;N;;14/09/1999;M;11;0;74.582306;PEREIRA;PEREIRA;COLOMBIA;4;NSE4;COLOMBIA;NO;N;0;No;Si, en efectivo;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Tres;Educación profesional completa;Educación profesional completa;Estrato 5;MÁS DE 100 LIBROS;3 a 4;Igual;Si;Si;Si;Si;Si;Si;No;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja como profesional (por ejemplo médico, abogado, ingeniero);100;100;98;92;95;98;100;419;97;73;78;80
20171;SB11201710021840;ESTUDIANTE;TI;RURAL;S;B;ACADÉMICO;366001003814;366001003814;66;66001;77776;RISARALDA;MIXTO;COMPLETA;PEREIRA;NO OFICIAL;COL FUNDACION LIC INGLES;COL FUNDACION LIC INGLES;S;4;B+;4;4;3;S;66;66001;66;66001;Entre 30 y 60 minutos;30 minutos o menos;RISARALDA;RISARALDA;N;;27/01/1999;F;11;0;69.019127;PEREIRA;PEREIRA;COLOMBIA;4;NSE4;COLOMBIA;NO;N;0;No;No;3 a 5 veces por semana;3 a 5 veces por semana;Todos o casi todos los días;Tres;Educación profesional completa;Educación profesional completa;Estrato 6;26 A 100 LIBROS;3 a 4;Igual;Si;Si;Si;Si;Si;Si;No;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;89;91;93;81;98;79;72;368;89;68;81;68
20171;SB11201710090358;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;366001006741;366001006741;66;66001;103770;RISARALDA;MIXTO;MAÑANA;PEREIRA;NO OFICIAL;COL ANGLO COLOMBIANO;COL ANGLO COLOMBIANO - SEDE PRINCIPAL;S;2;A1;3;2;3;N;66;66001;66;66001;Más de 3 horas;No leo por entretenimiento;RISARALDA;RISARALDA;N;;18/09/1999;M;26;0;52.773434;PEREIRA;PEREIRA;COLOMBIA;3;NSE3;COLOMBIA;NO;N;0;No;No;1 o 2 veces por semana;1 o 2 veces por semana;Todos o casi todos los días;Tres;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 5;0 A 10 LIBROS;3 a 4;Peor;Si;Si;No;Si;Si;Si;No;Si;Trabaja en el hogar, no trabaja o estudia;Es agricultor, pesquero o jornalero;43;45;33;54;31;63;55;276;49;59;48;61
20171;SB11201710090347;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;366001006741;366001006741;66;66001;103770;RISARALDA;MIXTO;MAÑANA;PEREIRA;NO OFICIAL;COL ANGLO COLOMBIANO;COL ANGLO COLOMBIANO - SEDE PRINCIPAL;S;2;A-;2;1;2;N;66;66001;66;66001;Más de 3 horas;No leo por entretenimiento;RISARALDA;RISARALDA;N;;16/03/1997;M;26;Entre 11 y 20 horas;64.835197;PEREIRA;PEREIRA;COLOMBIA;3;NSE4;COLOMBIA;NO;N;0;No;Si, en efectivo;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Dos;Educación profesional completa;Educación profesional completa;Estrato 3;26 A 100 LIBROS;1 a 2;Mejor;No;Si;No;Si;Si;Si;No;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja como profesional (por ejemplo médico, abogado, ingeniero);14;10;13;12;6;18;42;200;36;43;33;43
20171;SB11201710090345;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;366001006741;366001006741;66;66001;103770;RISARALDA;MIXTO;MAÑANA;PEREIRA;NO OFICIAL;COL ANGLO COLOMBIANO;COL ANGLO COLOMBIANO - SEDE PRINCIPAL;S;2;A2;3;2;3;N;66;66001;66;66001;30 minutos o menos;30 minutos o menos;RISARALDA;RISARALDA;N;;28/09/1999;M;26;;;PEREIRA;PEREIRA;COLOMBIA;3;;COLOMBIA;NO;N;0;No;;Todos o casi todos los días;Todos o casi todos los días;Nunca o rara vez comemos eso;;Técnica o tecnológica completa;Secundaria (Bachillerato) completa;Sin Estrato;11 A 25 LIBROS;;;;;;;;;;;;;26;44;59;63;30;54;48;275;67;62;48;58
20171;SB11201710090180;ESTUDIANTE;CC;URBANO;;A;;366001007526;366001007526;66;66001;663310;RISARALDA;MIXTO;SABATINA;PEREIRA;NO OFICIAL;INSTITUTO EDUCATIVO HUMANISTA;INSTITUTO EDUCATIVO HUMANISTA - SEDE PRINCIPAL;S;2;A-;2;1;1;N;63;63001;66;66001;Más de 3 horas;Entre 1 y 2 horas;QUINDIO;RISARALDA;N;;07/05/1998;F;26;Menos de 10 horas;53.950573;ARMENIA;PEREIRA;COLOMBIA;;NSE3;COLOMBIA;NO;N;0;No;Si, en efectivo;Todos o casi todos los días;3 a 5 veces por semana;Todos o casi todos los días;Dos;Secundaria (Bachillerato) completa;No Aplica;Estrato 2;26 A 100 LIBROS;3 a 4;Mejor;No;Si;No;No;Si;Si;Si;Si;Trabaja en el hogar, no trabaja o estudia;No aplica;17;6;7;8;7;5;44;188;30;41;34;34
20171;SB11201710090176;ESTUDIANTE;CC;URBANO;;A;;366440000589;366440000589;66;66440;663328;RISARALDA;MIXTO;SABATINA;MARSELLA;NO OFICIAL;INSTITUTO EDUCATIVO HUMANISTA;INSTITUTO EDUCATIVO HUMANISTA;S;2;A-;2;1;2;N;66;66001;66;66440;Más de 3 horas;No leo por entretenimiento;RISARALDA;RISARALDA;N;;23/03/1998;M;26;0;56.95842;PEREIRA;MARSELLA;COLOMBIA;2;NSE3;COLOMBIA;NO;N;0;No;No;Todos o casi todos los días;3 a 5 veces por semana;3 a 5 veces por semana;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 2;11 A 25 LIBROS;3 a 4;Mejor;No;Si;Si;Si;Si;Si;No;Si;Trabaja en el hogar, no trabaja o estudia;Es operario de máquinas o conduce vehículos (taxita, chofer);21;15;10;14;6;28;46;212;34;44;34;48
20171;SB11201710090124;ESTUDIANTE;TI;URBANO;;A;;366440000589;366440000589;66;66440;663328;RISARALDA;MIXTO;SABATINA;MARSELLA;NO OFICIAL;INSTITUTO EDUCATIVO HUMANISTA;INSTITUTO EDUCATIVO HUMANISTA;S;1;A-;2;3;2;N;66;66001;66;66440;30 minutos o menos;Entre 30 y 60 minutos;RISARALDA;RISARALDA;N;;22/02/1999;F;26;Entre 21 y 30 horas;46.056351;PEREIRA;MARSELLA;COLOMBIA;2;NSE2;COLOMBIA;NO;N;0;No;Si, en efectivo;Todos o casi todos los días;3 a 5 veces por semana;1 o 2 veces por semana;Cuatro;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 2;0 A 10 LIBROS;7 a 8;Igual;No;Si;No;No;No;Si;No;Si;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;Es operario de máquinas o conduce vehículos (taxita, chofer);7;26;14;26;45;39;37;237;37;49;54;53
20171;SB11201710090121;ESTUDIANTE;CC;URBANO;;A;;366440000589;366440000589;66;66440;663328;RISARALDA;MIXTO;SABATINA;MARSELLA;NO OFICIAL;INSTITUTO EDUCATIVO HUMANISTA;INSTITUTO EDUCATIVO HUMANISTA;S;1;A-;1;1;1;N;66;66001;66;66440;Más de 3 horas;30 minutos o menos;RISARALDA;RISARALDA;N;;17/02/1996;M;26;Más de 30 horas;33.66394;PEREIRA;MARSELLA;COLOMBIA;2;NSE1;COLOMBIA;NO;N;0;No;Si, en efectivo;1 o 2 veces por semana;Todos o casi todos los días;1 o 2 veces por semana;Cuatro;Ninguno;Secundaria (Bachillerato) completa;Sin Estrato;0 A 10 LIBROS;7 a 8;Igual;No;No;No;No;No;No;No;No;Trabaja en el hogar, no trabaja o estudia;Es agricultor, pesquero o jornalero;8;4;21;3;7;5;38;178;41;35;34;34
20171;SB11201710090002;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;366001006571;366001006571;66;66001;109660;RISARALDA;MIXTO;MAÑANA;PEREIRA;NO OFICIAL;COL DE ENSEÑANZA LATINOAMERICANO;COL DE ENSEÑANZA LATINOAMERICANO;S;2;A-;2;2;2;N;66;66001;66;66001;Entre 1 y 3 horas;30 minutos o menos;RISARALDA;RISARALDA;N;;24/06/1999;M;26;Menos de 10 horas;50.53252;PEREIRA;PEREIRA;COLOMBIA;3;NSE2;COLOMBIA;NO;N;0;No;Si, en efectivo;3 a 5 veces por semana;3 a 5 veces por semana;Nunca o rara vez comemos eso;Tres;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 2;11 A 25 LIBROS;5 a 6;Igual;No;Si;No;No;Si;Si;Si;Si;Es vendedor o trabaja en atención al público;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);16;18;16;12;28;17;44;219;38;43;47;43
