periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_dedicacioninternet;estu_dedicacionlecturadiaria;estu_depto_presentacion;estu_depto_reside;estu_discapacidad;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_horassemanatrabaja;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_establecimiento;estu_nse_individual;estu_pais_reside;estu_privado_libertad;estu_repite;estu_tieneetnia;estu_tiporemuneracion;fami_comecarnepescadohuevo;fami_comecerealfrutoslegumbre;fami_comelechederivados;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_situacioneconomica;fami_tieneautomovil;fami_tienecomputador;fami_tieneconsolavideojuegos;fami_tienehornomicroogas;fami_tieneinternet;fami_tienelavadora;fami_tienemotocicleta;fami_tieneserviciotv;fami_trabajolabormadre;fami_trabajolaborpadre;percentil_c_naturales;percentil_global;percentil_ingles;percentil_lectura_critica;percentil_matematicas;percentil_sociales_ciudadanas;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20211;SB11202110065784;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;166682001319;166682001319;66;66682;725895;RISARALDA;MIXTO;UNICA;SANTA ROSA DE CABAL;OFICIAL;INST TECNOL  DE SANTA ROSA;SE INSTITUTO TECNICO INDUSTRIAL - SEDE PRINCIPAL;S;1;A-;2;2;2;N;66;66001;;;;;RISARALDA;;N;;15/06/2002;M;11;;56.380276;PEREIRA;;COLOMBIA;3;3;COLOMBIA;N;0;;;;;;;;;;;;;;;;;;;;;;;5;8;12;10;6;15;38;208;46;46;38;43
20211;SB11202110065380;ESTUDIANTE;CC;URBANO;N;OTRO;ACADÉMICO;366001006694;366001006694;66;66001;737197;RISARALDA;MIXTO;MAÑANA;PEREIRA;NO OFICIAL;LICEO ANDINO;COL LIC ANDINO;S;3;A1;3;3;3;N;66;66001;66;66001;Más de 3 horas;Más de 2 horas;RISARALDA;RISARALDA;N;;27/10/2002;M;11;Entre 11 y 20 horas;62.675766;PEREIRA;PEREIRA;COLOMBIA;3;3;COLOMBIA;N;0;;Si, en efectivo y especie;Todos o casi todos los días;3 a 5 veces por semana;Todos o casi todos los días;Dos;Educación profesional completa;Educación profesional completa;Estrato 3;MÁS DE 100 LIBROS;3 a 4;Mejor;No;Si;Si;Si;Si;Si;Si;Si;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;52;44;18;58;27;68;59;299;51;65;53;65
20211;SB11202110006271;ESTUDIANTE;TI;RURAL;S;B;ACADÉMICO;366001004926;366001004926;66;66001;58065;RISARALDA;MIXTO;COMPLETA;PEREIRA;NO OFICIAL;COL LIC FRANCES DE PEREIRA;COL LIC FRANCES DE PEREIRA;S;3;B+;4;4;4;S;66;66001;66;66001;Entre 1 y 3 horas;Entre 30 y 60 minutos;RISARALDA;RISARALDA;N;;16/08/2003;F;11;0;61.8773;PEREIRA;PEREIRA;COLOMBIA;4;3;COLOMBIA;N;0;No;No;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Tres;Técnica o tecnológica incompleta;Secundaria (Bachillerato) completa;Estrato 5;26 A 100 LIBROS;3 a 4;Igual;Si;Si;No;Si;Si;Si;No;Si;Trabaja en el hogar, no trabaja o estudia;No aplica;76;81;90;62;80;90;66;353;87;66;72;73
20211;SB11202110063716;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;366001006741;366001006741;66;66001;103770;RISARALDA;MIXTO;MAÑANA;PEREIRA;NO OFICIAL;COL ANGLO COLOMBIANO;COL ANGLO COLOMBIANO - SEDE PRINCIPAL;S;3;B1;3;3;2;N;66;66001;66;66001;Más de 3 horas;No leo por entretenimiento;RISARALDA;RISARALDA;N;;12/02/2004;F;11;0;63.715397;PEREIRA;PEREIRA;COLOMBIA;3;3;COLOMBIA;N;0;;No;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 6;11 A 25 LIBROS;1 a 2;Igual;Si;Si;Si;Si;Si;Si;No;Si;No aplica;No aplica;48;37;51;36;38;26;58;287;72;59;58;50
20211;SB11202110005106;ESTUDIANTE;TI;RURAL;S;B;ACADÉMICO;466001005641;466001005641;66;66001;135905;RISARALDA;MIXTO;COMPLETA;PEREIRA;NO OFICIAL;LIC CAMPESTRE DE PEREIRA;LIC CAMPESTRE DE PEREIRA;S;4;B+;4;4;3;S;66;66001;66;66001;Más de 3 horas;Entre 30 y 60 minutos;RISARALDA;RISARALDA;N;;04/01/2005;M;11;0;72.614983;PEREIRA;PEREIRA;COLOMBIA;4;4;COLOMBIA;N;0;No;No;Todos o casi todos los días;3 a 5 veces por semana;Todos o casi todos los días;Tres;Educación profesional completa;Educación profesional completa;Estrato 3;MÁS DE 100 LIBROS;3 a 4;Mejor;Si;Si;Si;Si;Si;Si;Si;Si;Trabaja en el hogar, no trabaja o estudia;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);97;92;100;92;90;67;76;375;100;75;76;65
20211;SB11202110005100;ESTUDIANTE;TI;RURAL;S;B;ACADÉMICO;466001005641;466001005641;66;66001;135905;RISARALDA;MIXTO;COMPLETA;PEREIRA;NO OFICIAL;LIC CAMPESTRE DE PEREIRA;LIC CAMPESTRE DE PEREIRA;S;3;B1;3;3;3;S;66;66001;66;66001;Entre 1 y 3 horas;Entre 30 y 60 minutos;RISARALDA;RISARALDA;N;;14/11/2003;M;11;0;60.00132;PEREIRA;PEREIRA;COLOMBIA;4;3;COLOMBIA;N;0;No;No;3 a 5 veces por semana;3 a 5 veces por semana;Nunca o rara vez comemos eso;Uno;Técnica o tecnológica incompleta;Secundaria (Bachillerato) completa;Estrato 4;26 A 100 LIBROS;5 a 6;Mejor;Si;Si;Si;No;Si;Si;No;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja como profesional (por ejemplo médico, abogado, ingeniero);49;59;62;38;60;83;59;322;77;59;65;70
20211;SB11202110065223;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;366001006635;366001006635;66;66001;110676;RISARALDA;MIXTO;MAÑANA;PEREIRA;NO OFICIAL;COL BOSTON PEREIRA;COL BOSTON PEREIRA - SEDE PRINCIPAL;S;2;A1;3;2;2;N;66;66001;66;66001;Entre 30 y 60 minutos;Más de 2 horas;RISARALDA;RISARALDA;N;;10/01/1993;F;11;0;60.2076;PEREIRA;PEREIRA;COLOMBIA;3;3;COLOMBIA;N;0;;No;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 5;0 A 10 LIBROS;1 a 2;Igual;Si;Si;Si;Si;Si;Si;Si;Si;Trabaja en el hogar, no trabaja o estudia;Trabaja por cuenta propia (por ejemplo plomero, electricista);21;17;21;27;5;29;48;241;53;55;37;51
20211;SB11202110037077;ESTUDIANTE;TI;RURAL;S;B;ACADÉMICO;366001003814;366001003814;66;66001;77776;RISARALDA;MIXTO;COMPLETA;PEREIRA;NO OFICIAL;COL FUNDACION LIC INGLES;COL FUNDACION LIC INGLES;S;3;B+;3;4;2;S;66;66001;66;66001;Entre 1 y 3 horas;No leo por entretenimiento;RISARALDA;RISARALDA;N;;16/02/2003;M;11;0;65.921448;PEREIRA;PEREIRA;COLOMBIA;4;4;COLOMBIA;N;0;No;No;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Dos;Educación profesional completa;Secundaria (Bachillerato) incompleta;Estrato 6;26 A 100 LIBROS;3 a 4;Igual;Si;Si;Si;Si;Si;Si;No;Si;Trabaja en el hogar, no trabaja o estudia;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;64;54;78;41;77;28;63;314;82;60;71;51
20211;SB11202110005160;ESTUDIANTE;CC;RURAL;S;B;ACADÉMICO;466001005641;466001005641;66;66001;135905;RISARALDA;MIXTO;COMPLETA;PEREIRA;NO OFICIAL;LIC CAMPESTRE DE PEREIRA;LIC CAMPESTRE DE PEREIRA;S;3;B+;3;3;3;S;66;66001;66;66001;;;RISARALDA;RISARALDA;N;;14/10/2002;F;11;;;PEREIRA;PEREIRA;COLOMBIA;4;;COLOMBIA;N;0;No;;;;;;;;;;;;;;;;;;;;;;40;51;69;51;53;52;56;310;79;63;63;60
20211;SB11202110063851;ESTUDIANTE;TI;URBANO;N;OTRO;ACADÉMICO;366001006694;366001006694;66;66001;737197;RISARALDA;MIXTO;MAÑANA;PEREIRA;NO OFICIAL;LICEO ANDINO;COL LIC ANDINO;S;2;A2;3;3;2;N;66;66001;66;66001;Más de 3 horas;30 minutos o menos;RISARALDA;RISARALDA;N;;11/05/2004;F;11;0;68.545639;PEREIRA;PEREIRA;COLOMBIA;3;4;COLOMBIA;N;0;;No;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Cuatro;No sabe;No sabe;Estrato 2;26 A 100 LIBROS;5 a 6;Igual;Si;Si;Si;No;Si;Si;Si;Si;Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;32;24;30;19;31;21;53;261;58;52;55;47
20211;SB11202110057074;ESTUDIANTE;TI;RURAL;S;B;ACADÉMICO;366001006686;366001006686;66;66001;155036;RISARALDA;MIXTO;COMPLETA;PEREIRA;NO OFICIAL;LIC TALLER SAN MIGUEL;LIC TALLER SAN MIGUEL;S;3;B1;4;4;4;S;66;66001;66;66001;No Navega Internet;Entre 1 y 2 horas;RISARALDA;RISARALDA;N;;15/11/0003;M;11;Entre 11 y 20 horas;52.664486;PEREIRA;PEREIRA;COLOMBIA;4;3;COLOMBIA;N;0;No;No;1 o 2 veces por semana;;1 o 2 veces por semana;Seis o mas;No sabe;Educación profesional completa;Estrato 4;0 A 10 LIBROS;5 a 6;Peor;Si;Si;Si;Si;No;No;Si;;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Es vendedor o trabaja en atención al público;79;84;63;81;80;91;67;358;78;71;72;74
20211;SB11202110035741;ESTUDIANTE;TI;RURAL;S;B;ACADÉMICO;366001003814;366001003814;66;66001;77776;RISARALDA;MIXTO;COMPLETA;PEREIRA;NO OFICIAL;COL FUNDACION LIC INGLES;COL FUNDACION LIC INGLES;S;4;B+;4;4;3;S;66;66001;66;66001;Entre 30 y 60 minutos;Más de 2 horas;RISARALDA;RISARALDA;N;;16/09/2004;F;11;Menos de 10 horas;64.764732;PEREIRA;PEREIRA;COLOMBIA;4;4;COLOMBIA;N;0;No;Si, en efectivo;Todos o casi todos los días;Todos o casi todos los días;1 o 2 veces por semana;Tres;Educación profesional completa;Postgrado;Estrato 5;MÁS DE 100 LIBROS;3 a 4;Mejor;Si;Si;No;No;Si;Si;No;Si;Trabaja en el hogar, no trabaja o estudia;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);97;94;100;91;92;78;76;380;100;74;77;69
20211;SB11202110035860;ESTUDIANTE;TI;RURAL;S;B;ACADÉMICO;366001003814;366001003814;66;66001;77776;RISARALDA;MIXTO;COMPLETA;PEREIRA;NO OFICIAL;COL FUNDACION LIC INGLES;COL FUNDACION LIC INGLES;S;3;B+;3;2;3;S;66;66001;66;66001;Más de 3 horas;Entre 30 y 60 minutos;RISARALDA;RISARALDA;N;;07/08/2003;M;11;0;61.749054;PEREIRA;PEREIRA;COLOMBIA;4;3;COLOMBIA;N;0;No;No;3 a 5 veces por semana;3 a 5 veces por semana;Todos o casi todos los días;Dos;Técnica o tecnológica incompleta;Secundaria (Bachillerato) completa;Estrato 6;26 A 100 LIBROS;1 a 2;Igual;No;Si;Si;Si;Si;Si;No;Si;Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;No aplica;44;38;75;52;16;39;57;289;82;63;47;56
20211;SB11202110064058;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;366001006741;366001006741;66;66001;103770;RISARALDA;MIXTO;MAÑANA;PEREIRA;NO OFICIAL;COL ANGLO COLOMBIANO;COL ANGLO COLOMBIANO - SEDE PRINCIPAL;S;2;A1;3;2;1;N;66;66001;66;66001;Entre 1 y 3 horas;30 minutos o menos;RISARALDA;RISARALDA;N;;06/11/2003;F;11;Menos de 10 horas;48.427826;PEREIRA;PEREIRA;COLOMBIA;3;2;COLOMBIA;N;0;;No;1 o 2 veces por semana;1 o 2 veces por semana;3 a 5 veces por semana;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) incompleta;Estrato 3;0 A 10 LIBROS;1 a 2;Igual;No;Si;No;No;Si;No;No;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja en el hogar, no trabaja o estudia;10;13;28;29;11;9;42;230;57;56;44;38
20211;SB11202110064054;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;366001006741;366001006741;66;66001;103770;RISARALDA;MIXTO;MAÑANA;PEREIRA;NO OFICIAL;COL ANGLO COLOMBIANO;COL ANGLO COLOMBIANO - SEDE PRINCIPAL;S;1;A-;3;3;2;N;66;66001;66;66001;;;RISARALDA;RISARALDA;N;;25/02/2003;F;11;;;PEREIRA;PEREIRA;COLOMBIA;3;;COLOMBIA;N;0;;;;;;;;;;;;;;;;;;;;;;;4;13;3;33;23;14;36;228;32;58;51;42
20211;SB11202110037021;ESTUDIANTE;TI;RURAL;S;B;ACADÉMICO;366001003814;366001003814;66;66001;77776;RISARALDA;MIXTO;COMPLETA;PEREIRA;NO OFICIAL;COL FUNDACION LIC INGLES;COL FUNDACION LIC INGLES;S;2;B1;3;2;2;S;66;66001;66;66001;Entre 30 y 60 minutos;Entre 30 y 60 minutos;RISARALDA;RISARALDA;N;;10/01/2003;M;11;0;68.293121;PEREIRA;PEREIRA;COLOMBIA;4;4;COLOMBIA;N;0;No;No;Todos o casi todos los días;Todos o casi todos los días;3 a 5 veces por semana;Tres;Educación profesional completa;Secundaria (Bachillerato) completa;Estrato 6;26 A 100 LIBROS;3 a 4;Igual;Si;Si;Si;Si;Si;Si;No;Si;Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;37;29;60;39;14;24;55;272;76;60;46;49
20211;SB11202110009822;ESTUDIANTE;TI;RURAL;S;B;ACADÉMICO;366001004926;366001004926;66;66001;58065;RISARALDA;MIXTO;COMPLETA;PEREIRA;NO OFICIAL;COL LIC FRANCES DE PEREIRA;COL LIC FRANCES DE PEREIRA;S;2;B1;3;3;2;S;66;66001;66;66001;Entre 1 y 3 horas;Entre 30 y 60 minutos;RISARALDA;RISARALDA;N;;13/11/2003;F;11;Entre 21 y 30 horas;72.012421;PEREIRA;PEREIRA;COLOMBIA;4;4;COLOMBIA;N;0;No;No;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Cuatro;Educación profesional completa;Educación profesional completa;Estrato 6;26 A 100 LIBROS;3 a 4;Mejor;Si;Si;Si;Si;Si;Si;No;Si;Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;20;32;50;25;56;26;48;278;71;55;64;50
20211;SB11202110009023;ESTUDIANTE;TI;RURAL;S;B;ACADÉMICO;366001004926;366001004926;66;66001;58065;RISARALDA;MIXTO;COMPLETA;PEREIRA;NO OFICIAL;COL LIC FRANCES DE PEREIRA;COL LIC FRANCES DE PEREIRA;S;3;B1;3;4;3;S;66;66001;66;66001;Entre 1 y 3 horas;30 minutos o menos;RISARALDA;RISARALDA;N;;13/01/2003;F;11;0;83.663795;PEREIRA;PEREIRA;COLOMBIA;4;4;COLOMBIA;N;0;No;No;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Dos;Postgrado;Postgrado;Estrato 6;MÁS DE 100 LIBROS;3 a 4;Igual;Si;Si;Si;Si;Si;Si;No;Si;No aplica;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);81;69;51;41;82;70;68;336;72;60;73;66
20211;SB11202110009252;ESTUDIANTE;TI;RURAL;S;B;ACADÉMICO;366001004926;366001004926;66;66001;58065;RISARALDA;MIXTO;COMPLETA;PEREIRA;NO OFICIAL;COL LIC FRANCES DE PEREIRA;COL LIC FRANCES DE PEREIRA;S;3;B+;4;3;3;S;66;66001;66;66001;Más de 3 horas;Más de 2 horas;RISARALDA;RISARALDA;N;;18/04/2003;F;11;0;72.646332;PEREIRA;PEREIRA;COLOMBIA;4;4;COLOMBIA;N;0;No;No;1 o 2 veces por semana;Todos o casi todos los días;3 a 5 veces por semana;Cuatro;Educación profesional completa;Educación profesional completa;Estrato 6;MÁS DE 100 LIBROS;5 a 6;Mejor;Si;Si;Si;Si;Si;Si;No;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja como profesional (por ejemplo médico, abogado, ingeniero);66;72;77;80;60;83;63;341;82;70;65;70
