periodo;estu_consecutivo;estu_estudiante;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_ingles;desemp_profundiza_biologia;desemp_profundiza_csociales;desemp_profundiza_lenguaje;desemp_profundiza_matematica;estu_anomatriculaprimero;estu_anomatriculasexto;estu_anoscolegioactual;estu_anospreescolar;estu_anoterminobachiller;estu_anoterminoquinto;estu_antecedentes;estu_areareside;estu_cod_depto_presentacion;estu_cod_iesdeseada;estu_cod_mcpio_presentacion;estu_cod_mcpioiesdeseada;estu_cod_programadeseado;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_cuantoscolegioestudio;estu_depto_presentacion;estu_depto_reside;estu_etnia;estu_expectativas;estu_fechanacimiento;estu_genero;estu_iesdeseada;estu_ingresar_prog_edusuperior;estu_instporamigosestudiando;estu_instporcostomatricula;estu_instporoportunidades;estu_instporotrarazon;estu_instporprestigio;estu_instporubicacion;estu_instporunicaqueofrece;estu_mcpio_presentacion;estu_mcpio_reside;estu_mcpioiesdeseada;estu_mesterminobachiller;estu_nacionalidad;estu_pais_reside;estu_privado_libertad;estu_progorientacionvocacional;estu_progporbuscandocarrera;estu_progporcolombiaaprende;estu_progporinfluenciaalguien;estu_progporinterespersonal;estu_progpormejorarposicsocial;estu_progportradicionfamiliar;estu_programadeseado;estu_puesto;estu_punt_esperado_ingles;estu_punt_esperado_lenguaje;estu_punt_esperado_matematicas;estu_razonretirocolegio;estu_recibesalario;estu_reprobocuarto;estu_reprobodecimo;estu_reprobonoveno;estu_reprobooctavo;estu_reprobooncemas;estu_reproboprimero;estu_reproboquinto;estu_reprobosegundo;estu_reproboseptimo;estu_reprobosexto;estu_reprobotercero;estu_salario_esperadobachiller;estu_salario_esperadoprofesi;estu_salario_esperadotecnico;estu_seretirocolegio;estu_tipocarreradeseada;estu_tipodocumento;estu_totalalumnoscurso;estu_trabajaactualmente;estu_valorpensioncolegio;estu_vecespresentoexamen;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_ingresofmiliarmensual;fami_nivelsisben;fami_ocupacionmadre;fami_ocupacionpadre;fami_personashogar;fami_pisoshogar;fami_telefono;fami_tiene_celular;fami_tiene_nevera;fami_tiene_serviciotv;fami_tieneautomovil;fami_tienecomputador;fami_tienedvd;fami_tienehorno;fami_tieneinternet;fami_tienelavadora;fami_tienemicroondas;punt_biologia;punt_ciencias_sociales;punt_filosofia;punt_fisica;punt_ingles;punt_interdisc_medioambiente;punt_interdisc_violenciaysoc;punt_lenguaje;punt_matematicas;punt_profundiza_biologia;punt_profundiza_csociales;punt_profundiza_lenguaje;punt_profundiza_matematica;punt_quimica;recaf_punt_c_naturales;recaf_punt_ingles;recaf_punt_lectura_critica;recaf_punt_matematicas;recaf_punt_sociales_ciudadanas
20131;SB11201310081898;ESTUDIANTE;URBANO;N;A;ACADÉMICO;373504002230;373504002230;73;73504;101196;TOLIMA;MIXTO;SABATINA;ORTEGA;NO OFICIAL;SERVICIO EDUCATIVO NAL DE ADULTOS SENDAS;SERVICIO EDUCATIVO NAL DE ADULTOS SENDAS;S;A-;;;;;;;;;;;No;Area Rural;73;;73168;;;73;73504;;TOLIMA;TOLIMA;Ninguno;No;01/04/1995;M;;;;;;;;;;CHAPARRAL;ORTEGA;;;COLOMBIA;COLOMBIA;N;;;;;;;;;761;;;;;Si;;;;;;;;;;;;;;;;;TI;;Si, menos de 20 horas a la semana;Menos de 87.000;Ninguna vez;Dos;Primaria completa;Primaria incompleta;Estrato 1;Menos de 1 SMLV;Nivel 1;Hogar;Pequeño empresario;Cuatro;Cemento, gravilla, ladrillo;No;Si;Si;No;No;No;No;No;No;No;No;36;37;30;39;36;51;;46;38;;;;;48;48;41;43;47;40
20131;SB11201310081857;ESTUDIANTE;URBANO;N;A;ACADÉMICO;373504002230;373504002230;73;73504;101196;TOLIMA;MIXTO;SABATINA;ORTEGA;NO OFICIAL;SERVICIO EDUCATIVO NAL DE ADULTOS SENDAS;SERVICIO EDUCATIVO NAL DE ADULTOS SENDAS;S;A-;;;;;;;;;;;No;Cabecera Municipal;73;;73168;;;73;73168;;TOLIMA;TOLIMA;Ninguno;No;05/12/1991;M;;;;;;;;;;CHAPARRAL;CHAPARRAL;;;COLOMBIA;COLOMBIA;N;;;;;;;;;590;;;;;;;;;;;;;;;;;;;;;;CC;;No;Menos de 87.000;Ninguna vez;Tres;Ninguno;Ninguno;Estrato 1;Menos de 1 SMLV;Nivel 1;Otra actividad u ocupación;Otra actividad u ocupación;Tres;Cemento, gravilla, ladrillo;No;No;No;No;No;No;No;No;No;No;No;44;41;27;42;34;53;;52;48;;;;;39;45;40;46;49;44
20131;SB11201310081933;ESTUDIANTE;URBANO;N;A;ACADÉMICO;373504002230;373504002230;73;73504;101196;TOLIMA;MIXTO;SABATINA;ORTEGA;NO OFICIAL;SERVICIO EDUCATIVO NAL DE ADULTOS SENDAS;SERVICIO EDUCATIVO NAL DE ADULTOS SENDAS;S;A-;;;;;;;;;;;No;Cabecera Municipal;73;;73001;;;73;73411;;TOLIMA;TOLIMA;Ninguno;No;29/08/1995;F;;;;;;;;;;IBAGUÉ;LÍBANO;;;COLOMBIA;COLOMBIA;N;;;;;;;;;677;;;;;;;;;;;;;;;;;;;;;;TI;;No;Menos de 87.000;Ninguna vez;Dos;Primaria incompleta;Primaria incompleta;Estrato 2;Menos de 1 SMLV;Nivel 3;Hogar;Trabajador por cuenta propia;Dos;Cemento, gravilla, ladrillo;No;Si;Si;No;No;No;No;No;No;No;No;42;38;43;45;32;49;;49;34;;;;;43;51;38;51;47;42
20131;SB11201310031660;ESTUDIANTE;URBANO;N;A;TÉCNICO/ACADÉMICO;173001010508;173001010508;73;73001;160424;TOLIMA;MIXTO;NOCHE;IBAGUÉ;OFICIAL;INST EDUC JOSE JOAQUIN FLOREZ HERNANDEZ;JOSE JOAQUIN FLOREZ HERNANDEZ;S;A-;;;;;;;;;;;No;Cabecera Municipal;73;;73001;;;73;73001;;TOLIMA;TOLIMA;Ninguno;No;18/07/1994;M;;;;;;;;;;IBAGUÉ;IBAGUÉ;;;COLOMBIA;COLOMBIA;N;;;;;;;;;831;;;;;;;;;;;;;;;;;;;;;;CC;;No;No paga Pensión;Ninguna vez;Tres;Secundaria (Bachillerato) completa;No sabe;Estrato 2;Entre 1 y menos de 2 SMLV;Nivel 2;Empleado de nivel auxiliar o administrativo;Otra actividad u ocupación;Seis;Cemento, gravilla, ladrillo;Si;Si;Si;No;No;Si;Si;No;Si;Si;No;39;32;25;39;34;;37;49;38;;;;;35;41;40;41;45;34
20131;SB11201310085058;ESTUDIANTE;URBANO;N;A;ACADÉMICO;373268001596;373268001596;73;73268;116848;TOLIMA;MIXTO;SABATINA;ESPINAL;NO OFICIAL;INSTITUCION EDUCATIVA CENTEC;INSTITUCION EDUCATIVA CENTEC;S;A2;;GB;;;;;;;;;No;Area Rural;25;;25307;;;73;73268;;CUNDINAMARCA;TOLIMA;Ninguno;No;11/01/1997;M;;;;;;;;;;GIRARDOT;ESPINAL;;;COLOMBIA;COLOMBIA;N;;;;;;;;;397;;;;;;;;;;;;;;;;;;;;;;TI;;No;Menos de 87.000;Ninguna vez;Dos;Primaria incompleta;Primaria incompleta;Estrato 1;Menos de 1 SMLV;Nivel 1;Hogar;Trabajador por cuenta propia;Tres;Cemento, gravilla, ladrillo;No;Si;Si;No;No;No;No;No;No;Si;No;52;45;41;45;55;;;52;41;;5;;;45;53;60;50;47;47
20131;SB11201310034827;ESTUDIANTE;URBANO;N;A;ACADÉMICO;373001006810;373001006810;73;73001;101626;TOLIMA;MIXTO;SABATINA;IBAGUÉ;NO OFICIAL;COLEGIO LOS ANDES DE IBAGUE;COL COOP  LOS ANDES;S;A1;;;GB;;;;;;;;No;Cabecera Municipal;73;;73001;;;73;73001;;TOLIMA;TOLIMA;Ninguno;No;03/01/1993;M;;;;;;;;;;IBAGUÉ;IBAGUÉ;;;COLOMBIA;COLOMBIA;N;;;;;;;;;841;;;;;;;;;;;;;;;;;;;;;;CC;;No;Menos de 87.000;Ninguna vez;Tres;Primaria incompleta;Primaria incompleta;Estrato 2;Entre 1 y menos de 2 SMLV;Nivel 2;Hogar;Trabajador por cuenta propia;Cuatro;Madera pulida, baldosa, tableta, mármol, alfombra;Si;Si;Si;No;No;No;Si;No;No;Si;No;32;34;45;42;45;;;42;41;;;4;;35;41;50;45;48;43
20131;SB11201310077665;ESTUDIANTE;URBANO;N;A;ACADÉMICO;373443001249;373443001249;73;73443;104737;TOLIMA;MIXTO;SABATINA;SAN SEBASTIÁN DE MARIQUITA;NO OFICIAL;SENDAS - MARIQUITA (INST SERV EDUC NAL DE ADULTOS SENDAS);INST SERV EDUC NAL DE ADULTOS SENDAS;S;A-;;;;;;;;;;;No;Area Rural;17;;17380;;;73;73443;;CALDAS;TOLIMA;Ninguno;No;04/11/1980;F;;;;;;;;;;LA DORADA;SAN SEBASTIÁN DE MARIQUITA;;;COLOMBIA;COLOMBIA;N;;;;;;;;;796;;;;;Si;;;;;;;;;;;;;;;;;CC;;Si, 20 horas o más a la semana;Menos de 87.000;Ninguna vez;Dos;Primaria incompleta;Ninguno;Estrato 2;Menos de 1 SMLV;Nivel 1;Hogar;Pequeño empresario;Cuatro;Cemento, gravilla, ladrillo;No;Si;Si;No;No;Si;No;No;Si;No;No;38;45;30;36;38;53;;43;29;;;;;36;41;42;45;33;49
20131;SB11201310078959;ESTUDIANTE;URBANO;N;A;ACADÉMICO;373268001596;373268001596;73;73268;116848;TOLIMA;MIXTO;SABATINA;ESPINAL;NO OFICIAL;INSTITUCION EDUCATIVA CENTEC;INSTITUCION EDUCATIVA CENTEC;S;A-;GB;;;;;;;;;;No;Area Rural;25;;25307;;;73;73268;;CUNDINAMARCA;TOLIMA;Ninguno;No;12/12/1996;F;;;;;;;;;;GIRARDOT;ESPINAL;;;COLOMBIA;COLOMBIA;N;;;;;;;;;783;;;;;;;;;;;;;;;;;;;;;;TI;;No;Menos de 87.000;Ninguna vez;Tres;Primaria incompleta;Primaria incompleta;Estrato 1;Menos de 1 SMLV;Nivel 1;Hogar;Otra actividad u ocupación;Cuatro;Cemento, gravilla, ladrillo;No;Si;Si;No;No;Si;No;No;No;No;No;40;41;30;32;34;;;36;45;4;;;;44;45;40;43;51;44
20131;SB11201310079041;ESTUDIANTE;URBANO;N;A;ACADÉMICO;373443001249;373443001249;73;73443;104737;TOLIMA;MIXTO;SABATINA;SAN SEBASTIÁN DE MARIQUITA;NO OFICIAL;SENDAS - MARIQUITA (INST SERV EDUC NAL DE ADULTOS SENDAS);INST SERV EDUC NAL DE ADULTOS SENDAS;S;A-;GB;;;;;;;;;;No;Area Rural;17;;17380;;;73;73270;;CALDAS;TOLIMA;Ninguno;No;25/10/1995;F;;;;;;;;;;LA DORADA;FALAN;;;COLOMBIA;COLOMBIA;N;;;;;;;;;806;;;;;;;;;;;;;;;;;;;;;;TI;;No;Menos de 87.000;Ninguna vez;Tres;Primaria incompleta;Primaria incompleta;Estrato 1;Entre 1 y menos de 2 SMLV;Nivel 1;Hogar;Trabajador por cuenta propia;Seis;Cemento, gravilla, ladrillo;No;Si;Si;No;No;Si;Si;Si;No;No;No;45;39;29;36;40;;;39;34;4;;;;37;44;44;35;39;42
20131;SB11201310090929;ESTUDIANTE;URBANO;;A;ACADÉMICO;373001012259;373001012259;73;73001;126755;TOLIMA;MIXTO;SABATINA;IBAGUÉ;NO OFICIAL;FUND EDUC PARA EL DESARROLLO INTEGRAL DEL SER HUMANO FEDISH;FUND EDUC PARA EL DESARROLLO INTEGRAL DEL SER HUMANO FEDISH;S;A-;;;GB;;;;;;;;No;Cabecera Municipal;73;;73001;;;73;73001;;TOLIMA;TOLIMA;Ninguno;No;29/12/1986;M;;;;;;;;;;IBAGUÉ;IBAGUÉ;;;COLOMBIA;COLOMBIA;N;;;;;;;;;937;;;;;Si;;;;;;;;;;;;;;;;;CC;;Si, menos de 20 horas a la semana;No paga Pensión;Una vez;Tres;Primaria incompleta;Primaria incompleta;Estrato 1;Entre 1 y menos de 2 SMLV;Nivel 1;Hogar;Empleado obrero u operario;Dos;Madera pulida, baldosa, tableta, mármol, alfombra;No;Si;Si;No;No;Si;Si;No;No;Si;No;43;38;46;47;34;;;36;15;;;4;;43;45;40;47;34;37
