periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_ingles;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_depto_presentacion;estu_depto_reside;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_individual;estu_pais_reside;estu_pilopaga;estu_privado_libertad;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_tieneautomovil;fami_tienecomputador;fami_tieneinternet;fami_tienelavadora;fami_tieneserviciotv;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20151;SB11201510096038;ESTUDIANTE;CC;URBANO;;A;;373449000880;373449000880;73;73449;183251;TOLIMA;MIXTO;SABATINA;MELGAR;NO OFICIAL;CENTRO JOHANN KEPLER;CENTRO JOHANN KEPLER - SEDE PRINCIPAL;S;A-;S;73;73001;73;73001;TOLIMA;TOLIMA;Ninguno;12/06/1980;F;26;53.400433;IBAGUE;IBAGUE;COLOMBIA;NSE3;COLOMBIA;NO;N;Tres;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 2;0 A 10 LIBROS;Cuatro;No;Si;Si;Si;Si;35;178;42;35;34;36
20151;SB11201510104919;ESTUDIANTE;CC;URBANO;;A;;373449000880;373449000880;73;73449;183251;TOLIMA;MIXTO;SABATINA;MELGAR;NO OFICIAL;CENTRO JOHANN KEPLER;CENTRO JOHANN KEPLER - SEDE PRINCIPAL;S;A-;S;73;73268;73;73449;TOLIMA;TOLIMA;Ninguno;11/11/1994;M;26;57.080624;ESPINAL;MELGAR;COLOMBIA;NSE3;COLOMBIA;NO;N;Dos;Técnica o tecnológica incompleta;Técnica o tecnológica completa;Estrato 2;11 A 25 LIBROS;Cuatro;Si;Si;Si;Si;Si;27;192;41;42;37;47
20151;SB11201510036266;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;373283001521;373283001521;73;73283;164129;TOLIMA;MIXTO;SABATINA;FRESNO;NO OFICIAL;INSTITUTO SAN FERNANDO FERRINI;INSTITUTO SAN FERNANDO FERRINI;S;A-;S;73;73001;73;73283;TOLIMA;TOLIMA;Ninguno;11/11/1996;M;26;36.211437;IBAGUE;FRESNO;COLOMBIA;NSE1;COLOMBIA;NO;N;Dos;Primaria completa;Ninguno;Estrato 1;0 A 10 LIBROS;Cinco;No;No;No;No;No;38;204;45;41;43;40
20151;SB11201510034379;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;373283001521;373283001521;73;73283;164129;TOLIMA;MIXTO;SABATINA;FRESNO;NO OFICIAL;INSTITUTO SAN FERNANDO FERRINI;INSTITUTO SAN FERNANDO FERRINI;S;A1;S;73;73001;73;73283;TOLIMA;TOLIMA;Ninguno;11/07/1998;F;26;39.225502;IBAGUE;FRESNO;COLOMBIA;NSE1;COLOMBIA;NO;N;Dos;Primaria completa;Primaria completa;Estrato 2;0 A 10 LIBROS;Tres;No;No;No;No;No;47;252;50;53;49;53
20151;SB11201510057543;ESTUDIANTE;CC;RURAL;N;A;ACADÉMICO;473024000490;473024000490;73;73024;93013;TOLIMA;MIXTO;SABATINA;ALPUJARRA;NO OFICIAL;BACHILLERATO AGROPECUARIO SAT PROHACIENDO;BACHILLERATO AGROPECUARIO SAT PROHACIENDO - SEDE PRINCIPAL;S;A-;S;73;73268;73;73504;TOLIMA;TOLIMA;Ninguno;08/09/1989;M;26;38.297733;ESPINAL;ORTEGA;COLOMBIA;NSE1;COLOMBIA;NO;N;Tres;Primaria incompleta;Primaria completa;Estrato 1;0 A 10 LIBROS;Cuatro;No;No;No;No;No;42;197;41;42;37;36
20151;SB11201510014332;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO;173411000941;173411000941;73;73411;16402;TOLIMA;MIXTO;MAÑANA;LIBANO;OFICIAL;INSTITUCION EDUCATIVA TECNICA NUESTRA SEÑORA DE LOURDES;NTRA SRA DE LOURDES;S;A-;S;73;73001;73;73411;TOLIMA;TOLIMA;Ninguno;31/08/1997;F;11;48.064442;IBAGUE;LIBANO;COLOMBIA;NSE2;COLOMBIA;NO;N;Dos;Secundaria (Bachillerato) completa;Ninguno;Estrato 2;11 A 25 LIBROS;Dos;No;No;Si;No;Si;47;220;40;45;46;39
20151;SB11201510077364;ESTUDIANTE;TI;URBANO;;A;ACADÉMICO;373268001663;373268001663;73;73268;138545;TOLIMA;MIXTO;SABATINA;ESPINAL;NO OFICIAL;INSTITUTO DE EDUCACION FORMAL  CECONTEC;INSTITUTO DE EDUCACION FORMAL CECONTEC - SEDE PRINCIPAL;S;A-;S;73;73268;73;73268;TOLIMA;TOLIMA;Ninguno;05/01/1998;F;26;50.265087;ESPINAL;ESPINAL;COLOMBIA;NSE2;COLOMBIA;NO;N;Uno;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 1;11 A 25 LIBROS;Cuatro;No;Si;Si;Si;Si;24;163;45;41;32;29
20151;SB11201510105058;ESTUDIANTE;CC;URBANO;N;A;;373001010485;373001010485;73;73001;92940;TOLIMA;MIXTO;COMPLETA;IBAGUE;NO OFICIAL;CENTRO DE ESTUDIOS PROTEA;INSTITUTO FORMAL PARA JOVENES Y ADULTOS CENTRO DE ESTUDIO PROTEA;S;A-;S;73;73001;73;73001;TOLIMA;TOLIMA;Ninguno;15/11/1996;F;26;57.636833;IBAGUE;IBAGUE;COLOMBIA;NSE3;COLOMBIA;NO;N;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 2;11 A 25 LIBROS;Cuatro;No;Si;Si;Si;Si;25;171;40;48;31;31
20151;SB11201510097983;ESTUDIANTE;TI;URBANO;;A;ACADÉMICO;373001012259;373001012259;73;73001;126755;TOLIMA;MIXTO;SABATINA;IBAGUE;NO OFICIAL;FUND EDUC PARA EL DESARROLLO INTEGRAL DEL SER HUMANO FEDISH;FUND EDUC PARA EL DESARROLLO INTEGRAL DEL SER HUMANO FEDISH;S;A-;S;73;73001;73;73001;TOLIMA;TOLIMA;Ninguno;16/02/1997;F;26;38.732491;IBAGUE;IBAGUE;COLOMBIA;NSE1;COLOMBIA;NO;N;Tres;Secundaria (Bachillerato) incompleta;Primaria completa;Estrato 1;11 A 25 LIBROS;Seis;No;No;No;No;No;42;215;45;49;37;43
20151;SB11201510036261;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;373283001521;373283001521;73;73283;164129;TOLIMA;MIXTO;SABATINA;FRESNO;NO OFICIAL;INSTITUTO SAN FERNANDO FERRINI;INSTITUTO SAN FERNANDO FERRINI;S;A-;S;73;73001;73;73283;TOLIMA;TOLIMA;Ninguno;04/04/1990;F;26;42.719051;IBAGUE;FRESNO;COLOMBIA;NSE2;COLOMBIA;NO;N;Dos;Ninguno;Ninguno;Estrato 1;0 A 10 LIBROS;Cuatro;No;Si;No;Si;No;36;203;39;41;46;40
