periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_ingles;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_depto_presentacion;estu_depto_reside;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_individual;estu_pais_reside;estu_pilopaga;estu_privado_libertad;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_tieneautomovil;fami_tienecomputador;fami_tieneinternet;fami_tienelavadora;fami_tieneserviciotv;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20151;SB11201510115564;ESTUDIANTE;TI;URBANO;N;A;;376250000871;376250000871;76;76250;170563;VALLE;MIXTO;SABATINA;EL DOVIO;NO OFICIAL;CENTRO DOCENTE PARA ADULTOS - EDIMA;CENTRO DOCENTE PARA ADULTOS - EDIMA - SEDE PRINCIPAL;S;A-;S;76;76622;76;76250;VALLE;VALLE;Ninguno;19/06/1998;F;26;44.367836;ROLDANILLO;EL DOVIO;COLOMBIA;NSE2;COLOMBIA;NO;N;Tres;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) completa;Estrato 1;0 A 10 LIBROS;Cinco;No;No;No;No;No;48;239;45;49;48;47
20151;SB11201510115560;ESTUDIANTE;CC;URBANO;N;A;;376250000871;376250000871;76;76250;170563;VALLE;MIXTO;SABATINA;EL DOVIO;NO OFICIAL;CENTRO DOCENTE PARA ADULTOS - EDIMA;CENTRO DOCENTE PARA ADULTOS - EDIMA - SEDE PRINCIPAL;S;A-;S;76;76622;76;76622;VALLE;VALLE;Ninguno;10/02/1997;F;26;43.844238;ROLDANILLO;ROLDANILLO;COLOMBIA;NSE2;COLOMBIA;NO;N;Dos;Primaria completa;Primaria incompleta;Estrato 1;11 A 25 LIBROS;Tres;No;No;No;Si;Si;34;183;42;51;29;31
20151;SB11201510065897;ESTUDIANTE;CC;URBANO;N;B;ACADÉMICO;376001031031;376001031031;76;76001;17343;VALLE;MIXTO;NOCHE;CALI;NO OFICIAL;COL ALTERNATIVA PEDAGÓGICA INTEGRADA COMFANDI ALPEINCO;COL ALTERNATIVA PEDAGÓGICA INTEGRADA COMFANDI ALPEINCO;S;A-;S;76;76001;76;76001;VALLE;VALLE;Ninguno;03/03/1968;F;26;56.872314;CALI;CALI;COLOMBIA;NSE3;COLOMBIA;NO;N;Tres;Primaria completa;Primaria completa;Estrato 2;0 A 10 LIBROS;Cuatro;No;Si;Si;Si;Si;19;183;42;45;39;42
20151;SB11201510115562;ESTUDIANTE;CC;URBANO;N;A;;376250000871;376250000871;76;76250;170563;VALLE;MIXTO;SABATINA;EL DOVIO;NO OFICIAL;CENTRO DOCENTE PARA ADULTOS - EDIMA;CENTRO DOCENTE PARA ADULTOS - EDIMA - SEDE PRINCIPAL;S;A-;S;76;76622;76;76250;VALLE;VALLE;Ninguno;02/10/1987;F;26;45.138996;ROLDANILLO;EL DOVIO;COLOMBIA;NSE2;COLOMBIA;NO;N;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 1;11 A 25 LIBROS;Dos;No;No;No;Si;No;53;262;42;44;59;57
20151;SB11201510036948;ESTUDIANTE;TI;URBANO;N;B;ACADÉMICO;376520000216;376520000216;76;76520;18721;VALLE;MASCULINO;COMPLETA;PALMIRA;NO OFICIAL;SEM DE CRISTO SACERDOTE;SEM DE CRISTO SACERDOTE;S;B+;S;76;76520;76;76520;VALLE;VALLE;Ninguno;02/10/1997;M;11;70.677017;PALMIRA;PALMIRA;COLOMBIA;NSE4;COLOMBIA;NO;N;Tres;Educación profesional completa;Educación profesional completa;Estrato 4;26 A 100 LIBROS;Cuatro;Si;Si;Si;Si;Si;73;388;90;77;77;79
20151;SB11201510084614;ESTUDIANTE;TI;URBANO;N;B;TÉCNICO;376001021885;376001021885;76;76001;62356;VALLE;MIXTO;MAÑANA;CALI;NO OFICIAL;COLEGIO LUIS CARLOS GALAN SARMIENTO;COLEGIO LUIS CARLOS GALAN SARMIENTO;S;A1;S;76;76001;76;76001;VALLE;VALLE;Ninguno;21/07/1999;M;11;62.4743;CALI;CALI;COLOMBIA;NSE3;COLOMBIA;NO;N;Tres;Técnica o tecnológica completa;Técnica o tecnológica incompleta;Estrato 3;26 A 100 LIBROS;Tres;No;Si;Si;Si;Si;65;313;52;63;64;62
20151;SB11201510046207;ESTUDIANTE;TI;URBANO;N;B;TÉCNICO/ACADÉMICO;376001007670;376001007670;76;76001;74641;VALLE;MIXTO;MAÑANA;CALI;NO OFICIAL;COLEGIO LEON DE GREIFF;COLEGIO LEON DE GREIFF;S;B1;S;76;76001;76;76001;VALLE;VALLE;Comunidad afrodescendiente;26/02/1999;F;11;55.918224;CALI;CALI;COLOMBIA;NSE3;COLOMBIA;NO;N;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) incompleta;Estrato 2;11 A 25 LIBROS;Tres;No;Si;Si;Si;Si;69;324;74;67;65;55
20151;SB11201510005752;ESTUDIANTE;TI;URBANO;N;B;ACADÉMICO;376001013246;376001013246;76;76001;16873;VALLE;MIXTO;MAÑANA;CALI;NO OFICIAL;COLEGIO DEL SAGRADO CORAZÓN DE JESÚS-VALLE DEL LILI;COLEGIO DEL SAGRADO CORAZÓN DE JESÚS-VALLE DEL LILI;S;A2;S;76;76001;76;76001;VALLE;VALLE;;07/10/1997;M;11;71.536888;CALI;CALI;COLOMBIA;NSE4;COLOMBIA;NO;N;Dos;Postgrado;Postgrado;Estrato 3;11 A 25 LIBROS;Dos;No;Si;Si;Si;Si;76;360;62;66;81;68
20151;SB11201510039106;ESTUDIANTE;CC;URBANO;N;B;ACADÉMICO;376111000271;376111000271;76;76111;18143;VALLE;MIXTO;MAÑANA;BUGA;NO OFICIAL;COL DIOCESANO GIMNASIO CENTRAL DEL VALLE;COL DIOCESANO GIMNASIO CENTRAL DEL VALLE;S;A-;S;76;76111;76;76111;VALLE;VALLE;Ninguno;27/05/1996;F;11;64.036629;BUGA;BUGA;COLOMBIA;NSE3;COLOMBIA;NO;N;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 2;26 A 100 LIBROS;Cuatro;Si;Si;Si;Si;No;58;284;49;57;55;60
20151;SB11201510054029;ESTUDIANTE;TI;URBANO;N;B;ACADÉMICO;376001002074;376001002074;76;76001;16709;VALLE;MIXTO;MAÑANA;CALI;NO OFICIAL;CORPORACION COLEGIO AMERICAS UNIDAS;CORPORACION COLEGIO AMERICAS UNIDAS;S;A2;S;76;76001;76;76001;VALLE;VALLE;Ninguno;10/06/1998;M;11;65.976112;CALI;CALI;COLOMBIA;NSE4;COLOMBIA;NO;N;Tres;Técnica o tecnológica completa;Técnica o tecnológica completa;Estrato 4;MÁS DE 100 LIBROS;Cuatro;Si;Si;Si;Si;Si;61;292;65;58;52;60
20151;SB11201510046034;ESTUDIANTE;CR;URBANO;N;B;TÉCNICO/ACADÉMICO;376001007670;376001007670;76;76001;84988;VALLE;MIXTO;TARDE;CALI;NO OFICIAL;COLEGIO LEON DE GREIFF;COLEGIO LEON DE GREIFF;S;A1;S;76;76001;76;76001;VALLE;VALLE;Ninguno;20/06/1999;M;11;58.149323;CALI;CALI;COLOMBIA;NSE3;COLOMBIA;NO;N;Tres;Primaria incompleta;Primaria completa;Estrato 3;0 A 10 LIBROS;Tres;No;Si;Si;Si;Si;71;302;49;54;62;58
